あの人をテレビで見た私が次にやったことはアイドルになりたいと叫ぶことじゃなく、何日かして勇気を出して,普段は滅多に行かない
ほたる,ぜ、ぜんぜん興味ないわけじゃないから後で読むかも知れないけど、とにかくそれが目当てじゃなかったの／／／
母,でもそれじゃ、どんな記事が目当てだったの？
ほたる,私はその表紙の人の記事が見たくて、その本を買ったの
母,……
ほたる,……
母,やっぱり女の子が相手じゃないいいいいい！！
ほたる,確かに女の子だけどそこじゃなくてね！？
母,やっぱり女の子同士なんじゃない。うちの大事に育てた娘が百合百合しい世界に引き込まれていく……二十歳ぐらいになったらお母さん、孫の顔を見るのは諦めてとか言われてしまうのかしら
ほたる,誤解に基づいた生々しい想像をするのやめて！？違うから！……アイドル！
母,えっ
ほたる,私、この人みたいなアイドルになりたいって思ったの。数日前、初めてこの人を見て。幸せな気持ちになって。だから、もっとどんな人か知りたくて。私もこんなアイドルになれたらなって
母,……あら、確かに、裏表紙にはアイドル事務所の研修生募集広告まで載っているのね
ほたる,うん。憧れだけど。無理なことかも知れないけど……
母,……い
ほたる,お母さん？
母,娘が、娘が怖いいいいいい！
ほたる,なんで！？落ち着いて、お母さん落ち着いて！
母,これが落ち着いていられますか！娘が、娘がアイドルになるとか言い出すなんて、そんな、ああそんなガクガクブルブル
ほたる,女の子相手だと思ってたときより明らかに動揺してるのってひどくない！？
母,昨日まで引きこもり寸前で誰と会うのも嫌がってたような子がいきなりアイドルになるとか言い出すほうがよっぽど恐ろしいわよお！！
ほたる,わあん、その通りだから何も言い返せない！
母,よしなさい、アイドルはよしなさい
ほたる,やっぱり、反対するんだ……
母,当たり前でしょう、ほたるはまじめで優しくて可愛くてとってもよい子だけど、世の中には向き不向きとか経験とか言うものがあるのよ！
ほたる,……
母,ああ、私たちの愛が足りなかったのかしら……アイドルになりたいなんて突拍子もないことを言い出すほど追いつめられていたなんて
ほたる,大丈夫だから！愛足りてるから！お母さんもお父さんも大好きだから！！
母,その言葉はメッチャうれしいけどそれはそれこれはこれです！お母さん絶対許しませんよ
ほたる,恋愛関係だと思ってたときは一応応援してくれる感じだったのにい
母,だってそりゃそうでしょう。ほたるを支えてくれる人がいるなんてものすごくうれしいもの！でもほたるってその、あの、不幸体質じゃないぶっちゃけ！！
ほたる,家族同士だから遠慮がない！？
母,ふつうのお子さんでも苦労する狭き門なのに、ほたるがアイドルを目指したりしてごらんなさい。どういうことになるか
ほたる,か、簡単に研修生になれたりしないって覚悟してるもん。練習して、何度も挑戦して
母,いいえ、そのぐらいで済むものですか！
ほたる,お母さん
母,きっと所事務所が倒産したり、ある朝事務所に顔を出したら倒産しましたって張り紙だけが残っていたり、事務所に泥棒が入ったり、ほたるのせいでアイドルをあきらめざるを得なくなった元先輩にカフェで詰め寄られたりすることになるのよ
ほたる,なにその具体的な想像力！いくら何でもそんなこと
母,無いと言い切れる？
ほたる,我が身の不幸を省みると、とても無いとは言い切れない！
母,だから……ねえ、あきらめなさい。ほたる。約束して。アイドルは目指さないって約束して
ほたる,お母さん……
母,ほたるが心配なの。ずっと傷ついてきたじゃない。もしアイドルを目指して都会に行ったりしたら、お父さんもお母さんもあなたを守ってあげられない
ほたる,……
母,どれだけ傷ついても、慰めてあげられない。ね、鳥取にいなさい。さっきの記事じゃないけど、ここでほたるを支えてくれる素敵な人と、小さな幸せを見つけるの
ほたる,……
母,解ってるはずじゃない。自分が、どれだけ苦しい思いをするか、お母さんがどうしてこれほど反対するのか
ほたる,……それは……
母,だから、ね。ここで約束して。アイドルはあきらめるって
ほたる,……そうしたら、安心してくれるの？
母,ええ、そうよ。お願い
ほたる,……反対されるって、解ってたから。だから、隠してて。慰めで終わらせようって、そう思ってて……
母,そうだったの。お母さん、ちょっと逸り過ぎたかしら
ほたる,お母さんの言うこと、解るから。だから、私、アイドルは……
母,……
ほたる,やっぱり無理！！アイドル目指したい！！
母,ほたるー！？
ほたる,自分を慰めるだけにしておこうと思ったけど、諦めろって言われるとダメ！どうしても捨てられないって解ったの！
母,しまったやぶ蛇だった
ほたる,だってだって、初めて見つけたやりたいことなんだもん！これまでこんな気持ちになったことなかったんだもん！
母,娘の切実な叫び！！
ほたる,私だって人を幸せにしたい！誰かを不幸にするだけのものでいたくない！！
母,ほたる……
ほたる,どんなに苦労しても、不幸でも、挑戦しないまま終わりたくない！私だって、私だって、誰かにここに居ていいって言ってほしいもの！
母,そんな風に思っていたなんて……
ほたる,あとやっぱり、可愛い衣装を来てみんなにきゃーきゃー言われたい気持ちもちょっとあるし
母,あっ、欲望が等身大になってちょっと安心したわ
ほたる,とにかく！私、あきらめたくない！この人みたいなアイドルになりたい！
母,この人みたいな？
ほたる,そう、その表紙の人みたいな！
母,素敵な笑顔の人ね。太陽みたい……
ほたる,でしょう？私も……
母,でも貴女笑顔とか全然ダメじゃない
ほたる,容赦なさすぎない！？
母,仕方ないでしょ。お母さん、ほたるがまともに笑ったのなんてここ一年ぐらい見たことないわよ
ほたる,わ、笑ってるもん！
母,あんなごまかし笑いは笑顔って言いませんー。こんな風に笑うなんて今のほたるにはできないわよ
ほたる,練習するもん！練習するもん！！
母,だいいちアイドルなんてよっぽど可愛い子じゃないとなれないのよ？ほたるがなれると思う？
ほたる,お母さんさっきルックスには自信もっていいって言った！
母,そう言えば言ったわ！？
ほたる,あれは嘘だったの？私を慰めるために嘘をついたの？
母,あきらめさせるためにはその通りと言いたいんだけど、ほたるは私似でものすごく可愛いという点は偽れないわ……！
ほたる,なら私にもひとつ武器があるってことだもの……がんばりたいの。足りないところは、レッスンして。いくらでもレッスンして、補って見せるから
母,ほたる、あの
ほたる,お母さんだってさっき言ったじゃない。私はお母さん似で思いこんだら突っ走るって……私、とにかく絶対あきらめないから！
母,あ、ほたる、待ちなさいほたる！……行っちゃった……。どうしましょう。ほたるがアイドルなんて。どうしたらいいのかしら。とにかくあの人にも相談して、なんとかほたるを説得……。……。できそうな気がしないのよね！だって私とあの人の娘だもの！。ああ、気が重いわ。押し切られそう……。……なんてこともあったわよね。で、結局押し切られちゃって
ほたる,うん……
母,懐かしいわ。あれから一年かあ
ほたる,うん。いろいろあったけど、でも、私もようやくアイドルになれたよ
母,おめでとう……とはいうものの
ほたる,お母さん？
母,いくら頑固だからって、鳥取を出てから今日まであれだけ不幸があったのに一度も戻っても来ないなんて度を越してない！？
ほたる,あ、あははは
母,正座。そこに正座。今日はそこのところちょっとお説教しますからね……ほらほたる逃げないの！座りなさい。お母さん逃がしませんよ、だいたい貴女は……
ほたる,そして結局捕まって……久々の里帰り、私はおかあさんにたっぷりお説教をされました。だけどどんなに怒っていても、解りました。お母さんの目が、笑ってるって。喜んでくれてるって。だから私はついにこにこして。余計に怒られたりして。そんなふうにして、アイドルになって初めての里がえりの１日目を過ごしたのです……
