佐久間まゆ,ねぇ幸子ちゃん？
まゆ,……してくれないんですか？
Ｐ,心配しなくてもやるって。ほらこっちおいで
まゆ,はぁい
Ｐ,……これで大丈夫か？痛くないか？
まゆ,はい、これでいいです
幸子,……あまり邪魔しちゃいけない雰囲気ですね
智絵里,まゆちゃん、とっても嬉しそうだもんね
李衣菜,じゃあ私たちはどうする？
幸子,このまま静かに退散しましょうか
李衣菜,そだね、そうしよう
智絵里,お幸せにねまゆちゃん！
まゆ,ふふ、Ｐさん♪
