その姿が,とある物
みほ,これは誤射をしてしまった際砲弾を受け止めるカバーです。自動車部の皆さんが三日三晩寝ずにつくってくださいました
ナカジマ,ははは
杏,覚悟を決めるしかないね
みほ,今後練習と試合の時以外は必ずこのゴムカバーを砲身につけてください
エルヴィン,なるほど、誤射の砲弾を物理的に防ぐのか
カエサル,素晴らしい発明だ！
おりょう,しかし如何にも珍妙な形ぜよ
エルヴィン,というか、よく見るとあれはマズくないか？
おりょう,うん、マズいぜよ
さえもんざ,切腹でござる
カエサル,ん？なにがマズいんだ？
エルヴィン,カエサル、あれを見て何も思わないのか？
カエサル,ん？安全性を高める素晴らしい発明だと思うが
エルヴィン,いや、何も思わないならいいんだ
カエサル,？
典子,こんじょー！こんじょー！
忍,こんじょー！こんじょー！
あけび,こんじょー！こんじょー！
妙子,どういう反応なんですかそれ、、、
梓,えっ何あの形、、、あれを付けるの？
優季,やだぁ～いやらしいかたちぃ～
あや,うわぁ！デッカイ風船だあ！ビローン！
桂里奈,ビローン！ビローン！ビローン！
あゆみ,ねえ、あれってあれじゃない？
紗希,、、、男性の義務
梓,ちょちょっと、あんまり触ったらダメだよオモチャじゃないんだから！
あや,ほら～梓もビローン！
桂里奈,ビローン！
梓,もう、やめてよ、、//
ねこにゃー,こ、こ、これは呪われしアイテムにゃ～
ももがー,精巧な作りにもほどがあるなりー
ぴよたん,だからなにぴよ？これくらいで騒がないで欲しいっちゃ、使ったことないぴよ？生ぴよ？
ねこにゃー,チチチ、チートキャラ～、運営に報告にゃー
ももがー,恐るべしラスボスの風格なりー
そどこ,素晴らしいわね！風紀も大事だけど安全も同じくらい大事だわ！
ごもよ,そど子分かってないのかな？
ぱぞ美,分かった瞬間卒倒しそう、、、
みほ,みなさん喜んでくれたみたいで良かったです！
杏,だねえ
みほ,会長！では行きましょう！
杏,え？どこに？これから練習じゃ？
みほ,他の学校に決まってるじゃないですか！
杏,え、、、そ、そうね
みほ,あっ！会長！
杏,な、なにかな西住ちゃん？
みほ,砲身から外すとき靴下をクルクルってやるみたいに外すとコンパクトに収納できます！
杏,西住ちゃん、わかってるよね！？もはやワザとだよね？！
みほ,？
杏,折り畳んで袋に入れていこう
ケイ,ハーイみほ！
みほ,ケイさんこんにちは！。実は見せたいものがありまして
ケイ,なになに？
みほ,誤射を防ぐカバーです
ケイ,ワーォ！ベリーキュート！素敵な形ね
みほ,テヘへ、是非サンダースでも着けてくださいね！
アリサ,ちょちょっと隊長、あんなもの着けたら笑い者です！
ケイ,なんでよ？みほが一生懸命作ってくれたやつよ？
ナオミ,マム、アリサはああいったものは要らないって言ってるんじゃ？
ケイ,ワーォ！アリサ意外と大胆ね！でも避妊はちゃんとしないとダメよ？
アリサ,ち、違いますー！
ナオミ,アリサ、タカシとそういうことになった時の為に１つ貰ったらどうだ？
アリサ,あんなデカイの使えないわよ！化け物じゃない！って何言わせるのよ～
ケイ,そうかな？私なら興奮しちゃうけど！
ナオミ,アリサにはまだ早かったみたいだな
アリサ,うるさいわね！
アンチョビ,おおミホ！会いたかったぞ
みほ,アンチョビさん、こんちには！。これだっ！
アンチョビ,おおっ！ってこれは、なんというか！だいじょうぶなのかぁ？
ペパロニ,姉さん、こりゃアモーレする時に男のポコ○ンにおっ被せるあれじゃないっすかぁ、何て名前だったかなあ？
アンチョビ,おい、ペパロニ！言い方ってものがあるだろう！
カルパッチョ,まぁ、これを着ければ安全に戦車道が出来ますね！
アンチョビ,カルパッチョ、お前これを見てその～恥ずかしくはないのか？
カルパッチョ,？何故です？ドゥーチェ
アンチョビ,本当に知らないのか！？我が校の性教育はどうなっているんだ～！誰かが辛い思いをしたらどうするんだ！
カルパッチョ,ドゥーチェ？
アンチョビ,いや、それならそれでいい。また今度な
ペパロニ,今度？そうだコン○ームっすドゥーチェ！
アンチョビ,ペパロニ！声がデカイ！
カルパッチョ,？
カチューシャ,ミホーシャ良く来たわね
みほ,カチューシャさんこんにちは！。これだっ！
カチューシャ,こ、これがミホーシャが考えた誤射防止カバーね。ま、まぁいいじゃない？ね、ねえノンナ？
ノンナ,！
クラーラ,ФЛЙ
カチューシャ,な、なんで？ミ、ミホーシャが一生懸命作ってく、くれたやつよ
クラーラ,ЙЮЖ
ノンナ,йФЛ
クラーラ,НЮЖ
ノンナ,ЙЮЖ。カ、カチューシャ
カチューシャ,ノンナ！どうしたの？大丈夫！
ノンナ,カチューシャ貴方はもう大人になられたのですね、、
カチューシャ,な、なにを言っているのよ！
ニーナ,ノンナふぐだいぢょうがひっくりけえってるだぁ
アリーナ,あら、ちがづいだらエライごどなりそうだなぁ
みほ,おねえちゃーん
まほ,みほ、良く来たな
みほ,これだっっっ！。どうかな？おねえちゃん
まほ,みほ、これは、、いやなんでもない、素晴らしいものだな。
小梅,隊長、、みほさんが一生懸命作ってくださったのは分かるのですが、さすがにこれは恥ずかしいです
まほ,うん、すまない小梅、、
エリカ,恥ずかしいわ
小梅,エリカさんも恥ずかしいですよねえ？
エリカ,えぇ、恥ずかしいわ。。戦車道で勝利することしか考えていなかった自分が恥ずかしい！
小梅,え？
まほ,は？
エリカ,元副隊長は勝利だけでなく安全のことまで考えていた。私は小梅の事件から何も学んでいなかった、、そんな自分が恥ずかしい！
まほ,お、おう
エリカ,元副隊長、いや大洗女子学園西住隊長。予備を含め200個ほど発注したい
まほ,業者か！というか勝手に注文するな
小梅,えぇ、、
みほ,エリカさん
エリカ,これからは、みほって呼んでいい？
みほ,いいよ、エリカ
ペコ,ダージリン様
ダージリン,
ペコ,ダージリンさまっ！！
ダージリン,なーにペコ？騒がしくってよ
ペコ,ダージリン様！なんですかこの卑猥な装備は
ダージリン,あら、重厚なチャーチルにぴったりのアクセサリーじゃなくって？
アッサム,ダージリン、データによると98％の確率で漏れを防ぐようです
ローズヒップ,ダージリンさま！このゴムみたいのを私のクルセイダーにもつけたいでございますですの！
ダージリン,ローズヒップぅ、あなたにはまだ早いわ
ペコ,ダージリンさま！悪ふざけはやめてください
ダージリン,うるさいわねチンチクリン！。こーんな言葉を知ってるぅ？コン○ームを使わない男は挨拶の出来ない男と一緒
ペコ,はいはい
ダージリン,礼儀と品格、聖グロリアーナに必要ではなくて？
