本田未央,おっつかれさまー
凛,じゃあ次はどこを目指すのか？決まってるよね？
未央,ここまではいい？って確認取っといて無視するの、正気を疑うよ
凛,そう。サバンナの頂点……！
未央,薄々勘付いてはいたけどさ？しぶりんバカでしょ？
凛,うん、強さだけを追い求める不器用な生き方……！そういうバカなら……悪くないかもね……！
未央,耳もバカだったかー
凛,もう！バカバカ言わないでよ！未央がそんなだから世界から戦争がなくならないんだよ！？
未央,私の言葉に乗っかってる社会的責任重すぎない！？
凛,とにかく、トップアイドル渋谷凛の次の目標は、百獣の王なんだ
未央,もう好きにしなよ……
凛,でも、ここで1つの問題が発生するんだ。何だかわかる？
未央,しぶりんが話を聞いてくれないことかな
凛,そう、実際にサバンナの猛獣より強いことを証明できない……！
未央,しぶりんが話を聞いてくれないことは現在進行形で証明できてるよ
凛,でも大丈夫。専門家に相談済みだからさ
未央,専門家？
凛,うん、動物と言ったらこの人。市原さんにね……！
未央,仁奈ちゃんのこと市原さんって呼んでる人初めて見た。で、なんて言ってたの？
凛,うん。子曰く……
未央,仁奈ちゃんの立場高くない？孔子？
凛,どうぶつのきもちにちゃんとなったら、めのまえにどうぶつがいるみたいになるですよ！とのお言葉をいただいたんだ
未央,えっと……つまり……？
凛,私は百獣の王予定
未央,？？？
凛,その相手に勝って、私は私の強さを証明する……！
未央,？？？？？
凛,どうしたの？鳩が鉄砲食らったみたいな顔して
未央,それはオーバーキルだよ。ごめんね、これまで以上にしぶりんが何を言ってるのかわからないんだ
凛,つまり、妄想するの！
未央,かいつまんだなあ
凛,こういうのは習うより慣れろ、だよ
未央,習いたくないし慣れたくもないんだけど
凛,まずは小手調べに……
未央,……
凛,Round1：ヒグマ
未央,えっ初手で
凛,未央、イメージしてみて
未央,え？
凛,私たちの目の前にはヒグマがいる。これは大きなチャンスだよ……！
未央,いやいや大ピンチでしょ！？
凛,未央ならどうする？
未央,逃げの一手だけど！？
凛,はぁ……失望の眼差しで深いため息をつき、首を横に軽く振る
未央,急に細かい描写入ったな
凛,教えてあげるよ。倒し方
未央,既視感がわかった。武◯壮だこれ
凛,まず、手持ちのトカレフを撃つ
未央,ずるくない！？
凛,手札は最大限活用しなきゃ
未央,銃でサバンナ制圧して何がしたいの！？オオカミとして戦えよ！！！それ以前にオオカミもヒグマもサバンナにはいないよ！！！！！
凛,落ち着いて
未央,これが落ち着いていられるか！！！
凛,冷静に考えてみて欲しいんだけど、ヒグマに生身で勝てるわけないじゃん
未央,じゃあこの企画は終わりだよ。百獣の王なんて諦めてハナコちゃんと遊んでなよ
凛,なるほど、ハナコを百獣の王に育てようってこと？
未央,小型犬には荷が重いよ
凛,わかった。銃火器の使用は制限する
未央,当たり前でしょ。オオカミの格好が泣いてるよ
凛,大丈夫。私はこの体1つでも十分強いんだから
未央,じゃあなんで銃を持ってたんだ
凛,Round2：チワワ
未央,このチキン！！！！！
凛,む……ちょっと、いきなりそれはないんじゃない？チワワを舐めたら怪我するよ？
未央,なんでチワワの擁護を始めるの！？私が馬鹿にしてるのはしぶりんだよ！？
凛,未央、イメージしてみて。私たちの目の前にはチワワがいる
未央,そろそろ精神疾患も視野に入れて対応するね
凛,どうやって倒す？
未央,しぶりんを？
凛,まず、相手は小回りが効くから、モーションが大きい動きは禁物。ここまではいい？
未央,一応、抵抗はしておくね。全然よくない
凛,そもそも、強さを証明する手段は相手を倒すだけじゃないんだ。相手を屈服させれば、平和的に優位だと証明できる。いきなり暴力でマウントを取るなんてダメだよ
未央,さっき出会い頭に発砲してた人のセリフ？
凛,つまり、初手で選ぶべき最善の行動は、威嚇！
未央,……チワワに威嚇
凛,ぐるるるるるる
未央,虚空に向かってなんか可愛い唸り声を放っているユニットメンバーを見守ることしかできない弱い私をお許しください……
凛,……ふぅ、勝った……！
未央,社会的にはいろいろ負けてることにそろそろ気が付いて？
凛,ふふっ、くすぐったいよ……
未央,え、もしかして想像のチワワと戯れてる？このしぶりんに病名がつかないのは何かの間違いだと思うんだけど
凛,黙って聞いてれば、さっきからちょっと言いすぎじゃない？
未央,いつ黙ってたの？？？
凛,わかったよ。そんなに疑うなら、次は未央が指定した相手と戦ってあげる。特別だよ？
未央,べ、別にそんな権利求めてない……！
凛,ほらほら、遠慮しないでいいからさ
未央,えぇ……
凛,大丈夫、どんな強敵でもかかってきて
未央,そんなこと言われても……まあ弱そうなとこで……。じゃあ……カピバラ……？
凛,なるほどね、カピバ……カピバラ！？さ、流石に気を遣いすぎじゃない！？
未央,あ、あれ？そう……？
凛,そもそもあまり戦う生き物じゃないし……
未央,じゃあ……スズメ……？
凛,空中戦は無理だって！それにしてももっと強そうなのいるでしょ！？
未央,おお……しぶりんがツッコミしてる……！
凛,わ、私は強さで驚かせたいの！そんなところじゃない！
未央,わかったよしぶりん
凛,ふふ、ようやくわかってくれた？
未央,じゃあ、しぶりんが勝てる中で、1番強い相手を教えて？それとの戦いが見れれば満足だからさ
凛,ふぅん……まあ、未央のリクエストする動物じゃないのは残念だけど、それも悪くないね
未央,あわよくば秒で片づけて帰らせて
凛,じゃあ、今から私が強く念じてこの場にその生き物を再現するよ。今回は言わなくても未央に伝わるはずだから
未央,……いやいやいや、全く感じ取る自信がないんだけど
凛,むむむむむ……！！！！！
未央,あっもうダメだ自分の世界だ
凛,むむむむむーん！！！！！
未央,この事務所って念じ方のマニュアルとかあるの？
凛,むむむ……はあっ！！！！！
島村卯月,こんにちは！島村卯月です！
未央,
凛,
卯月,？
未央,……しぶりん、勝てるんでしょ？
凛,い、いやいや！違うって！
卯月,あ！凛ちゃん！その衣装、すごくカッコいいです！オオカミさんですか？
凛,う、うん……
卯月,オオカミさんって、案外おとなしいんですよ！”話し合い”にもちゃんと応じてくれるんです！
未央,なんでオオカミとのエピソードが普通にあるのさ……！
凛,じ、じゃあ、衣装の着心地も確かめたし、そろそろ着替えてこようかな……
未央,うわ！逃げた！
凛,ひ、人聞きが悪いよ未央
未央,ちなみにしまむー、ヒグマってどう思う？
卯月,顎です！
未央,この差だよしぶりん
凛,未央がドヤ顔なのはおかしいと思うけど
未央,で、しまむー
卯月,はい！
未央,今のしぶりん、最強なんだってさ
卯月,そうなんですか！？
凛,み、未央！仕返しのつもり！？
未央,～♪。ま、なんにせよしぶりんもこれで懲りたでしょ？
凛,……まあ、悔しいけど卯月の前じゃ何も言えないね
卯月,何かあったら凛ちゃんに守ってもらいますね！
凛,……身代わりになら
未央,立場がわかってるだけに返しが切ない……！
卯月,もちろん、ふたりが危ない時は私が助けます！
凛,つまり不老不死が確約された……！？
未央,老いはするでしょ
卯月,果たして本当にそうでしょうか！
未央,そこも覆すの！？
凛,ニュージェネは100周年ライブまで睨んでいくよ
未央,勘弁してよ！
卯月,そうですよ！ファンの皆さんが先に逝っちゃいますから！
未央,そういうことじゃない！！！
