広場の時計,ﾁｯ、ﾁｯ、ﾁｯ、ﾁｯ
P,あっ、そうなんだ
杏,なんかクレープとは違うんだって顔をしてる
P,っ！？貴様、心を読んでいるな！
杏,答える必要はない
P,まぁ、そうなんですよ。俺のはずんだ味だった
杏,あー、大豆磨り潰すやつだよね
P,そうそう。元々は大豆のシーズンであるお盆の食べ物だったんだけど、今は年がら年中食える。ウィキにそう書いてあった
杏,あー、それ聞いてたら余計お腹空いてきた。早くどっかで昼ご飯にしよーよー
P,そうだな。俺も腹減ってきた
杏,クレープ食べたのに？
P,別腹別腹
杏,杏もクレープにすればよかったなー
P,まあまたそのうち買ってやるって。…お、そこのレストランに入るか。洋食っぽいけどいいか？
杏,NPだよ早く入ろうよ寒いよお腹空いたー
P,はいはい
ウェイトレス,いらっしゃいませー！お二人様ですか？おタバコはお吸いになられますか？
P,二人で禁煙でお願いします
ウェイトレス,はい、かしこまりましたー！あちらの窓側のお席へどうぞー
P,はいどうもー
杏,メニューメニュー
P,はーっ、どっこいしょっ、と
杏,…
P,…えっ、何その表情
杏,さすがにおっさん臭すぎ
P,ぐっ！
杏,歳考えてよ。さすがにまだもうちょいいけるって
P,ダメですか、どっこいしょはまだダメですか
杏,枕詞のはーっに情感込もり過ぎな辺りがアウト
P,マジかー、そこかー
杏,いや、どっこいしょっが許されたわけでもないけどね
P,ダメかー
杏,ダメだねー。なんなら最後にとまで付けてる辺りが止めだね
P,刺されちゃったかー
杏,どっちかっていうと刺しちゃっただよね
P,まあいいか。人間は老いるもんだし…。オイル…
杏,杏的にはもうちょっと粘って欲しいけどね。…杏はこのクリームパスタにしよっと。Pプロデューサーは決まった？
P,ペペロンチーノの追いオリーブオイルがけ
杏,老いるパスタに老いオリーブ老いるをかけたでしょ今。却下
P,ちぇー
ウェイトレス,ご注文のたらこスパゲティです。クリームパスタはもう少々お待ち下さい
P,お、それじゃあお先に頂こうかな。いっただっきまーす
杏,あーん
P,え？
杏,あーん
P,…
杏,まだ？
P,…ほれあーん
杏,あーんっ。うまー。たらこも良かったねー
P,なんか、こう、雛鳥にエサを与えてる気分だ
杏,ピヨピヨ、杏はヒヨコじゃないピヨ。もっとエサくれ
P,どっちなんだ…
杏,ほら、あーん
P,あー…んぐ
杏,あ、杏のたらこスパ～！
P,いや俺のだから。あーうまー
杏,いいじゃんプロデューサーはクレープ食べたんだから杏にちょうだいよー
ウェイトレス,はーいお待たせしましたー。ご注文のクリームパスタです。以上でお揃いでしょうか？
P,はい、大丈夫です
杏,わーいどうもー
P,ほーらどんどんお食べー
杏,待ってましたー。Pプロデューサー、ほら、あーん
P,えっ？
杏,ほら、クリーム垂れちゃうよ？
P,えっ、あ、あーんっ！
杏,よしよし、一回は一回だからね。貴重な杏のあーんなんだから、良く味わってよね
P,うまい…
杏,うん、おいしい
P,………
杏,…早く飲み込みなよ
P,だって…杏があーんて…
杏,次からは有料でしてあげるからそれは飲みこもう
P,…
杏,…
P,ちなみにいくら？
杏,１億円
P,もっと味わっておけば良かった…。うーし腹も膨れたし目的地まで行くかー
杏,うーお腹がいっぱいで力が出ない…
P,貧弱貧弱ゥー！
杏,プロデューサー、おんぶ…
P,…、いや、いいんだけど、腹がつぶれて中身が…とかは止めろよ？
杏,そこまでではない
P,ほんなら
杏,よじよじ
P,あーらよっと…、これはセーフ？
杏,江戸っ子っぽいからセーフ
P,やったぜ。では出発進行ー
杏,うしうし。牛歩で構わんぞー
P,あいあい。大丈夫か？揺れとかいけるか？
杏,あーうん、今のところ平気
P,今のところって…
杏,いやでもこうしてると思うんだよね。プロデューサーの背中ってさー
P,何さー？
杏,結構乗り心地いいよねー
P,…ほーかいほーかい
杏,あ、プロデューサー、ストップ
P,いたいいたい。何？
杏,あれあれ
P,ん？ゲーセン？
杏,UFOキャッチャー
P,ああ、店の正面にあるね…。ウサギ？
杏,そう、まるで手の平サイズのウサギみたいなぬいぐるみなんだよ。杏はまだゲーセンに進出してないのに先取りされたんだよ？これは調査しなきゃ
P,いやまーゲーセンのプライズは進出予定無いし別に良いのでは？
杏,杏の不労所得計画に果てはないよ。ということでプロデューサー、よろしく
P,え？俺が取るの？
杏,杏、小銭は持ち歩かない主義だから
P,両替機まで運んだるわ
杏,えー？やだやだ取ってよー。UFOキャッチャーでキャトってよー
P,んー？あれ？UFOキャッチャー苦手だったりするっけ？
杏,いやー、別に苦手ではないんだけど…。最近あらゆる戦法に対策が打たれてるからちょっと参考になって欲しいなー、とは思わなくもなかったり…
P,え？実験台ですか？
杏,鉄砲玉とも言う
P,散ってくれと？
杏,骨は拾うから
P,…骨は、海に撒いてくれ
杏,さすがプロデューサー。男前だよ、がんばってー
P,ちょっくら万札崩してくらぁ！。よっしゃああああああ！！！！！
杏,おー！Pプロデューサーすごいすごーい！
ゲーセン店員,おめでとうございまーす！
P,長かった…。長く、つらい戦いだった…。共に戦った英世や諭吉のことを思うと、涙が止まらない…
杏,ありがとうございましたー
ゲーセン店員,いえいえー、おめでとうございまーす。こちら景品を入れる袋となりますが、ご入用でしょうか？
杏,あ、そのままで大丈夫でーす。ありがとうございまーす
ゲーセン店員,はーい分かりましたー。また遊んでくださいねー
P,はい…
杏,Pプロデューサー、ありがとね
P,いや、まあ俺も楽しかったし、いいさ。ほんじゃこれ、どうぞ
杏,うん、ありがと。…よし、バッグに着けたし、準備オッケー
P,ほんじゃまあ再出発しますか
杏,Pプロデューサー、しゃがんで
P,はいよ
杏,よじよじ
P,…あれ？俺を酷使していることについては特にコメントがないの？
杏,プロデューサーも杏を酷使してるから、ないよ？
P,あれでも程々にしてるんだけどなー
杏,ははっ、ナイスジョーク。もっと休みをくれ
P,年末年始は休みにしただろ？
杏,当たり前なんだよなぁ…
P,芸能界ではね、まあ多少はね…
杏,それこそプロデューサーの手腕の見せ所でしょー？
P,よっしゃー来年はもっと忙しくしてやるからなー
杏,そっちじゃない
P,はいとーちゃーくおりてー
杏,うわぁー
P,はいではー、鳥居をくぐる前にいちれーい
杏,はーい
P,真ん中は歩かずー、手水舎でお清めーつめたーい
杏,はーいあ゛ーちべたーい
P,手を拭いたらさんぱーい。ほらハンカチ
杏,うむ、くるしゅうない
P,わざわざ正面避けて横から参らなくても良かったかな…？
杏,三が日も最終日となると、やっぱ空いてるよねー
P,ま、狙い通り狙い通り。…お、さすがに拝殿前はちょっと並んでるな
杏,大人しく並んでゆっくりしよう
P,そうせざるを得ないな。さみーけど
杏,特に、手が冷たい…
P,さっき冷水に付けたからなー。確かに確かに。おーさぶ
杏,プロデューサープロデューサー、手出して手ー
P,え、なんで。温いポッケから出したくないんだけど
杏,いいからいいから
P,…
杏,おりゃー！
P,…っぁー！！！！なんで背中に手を突っ込んだの！？手を出させた意味は！？
杏,フェイント
P,鬼！悪魔！…
杏,あ、あとでちひろさんに言ってやろー
P,いや、待って、言ってないじゃん勘弁して後生だから！
巫女さん,…
杏,大体ポッケに手を突っ込もうとすると、横からだと片手だし、後ろからだとポッケまで届かないじゃん。これは合理的な選択
P,あーもう目立つから程々にしてくださいな
杏,いいもーん、他人は他人私は私だもーん。それに列の中だからそんなに見えないって
P,あーはいはい…
杏,ぬくぬく
P,さぶさぶ…。せいっ
杏,とりゃっ
P,おりゃっ
杏,だらっ
P杏,…。…。…。…
杏,よし、帰ろう
P,いや、おみくじだろ
杏,大丈夫大丈夫、Pは今年も大吉並みの運勢だって
P,ダメだね、毎年これを引くまで俺の初詣は終わらんのだよ
杏,はぁ、しょうがないなぁ
P,よーしよしよし、ここは…お金入れて籤引いちゃうやつか。どれどれ…
杏,早くー次は杏が控えてるんだよー
P,よし、これに決めた！
杏,じゃ杏は…これにしよ
P,じゃせーので開こうぜ
杏,はいはい
P杏,せーの
P,よし、今年も大吉か
杏,お、奇遇だね。杏も大吉だったよ
P,良かった良かった。内容は…願望：他人と共にして吉か。すげー大丈夫そうだな
杏,杏は万事丸投げして良しって書いてあるからプロデューサーに投げるね
P,絶対嘘じゃん願望：努力すれば叶うって書いてあるじゃねーかほら頑張れ
杏,まあ怠けることに全力で努力してるのは間違いないから、問題ないね
P,うーん、大丈夫、大丈夫なのか？
杏,問題ない問題ない
P,俺の大吉、失物は出ずって書いてあるんだけどこれホントに大吉なのか？
杏,夏になったら大が消えるんじゃない？
P,消えるボールペンかよ！。縁談は…身近にあり。大切にせよか。まあ、置いとくか
杏,縁談は…両想い。安心にょわ☆か。まあ、置いとこう
P,まあ、今年は大丈夫だな
杏,だから言ったじゃん。ほら、早く帰ろー
P,ついでだからお守りも買っとくか。お前今年本厄…あれ？前厄だったっけ？まあ厄除けでも買っとこう
杏,えーいいのー？皆に買わなきゃいけなくならなくなくない？
P,権利をー。いや、そういうのはまとめて事務所で買ってあるから大丈夫だ
杏,え？
P,だからまあ、今日付き合ってくれたお礼みたいなもんだよ
杏,だったら飴くれ
P,ほれ
杏,あむあむ。うまー
P,ま、それはそれこれはこれ。ちょっと買ってくるわ
杏,…ちゃんとお礼しないと気が済まないとは、難儀だねー。それとも、特別扱い、してくれるのかな…。まぁ、今でも大分甘やかしてもらってる気はするけど。悪くは、ないよね
バイト巫女さん,ありがとうございます
P,どうもー。あーっべーまじっべーこれもう杏chang大好きアピールじゃんこんなん。でも今日楽しかったしまあいっかー。まあ、もう買っちゃったししょうがないかー。ほい、どうぞ
杏,はい、どうも。何がしょうがないのさ
P,なんでもにゃーよ
杏,ふーん。ま、いっか。それじゃ帰ろー
P,おう。帰りは正面から出ますかね。帰りもくぐったらいちれーい
杏,はーい
P,ほんじゃま帰りますか
杏,え、めっちゃ出店あるじゃん
P,まあまだ三が日だからな
杏,プロデューサー、あれ買って、人形焼
P,おーうしょうがねーなー。あれは？ステーキとか買うか？
杏,ステーキは…顎が疲れるからいいや
P,ほれ人形焼
杏,わーい
P,お、甘酒もあるな。ちょっと買っていくか
杏,杏の分もー
P,はいはい
杏,しょっぱいのも欲しいし、杏は焼きそば買ってくるね
P,あいよー
杏,うまー
P,うまいなぁ。こういう出店の商品ってなんかプレミア感あるから、ちょっと高くても買っちゃうし、うまいよなぁ
杏,閃いた
P,採用
杏,ごめんなさい何でもしまむ…え？マジで？
P,来年…じゃなくてもう今年か。今年の夏にでも各アイドルで出店出すお祭りとかいいかもなー
杏,やったー。杏はくじ引き屋さんにしよ
P,嫌な予感しかしないからきらりと組ませよう…
杏,ヘヘヘ…小数点以下の確率で当たりますって幟を立てるんだ…
P,それ当たんねーやつじゃねーか
杏,あー、結構満喫したなー
P,そうだな、初詣して飯食ってぐらいかと思ってたが、中々楽しかった
杏,ねえねえPプロデューサー
P,ん？どうした？
杏,明けましておめでとうございます。今年もよろしくお願いします
P,明けましておめでとうございます。こちらこそ、本年もどうぞよろしくお願いいたします
杏,へへ…
P,はは…
P杏,あはははははは！
P,そういやー新年のあいさつもしてなかったな。メッセージは送ってたけど
杏,そうだよ。ほんと今更だよ。今日も合流早々怒られるしさー
P,いやあれはお前が悪いだろ？2時間もずっと待ちぼうけだったんだぞ俺は
杏,でもクレープ食べたじゃん
P,食べたけど！食べたけど！
杏,あ、じゃあ帰りにクレープ屋さん寄ってこーよ。で、そのまま杏んちでゲームしようゲーム。世紀末ゲー手伝ってよ
P,いいけどお前んちゲーム機とテレビ1台ずつしかねーじゃん。あれオンライン協力プレイじゃん？
杏,あるよ？
P,へ？
杏,2台あるよ？
P,え？なんで？いつの間に？
杏,クリスマスのプレゼント交換でゲーム機当たったから、ネットでテレビも買った
P,マジかよ…
杏,まあたまに沙南とかPプロデューサーとか来るし、使うかなーって
P,…しゃーねーなぁ、付き合ったるわ
杏,ホント？やったね
P,ホントよホント、このプロデューサー、仕事は呼んでも嘘はつかないとまあ評判でして
杏,その発言がすでに胡散臭い。あと仕事は呼ばなくていいから
P,まあ聞くだけ聞いておこう。さて、そうなると晩飯はどうするかなー
杏,晩御飯はあん肝食べたい
P,はい？あん肝？
杏,そうだよ！冬になったのにまだあん肝食べてないんだよ杏は。これは由々しき事態だよ
P,あーじゃあお前んちの近くの居酒屋でも探すかぁ。海鮮系。個室とかあったかなぁ…。いやでも未成年連れてくなら普通に飯食える感じの居酒屋かなぁ…
杏,うんうん、その調子で杏のためによろしく頼むよ、プロデューサー
P,はいはい、杏もよろしくな
杏,まあ杏は働きたくないけどね
P,え？今の流れはうん！よろしくねプロデューサー！の流れじゃないの？
杏,ないでしょ。それは
P,ないのか…
杏,おっと、…あーまー、ほら、Pプロデューサーが杏の所得を増やしてくれるならまあ協力もやぶさかではないから、ね？
P,あーうん、頑張る、頑張りますよ、そこは
杏,よし、じゃあとりあえずクレープ屋さんに向かって出発進行ー！
P,あいあい。…自分で歩く気はないの？
杏,いいじゃん、杏妖精で軽いんだから乗せてよ
P,そうね、確かに軽いね。じゃーもーいっかー
杏,明るい未来、主にゲーム画面に向かってゴーゴー！
P,ゴー！
居酒屋店員,はい、注文は以上でよろしいですか？
P,はい、よろしくお願いします
居酒屋店員,かしこまりましたー
杏,ねえねえ、Pプロデューサー
P,ん？どうした？
杏,最初から日本酒って普通なの？杏は何となく最初は生ビールのイメージだけど
P,あぁ、ほかに飲む人がいると合わせてそうするけど、杏はソフトドリンクだしな。それにあん肝と言えばやはり日本酒…！というのが俺の好みなんだよ
杏,ふーん、そんなもんか
P,そんなもんです
居酒屋店員,はーい日本酒とコーラです。あとお通しです。おちょこは一つでよろしかったですか？
P,はい、大丈夫です
居酒屋店員,どうもー
P,よし、それじゃ
P杏,かんぱーい
P,うんうん、お通しもおいしいなぁ。お酒も進む
杏,お通しちょっとちょうだい。あともうおちょこ空じゃん。注いだげるよ
P,おお、良いぞ。あ、悪いな注いでもらっちゃって
杏,いやいや、普段お世話になってるPプロデューサーのためならちょっとやそっとぐらいお酒を注いであげるよ
P,いやー、これは酒が進むな
杏,…。ねぇねぇPプロデューサー
P,ん～？なんだ～？
杏,あん肝おいしいね
P,お、そうだな。うまいな。酒もうまい
杏,ねぇねぇPプロデューサー
P,ん～？どした～？
杏,杏に、お年玉、ちょうだい？
P,いやそこに付いてるだろ？
杏,え？…ウサギモドキ？これがお年玉？
P,うん
杏,え？
P,両替機の中に吸い込まれていく諭吉と英世達の表情、お前は覚えてないのか？
杏,いや、それは覚えてる。いつもの顔だったし
P,じゃあ、そういうことだ。今年のお年玉予算はあそこで消えていきました。南無
杏,え～！？じゃあ杏、お年玉もらえないの！？何のためにお酒を注いであげたのさ～
P,俺を喜ばせるため？
杏,ちっがーう…。こうなったらやけ食いしてやるー！店員さん！あん肝追加！
居酒屋店員,はーい！
P,まあ落ち着けって。ほら、そこのバッグの中に…
杏,お酒も杏が飲んでやるー！
P,あ、おいバカ！やめろ！
杏,うるさーい！HA☆NA☆SE！
P,あーっ！！！。お前が、そんなに弱くなくて良かった
杏,ん～？そ～？
P,店員さんも優しくて、良かった
杏,そうだね～
P,一応念のために朝まで居るからな。明日も休みで良かった…
杏,んふふ。そうだね。Pプロデューサー居てくれるもんね。良かった
P,まあ、そんなに飲んでないし、水も大量に飲ませたから大丈夫だとは思うが
杏,Pプロデューサー、杏のお腹、タポタポだよ…
P,…あと、覚えてたら後でカバン開けてみろ。ちゃんとお年玉入ってるから
杏,え？ホント？
P,なんか急にシャッキリしなかったか今
杏,んむにゅう
P,…まあ、いいか
杏,Pプロデューサーの背中は、中々居心地がいいにゃー…
