店員,ありがとうございました！また今後ともご贔屓によろしくお願いしますわ
紗枝,あら？うち、折角作って来たのに悲しいわぁ
モバＰ,え？作って持って来たの？
紗枝,せやで。ぎょーさん作ったさかい一人じゃよー食べきれへんし、持って帰るんも重いし、何よりうちが悲しいわぁ
モバＰ,・・・むぅ、まぁ後でカップ麺でも食おうと思ってたし。頂いてもいいか？
紗枝,はいな、こっち来はったらどうどす？そないな書類いっぱいあらはる机やと食べにくいやろし
モバＰ,・・・そうだな重箱でけぇ・・・どんだけ作ったんだ？。お、コロッケ。俺好きなんだよなぁ
紗枝,あら、そら良かったわぁ
モバＰ,一人暮らしだと中々面倒でなぁ。特に手作りは
紗枝,せやなぁ。うちも作るん大変やったしよー味わって食べてや
モバＰ,おう、頂きます
紗枝,ﾄﾞｷﾄﾞｷ
モバＰ,あむっ・・・。うまっ！
紗枝,ほんまに？
モバＰ,ほんまほんま。すっげぇ美味い
紗枝,ほなうちも頂きます
モバＰ,ソースの染みたのもまた美味い！からしが入っててふわっとからしの香りが食欲をそそるな
紗枝,こういう味付け好きやと思てなぁ
モバＰ,ソースは男の子の味だからな
紗枝,ふふっ
モバＰ,下に敷いてあるレタスが口直しにいいな・・・あむっ。んぐっ！このおにぎり梅だ！
紗枝,はい、お茶
モバＰ,サンキューｺﾞｸｺﾞｸ。ふぅ・・・久々にこんな飯食ったわ
紗枝,あきまへんで？身体は資本なんやさかい
モバＰ,心配かけたな。もう大丈夫だ。ごちそうさｍ
紗枝,なぁプロデューサーはん？
モバＰ,ん？
紗枝,さっきからコレ一つも食べてへんけど・・・
モバＰ,ﾀﾞﾗﾀﾞﾗﾀﾞﾗﾀﾞﾗ
紗枝,お残し厳禁どす
モバＰ,・・・ミスターＰナスキライ
紗枝,片言で言うてもあきまへん。せめて一口だけでも食べぇな
モバＰ,いや、本当に勘弁してくれ
紗枝,食わず嫌いはあきまへん
モバＰ,昔焼きナス食って駄目だったんだよ！
紗枝,お漬物は？
モバＰ,・・・
紗枝,食べたことあらへんやろ？
モバＰ,ノーノー、ナスダメデス
紗枝,はぁ、しゃあないなぁ。はい、あ～ん
モバＰ,・・・
紗枝,あ～ん・・・
モバＰ,・・・
・・・恥ずかしいからはよ食べて欲しいわぁ,///
モバＰ,・・・ﾓｸﾞｯ
紗枝,どない？
モバＰ,・・・・・・・・・・・・・ごめん
紗枝,好き嫌いあんましたらあきまへんよ？
モバＰ,小さい子も居るから出来るだけしないようにはするよ。おっし！仕事続きするか！！
紗枝,・・・。・・・。なぁプロデューサーはん
モバＰ,ん？
紗枝,ちょっと向こう向いてもろてええ？
モバＰ,？・・・まぁいいけど？。これでいいか？
紗枝,こっち向いたらあかんよ？
モバＰ,？
紗枝,///
モバＰ,！？。紗枝？
紗枝,こっち見たらあきまへん！
モバＰ,・・・///
紗枝,///。その・・・元気出はった？
モバＰ,あぁ・・・いや、もう無理！つーかいい匂いと柔らかい感触と溜まってるせいでアレが元気になる！ヤバイヤバイヤバイ！！
紗枝,ふぅ・・・ほな、うちも帰りますさかい。身体にはあんじょう気ぃ付けなあきまへんで？
モバＰ,あぁ、送って行けなくて悪いな
紗枝,かまへんて、ほななぁ
ちひろ,誰か私も居ることに気付いてください・・・
紗枝,さて・・・。・・・コロッケ作ると後片付けがまたしんどいねんなぁ。はぁ・・・。ふあぁぁ
芳乃,ｽﾔｧ
紗枝,芳乃はん、そろそろ起きぃや
芳乃,むにゃあ？
紗枝,芳乃はん、歌鈴はん全然戻ってこぉへんねんけど・・・
芳乃,はてー？それはまた面妖なー
紗枝,折角やさかいそこら辺お散歩でもしまひょか～と思てなぁ。芳乃はんもどないどす？
芳乃,・・・
紗枝,・・・あそこにお茶屋さんあるさかい、寄りまひょか～
芳乃,そうしましょー。果報は寝て待てという言葉もございますー
紗枝,今さっき起きたばっかしやのに、寝たらあきまへんえ？
芳乃,全てはこのポカポカ陽気がー・・・・・・・・スー・・・
紗枝,ほらほら、寝てしまう前にはよ寄りまひょ
芳乃,ふぁぁ・・・春眠、暁をおーぼーえーずー・・・
紗枝,あ、お茶来ましたえ。眠気覚ましに丁度ええかもなぁ？
芳乃,むにゃー・・・いただきましてー。桜餅は道明寺でしてー
紗枝,道明寺？
芳乃,はいー。関西等で食べられるもち米を潰して餡子を包みましたのが道明寺ー。薄く生地を広げまして餡子を巻いたのを長命寺と申しますー
紗枝,そないなもんがあるとは知らんかったわぁ
芳乃,ﾓｯﾁｭﾓﾁｭ
紗枝,そういえば桜餅と言えばなぁ
芳乃,？
紗枝,うちが幼い頃桜餅食べようとしてなぁ。一生懸命葉っぱの部分剥がそうとして昔よー怒られたんや
芳乃,あー。わたしくもーばばさまによく注意されましたー
紗枝,あーやっぱり皆一度はしはるんやねー
芳乃,わたくしもこの塩味を理解するまでは時間がかかりましたー
紗枝,せやけどまだまだうちはこの練り切りみたいに甘いもんの方が好きやわぁ。春やなぁ
芳乃,はいー。わたくしはやはりこういう少し塩気のあるおせんべいの方が好みでしてー
紗枝,芳乃はんは大人やなぁ
芳乃,少なくとも紗枝さんよりは年上でしてー
紗枝,・・・
芳乃,・・・
紗枝,さ、お腹も膨れたし、お時間は・・・
芳乃,どうしてましてー？
紗枝,芳乃はん！急がなもうすぐ集合時間や！
芳乃,ああー。しかしながらお腹がいっぱいで動けませぬー
紗枝,はぁ・・・しゃあないなぁ。一緒に怒られまひょか
芳乃,・・・その心配は無用でしてーﾑｸﾘ
紗枝,？
芳乃,こちらにー。わたくしの後にー
紗枝,芳乃はん！？そっち逆方向とちゃうん？芳乃はん！？
芳乃,ｽﾀｽﾀ
紗枝,・・・
芳乃,ここからはゆっくりー
紗枝,あら？
芳乃,着きましてー
モバＰ,お、どこ行ってたんだ？心配したぞお前ら
紗枝,？？？
芳乃,そなたにもお土産でしてー
モバＰ,ん？桜餅か。じゃあ帰ったらお茶淹れて皆で食べるか
芳乃,それがよろしいかとー
モバＰ,紗枝？どうした？
紗枝,ん？あー、なーんもあらしまへんよ
芳乃,紗枝さんー
紗枝,はいはい、芳乃はん。どないしはったん？
芳乃,先ほどのことはー内緒でしてーﾎﾞｿｯ
紗枝,！？
芳乃,それでは参りましょうー
紗枝,・・・
加蓮,ﾋﾞｸｩｯ!!
紗枝,あら？加蓮はん。お疲れさんどすえ～
加蓮,っは～・・・なんだ紗枝ちゃんか～。びっくりしたぁ
紗枝,？
加蓮,お願ーい。アタシがこれ食べてたのプロデューサーには内緒にしておいてー
紗枝,どないしはったん？
加蓮,いや～、今度のドラマの撮影でさ～、痩せ細った病弱の子って設定なんだけどそのせいでポテト禁止令出されちゃってねー
紗枝,ふふっ、加蓮はんお芋大好物やからねぇ
加蓮,笑いごとじゃないって！仕事中は凜や奈緒、家ではお母さんが見張っててカロリー調整してるんだよ。嫌になっちゃうよ。だからお願い！！凜も奈緒も今別の仕事でプロデューサーは乃々ちゃんと撮影でお母さんのいない今の事務所でしか食べれないの！
紗枝,聞かれたら嘘は付けへんで？せやけどうちは今なーんも見てまへんさかいになーんも知りまへん
加蓮,うんうん。それでいいよ！あ、紗枝ちゃんも食べる？
紗枝,ほな折角やさかい頂きまひょか
加蓮,はい、バターはお好みで
紗枝,はい、おおきに
加蓮,やっぱり新じゃがはいいなぁ。あ、塩と胡椒ここに置いておくね
紗枝加蓮,ﾋﾞｸｩｯ
伊吹,あれ？加蓮に紗枝？どしたの？二人共。あっはっはっは！それで我慢できなくてこそこそ食べてるの？
加蓮,笑いごとじゃないって！超辛いんだから！
伊吹,いや、でも分かる。こういうジャンクなフードって時々無性に食べたくなるんだよ
紗枝,そういうもんやろか？
加蓮,そーいうもんだよ。この時期に新じゃがの味を味わうことが出来ないなんてパルマンティエへの冒涜だよ
紗枝伊吹,誰？
加蓮,まぁ伊吹も食べる？
伊吹,じゃあいいのがあるぞ！炭酸飲料にフライドポテトに偶々見かけたピザポテト
加蓮,分かってるねぇ～。ええいマヨネーズかけて食べちゃえ！。ん～！このサクサクしたポテト！やっぱりこれじゃなきゃね
伊吹,加蓮は皮無し派？
加蓮,皮が付いててもいいんだけどやっぱりどうしても違和感がねぇ。皮無しだったらカリッとして美味しいじゃん
紗枝,うちは皮付きでほくほくの方が好みやけどなぁ
加蓮,へぇ・・・伊吹は～？
伊吹,あ、あれ？アタシの一票で決まっちゃうやつ？う～～～～～ん・・・。塩で食べるなら皮無し。ケチャップとか付けるなら皮有りかな
加蓮,あ、分かる～
伊吹,でもこういうじゃがバターとかは
加蓮,絶対皮付き！
伊吹加蓮,無言の握手
伊吹,そういえば前に早苗さんがさぁ、ジャンクフードばっかり食べてると太る～とかって脅かすんだよね。
紗枝,ﾋﾟﾀｯ
伊吹,運動もしてるしたまになら問題無いのにね～
加蓮,そうそう、プロデューサーも大袈裟だって。ちょっと塩気が強い方が元気になっていいって絶対！
紗枝,ﾌﾟﾙﾌﾟﾙﾌﾟﾙﾌﾟﾙ
加蓮,あれ？紗枝ちゃんどうしたの？
紗枝,な、なんもあらしまへんよ？
伊吹,そう？ならいいけど
加蓮,さ、まだまだあるからどんどん食べよー
紗枝,まぁ食べ過ぎはあかんやろけど少しくらいなら大丈夫やろ
伊吹,そうそう、ポテトとかつまんでジュースとか飲んで、まさに無限ループ！
マストレ,そうだな。いやー、美味い美味い
加蓮,でしょー・・・・・・・・・・・・！？
紗枝,・・・
伊吹,・・・
マストレ,どうした？早く食え。冷めるぞ？大丈夫だ、カロリー計算はきちんとしてある
加蓮,ｶﾞﾀｶﾞﾀｶﾞﾀｶﾞﾀ
マストレ,ヘルモード
加蓮,ｶﾞﾀｶﾞﾀｶﾞﾀｶﾞﾀｶﾞﾀｶﾞﾀ
マストレ,ヘルモード
加蓮,あ、いや・・・たす・・・助け・・・
伊吹,・・・
紗枝,・・・
伊吹,アタシらも控えよっか
紗枝,その方がええかも知れへんなぁ
乃々,あぁ・・・ここがもりくぼのサンクチュアリ。誰もいない静かな森でのお仕事。動物たちもメルヘンで凄くいいです・・・毎回こんなお仕事だったら・・・。素敵なティーセットにお茶菓子・・・これが優雅というものでしょうか・・・。こういう時はお茶を注ぐ時も華麗に・・・。ﾄﾞﾔｧ。へ？
モバＰ,はい！撮影終了！撤収開始しまーす！
乃々,
