地の四天王,以下、地王
火王,……。もう……眠るか。……。……。……起きていると、考えてしまうから。大地の魔女――地の四天王の事を。……。……奴め、私が気付いた事に……気付かないとは。私に正体を明かさなかった。それは……理由あっての事。その理由とは、恐らく……。剣の乙女は……美しいからな。この、醜い顔の私とは違う。男ならば、美しい者を選ぶのは当然の事だろう。それに……剣の乙女は、精神的にも素晴らしい奴だ。……っふ……うっ……！。うぅ……えっ……！。剣の乙女は、気付いているのだろうか？。大地の魔女の正体が、地の四天王という事に。……いや、私には関係無いか。もう、婚約者では無くなるのだから。っ、ふぅっう！ぐすっ！うっ、ううっ、えぇぇっ……！。奴らが、何処で何をしようと私には関係無い。むしろ……私は、邪魔者なんだ。あの二人の――地の四天王の、邪魔者。そう思われて居るなら……。……もう……会えないよぉっ……！
剣の乙女,以下、乙女
火王,……よく気付いたな
乙女,ええ、当然でしょう
火王,……
乙女,もう、この私――剣の乙女に迷いは無いもの。今なら、斬れない物は無いんじゃないかしら？
火王,……ふふっ、頼もしいな
乙女,以前の私だったら、気付かなかったでしょうね
火王,……
乙女,……って、何かあったの！？その顔……
火王,……。剣の乙女よ、最後に一つだけ聞かせて欲しい。関係無いと思いはしたが……。――私は、お前を友だと思っているから
乙女,火の四天王……？。最後って……何よ、それ？
火王,剣の乙女
乙女,……何、聞きたいことって
火王,……。……剣の乙女よ。お前は、大地の魔女のあの姿が――
乙女,――知ってるわ。けれど、姿形なんて……些細な問題でしょう？
火王,……やはり、知っていたのか
乙女,聞きたいことって、それだけ？
火王,ああ、それだけだ
乙女,ねえ……貴女、様子が変よ？
火王,……。……剣の乙女。奴と……幸せにな
乙女,……火の四天王。そんなの、言われるまでも無いわ
水の四天王,以下、水王
祝福の聖女,以下、聖女
水王,もーう！勿体ぶらないで、教えてくださいな！
聖女,えっと……えっとですね……///。チュッとされてぇ……///しっ、しっ、しし舌が……///。それでそれで……///あぅあ、思い出すと……///。――びばばべばびぼびべびば！///
水王,聖女、鼻血！！物凄く鼻血が吹き出してますわ！！。あああ服が！それに、顔が血だらけで！
聖女,ぶうばばまﾞ……ぼべぼびょうべぶべびべ///
水王,何を言っているか、全くわかりませんわ！
聖女,あぶぁ？。……。
水王,しゅ……祝福の聖女――っ！？
聖女,……す、すみません……ご迷惑をおかけしました
水王,もう！興奮して鼻血を出すだなんて、ウブすぎますわ！
聖女,その……後から冷静になって思い出すと……ですね///
水王,！？水よ！。――そんな事では、先が思いやられますわ！。この先、もっと凄いことをするんですから！
聖女,は……はの……。みふへ、はなへんは……
水王,水で鼻栓をしないと、また倒れてしまうでしょうに！。結婚までに、何とかしないといけませんわね……
聖女,……あい
水王,けれど、私……しばらく来られそうにありませんの
聖女,ほうはんへふは？
水王,火の四天王が――
聖女,？
水王,――婚約を発表したんですのよ
聖女,え――っ！？。それ、本当なんですか！？
水王,以前より、結婚を申し込まれていた――。――赤龍王と。まあ……所謂、政略結婚ですわね。けれど、これで火の領地は一枚岩になりますわ。その、正式な発表の場に招待されましたの
聖女,へええ……でも、結婚ですか！。それは、とても素晴らしいことですね！
水王,どうなんでしょうね？。噂によれば、火の四天王の魔力が急激に弱まり……。……その話を受けざるを得なかった、という事ですけれど
聖女,えっ、どうしてですか？
水王,龍族は、力を至上としていますもの。そのトップが弱いとなれば、抑えがきかなくなってしまうの。本当、野蛮で困りますわね！。私の水で、全て飲み込んでしまいたくなりますわ！
聖女,あ……あはははは……
水王,けれど……結婚、良いですわよねぇ
聖女,はい……羨ましいです
水王,ああっ！地の四天王が戻ってくるのが、待ち遠しいですわ！
聖女,…………そう、ですね
水王,……祝福の聖女よ。式には、来てくださいましね！
聖女,……。は……はい……。一体……なんの式になるんでしょうか……
