渋谷凛,あ、穂乃香。おはよう。
柚,でも、Pさんにも言われたし♪
穂乃香,……っ！！。やっぱり、脅されてるんですね。プロデューサー、絶対に許せない。私じゃ、駄目ですか……？
柚,？
穂乃香,私じゃ頼りになりませんか……？
柚,何のことだろ？…、演技の練習のことかな？。気持ちは嬉しいけど、相手は大人の男性だからねー。ちょっと、穂乃香ちゃんじゃ……。流石に、役に合わないと思うけど。
穂乃香,……。大人の男の人だから、報復が怖いってことなんですかね……そうですよね、下手に動いて失敗したら、もっとひどいことされるかもしれません。なんと浅はかだったのでしょう……私は……。なら……。……ちひろさんとか、木場さんとかに相談してみたらどうでしょうか？
柚,んー、ちひろさんに相談したらPさんを頼ったらって言われたんだけど。
穂乃香,嘘……。
柚,多分ほかの人もみんなそう言うんじゃないかな？
穂乃香,……！！。そんな……ちひろさんまでグルだなんて……。やっぱり鬼や悪魔という噂は本当だったんですね……。まさに守銭奴……許せません！。柚ちゃんは……辛くないんですか？。無理やり……そんなことさせられて。
柚,無理やり？なんのこといってるんだろー？。……あぁ、Pさんに無理やりコントの仕事やらされてるって、勘違いしてるのか！！。Pさんのために、誤解を解いてあげよっ！。うーん、中々大変だけどね、やってみると結構たのしいよっ！
穂乃香,えっ！？
柚,？
穂乃香,え、た、たたたたのし……。
柚,無理やりじゃなくて、むしろノリノリーって感じでね！
穂乃香,。え……どういうこと？楽しいってことは、つまりあれが楽しいわけで……。あれっていうのはつまり、男のひとのあれが……。女のひとにああして、あの……。……。
柚,わわっ！どうしたの穂乃香ちゃん顔真っ赤だよ！？
穂乃香,いえ、だ、大丈夫です……それより楽しいって……。
柚,小さい頃からお笑い番組
穂乃香,ち、小さい頃から好きだったんですか……？
柚,うん、家族みんなで見て笑ってまーったりするでしょ！穂乃香ちゃんの家はしなかった感じ？
穂乃香,そ、そんなことしませんよ！非常識ですよ、そんなの！！
柚,え？そうかなっ？。そういえば、穂乃香ちゃんバレエやってたんだっけ。親厳しそうだし、バラエティとか見れなかったのかな？。
穂乃香,そ、そういうのは人前でやることじゃあないと……。
柚,でも、どうせ本番はみせるし……。
穂乃香,見せないですよ！！
柚,野外ライブ
穂乃香,野外！？
柚,難波ちゃんとかみくちゃんとか、近くでやってるから、よく見てたみたいだよっ！
穂乃香,あの人達何やってんですか！。前川さん……失望しました。それにしても……。柚ちゃん……かわいそうに、ひどい虐待を受けてきたんですね……。私が、助け出さなきゃ……！！。とにかくやめましょう、こんなこと。続けても苦しいだけですよ！
柚,え、でもPさんが凛ちゃんも下積みでこういう仕事やってたって。みくちゃんも他のみんなも。こういうことコツコツと続けていくことがシンデレラガールに繋がるって……。
穂乃香,そ、そんな……。あっ……そういうことだったんですね……。一人であんなにプロデュースできるのは凄すぎると思っていました。いくらドリンクがぶ飲みしてても人間業じゃないのでは、と。でも、そうじゃなくて……こういうことだったんですね。きっと、いずれ私も……。
柚,それに、評判がよかったらまた呼んでもらるかもっ！！。次は穂乃香ちゃんと一緒にできるかもよ？
穂乃香,……。やっぱり……。
柚,私も穂乃香ちゃんといっしょにやりたいなっ♪
穂乃香,エンッ！？。今、何て……。
柚,あっ、忍ちゃんもいいよね！三人で絶対！
穂乃香,！？！？！？！？！？！？。さ、さんにん……私たち、友達ですから……そういうのは……。
柚,友達同士っておかしいかな？
穂乃香,普通ではないと……。
柚,でも、Pさん高校時代、友達のやってたって！
穂乃香,ブフォッ！？
柚,結構ウケてたみたいだねー！
穂乃香,えぇ……。意外に受けなんですか……大西さんに教えておこう…。で、でも、私たち女の子どうしですし……
柚,Pさんは同性の方が気を使わないから
穂乃香,うわぁ……
柚,それに、女の人の芸人は男の芸人より
穂乃香,そうなんですか？
柚,うん、卯月ちゃんなんて毎週やってるよ？
穂乃香,ええっ！？。嘘、うちの事務所乱れすぎ……！？。いや、でも、私やり方とか……。
柚,んー、そうだねー。じゃあ、穂乃香ちゃんに突っ込む方やってほしいかな？
穂乃香,え！？つっこ、つつつつっこむ！？。そ、そそそそんなの、私むりです…！！。だって、無いですもんね……。
柚,似合うとおもうけど
穂乃香,無理ですよ！
柚,じゃ、柚が突っ込んであげよー！。この間、難波ちゃんに本場のツッコミを教えてもらったからね♪
穂乃香,ええええええ！！
柚,まぁ、女の子相手だからツッコミ
穂乃香,そういう問題じゃないです！！
柚,ハリセンとかで突っ込むのもあるけど、そういうのはいいでしょ？
穂乃香,ハリセン入るんですか！？
柚,Pさんは学校祭でスリッパやバットとかつかったて！
穂乃香,レベル高すぎますよ！。……。……そ、その。
柚,なーに？
穂乃香,その、柚ちゃんは……私と…その……したい、ですか…？
柚,うんっ！！ずっと、一緒にやってきたからね！
穂乃香,……。柚と忍ちゃんと穂乃香ちゃんと三人でっ！
柚,本当は、初めての全国放送
穂乃香,……っ！！
柚,ずっと見てきたし、いつも一緒にいたから……本当はあれだけど……。友達として。変……かな？
穂乃香,……。私は無力です。私に柚さんを助けることはできない……。圧倒的な権力、理不尽なこの世界のルールに歯向かうことはできません……。でも……柚ちゃんの気持ちを紛らわせてあげることはできるかもしれない……。だから……せめて……。わかりました……。私……いいですよ。
柚,え、ホントっ！？
穂乃香,はい……。
柚,へへっ、やったー！！
穂乃香,私には、それくらいしかできませんから……。
柚,？
穂乃香,いえ、何でもないです。でも……私、初めてなので……よくわからないんですが……。
柚,大丈夫、だいじょーぶっ！基本的なことは教わったから！
穂乃香,……はい。
柚,じゃ、早速だけどちょっとボケを
穂乃香,え……。ここで……ですか！？
柚,まずかった？
穂乃香,こういうのはもっとちゃんとした場所で
柚,へぇー……。そんなに場所って大切かな？
穂乃香,そっか……柚さん、こんな所で初めてを……。私、自分のことしか考えていませんでした……。うん……柚ちゃんと苦しみを分かち合うってきめたから。わかりました……始めますね……。
柚,……。
穂乃香,……。
柚,……。ええええええええええええええええええっ！？。ちょっと！？穂乃香ちゃん、ストップ、ストップ！！
穂乃香,止めないでください……もう、覚悟は決めましたから！
柚,いや、え？覚悟？何？
穂乃香,もう、一人で抱え込まなくていいんですよ。
柚,何が！？穂乃香ちゃん意外とおっき……じゃなくて、まずいよ、こんなところで……。
穂乃香,私なら大丈夫ですから、ね？
柚,私が大丈夫じゃ……。
穂乃香,脱がせてあげますね。
柚,や、やめて…ちょっと、ほんとに。
穂乃香,私がきれいにしてあげます。
柚,うわあああああああああああああああ！！。なーんだ、勘違いかっ！
穂乃香,……//
柚,いやー、てっきり穂乃香ちゃんがそういう趣味かと……。
穂乃香,ち、違いますよっ！！
柚,ほんとびっくりしたー。
穂乃香,……。本当にごめんなさい。私、一人で思い込んで……プロデューサーやちひろさんのことまで疑って……。柚ちゃんにまでひどいことを……最低です。
柚,いいよっ、そんな気にしないでさっ！
穂乃香,でも……。
柚,大丈夫ったら、大丈夫っ！。それに、気持ちは嬉しかったから。
穂乃香,……。
柚,私のこと、そこまで大事にしてくれてるなんて……。ありがとねーっ♪
穂乃香,あっ……。……友達ですから。
柚,へへっ……そうだね。……大好きだよ
穂乃香,わ、わたしも……好きです……。
忍,はぁ、お仕事疲れたなー。でも、やっぱりアイドルって楽しいかも！。穂乃香ちゃんと柚ちゃんとも出会えたし！。うーん、この時間なら二人共もいるはず！。ちょっとだけ、顔だしていこ！。いるかなー？いるといいなー。ただいまーっ！柚―！ほー……
柚,へへっ……大好き
穂乃香,わ、わたしも……好きです……。
忍,……のー……か？
柚,あ。
穂乃香,あ。
忍,え、え、え、え。
柚,ちょっと、穂乃香ちゃん！その格好！
穂乃香,え！？……あっ！！
忍,あわわわわわわ
柚,あ、ちょっと誤解だって……いてっ！。うわっ……なんでこんなところにぴにゃこら太が……あ
忍,うぅ……。
柚,やばいっ！。忍ちゃんの上に覆いかぶさってしまった……。
忍,あの……私はノーマルで……。
柚,ちょっと、誤解だってば！穂乃香ちゃんもなんとか行って！
穂乃香,ぴにゃこら太ーーーーーーーーー！
柚,あ、だめだこりゃ
忍,ひぃっ……許すてけろ……。な。な。……なんでもしまむらぁぁぁぁぁぁぁぁぁぁ！
島村卯月,ん？
卯月,今、なんでもしまむらって言ったよね？
フリルドスクエアで、柚と忍への敬称が,さん
