くるみ,めぐねぇぇぇぇぇ！！！！！
解説,善良な皆さんはたとえ酔っぱらっても天井に乗るなんて真似はしないように
実況,寄り付くゾンビなど何のその、車で走ってやってきたのは、ショッピングモールのようです！
解説,普通に生きている間はゾンビだらけでなかなか近づきがたいですが。ゾンビの敵ではない佐倉選手には、汚れているだけのただのお店でしかないですね
実況,佐倉選手、ショッピングモール内も快走を続けています！いったいどこに向かうのでしょうか！？
解説,審判団も走らないとゾンビの餌食になるので必死に走ってますね
実況,さて佐倉選手、食品コーナーで缶詰を大量購入、生活品コーナーでガスコンロ、花火、ライター。そして女性服をこれまた大量に購入しました！！
解説,誰も見ていなくて時間も限られているのに、ちゃんとレジにお金を置いて行っているの、非常に好感が持てます
実況,審判団も荷物をもって選手をサポートしているようです
めぐねえ,これであの子たちの生活の足しになるかしら…。………。……！？
実況,ああっと！！佐倉選手、突然走り出しました！上の階に向かうようです！！
解説,何か買い忘れたものでもあるんですかね
めぐねえ,確か…。確か…ッ！。上から女の子の声がした…！
実況,これは…！？。倉庫…でしょうか？その入り口に十数体のゾンビが固まっています！！
解説,扉をこじ開けようとしてますね
？？？,やめて…！来ないでっ…！！
めぐねえ,やっぱり、あの中に生存者がいるのね…高校生くらいかしら…？。こういう時は…
実況,おや、佐倉選手、助けに行くのでなく引き返していきます…
解説,時間もありませんしね…苦渋の決断で引き返したのでしょう
実況,いえ…何かを取り出しt…あれは打ち上げ花火ですね
解説,あ、何となくやる事想像ついたかも
めぐねえ,これくらい、の距離でいいかしら。よし、点火
実況,これはっ！！吹き抜け部分で打ち上げ花火を打ち上げました！！
解説,ゾンビは大きな音に寄ってきますからね、ほら、寄ってきた
実況,吹き抜け部分が続々とゾンビのたまり場と化してきています！！
めぐねえ,学校に連れて帰る、までは時間的に無理ね…。審判さん...ちょっと飛ばしますよ…？
実況,佐倉選手、また走り始めました！っと、速い！！先ほども速かったのですが、比べ物にならない！！。審判団も必死についていきますがゾンビのたまり場を抜けていくわけですから、ヒヤヒヤどころでないでしょうね
解説,安達主審見てくださいよ、もはや気味悪い笑みなんか浮かべて走ってますよ
実況,さて、佐倉選手、学校に到着しました！車を降りてまたすぐ快走を見せます、とてつもないスタミナです！！！
解説,安達主審、また乗りあぶれてましたね
実況,佐倉選手、1階ロビーを高速通過、バリケードを軽々と飛び越えて、向かったのは…
解説,学園生活部、とかいてありますね
めぐねえ,そこの方、缶詰はそこにお願いします。花火の袋に入っているのはその棚に、衣服類は隣の準備室にお願いします
安達主審,…
めぐねえ,安達さんもお疲れ様です…はい、これ
安達主審,…？。…
めぐねえ,お仕事もうすぐで終わりですから、頑張ってください
安達主審,！？
実況,佐倉選手が主審に渡しているのは…リポ○タンDでしょうか？
解説,安達主審、絶対すぐには飲まないですよ…絶対しばらく残しておくやつだ…
実況,審判の買収ともとられかねないプレーですが、佐倉選手に限ってそんな気もないでしょう
解説,運も実力の内、なら審判を味方につけるのも実力の内ですよ
めぐねえ,………。あと、8分…。…
紙,学園生活部のみんなへ………佐倉慈より
めぐねえ,…。さよなら…みんな…。……ッ！！。ここには抗ウイルス薬があり。備蓄用食材もある。最終的にあの子たちが物資を求めてここを訪れるでしょう。ここだけは奴らに荒らされないよう死守しないと。死守、しないと…。たぶん、奴らになってしまったら今の記憶もなくなる。でも潜在意識に何としてでも残すのよ…。何としてでも…。………。…。そろそろ、ね…
実況,さて、副審が事故当時の態勢になるよう指示しています…っと、副審が指示している！？
解説,主審の安達氏なら、後ろの方で号泣していますよ
実況,…あまり言わないようにしていたのですが、安達さん、主審向いてませんよね…
解説,実況がそれを言ってはいけない、それを言うのは解説の役目です
実況,はぁ…
めぐねえ,あと30秒なのね…。………。みんな、さよなら…。………。………。みんなの事、忘れたくないけど…。たぶん…。………。むり…
