第8話,ひとはパンのみにていくるものにあらず。でもパンは食べる
裕美,あ、まあそりゃそうだね。ごめんね
ほたる,いえいえ
千鶴,●REC
光,それならおすすめの店があるよ泰葉さん”
泰葉,あ、光ちゃん、お疲れ様
ほたる,ああ...泰葉ちゃんが...膝から
裕美,多分今のはなかったコトにできてないと思うよ
光,大丈夫！疲れてる時は休むのも大事だよ泰葉さん！
千鶴,オススメのお店ってどこなの？
光,えっと...場所がね...？
泰葉,とまあ、こんなことがありまして
P,南条さんオススメなんだ。そら楽しみだわ。じゃあ入ろうか
泰葉,はい
店員,こちらのお席どうぞ
泰葉,あ、はい。ありがとうございます
P,...あー、やっぱりか
泰葉,...知ってました？
P,来たことはないけど南条さんおすすめってあたりでそれ絡みかと思ってた
泰葉,確かに
P,まあ、こういうのもいいんじゃないか？
泰葉,そうですね
P,えっと...ビールと...
泰葉,飲む気満々じゃないですか
P,チョリソーあるじゃん、コレとビールとステーキと...
泰葉,えっと...牛すじとかありますね...サラダも欲しいかな...あ、セットあるんですね.
P,...それでいくか？
泰葉,そうですね...じゃあ...よし、大丈夫です
P,じゃあ呼ぶか、ステーキちっちゃい方でいいな？
泰葉,そうですね。大きい方は多分無理です
P,じゃあすいませーん！
店員,はーい
P,えっと...まず生ビール中と烏龍茶で...チョリソーとバリーステーキ200gのほうのセットを2つお願いします
店員,かしこまりました、焼き方はどうなさいますか？
P,泰葉は？
泰葉,...えっと
P,生っぽいのがいい？それともガッツリ焼くかどっちがいいって話だから...
泰葉,プロデューサーは？
P,ミディアムレアだな
泰葉,じゃあ私もそれで
P,ミディアムレア2つでお願いします
店員,かしこまりました。生ビールと烏龍茶はお先おもちしてよろしいでしょうか
P,お願いします
店員,少々お待ち下さい
泰葉,...なんというか、あれですね。流れるような注文でしたね。来たことあるんですか？
P,いや？...俺言うほど特撮興味ないしなあ、初めてだよ？
泰葉,それであの流れるような注文...これが...ひとり飯の熟練者...
P,寂しいこと言わないでくれないか？
泰葉,あ、ごめんなさい
P,別にいいけどな、今日は泰葉がいるし
泰葉,ちなみに
P,ん？
泰葉,楓さんとはいかないんですか？
P,俺が潰されるのよ...いやまじで
泰葉,ああ...
P,うっかり変な事言わないようにしないと、それに
泰葉,それに？
P,アイドルと出かけるっていうのはそれなりに気を使うのよ。こっちはね
泰葉,...そういうものですか？
P,そういうものです
店員,お待たせしました。烏龍茶とこちらビール。チョリソーととセットのサラダでございます
P,ありがとうございます
泰葉,ありがとうございます
店員,ステーキはもう少々お待ち下さい、失礼いたします
P,さて...泰葉
泰葉,はい？
P,乾杯
泰葉,...乾杯
P,ふーっやっぱりビールだわ...ん？どうした泰葉
泰葉,もうちょっとロマンチックになりません？
P,ここじゃ無理じゃねえかな...
泰葉,確かに
P,まあ、そういうロマンチックなのは...そのうち行こうか、連れてってやるよ
泰葉,本当ですか？
P,おう、とりあえずアメリカン...メキシカン？を楽しもうぜチョリソーとサラダ食べよう
泰葉,じゃあ失礼して、サラダいただきますね
P,どうぞどうぞ...まあ俺も食うけど。どうよ？
泰葉,......思ったより辛かったです
P,そっか、俺も一つ...あーこれはビールだな
泰葉,そんな感じですね
P,なんか、姫川さん好きそう
泰葉,あー......。私が大人になったら飲ませてくれますか？
P,全然いいぞ、色んな人誘って盛大にやるか？
泰葉,二人がいいです...プロデューサーの行きつけの店で
P,...ああ、わかった
店員,お待たせしました。バリーステーキとライス並でございます。ご注文は以上でお揃いですか？
P,ああ、後コーラと......烏龍茶でいいか？
泰葉,あ、はい
P,あー自分で味付けするんか、海苔にロゴがはいってたなんかいいなこれ
泰葉,そうですね...お醤油が良いんですかね？...海苔だし
P,とりあえず食べようか...いただきます
泰葉,いただきます
P,感想は？
泰葉,すごい...お肉！って感じです
P,同じ意見だな...うまいなこれ
店員,お待たせしました。コーラと烏龍茶です
P,あ、どうも
泰葉,ありがとうございます
店員,ごゆっくりどうぞ
P,よし、食べるぞ
泰葉,はい
P,泰葉？...口に出さなくなったけど...今度は集中してるな、まあ幸せそうだからいいけど
泰葉,ごちそうさまでした
P,ごちそうさまでした
店員,こちらセットのコーヒーでございます
P,...最後までアメリカンだわ
泰葉,そうですね
P,しっかし...堪能したわ
泰葉,はい、美味しくて楽しかったです
P,...間違ってないな。出るか
泰葉,はい
P,色々あったが楽しかったよ
泰葉,はい、私も楽しかったです。寒いんでくっついていいですか？
P,スキャンダルになるとうるさいからダメ
泰葉,むー...
P,泰葉？
泰葉,これくらいなら平気でしょう？
P,まあ泰葉がいいならいいけど
泰葉,手とかつないじゃダメなんでしょ？
P,まあな。帰ろうか
泰葉,はい
