モバP(以下P表記),これなら女神にも負けませんね
保奈美,ふふっ。なんとでも言いなさい。貴方はこれから私と一緒にブライダルの撮影をするの！そして電車とかの広告で二人の姿をみんなに見せつけるのよ！！
P,よくも、よくもそんな酷いことを！
保奈美,もう手遅れよ！さぁ、楽しい愉しい撮影会の始まりよ！！
P,こんなのは嘘だああああああああああああああ！！！
D,もうかなり時間過ぎてるんでいいかげん始めさせて貰ってもいいですか？
P保,あっはい
D,いやー良い構図が撮れました。二人とも最後は凄い良い笑顔でしたよ
P,はは……それは良かった
D,お疲れですね、無理もない。来週また写し送りますので、何かあれば連絡ください
P,公開は再来月ですかね？
D,そうなりますかね。詳しい日程はこれから決めますので、それも合わせて送付しますよ
P,わかりました。今日はありがとうございました
D,いえいえ、こちらこそすみませんでしたねノリノリで騙しちゃって
P,ええ。今度一緒にお仕事する時は覚悟してください
D,それは楽しみだ
PD,ははははは！！
P,(次はお淑やかに写した茜で申請しよう)
D,(次はまた西川さんを指名しよう)
P,ふぅ、それじゃあ保奈美さん帰りましょうか
保奈美,そうね。ふふ、今日は本当に楽しかった
P,それは何よりです。おかげさまでこちらの体力と精神がガリガリ削られましたけど
保奈美,お互い様よ。悪ノリしたカメラマンのせいでこっちもいっぱいいっぱいだったんだから
P,だんだん密着した構図が多くなっていきましたもんね。一歩間違えばセクハラですよアレ
保奈美,……まぁきっと私の意を汲んでくれたのだろうけど
P,あっ、そうそう。今度一緒に男優さんの事務所に行きますからね。なんだかんだで上手く終わりましたけど、あちらに悪い事したのは変わりありませんから
保奈美,そうね。一度謝罪の電話はいれたけど、菓子折持ってきちんと謝らないと
P,もう二度と御免ですよああいうの。写真撮ったり撮ってるのを見るのは好きですけど、どうも撮られるのは好かない
保奈美,でも最後の方ノリノリだったじゃない
P,勢いで乗り切っただけです。あの勢いがなければキャパオーバーで倒れてましたよ
保奈美,……ふーん、そう
P,まぁいい経験でしたけどね。二度とないかもしれませんし、ああいうの
保奈美,それなら大丈夫よ
P,え、どういう意味です？
保奈美,大丈夫ったら大丈夫
P,……？？
保奈美,Pさん、やっぱり今度のオフに付き合って貰うわ
P,また突然。お詫びはさっきので済んだのでは？
保奈美,なによ、なんでもするって断言できるくらいには、Pさんも余裕あるんでしょ？
P,まぁそうですが……そうですね。いいでしょう、付き合います
保奈美,あら、思ってたより素直なのね
P,そりゃ、いい経験させてもらいましたから。保奈美さんの横で、タキシード着て。一緒に写らせて貰ったんです。こんなの、お金払ってもできる事じゃないですよ
保奈美,………ふふっ。そうね
P,なので、その代わりに。お高いスイーツでも服でも、なんだったら遊園地でも
保奈美,ありがとう。でもそういうのがいいって訳じゃないの
P,なにか欲しいものでも？
保奈美,今度、藍子ちゃんと新しいカメラを買いに行くの。本当は付いていくだけだったけど、自分でも買ってみようかなって。でも、私使い方とかよくわからないから。まずは慣れるまで、身近な人と沢山撮って練習したいの
P,……、つまり？
保奈美,だから、その……別に特別な所じゃなくていいから。私と一緒に沢山写真……撮りましょ？
P,……それくらいなら、喜んで。それにしても、今日はホントいっぱい写真撮られましたね。もう一生分撮られた気分ですよ
保奈美,こんなのまだ序の口よ。本番だったらこの倍以上は撮られるわよ
P,想像つきませんねそれ……しばらくはカメラを見ると表情が固くなりそうです
保奈美,最初の方は固い固いって言われたものね。ちょっとずつ慣らしていきましょ
P,まぁ、仮に本番があったとして、どんなに慣らしても表情固まっちゃう気がしますが
保奈美,予行演習もしたんだもの。きっと大丈夫だわ
P,あれは予行演習と言えますかね？
保奈美,言えるわよ。だって……。全く同じ場所で、同じ衣装で。同じ二人だったら、きっとまたあんな風に写真が撮れるわ。絶対
因みに珠美ちゃんもハッピーウェディングで出てたので保奈美さんと絡めつつネタにしようと思ってたんですけど、キャラが強烈過ぎて今作の流れでは俺の手には負えませんでした。いつかリベンジしたいと思います。(だってあの子,結婚も出来る年齢
