若干闇抱えたＰ(以降Ｐ表記),………寒い
Ｐ,ちょろい、ちょろすぎる。最近甘やかしすぎなのかなぁ……まあいいか。別にまだ勝手に合鍵作ったりベッドの中に隠れてたりするレベルじゃないし。さてと、じゃあ俺は本命のラーメンを…。やっぱり外は寒い！
乃々,店内が暖かかった分温度の高低差が容赦なく無慈悲にか弱い森久保に襲い掛かるんですけど！
Ｐ,急いで事務所に帰るぞ森久保ぉ！
乃々,ま、待って欲しいんですけどっ森久保今モコ久保なんで走れないんですけど…っ！
Ｐ,ええい、しゃらくせぇ！
乃々,ひゃんっ！
Ｐ,暖房付けっぱなしにしてるヌクヌク事務所が俺を待ってるんだぁ！。千川にバレるまえに戻らねばぁ！
乃々,っていうかプロデューサーさん速っ！ちょっ、森久保若干浮いてるんですけど…！
Ｐ,帰ってきたぞ森久保ぉ！
乃々,もりくぼも一緒に帰ってきたんですけど…
Ｐ,おお、やっぱ暖房つけっぱで出かけて正解だったな。事務所超ぬくい。暖かいのは正義。じゃあ早速ラーメン作るぞ森久保ぉ！味噌と醤油どっちがいいんだ森久保ぉ！ぼののぉ！
乃々,さ、寒さでプロデューサーさんのテンションがおかしくなってるんですけど……。…あ、サッポロ一番買ったんですね…
Ｐ,インスタントラーメンの王者だからな、サッポロさんは。たまに食べるサッポロ一番は無敵すぎだろ。インスタントラーメン界の範馬勇次郎、袋ラーメン業界の悪魔将軍、ジャンクフード界の桐生一馬と数々の異名を誇る絶対王者様だ
乃々,どの異名も初耳なんですけど…どこで言われてる話ですか、それ…
Ｐ,たった今俺が名づけたからな
乃々,世界一どうでもいいんですけど
Ｐ,一応全種類買ってきたから何でもいいぞー。んでどうする？味噌か醤油か、それとも塩か？はたまたチャルメラか？
乃々,最後種類が変わってますけどぉ！？
Ｐ,ちなみに俺は味噌に卵を落とす派だ
乃々,…あぁ、わかります
Ｐ,出来上がる直前に鍋に直接卵落としてちょっとしたポーチドエッグ状にして、途中で黄身をつぶして麺とスープに絡める派だ
乃々,
Ｐ,卵入れるなら醤油もアリだよな。塩はやっぱプレーンでいきたいよなぁ
乃々,も、もりくぼは…どちらかと言えば、塩派ですけど…
Ｐ,一応ネギやメンマも買ってきたぞ。ネギ刻んで入れるか？それともゴマ油で軽く炒めて入れるか？
乃々,寒いしお腹空いたしなんでもうどうでもいいんですけど
Ｐ,はいよ、じゃあちゃっちゃと作るわ。コタツにでも入って待ってなさい。よっしゃ行くぜぇチャルメラぁ！
乃々,この流れでそれをチョイスするんです！？
Ｐ,まずはお湯を沸かすのでごぜーますよ。さて、醤油や塩か味噌か……これはいくらでも悩んでいられる選択だな…。いっそ数種類同時に作っちまうかな
乃々,…え、選びました…？
Ｐ,んー、まだ決められん。ってかコタツにいればいいだろ。給湯室寒いだろ
乃々,こ、コタツ暖まるのに時間かかるので。ここなら、ガスの火で暖かいですから
Ｐ,まあ、いいんだけどさ。危ないからガスコンロには近づくなよー。ウチもＩＨにすればいいのになぁ。小さい娘とかもいるんだし
乃々,ふ、二つ作るんですか？
Ｐ,ん？ああ、どれにするか決められないから２種類やっちまおうかって。森久保はどれがいい？味噌か醤油か塩かヤサイニンニクアブラマシマシか
乃々,選択肢増やさないで欲しいんですけど。そこのラーメンは森久保には一生無理ですから、むーりぃーですから
Ｐ,腹減ってるから卵入れたいしなぁ…醤油か味噌にするかな
乃々,あ、じゃ、じゃあ…森久保味噌がいいです…
Ｐ,卵は？
乃々,出来上がり直前に、お願いします…
Ｐ,ウィ。じゃあもう１つは醤油にするか。お湯も沸いたんで投入するぜぇヒャッハァー！
乃々,…プロデューサーさん、先に粉末スープを入れるんですね
Ｐ,森久保は麺が茹ってから入れるタイプか
乃々,だ、だって…味が濃くなっちゃうんですけど…
Ｐ,濃い目が好きなんだよ俺。麺にしっかりスープの味つけたいんだ。濃さは水の分量で調節できるしな
乃々,あ、あと…森久保は麺、固めが好きです…
Ｐ,それは同感だ。あぁ～…こうやって火にかけてる鍋の前にいると暖かいよなぁ…
乃々,コタツと暖房の電気代…無駄なんですけど
Ｐ,自宅じゃないから無問題だ。おっと、油断するとすぐ鍋噴くから気をつけんとな、インスタントラーメンてのは。ちょっと火を弱めて……おお、いい感じに麺がほぐれてきたな
乃々,…あれ？醤油と味噌、麺の形が違うんですけど…？
Ｐ,ん、知らなかったか？サッポロ一番は味によって麺も全然別物なんだぞ
乃々,え、初耳なんですけど
Ｐ,たとえばほら、醤油は若干麺が平べったくて、麺自体に醤油が練りこまれてるんだ。塩は丸麺であっさりスープが引き立つようにコシも強いとか、な。醤油の麺はスープがよく絡むように断面が四角型なのに対して味噌はスープを染みさせるために楕円形になってるとか、芸が細かいんだよな
乃々,す、凄いんですけど…さすが技術大国、変なところに全力投球です…
Ｐ,なぁ、大好きだよ、日本のこういうところ。よーし、出来上がるぞー。器の用意をするんだ森久保ぉ！
乃々,器の用意出来ました…な、なんでこの事務所ラーメン用の丼なんてあるんですか…
Ｐ,細かい事を気にするのは杉下警部に任せておきなさい。ほら、ラーメン入れるから離れな
乃々,ああ…程よく火が通った卵が、卵がチュルンと流れ込みます…
Ｐ,あとはトッピングだな、買ってきたメンマに海苔に…さっき刻んだネギを散らして…。叉焼の代わりに厚切りハムを入れよう。ハムだぞ、ハムスターじゃないからな。ほら完成だ。コタツに持っていくぞ森久保ぉぉ！
乃々,お、お茶の用意します…。プロデューサーさん、お、お茶…何がいいですか？
Ｐ,今何があるー？
乃々,ええと…、今冷蔵庫の中にあるのは…す、スタドリと、麦茶と、牛乳と、ロックシードと、昨日みくさんが買ってきた午後ティーぐらい、ですけど…
Ｐ,んじゃ午後ティーにするか。持ってきてくれー。グラスは出しておくから
乃々,か、合点承知、ですけど
Ｐ,ヌクヌクのコタツに入って熱々のラーメンとか、至福すぎだな
乃々,あわわ…も、もりくぼの味噌ラーメン、いつの間にかコーンが入ってるんですけど…
Ｐ,バターで軽く炒めたコーンをぶち込んでやったぞぼののぉ！
乃々,あぅ、な、なんですかこれ、いぢめですか？新手のいぢめですか…？もりくぼを太らせてどうする気ですか………たべるんですか？
Ｐ,何だ、人の好意をそんな言い方しやがって。そんなヤツにはシャキシャキのモヤシもトッピングしてやらぁ
乃々,あわ、あわわわわわ……ますます完璧な布陣が出来上がったんですけど…！もりくぼ太っちゃいます、持ちもちになります、もちくぼになります
Ｐ,ﾅｯﾃｲｰﾖ。じゃあ用意も出来たことだし、伸びないうちに食べるぞ。では森久保。いただきますの音頭をウサミンテイストでよろしく
乃々,なんですか、なんですかその無茶振り。そういうのは岡崎さんに振って下さいもりぼはむーりぃーです…
Ｐ,ほらほら早く。冷めるぞ伸びるぞ先に食べちまうぞー
乃々,…いぢわるです、パワハラです…訴えます………目で。うぅ……これが芸能界の荒波なんですね……ラーメン１つ食べるだけでもこんな苦労が………くすん。……。に、にょわーっ！熱々ラーメンいただきますだにぃ☆
Ｐ,いただきまーす
乃々,そのカメラを渡せなんですけどぉ！！
Ｐ,おーい、機嫌直してくれぃぼののー
乃々,…
Ｐ,お茶目なジョークのつもりだったんだよ、許してくれよ、いつものことじゃないか
乃々,いつもだからタチ悪ぃんですけど。プロデューサーさんは毎回毎回所属アイドルをおちょくりすぎなんですけど！。からかいすぎてこうやってプンスカされるの何度目なんですか森久保もいい加減怒るんですけど！。どうせ後で軽く褒めたり撫でたりすれば機嫌なおるだろ。そんなちょろい人はこの事務所には渋谷さんやありすさんやみくさんやまゆさんや…ってちょろい人多すぎですけど！ユニット組めますけど！
Ｐ,すんません。だからそろそろ機嫌とキャラなおしてください
乃々,日頃の鬱憤溜まってるんですけど！
Ｐ,マジすんません。あと啜るか怒鳴るかどっちかにしてください年頃の娘さんなんだから
乃々,めっちゃ美味しいんですけど！
Ｐ,やっぱ寒い日はサッポロ一番だよなぁ…
乃々,ふぁふぁごふぁ、ふぁふぁごふぁふぉいひぃんふぇふふぇふぉ！
Ｐ,食べるか喋るかどっちかにしなさい
乃々,はふっ、はふっ
Ｐ,食べるんかい
乃々,ぷはっ。卵がっ、卵が美味しいんですけど！
Ｐ,わざわざ言い直してくれるんかい
乃々,…プロデューサーさんは、卵崩さないんですか？
Ｐ,今日は卵は卵でチュルッといきたい気分なのさね。スープや麺が絡んだ、程よく火の通った半熟卵を一口でこう…。はぁ……最高ですな
乃々,うぅ…もりくぼはもう卵崩しちゃいました……トロリと滲み出した黄身が良い感じで麺に絡んでしまってるんですけど…
Ｐ,そっちはそっちでメッチャ美味そうだろ
乃々,美味しいですけど
Ｐ,小腹が空いてラーメン食べたくなってもカップ麺じゃなくてこうしてわざわざ鍋沸かしてイントタントラーメン作っちまうんだよなぁ…
乃々,…プロデューサーさんは、こういうものばっかり食べてるんです…？
Ｐ,流石に家じゃ普通に飯作るけど、事務所で昼に作ったり、残業になって夕飯や夜食にって感じかなぁ
乃々,え、栄養バランス悪そうなんですけど…
Ｐ,大丈夫だ。ほら、ちゃんとネギ入ってる
乃々,足りる訳ねぇんですけど
Ｐ,森久保もこの手のジャンクフード食べるのな
乃々,た、たまになんですけど……いつもこんなしょくじとおもわれるのは、心外なんですけど…
Ｐ,ちなみに、サッポロ一番以外だと一押しは？
乃々,……出前一丁、でしょうか
Ｐ,良いところ突くなぁ…俺はうまかっちゃんかな
乃々,もりくぼ、それ食べたことないです…
Ｐ,九州じゃ定番モノらしいな、アレ。家にあるから今度持ってきてやるよ
乃々,…お、お願いします…
Ｐ,あぁ～…、やっぱイントタントラーメンに卵は鉄板だよなぁ。チキンラーメンとか、卵入れるの前提に作られてるんじゃねえかってぐらいだし
乃々,わ、わかります…
Ｐ,…でもさぁ。マルちゃん生麺は流石に言い過ぎだよな
乃々,…ＣＭでビッグマウスしすぎなんですけど…
Ｐ,サッポロ一番と言えば。味噌と醤油ブレンドして作っても美味かったわ
乃々,何やってるんですか
Ｐ,いや、俺普段から袋麺は２袋ぐらい使わないと足りなくてさ。味噌と醤油が１袋ずつしかなかったから仕方なくミックスしたんよ。……普通に美味かったわ。おかげでその後味噌と醤油と塩のミックスなんてのも作っちまったしなぁ
乃々,そんなタイヤカキマゼールみたいな感覚で…。……美味しかったんですか？
Ｐ,うん、美味かったわ。何ていうか…良い感じに各種類の長所が活かされてる感じかな。七味に胡椒、ゴマと付属の薬味も全部ぶち込んだけど最高だったわ
乃々,うぅ～……ちょっと興味引かれてしまうのが悔しいんですけど…
Ｐ,ま、そのうち機会があればな。んぐっ……ぷはぁ
乃々,た、食べるの早いんですけど
Ｐ,何を言っているんだ、まだ終わりじゃないぞ。こうしてだな、残ったスープにおもむろにご飯を投入してだな
乃々,ああっ
Ｐ,さらに卵を落としてだな、かき混ぜてだな
乃々,ああっ、ああっ…
Ｐ,ご飯がほぐれたら醤油味で作るラーメン雑炊の完成であります！
乃々,いともたやすく行われるえげつない行為なんですけど！
Ｐ,森久保も少し食べるか？あ、俺の食べかけで作ってるし嫌だ
乃々,お茶碗持ってくるんですけど！
Ｐ,こんな俊敏な森久保俺見た事ねぇぞ！？。………寒い。う～…今日も寒い…一体誰に断って勝手に寒くなってるんだよ…芳乃に頼んでもう春にしてもらおうかな…
Ｐ(あれから結局森久保は俺の作ったラーメン雑炊を全部持っていき、,お腹ぽんぽんなんですけど…
Ｐ,はあ、寒すぎて指が動かねぇ…これじゃモンハン進まねぇよ。しゃーない、またラーメンでも作るか…寒いんだもんな、仕事にならないんだもんな。仕方ない仕方ない。ちかたないよ。…と言うわけだけど、どうする？
乃々,…頂きますけど
Ｐ,お前人の足元に巣作りすんなよ…足元が森久保の毛布でモコモコ暖かくて眠くなるんですけど
乃々,こ、ここはもりくぼの安息の地なんです…おかまいなく。もりくぼのことは机の下のハシビロコウだとでも思っていて下さい…
Ｐ,お前にあんな目力ねぇよ。今日はこの前言った通りうまかっちゃん持ってきたぞ。また一緒に食べるか
乃々,こ、今度はもりくぼも卵チュルッとやりたいです…
Ｐ,はいはい。んじゃまた卵投入するか。よーし、作るぜチャルメラぁ！
乃々,話の流れガン無視すんななんですけど！！
今日の朝飯はラーメンに決まりだな,味一番派
