藤島夏希,２８
警察官C,藤島君、大変なことが起きたぞ！！さっき、署長の家で……
夏希,えっ！？
夜の住宅街。炎をあげて激しく燃える屋敷。自宅の門の前には、,星野
警察官C,署長の娘さんは精神疾患があって、この間まで病院に入院していた
夏希,何ですって……
警察官C,署長の奥さんは、幸いにも命が助かった。でも、署長の容体はかなり危ない状態で……
夏希,まさか、あの人形の効果は本物だったの？そ、そんなはずはない……！あいつの死を確認するまでは、信じられない！。署長は、本当にこの世から消えてしまった。私の祈りを聞いた武者人形が、奴を消してくれたんだ……
平松,久しぶりだなぁ、藤島。君もあのころに比べると、たくましくなったもんだ
テロップ,平松隆行４８
夏希のモノローグ,私が警察学校いたころ――。教官だったあいつは、何の理由もなく私にいつも暴力を振るった
夏希,警察学校教官の平松隆行が死にますように……
コートの背中側には、ピンク色のポスターカラーで,星野署長の愛人
夏希,お茶です
警察官B,チッ……
警察官A,藤島さん。最近のあなた、みんなからいじめに遭っているでしょ？
夏希,いいえ……。そんなことはありません……
警察官A,隠さなくてもいいんですよ。だって、藤島さんは星野署長にえこひいきされていたでしょ
夏希,どいつもこいつも、私のことを……。私はあいつらを、絶対に許さない……
喪黒,やぁ、藤島さん……。私との約束通り、あの武者人形は処分しましたか？
夏希,ええ……。もちろん、私は喪黒さんとの約束を守って、私はあの人形を処分しましたけど……
喪黒,本当にそうですかねぇ？そういえば、この間……。警察学校の教官の人が、交通事故で亡くなりましたけど……
夏希,あ、あれは別に何も……！！その……！！
喪黒,ほう……、図星ですか。藤島夏希さん……。あなた約束を破りましたね
夏希,ああっ……！！
喪黒,私は言ったはずですよ。署長が死んだ後は、人形を処分しろ……と。それにも関わらず、あなたは……
夏希,す、すみません……！！喪黒さん！！
喪黒,約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
夏希,キャアアアアアアアアアアア！！！。黒鳥警察署の人間なんか、みんな死んでしまえばいいんだ……。！！！
警察官A,こ、これはひどい……！！
夏希,あ、あれは……！！あの……！！
警察官A,こ……、この化け物め！！
夏希,や、やめて……！！！
喪黒,人生には、敵との出会いが必ずありますし……。人間は生きている以上、憎んでいる相手とも向かい合わざるを得ません
