シャニP,以下、P
P,そうか……うん、ちゃんと分かってるなら良かったよ。今度、イルミネの3人でやった時に確かめてみような
灯織,はい、そうします……。……お弁当は、もう食べましたか？
P,ああ、さっきこっちに来る前にな
灯織,どうでしたか……？
P,滅茶苦茶美味かったよ、量も申し分なかったしな！
灯織,良かった……
P,ああ、これで午後の仕事も捗りそうだ！。……ところでさ、一つ聞きたいんだけど
灯織,なんですか？
P,ご飯に載ってる鶏そぼろ、なんでハート形に敷き詰められてたの？
灯織,……気まぐれです
