社長,君には、ここで新しく医者として働いてもらうまずは、患者たちを見ていきなさい
律子,普通の床に掘られたら溜まったもんじゃありませんから
P,そっか。雪歩ー！またなー！
雪歩,ひぃ！
P,砂がかかる前に次行くか
律子,そうですね
雪歩,あ、ツチノコですぅ
P,次はここか
律子,……入りましょう
P,こんにちわ
やよい,お客さんですー！うっうー！
P,うっうー？
やよい,ああ！これは掛け声的な感じて、元気が出るんですー！
P,そうか
やよい,うっうー！
P,俺は新しい医者だよろしくな
やよい,うっうー！もやしみたいですー！
P,？？
やよい,もやし見たいかな～って！
P,？？？
やよい,もやし美味しいかな～って！うっうー！
P,この子が何言ってるかわからないんだが…
律子,……この子は貧乏すぎて、まともにご飯が食べれないせいで脳に栄養が行かなかったみたいなんです
P,……そうか
律子,だから、ちょっと頭がおかしいけど、いい子なんですよ
P,そうだな。やよい元気が一番だぞこれからもがんばろうな
やよい,うっうー！ありがとうございます！
P,もう行こう辛すぎる
律子,ええ
P,じゃあなやよい
やよい,うっうー！お仕事がんばってください！
P,……ああ！。よし、次はここか。こんにちわ
真,新しい先生ですね！こんにちわ！
P,おお元気だな
真,はい！ボク元気が取り柄ですから！
P,あははそれにしても、男の子もいるなんて珍しいな
真,
P,俺も男だから今まで心細かったんだ～
律子,おらぁ！馬鹿プロデューサー！
P,いてぇ！！何すんだ！
律子,この子の病気はそれです！
P,はぁ？
律子,女の子なのに男性ホルモンが強すぎるんですよ！
真,うぅぐすっ
P,あ、ごめんな真
真,そんなに、男っぽいですか？
P,
律子,
P,はっあ、いや俺はボーイッシュな感じで良いと思うぞ
真,そ、そうですか！？やりぃー！
P律子,あ、ヒゲ生えてる
P,じゃ、じゃあな真次の患者が待ってるから
真,あ、はい！また来てくださいね！
P,ああ！
P律子,あわき毛あ、すね毛も
小鳥,あれ？真ちゃんより濃い…死のう
P,次はここだな
貴音,おはようございますプロデューサー
P,え！？な、何で名前が分かったんだ？
貴音,ふふトップシークレットです
律子,…
貴音,うふふ
律子,この人何歳だと思いますか？
P,１８くらいか？
律子,いいえ１３０歳です
P,えぇ！？
貴音,私は別に入院なんてしたくないのですが
P,え？じゃあなんでここに？
貴音,人々の医療の発展の為に研究させてほしいと高木様が
P,ああ…そうだったのか
貴音,人々の役に立ってると思うと、真よきことだと思います
P,そうか…じゃあ、頑張ってくれ
貴音,ええ
P,あ、敬語じゃないとダメだったな
律子,そうですねわたしも貴音さんと話すときは緊張しちゃいます
P,じゃあ、次行こうか。貴音さん次の患者の所に行ってきます
貴音,そうですか次は、水瀬伊織の所ですね
律子,！？え、ええ
P,相変わらず凄いな
律子,もしかしたら宇宙人なのかもしれませんね
P,よし入るぞ
伊織,きゃっ！いきなり入ってくるんじゃないわよ！
P,あ、すまん
伊織,まったく
P,ところで、何で帽子かぶってるんだ？
伊織,
P,室内なんだから取れよ
伊織,きゃぁあああああああああああああああああああああ
P,うわっまぶしっ
律子,はぁあなたはさっきから無神経ですね
P,え？うおっ…そういうことだったのかすまん
伊織,あっち向いてなさいよ！！もう！！
P,………
伊織,……なんかいいなさいよ
P,……
律子,この子は若年性の…あ、言うまでもありませんね
伊織,……
P,なあ伊織？悪かったよ
伊織,いいわよ…
P,。これでどうだ！
伊織,ちょっ何してんのよ！
P,ハゲ。これで、お前と同じだ！伊織に前に来るときは毎日そってくるよ！
伊織,……馬鹿じゃないの
P,あはは
律子,時間をかけて、信頼を得ると良いですね
P,お、最後は姉妹か？双子かな？
律子,いいから入りましょう
P,こんにちわ。……こんにちわ亜美、真美
律子,やっと慣れてきたようですねえらいですよプロデューサー
P,人はいつか禿げるもんさ。でもお前たちは心配なさそうだぞ？。あははじゃ、俺たちはこれで二人で仲良くするんだぞ？。ある意味一番つらかった
律子,最初からそれじゃダメですよ？あなたはここの医者なんですから
P,あははそうだな医者だもんな！。あ、小鳥さんだ最後だし話しかけてくるか。あ、小鳥さんこんにちわ～
小鳥,あ、こんにちわプロデューサーさんそれにしても。どうしたんですか？プロデューサーさんお一人で
P,は？何言ってるんですか？律子と一緒じゃないですかなー律子。あれ？おーい律子？隠れてるのか？でてこいよ～
小鳥,……何言ってるんですかプロデューサーさん？
P,あはは俺をからかってるんだな～あははは馬鹿め～あはははは
黒井,あ、そういえば、高木お前の所に新しく赴任した医者、手術で女性を殺してしまったらしいぞ
高木,なに！？
