【モバマスSS】,過去と欲望とすべての解放
P,俺あんま辛いの得意じゃないんだよなあ。インドカレーで激辛じゃ駄目？俺普通の食うから
志希,それでいいよ～あたしやる気出てきた！あ、それ貸して！
P,え？バンテージか？いいけど
志希,ん～いい匂い～トリップするぅ～
トレーナー,よし！話は終わったな！レッスン再開だ！
フレ,志希ちゃん。練習再開だって～！後アタシも行く～
周子,やるねPさん。どういう心境の変化？後アタシも行く
P,別に。サンドバッグ叩いてすっきりしただけだよ
トレーナー,私語は慎めP！後私も行こうじゃないか！
P,･･･
美優,･･･Pさん。休憩入れましょう
P,いえ、志希のデビューまでもうすぐなんて追い込みたいんです
美優,･･･そうですか。体には気をつけないといけませんよ？
P,正直ほたるよりペース早いんで手配を急がないと行けないんですよね
ほたる,あ、あのすいません。私のせいでPさんが忙しかったなんて･･･
P,問題ないさ。それよりどんどん仕事増やしていくから覚悟しとけよほたる。今は泰葉と一緒が多いけどソロも増やしていくからな。アイドルとして頑張るんだぞ
ほたる,は、はい。ありがとうございます！
志希,なんかあたしに比べて扱いが優しいんじゃないかな～
P,･･･今やってるのはお前のための仕事だけどな。
志希,ふ～ん。やっぱりキミは属性が善人だにゃ～ハスハス♪
泰葉,Pさん。お茶です。がんばってくださいね
志希,あ～邪魔された～！
P,･･･よっしゃ。気合入れるべ。さて、今日はレッスンの成果を見せるときだ。三人共、準備はいいか？
周子,もち
フレデリカ,よゆうよゆう～
志希,にゃはは、大丈夫大丈夫
P,志希。お前にとってはデビューライブになる。正直ここまで早いとは思ってなかった。最初のライブでここまで大きな会場なんてそうないぞ。お前はすごいよ
志希,うん。ありがと。キミには迷惑かけっぱなしだったのににゃ～
P,さて、新生ユニット誘惑イビルとして最初のライブだ。気合い入れていこう
志希,･･･ちょっといいかな？二人だけで話があるんだけど～？
P,･･･二人共。ちょっと席外すわ
周子,･･･いってら
志希,ごめんね～やっぱりキミのにおいかがないとな～って思ってさ
P,･･･手が震えてんぞ
志希,にゃはは。･･･うん、正直緊張してる
P,･･･
志希,あたしさ、天才ってやつだったからさ。こういう不確定なものがよくわからないんだ。やればやるほど正解が見えなくなってさ。今までそんなことなかったのに
P,･･･
志希,･･･お、お兄ちゃん。いきなり手を握られるとびっくりしちゃうんだけど
P,今は俺の種違いの兄じゃない。一ノ瀬志希っていうアイドルのプロデューサーとしてここにいる。心配すんな。何かあっても守ってやる。兄貴としては無理でもプロデューサーとしてならいくらでもな
志希,･･･うん。ありがと。いってくるね。あたしのプロデューサー
MC,えー本日はお集まりありがとうございます！。じゃあお願いします！まずはお願い！シンデレラ！から！
P,みんなお疲れ様。良いステージだったよ
志希,すごいよ！アイドル！ドッキドキした！
周子,いやーお疲れ様。楽しかったわ～
フレデリカ,おっつかれ～。さ、打ち上げ打ち上げ～
P,いや。今日は俺帰ったら仕事あるから。お金出すので三人でちゃっちゃと行ってきなさい
周子,え～
P,･･･今、忙しいんだよ俺。マジで
志希,･･･アタシのせい？
P,なわけないだろ。でも他の子も抱えてるからさ。残務処理もあるしな
周子,でもさーこのままじゃPさんパンクしてまうよ？
P,大丈夫だっつってんだろ。じゃあ改めてお疲れ。解散。･･･美優さん。もう帰っちゃっていいや、俺ももう少しで終わるから
美優,･･･お手伝いしますよ？
P,明日までに仕上げときたいのよこれ。大丈夫。すぐだからさ
美優,･･･そうですか。お疲れ様です
P,お疲れー。･･･よし。終わった。そろそろ帰るか
志希,･･･
P,･･･打ち上げはどうした？終わったのか？
志希,･･･行ってきたよ？その後でこっち来ただけ～
P,どうした？もう遅いし･･･
志希,･･･話があるんだ。大事な大事な話
P,今じゃないと駄目か？
志希,うん。あたしのラボに来て
P,･･･わかった、聞くよ
志希,･･･これ飲んで
P,で、何の話だよ
志希,･･･マッマ。あたしたちのお母さんのこと。聞いて。お兄ちゃん
P,･･･
志希,マッマは本当に結婚したかったっていうあたしのお父さん･･･ダッドのところに行ったのは知ってるんだよね？
P,･･･ああ。そこまでだな。そんでまあ、出ていった年考えると結構すぐお前が生まれたんだろう？
志希,･･･あたしギフテッドってやつなんだ。超天才ってやつなの
P,へー
志希,あ、興味ない感じだね？･･･アタシが小さい頃はちゃんと家族団らんしてたんだ。すごい幸せだった。でも、だんだん上手く行かなくなってさ。･･･ダッドって超天才の化学者なんだけどさ。かなりぶっ飛んでるんだ
P,･･･お前のそれは父親の影響か
志希,そうかもしんないしそうじゃないかもしんない。･･･最初は良かったんだ。私が真似して、できるようになって、すごいなってなってさ。でもさ、お兄ちゃん。あたしたちのママって天才とやっていける人だと思う？
P,･･･多分無理だな。あまり記憶もないけど、サポート的なことは一切できない人だった
志希,うん。そうなんだ。普通の人達なら大丈夫だったんだろうけど、そんでダッドとの生活にマッマが疲れてきちゃったんだ。ダッドが海外に行くことになったのもその影響があったと思う。で、アタシとマッマは二人暮らしを始めた
P,･･･でもお前も天才だった
志希,うん、そう。マッマがさ。壊れかけたんだ、だからあたしもパパのところへ行った
P,･･･そうか
志希,あっちでの研究も最初は楽しかった。でもあたしよりぶっ飛んでるダッドとの生活がうまく行かなくなっちゃって
P,･･･それで両親と離れたのか
志希,一回マッマに会ったんだけどさ。お兄ちゃんのこと謝ってた。ごめんなさいごめんなさいって
P,別に許さないけどな？･･･娘がほしかった。息子いらねえって言ってたのにお前まで捨てたのかよ何してんだよあの人って思ってるぞ今の俺
志希,うん、お兄ちゃんはそれでいいと思うよ。で、これは一緒に暮らしたら駄目だってことで、今はマッマのお母さんと暮らしてる
P,･･･俺の見解ではさ。今になって思うことは。あの人は･･･俺の母は恋する乙女なんだよ
志希,･･･
P,恋に恋して、結婚しても母じゃなくて娘のままだった。理想が高くてギャップを埋めるためにしょっちゅう失踪してた。俺を置いてな
志希,あたしらの失踪癖は間違いなくマッマ譲りだよね～
P,そうだろうな。俺もそう思うわ。･･･親父もいい顔してなかったのは子供心にわかってた。俺も父方の叔父の家には結構行ってたよ
志希,乃々ちゃんの家？
P,そう。親父も生活能力があまりなかったんだよ、叔母さん･･･乃々の母親には本当に世話になった
志希,･･･ねえお兄ちゃん。あたしたちさ、家族になれないかな？。最低な人だったり拒絶されたらどうしようって思ってた。でもお兄ちゃん優しいんだもん。
P,･･･本心では何思ってるかわからないぞ
志希,それでもいい。あたし、お兄ちゃんと家族になりたいよ。そのためならどんなことをしてもいい
P,･･･悪いが、それはできない
志希,どうして？兄妹だよ？一緒に暮らしてもおかしくないよ？
P,俺は一人で生きていきたいからだ。家族はいらない
志希,･･･そっか、残念だよ。それ飲み終わった？･･･そろそろ薬効いてこないかな？
P,･･･は？･･･うっ･･･ガッ･･･！。･･･クッソが･･･お前･･･なにしやがった･･･？
志希,にゃはは～欲望に正直になるお薬～
P,てっめえ･･･
志希,お兄ちゃんが悪いんだよ？素直に言う事聞いてくれないからさ。ま、そうなると思ってたけど。んーなんていうか、強制的に酔っ払う？みたいな？理性を極限まで弱めるんだ。お兄ちゃんにはきくでしょ？こーゆーの。お、他の女のこと考えてるね～？最初に思い浮かんだのは誰かにゃ？。んじゃ！あたしの家に移動しようか！大丈夫大丈夫！すぐ素直になるよ！あたしで満足するくらいに！
美優,･･･駄目ですよ志希ちゃん
周子,あたしもいるよ
泰葉,志希さん。すいません。話をお聞きしてしまって
ほたる,す、すいません
志希,･･･ありゃま。どうしたのみんな？
周子,志希ちゃんがどっか行っちゃったから帰りついでにあたしだけ事務所来てみたんだけど･･･
美優,･･･私は先輩がそろそろ終わると思ったので差し入れを
泰葉,最近Pさんにかまってもらってないので
ほたる,ご、誤解を解きに･･･
志希,うーん、ま、いいや。どうする？お兄ちゃん？
泰葉,Pさん！。Pさん！大丈夫ですか！
志希,！？
周子,Pさん！何してんの！
美優,先輩！、す、すぐに手当を
ほたる,わ、私救急箱取ってきます！
泰葉,Pさん！なにしてるんですか！Pさん！
志希,お兄ちゃん！何してんのさ！
P,･･･あのな。志希、お前俺のこと甘くみすぎだよ
ほたる,持ってきました！
周子,泰葉！ズボン脱がすよ！！！早く！
美優,Pさん！動かないでくださいね！すぐ終わりますから
泰葉,･･･何か申し開きはありますか？
志希,いやね？あのさ？
周子,志希ちゃん。まだ立たないで
志希,アッハイ
ほたる,わ、私の不幸のせいで
P,いや、それは関係ないと思う
美優,･･･先輩、なんでこんなことをしたんですか？
P,えーっと理性がぶっ飛ぶ薬飲まされて、･･･正気に戻るために？
泰葉,なんで疑問形なんですか･･･
P,いや。うまくいくとは思わなかったし？
周子,じゃあこんなことしちゃ駄目でしょ
P,てか正直オレ早く帰りたいんだけど。なんか疲れた
泰葉,･･･えー、みなさん。提案があります
周子,･･･あたしもある
美優,私もあります
ほたる,え、え？･･･あ、私もあります
泰葉,Pさん
P,は、はい
周子,アタシ達これからPさんの家で看病するから、全員でPさんの家に行こうと思いまーす
志希,あたしもあたしも～。･･･ほたるちゃん？これ何、なんでアタシぐるぐる巻きにされてるの
ほたる,･･･そこにあった荷造り用の紐です。･･･志希さんは朝までここでお留守番しててくださいね？ベッドもありますから平気ですよね？
志希,･･･うそぉ
P,･･･
泰葉,ほらPさん。服脱いでください
美優,･･･食事は皆さん取ってますか？なにか簡単なものでも作りましょうか
ほたる,ここがPさんのお部屋･･･
周子,布団足りるかな？ま、別にいいか、なんとかなるでしょ
P,･･･みんな好きにしてていいよ。俺もう寝るからさ、流石になんか具合わるいし
泰葉,そうですね。とりあえずベッドに行きましょう。着替えは一人で大丈夫ですか？
P,派手に血が出てたけど薬のせいでアドレナリンがでてただけだ。一回止まったら問題ない
泰葉,Pさん。失礼します。まだ起きてますか
P,どうした？
泰葉,今みんなでお風呂入ってたんですけど、Pさんは傷があるので入れないでしょう？
P,･･･まあな
泰葉,だから体を拭きに来ました。上脱いでください
P,･･･いや、あの。大丈夫だから
泰葉,駄目です、･･･無理やり脱がせますね
P,ごめんやすは。もうがまんできない
泰葉,え？んむっ！？～～～～～～～～～！？
周子,どうしたん？P･･･さん！？
ほたる,あ、お風呂上がりました。泰葉さん！？
美優,･･･泰葉ちゃん、あれファーストキスだと思うんですけど･･･凄いはげしいですね
周子,し、舌が、入って･･･だ、大丈夫なん？
泰葉,～～～～～～～～～～～～～～～！！！
ほたる,うわあ、･･･うわあ
P,･･･ぷはっ、･･･おまえらかくごしろよ。･･･おれはもうキレたぞ･･･
周子,･･･あれ？これやばくない？全然いいけどさ
美優,･･･はい、存分にどうぞ
ほたる,･･･優しくお願いします
P,みんなおはよう
フレデリカ,おっはよ～･･･昨夜はお楽しみでしたね？
P,･･･質の悪い冗談やめて
悠貴,おはようございますっ！
乃々,おはようございます
周子,おはよ～
泰葉,おはようございます。今日も頑張りましょう
ほたる,おはようございます
美優,おはようございます
志希,みんなおっはよ～！あ！
フレデリカ,どうかなさいまして？しきちゃん？
志希,5人のにおいが混ざってる！ほんとにあの後楽しんでるよこれ！ずるいよ～！
フレデリカ,ワオ！ほんとにお楽しみだった！
5人,！？
乃々,きちくなんですけど･･･森久保リスは野獣に食べられる運命･･･あぅ
P,なんでちょっとノリ気なんだよお前。んなことしたら叔父さんに俺が殺されるわ
悠貴,えっ？ほたるちゃんも？私と同い年で･･･あ、あぁ///
P,悠貴落ち着いて。別に大丈夫だから
フレデリカ,Pさんパワフル！これはフレちゃんも危ないかな～
P,だ、だから誤解だって
泰葉,･･･Pさん。もう忘れちゃったんですか？ひどいですね。私はまだ異物感があるのに、ほら首もこんなに腫れが
P,黙って！？
周子,アタシ知ってる。やり捨てってやつだよこれ
美優,･･･ひどい人ですね
ほたる,･･･そうですよね。私疫病神ですもんね。あの、辞表はどうだせば･･･
志希,なんであたしも混ぜてくれないのお兄ちゃん！
P,いい加減黙ってろ！特にお前だ志希！
志希,うわ！ぐーでぶたれた！兄から妹へのDVってやつだよこれ～
乃々,え？志希さんPさんの妹だったんですか？
P,収集つかなくなるからこの話終わり！全くもうしょうがねえなあお前らは！
泰葉,Pさん
P,なんだよ
泰葉,･･･いい笑顔ですよ
P,･･･そうかもな。いやそうだわ。まあ取り敢えず置いといて。今日も仕事だ！みんながんばるぞ！はい！返事！
全員,はいっ！
次は頭あまり使わない作品を書きたいですね。それかR-18,小声
