モバＰ(以降Ｐ表記。そういうセカイさ）,ふーん、これが最近話題のけものフレンズかぁ…
晴,言うな触れるな考えるなァ！
Ｐ,ケツにムエタイキックって、おっふ！。痛ぇ…尻割れたらどうしてくれんだチクショウ…
晴,Ｐがキモい事言い出すからだろ！
Ｐ,理不尽すぎる…まぁいいや。今の時間ならまだファッションセンター開いてるだろ。行くぞ晴
晴,ちょっ、オレも行くのかよ！こ…こ、この格好で？
Ｐ,お前、オッサン１人で女性下着買いに行かせるとかクエスト難易度高すぎるわい。大丈夫だよ。今の晴(１８)をアイドル結城晴だと気づく人なんていないだろうし。精々そっくりさん扱いだって
晴,いや、身バレもヤバいけど…オレ、今コレの中…
Ｐ,やめろモジモジすんな。何か特殊なプレイ中みたいじゃねぇか
晴,あーっ！分かったよ行くよ！付いて行きけばいいんだろっ！。でもどうすんだよ。オレ今の自分のサイズとか分かんねぇぞ
Ｐ,８９-５７-８８、ってとこだな
晴,何で分かるんだよ！怖ぇよ！
こずえ,ふわぁ…？ここ、どこぉ…？
現地人１,ｼﾞｭﾜｯ!?
現地人２,ﾃﾞｭﾜｯ!
こずえ,ひかりのくにー…？
芳乃,ようやく見つけましたー。ささ、戻りましょー
Ｐ,流石市民の味方ファッションセンターし〇むら。これでバッチリだな…ってどうした晴。顔真っ赤だぞ
晴,当たり前だろ！スウェット１枚で外でて買い物とかどんな変態だよ！
Ｐ,仕方ないだろ…あ、夕飯の買い出ししたいんだけど付き合う？
晴,せめて着替えさせろよ！
Ｐ,それもそうだ。ん、どうぞ
晴,…
Ｐ,…？
晴,……
Ｐ,どした？
晴,出てけ！！
Ｐ,踵で太ももは痛い！。着替え終わったかー？
晴,…おー
Ｐ,おー、似合う似合う。うん、やっぱり晴は拓海路線が正解かな
晴,あんな仕事絶対嫌だからな！？。うぅ…何か凄ぇ落ち着かねぇ
Ｐ,ダボダボのスウェットの時はスタイル隠れてたもんなぁ…胸は隠れてなかったけど
晴,車の中で丸着替えする日が来るなんて夢にも思わなかったぜ…。…覗いてねぇよな？
Ｐ,日本一紳士に溢れる埼玉県出身に向かって何を言うんだよ。よし買い物行くぞー。シートベルトしろ晴
晴,こんな散々な目にあってんだから晩飯ぐらい豪勢にしてくれよな。あ、俺ステーキ食いたいステーキ！
Ｐ,お前の着替え代も俺の財布から出てるんですけど。晴、そこのカートを取ってくれ
晴,あいよっ
Ｐ,さてさて、夕飯何にしようか
晴,だからステーキだっての
Ｐ,はいはい。ワガママなのはそのボディだけにしてくれよ
晴,気持ち悪ぃ事言うな！
Ｐ,ＩＴＥッ
晴,あ、ほらほらすっげぇデカい肉があるぜ！
Ｐ,この店にも及川牧場の肉卸してるのか…繁盛してるのな
晴,なぁなぁ、どれにするんだ？分厚いのにしようぜ分厚いのに！
Ｐ,せやね、ハンペンにするか厚揚げにするか…
晴,肉のステーキにしてくれよ！
Ｐ,冗談だっつの。んじゃこの辺りに…
時子,…あン？
Ｐ,…
時子,…
Ｐ,どうぞどうぞ
時子,…チッ、いいわよ。豚の手垢のついた肉なんて食べられたものじゃないわ
Ｐ,俺の握ったおにぎりモシャモシャ食うクセに
時子,幻覚でも妄想でも構わないけど、私の視界に入らないところでやりなさいな。そう言えばさっき晴そっくりの娘がいたわよ。あの生意気小娘を少し成長させたような感じの
Ｐ,へ、へぇ～…まだ近くにいるならスカウトしてみるかな
時子,まだ担当増やす気？新生のマゾヒストね
Ｐ,楽しそうにニマニマしているとこ悪いけど立ち話してていいのか？カゴの中のピノ溶けるぞ
時子,…言われなくても豚相手に長話する気は無いわよ
Ｐ,また明日事務所でなー。…。すんげぇビックリした
晴,オレの方がビックリしたっての。いきなり時子とエンカウントかよ…見つからなくてよかったぁ
Ｐ,時子と俺、割と生活範囲近いんだよ。この前も松屋で遭遇したし
晴,ふーん……結構仲良いのな
Ｐ,どうだろ。少なくとも千川よりかは仲良いかな。ただいまー
晴,おかえり。お邪魔ー
Ｐ,はいどうぞ。…だから何？この茶番
晴,買ってきたモン冷蔵庫に入れるぞー
Ｐ,おー、よろしく。あれ、まだ芳乃帰ってきてないのか。こずえ何処までいったんよ
晴,なぁＰ－。この肉冷蔵庫入れていいのかー？
Ｐ,夕飯に焼くもんだから台所に置いとけー
晴,おー
Ｐ,当然のように人の家の歌舞伎揚げ食うのな
アッキー,調理描写は飯系ＳＳで見るものだろう
常務,どうしたアッキー。役員会議の時間だぞ？
晴,はぁ～、食った食った
Ｐ,本当によく食ったな。割と多めに買ってきたってのに
晴,相変わらずムサいオッサンのくせに飯は上手いよな。プロデューサー解雇されても職に困らないんじゃねぇの？
Ｐ,奢ってもらって作ってもらって何だその口の利き方は。返せ、ステーキ返せ
晴,ひゃっ、ひゃめひょぉ！ふぃっふぁふふぁあ！
Ｐ,おぉ虫歯無ぇ。流石だなって痛い噛まれたぁ！！。あたた…うわ、歯形ついた
晴,いきなり人の口引っ張ったりするからだろ！この変態！ロリコン！
Ｐ,１９歳ボディの晴に対してもロリコンになるのかな。まぁ俺みたいなオッサンからしたら１９歳でも十分犯罪臭いか
晴,ったく…
Ｐ,お前が可愛げのない事ばっかり言うからだろ。少しは感謝の心というものをだね
晴,なぁなぁ、デザートねぇの？
Ｐ,…お前だけ杏仁豆腐じゃなくて卵豆腐な
晴,やめろよぉ！晩飯と一緒に出せよそれ！。チクショウ、相変わらずオレの扱い雑だなＰのヤロウ…。…そういやこのスウェット、どうすりゃいいんだ？。…。……
Ｐ,晴ー、イチゴ味とメキシカンチョリソー味どっちがいい？
晴,わひゃっ！！
Ｐ,あ、コラお前人のスウェットなんで投げんだよ
晴,お、脅かすなよ！
Ｐ,お前さんが勝手に驚いてるんじゃねえか。ほれデザート。好きなほう選びな
晴,…んじゃ、イチゴ
Ｐ,ハハッ、流石ありすの相方
晴,勝手にコンビにすんな。あといい加減本人の前で名前で呼んでやれよ。…あ、これ美味っ
Ｐ,いや何というか、このまま墓場に入るまで貫き通そうかなぁと。スパイシー！。ふぅ…サッパリしたわ。ってお前、髪乾かしておけって言ったろうが
晴,えー？いいよ面倒臭い。どうせほっときゃ乾くだろ
Ｐ,仮にもアイドルだというのになんて発言だよ…ほれ、やってやるからこっちこい
晴,だからいいっての！ちょっ、引っ張んなよ！
Ｐ,温風発動っ
晴,…ロリコンめ
Ｐ,しょっちゅう人ん家遊びにきて膝の上でゲームしてるヤツが何を言うか
晴,仕方ないだろ、座椅子とかねぇんだし
Ｐ,お前さんは俺を何だと思っているのだね。痒いところは無いかー？
晴,色んな意味でむず痒ぃ
Ｐ,綺麗な髪なんだから手入れはちゃんとしとけよ？それにしても結構伸びてきたよな
晴,きれっ…！…あ～、確かにちょっと邪魔になってきたなぁ。うし、バッサリ切るか
Ｐ,アイドルなんだからガラッと髪型変えるの事務所に通してな？ほれ、もうちょいこっち向け
晴,んっ
Ｐ,明日には元に戻ればいいんだけどな。幸い明日は晴のスケジュール空いてるけど
晴,ホントだぜ、動き難くて不便でしょうがねぇよこの体
Ｐ,放っておいても数年後その体になるんだけどな
晴,うぇっ…マジかよ
Ｐ,よし完了。終わったぞ晴
晴,おー
Ｐ,おい
晴,ついでに耳かきヨロシク
Ｐ,俺はお前のオカンか
こずえ,ふわぁ…ちきゅう、ついたぞぉー…
現地人,そ、空から降ってきおった！誰か、誰か同心を呼んでこい！
現地人２,面妖な…空に浮いておるぞ！妖の類か！
菜々,あわわ…ぼ、母星からの強制送還じゃあ無いですよね…？
芳乃,時代を間違えておりますー
こずえ,ありゃあー…
晴,うっし、乗れた！やっぱエリアル狩りやすいな
Ｐ,まぁ一番楽っちゃ楽だよな
晴,Ｐのスタイルって新しいヤツだよな。ブレイブだっけ？
Ｐ,俺に切れないものはない
晴,なんだそりゃ…よしダウンした。尻尾切るぜ尻尾！
Ｐ,術式レベル２
ジンオウガ,やめてください、しんでしまいます
晴,次は何狩りにいく？
Ｐ,いや、もうこんな時間だしそろそろ寝ないと
晴,なんだよ、まだ良いだろ？夜はこれからだぜ
Ｐ,お前、それ外で絶対言うなよ？。ほれゲーム没収
晴,あっ、ケチ！ロリコン！
Ｐ,ハハッ、何とでも言うがいい
晴,社畜！猫舌！デレステへたくそ！
Ｐ,悪かったなＭＡＳＴＥＲクリアできなくて！。寝る前のホットミルクお前の分だけハチミツ入れてやらねぇ
晴,ちょっ、それは卑怯だぞ！
Ｐ,まぁそれは２割冗談だとして
晴,本気度高ぇ
Ｐ,晴、布団敷くからテーブルよせてくれ
晴,えっ、ここに２組も並べられんの？
Ｐ,え？
晴,え？
Ｐ,お前ね、いくら何でも一緒に寝たりしないぞ？
晴,今更かよ、オレ何度もＰと昼寝したりしてるじゃん
Ｐ,ほとんどお前が人の膝の上でグースカしてるだけだろ。ほれ、お前は寝室！俺はリビングで寝るから
晴,何だよ、まさかホントにオレみたいな子供に手を出しかねないロリコンなのかよ
Ｐ,ロリ趣味は無いけど今の自分の体をよく考えて物を言いたまえ
晴,８９-５７-８８。……っ！。変態！変態っ！
Ｐ,救命阿ッ！
晴,…。……。…眠れねぇ。マンガでも読んでるかな…あ、でも電気つけたらバレるか。…。喉乾いた
Ｐ,すぴぃ…
晴,人がヘンテコドリンクで急成長して大変だっつーのに熟睡してやがる。Ｐ－、飲み物もらうぞー
Ｐ,うーん……やめろアーニャ…ベアークローを外しなさい…
晴,どんな夢見てんだよ……ぷはっ、及川牛乳超美味ぇ
Ｐ,ハリケーンミキサーは止せ雫ぅ…超人十字架落としもやめてくれぇ…
晴,夢の中で何されてんだよ！。あ、やっべ。牛乳零しちまった…うわ、寝間着ビショビショになっちまった
Ｐ,カルシウム臭い…
晴,うぇ…寝間着が胸に張り付いて気持ち悪ぃ…着替えねぇと。…寝てるんだよな？
Ｐ,ねてるー
晴,…うし。あ、でも着替えがねぇや…ま、いっか。Ｐのシャツ適当に使っちまえ
Ｐ,思春期臭い…
晴,んっ、ちょいキツいけど…まぁいっか。どうせ寝るだけだし。ふぁ……ようやく眠くなってきたな。ほんと明日の朝には元に戻っててくれよな…
Ｐ,ぐぇ
晴,はふっ…んじゃ、おやすみぃ…
Ｐ,生暖か柔らかい…
晴,んぅ………
Ｐ,もががが。…ん、朝か…。なんだろ、バインバインな晴がミルクまみれになって生着替えしてたような夢見たけど…病んでるのかな俺
晴,んっ
Ｐ,…はい？
晴,んだよぉ……もうちょい寝かせろよぉ…
Ｐ,おまっ、なんで俺の布団にいるの！？……よし、お互い服は着てるな…。おーい晴！起きろ晴！何がどうなったらこっちの布団に入るんだよ。あ、しかも俺のシャツじゃねぇかコレ
晴,ん～…っ、あと5時間…
Ｐ,冬眠する気かお前は。しかも元に戻ってねぇし
晴,…狭山茶くさい……
Ｐ,起きろぉ
晴,ふぁぁぁああああ
Ｐ,うわ、でっけぇ欠伸
晴,あむっ
Ｐ,痛ぇ噛まれた！
晴,ぺぺっ！なんで人の口ん中に指入れんだよ！
Ｐ,悪い悪い。でもほら、大欠伸してる猫の口とか指突っ込みたくならない？
晴,お前、それこの前みくにもやって噛まれてただろ…
Ｐ,みくはいいんだよ。みくだから。ほれホットミルク
晴,ん、暖かいもんどうも
Ｐ,しかし…戻ってないなぁ。志希は…相変わらず連絡つかねぇし。もうシュールストレミングの刑確定だな
晴,はぁ…いつまでこんな不便な体のままなんだか
Ｐ,それよかお前ね、寝てる間に人の布団に入るんじゃないよ
晴,えっ？あ～…そっか。Ｐのとこだったか。いやさ、夜寝付けなくて牛乳飲んだら良い感じに眠くなってさ。寒かったし近くに布団あったし…もうここでいいや、って
Ｐ,あのな、男は基本狼なんだからなオオカミブルーなんだからな？もうちょい女の子としての恥じらいというものをだね
晴,Ｐにそんな度胸ねぇだろ？それともやっぱロリコンなのかよ
Ｐ,ロリ趣味は無いけど今の晴は合法か違法か限りなくグレーゾーンなんだからな。まったく…もし兆が一間違いが起こったら親父さんに合わせる顔がないわ
晴,ははっ、そういやオレを寮に入れるって時も大騒ぎだったもんな
Ｐ,本当だよ。ロープアームやらマシンガンアームやら、お前の父さんって本当に科学者？めっちゃ武闘派じゃねぇか
晴,腹減った～。お、ランチパックあるじゃん。貰うぜ
Ｐ,人の話をだね、聞きなさいな。あ、それとハムチーズ味は俺のだからな！
晴,うっひぇえ、はふぁいふぉんふぁひふぁ
Ｐ,返せ！俺のハムチーズ返せ！
晴,ひゃっ、ひゃめひょぉ！ふぃっふぁふふぁあ！
Ｐ,ハハッ、１９歳ボディでも口小っちぇえって痛いまた噛まれたぁ！！。さてと、晴は休みだから良いけど俺は普通に仕事ですわ
晴,オレどうすりゃいいんだ？
Ｐ,いつ元に戻るか分かんないし、留守番しててくれるか？元に戻ったら寮に帰ればいいし。あ、冷蔵庫の中のもんは好きにしていいからな
晴,え～？１人で留守番かよ。Ｐも休めよ～
Ｐ,当日にいきなり休めるかぁ
晴,つまんねぇよ～休めよ～遊べよ～
Ｐ,ワガママ言うんじゃありません揺らすんじゃありませんホントやめて吐きそう
千枝,おはようありすちゃん。あ、いいなぁ。それ何のジュース？
ありす,橘です。共同スペースの冷蔵庫に入っていたので、千枝さんも飲みますか？
千枝,うんっ、ありがとうね
ありす,ラベルが張ってないので既製品では無さそうですね…ネネさんのお手製でしょうか
千枝,わっ美味しい。ちょっと不思議な味だけど美味しいねっ
ありす,…あれ？こんなところに２３
晴,や～す～め～よぉ～！
Ｐ,もうやめて、俺の三半規管のライフはもうゼロです。帰ってきても元に戻ってなかったらちゃんと晴で遊んでやるから。それにお前いつもいつも連絡も無しに遊びに来るじゃねぇか
晴,それはそれ、今は今なんだよ～。ほらドカポンやろうぜドカポン
Ｐ,よりにもよって。それ最悪リアルファイトになるゲームだぞ。あれ、千川から電話だ。ちょっと悪いな
晴,何だ今の不吉すぎる着ボイス
Ｐ,はい社畜。…はい。はい……ええ、晴はまだ元に戻ってないですよ。ハハッ、早苗さん案件にはなってませんって。…え？あ、はい。俺としては有り難いですけど…ええ、仕事は粗方、再来年分ぐらいまでの企画案作ってありますから。アッガイ。それじゃあ。ご愁傷様
晴,ちひろさんからかよ。何だって？クビか？
Ｐ,縁起でもないこと言うな。何かよくわからんけど事務所がちょっとしたパンデミックになってるから来ないほうがいいってさ
晴,休みか！？
Ｐ,有休扱いしてくれるらしいけど何か変なモノでも食ったのかな、あの災禍の顕主
晴,なぁなぁゲームやろうぜゲーム！
Ｐ,…ま、いっか。よし晴すけ、ラストリベリオンと四八
晴,Ｐー、腹減ったー
Ｐ,１日中家の中で食っ遊んで寝て食ってたクセに
晴,仕方ねぇだろ？いつ元に戻るかわかんねぇんだし外出できねぇじゃんか
Ｐ,そりゃそうなんだけどさ。こんな自堕落に１日過ごしたの何年振りだよ…杏じゃあるまいし
晴,腹へったー
Ｐ,飯要求する態度かそれ。お前の晩飯塩水にしたろか
晴,やめろよぉ！肉食わせろよ肉！
Ｐ,昨夜ステーキ食わせたやん…ほれ、テーブル拭いて片付けといてくれ
晴,うぃー
Ｐ,２日連続ガッツリ肉ってのも育ち盛りには良くない気がするな…あれ、でも今の晴は育ち盛りアフターだから良いのか？。おーい、風呂沸いたからとっとと入れぃ
晴,ちょ、タンマ…食いすぎて動けねぇ
Ｐ,豚バラ照り焼き丼３杯はやりすぎだって言っただろ…ほれ入ってこい
晴,いいよ…Ｐ先に入れよ…
Ｐ,俺のダシが染み出した湯に浸かりたいのかお前は
晴,パパッと浴びてくる！
Ｐ,…自分で言っておきながら、ちょっと悲しい。このまま今日も元に戻らないんかなぁ…あと芳乃はどこまでいったんだろ
こずえ,ふわぁ…じだい、かわったぁ…
現地人,ウホッ！ウホホッ！？
現地人２,ウッホ！ウッホッホ！
マンモスマン,パゴッパゴッ！
芳乃,また間違えてしまいましてー
こずえ,けものふれんずー…？
晴,ふぅ、サッパリした…。おーいＰ。出たからお前も入れよー。…？。おーいＰ－。おいってばー
Ｐ,すやぁ…
晴,うわっ、もう寝てやがる。せめて風呂入ってから寝ろよ…ほら、上着ぐらい脱げっつの
Ｐ,キャストオフ…やめろ愛梨…そこから先は成人指定だ…
晴,どういう夢見てんだよ。はぁ…またゲームやろうと思ってたのに。つまんねぇの。…ま、いいや。オレも寝ちまうか
Ｐ,父さん…どうして母さん出ていってしまったん…
晴,どうせ見るなら良い夢見ろよぉ！。……。もういいや、めんどくせ。電気消すぞー
Ｐ,やみのま…
晴,はいはい、やみのまやみのま。はぁ…風呂あがってそのまま暖かい布団って最高だな
Ｐ,思春期臭い湯たんぽ…
美波,じゃあ今日も１日お疲れ様でした、と言うことで
肇,かんぱーい
翠,かんぱーい
文香,あむあむ
肇,わわっ、文香さん乾杯してから食べましょうよ
翠,…ちょっと不思議な味ですけど美味しいですね、このジュース
美波,事務所の冷蔵庫にご自由にどうぞ
文香,…１０？なんでしょう、この数字…
晴,もうちょいそっち行けよ。オレはみ出してるだろ
Ｐ,げふっ
晴,あ、やべっ。Ｐ布団から追い出しちまった
Ｐ,へくちっ
晴,あーもう。ほら戻ってこいって。クソッこのオッサン割と重ぇ
Ｐ,おいしいから大丈夫だよ…
晴,ふぅ…これでよし
Ｐ,…すやぁ
晴,ホント熟睡してやがる……オレも一応女なんだぞ？。なんかちょっとムカつくから頬っぺた引っ張ってやる
Ｐ,ふぁふぇっふ
晴,ははっ、変な顔。…。……感謝してねぇ訳ねぇだろ、バーカ。そりゃあ、毎度フリッフリの衣装着せたりするし人の事からかってばっかでムカつく事もあるけどさ。最初はオレみたいなのをアイドルにするとか何トチ狂ってんだって思ったけどよ。今は結構仕事も楽しくなってるし毎日充実してるって感じがすんだよ。だから、その……。…ありがとな、Ｐ
Ｐ,むにゃ…
晴,………。…恥ずっ！何言ってんだオレ！。あーっ！もう寝る！おやすみっ！
Ｐ,すぴぃ…
晴,…チクショウ本当に平然と爆睡しやがって。…大きくなったら覚えてろよ？。……。…ぐぅ…
Ｐ,……。狸寝入りでした、なんてもう絶対言えねぇでごぜーますよ…。ふぁああ……。朝か………あ、コノヤロまた人の布団に……っ、て
晴,…んぅ、なんだよぉ…まだ眠いから起こすなよぉ…
Ｐ,いやいや起きろ晴！目ぇ覚ませ！あと俺は枕じゃない！
晴,……はへ？
Ｐ,体、体！
晴,体ぁ……なんだよ、ちゃんと手も足も2つくっついてんだろ…。…。……。１２
Ｐ,２日目でようやくだよ…一晩立っても戻らなかったから正直不安だったけど、いやぁよかった…
晴,うわっ、オレ小っちぇえ！手足短ぇ！胸もあんまねぇ！よかったぁー！マジどうなるかと思ったぜ！
Ｐ,あ、晴さん晴さん。あんまりドタバタ動くと
晴,え？
Ｐ,いや、お前成長したまま寝てたからさ、急に元に戻ると服のサイズがね…ってか下着までいっちゃったね
晴,
Ｐ,…とりあえずシーツ被っときなさい
晴,
Ｐ,…えーっと、着替え着替え……ダメだ着ぐるみしかねぇ
晴,
Ｐ,…
晴,
Ｐ,…晴？
芳乃,ようやく元の星、元の時代、元の世界線に戻れましたー
こずえ,戻ったぞぉー…
芳乃,２日間も留守にしてしまいましたー。かの者もさぞ寂しがられているのでしてー
こずえ,…ふわぁ？ぷろでゅーさー…そら、とんでるよぉ…
芳乃,はてー？そのような力はまだ持っておられぬ筈ですがー？。…あやや、本当ですー。まるで車田作品のような吹き飛び方ですー
Ｐ,いてて…流石に積尸気冥界波は効くな
芳乃,アパートから落下したダメージはー
Ｐ,そりゃ当然あるよ。俺を何だと思ってんだよ…
芳乃,人の枠を超えつつある何か、でしょうかー
Ｐ,何それアギト？…って何か事務所騒々しいな。騒々しくない日のほうが珍しいけどさ。おはようございまーす
芳乃,おはらっきー
千枝,２３
みりあ,２３
薫,２３
ありす,２３
Ｐ,失礼、部署を間違えました。…。あれ、俺まだ寝ぼけてるのかな
芳乃,お目めパッチリですー。多少濁っておりますがー
Ｐ,ハハッ、若干気にしてるのに。おはようございまーすテイク２
芳乃,おっはー
美波,１０
翠,１０
肇,１０
Ｐ,やっぱ寝ぼけてるのかな…それともこれは幻覚？鏡花水月？
芳乃,ところがどっこいー、現実ですー
文香,１０
Ｐ,パンデミックどころかカタストロフしてんじゃねーか
千枝,わぁい♪ちっちゃい肇麺さんだぁ
肇,ちょっと待って千枝ちゃん。なんか今私の名前おかしかった気が…ってどこいくの？どこに連れて行くの！？
翠,どうしましょう…こんな体ではお仕事に差し支えてしまいます
Ｐ,うん、そう言いながら人の膝の上に上ってくるのは何故？
美波,駄目よ翠ちゃん。プロデューサーさんのお仕事の邪魔になっちゃう
Ｐ,うん、そう言いながら逆サイドから攻めてきてるね
薫,見て見てせんせーっ！ほらほらっ、かおる達こんなにおっきくなったんだよー！
みりあ,みりあも大きくなったよー？こっちも見てよぉプロデューサー
Ｐ,せやね、ほんと大きくなったね。だからその急成長したアレで両腕をサンドしないでください柔らかい
ありす,ぎるてぃ
文香,…
ありす,…文香さん？
文香,大丈夫です…きっとプロデューサーさんは尻派です
Ｐ,勝手に人の趣向決めないでくれるかな！？。ええいっ！いつにも増してカオスだなぁウチの事務所！千川っ、千川はどこだァ！
志希,ちひろさんなら残りの一ノ瀬ブレンド回収しにいったよー
Ｐ,…ああ、そう言や晴がああなった時点で俺が冷蔵庫の中身調べておけばよかったんだな
志希,だねぇー。まぁアタシ他にもあちこち隠してけどねー♪
Ｐ,まぁいい。こんな状況俺１人じゃどうにもならん。千川回収してくるわ
志希,ほいほい、いってらっしゃーい。あ、でもその前にさー
Ｐ,お前は罰としてワイルドアームズ６が出るまでそのまんまな
志希,簀巻き蓑虫
