モバP(以下P),おーい。すまん！待たせたか？
ありす,絶ってなにっ！？。どこからツッコめば！？いや、そもそもあの2人……
イヴ,ご注文を伺います～
P,じゃあ、俺はチャーシュー麺塩大と、かき揚げ丼ミニサイズで。餃子は１人前ずつでいいな？
周子,あたしは白ネギ、熟玉子トッピングの、チャーシュー炙り焼き。あと、同じミニ丼ぶりも
ありす,って顔、思いっきりしてるじゃないですか！！。なんで時々ピュアなんですか！気配消してどうにかなる容姿と喋り方じゃないでしょう？
まゆ,サンタさんに直接お礼を言いたい、って夜更かししてた子に言われたくありません～！。３０分しか保たなかっただけでしょう
ありす,クールタチバナだからできた３０分ですよ！舞ちゃんは１０分、美羽さんは２分で寝てました！
まゆ,美羽ちゃん…….
P,おお、食レポ？
周子,え？
P,味見、するか？
周子,………そっちから来たかぁ
P,？
周子,………ちょっともらうね
イヴ,わさびの小皿、特盛りお待ちどうさまですー
P,おお？
周子,………！！
イヴ,ごゆっくりー
周子,………Pさん、こんなの頼んだ？
P,いや……。小皿に練りわさびが山盛りだな。何に使えと
周子,あ、あっちで店長に怒られてる。ああ、あれだ。政治家とかに送られてくる銃弾や刃物の類だね。今はあくまでメッセージ
P,……………………
まゆ,ないすインターセプトです。イヴさん
ありす,いい仕事してますねぇ
まゆ,さて、まゆ達も変装して中に入りますよ。私はこれ。ありすちゃんはこっちを使って下さい
ありす,へ？いや、これ……
まゆ,さて、ミッション、第2フェーズに移行します
ありす,ちょ、待って下さい。先に行かないで下さいってば！
イヴ,ご注文お伺いします～
まゆ,このラーメンアラビアータをひとつお願いします
イヴ,はい～
ありす,あ、わ、私はこの担々麺？でお願いします
イヴ,かしこまりました～
まゆ,なんとかバレずに忍び込めましたね
ありす,正気ですか？
まゆ,ここでしばらく様子を見ましょう
ありす,となり１メートルもない、真横の席ですけどね
まゆ,ちなみに、ありすちゃんが付けているのは、英国紳士が身につける方ではない、鼻眼鏡です
ありす,解説は要りません！！
周子,うーん。長い髪邪魔だなー。脱いでいいかな、これ？。だよねー
P,可愛いけどな
周子,…………
P,無言で蹴るなよ……顔赤いぞ
周子,…………
P,耳まで真っ赤
周子,…………
ありす,まゆさん。お水のコップにヒビが
まゆ,うふふ……。あ、あら？あやめちゃんから連絡が……
ありす,電気街で忍者グッズ探してるんでしたっけ？
まゆ,ええ、ほら。画像つきです
ありす,完全に確信的犯行じゃないですかっ！！
まゆ,心が豊かになりますね
ありす,なりません！！
周子,しかし面白いねー。コンソメ風味なのに、紛れもなくラーメンだ
P,だろう？まぁ、それでもたまに、自称ラーメン通やら有名ブロガーやらが来て、こんなのラーメンじゃねぇ！って難癖付けたりはするみたいだけどな
周子,へー。狭量だねー。ラーメン屋さんって脱サラ組か、たくみん組かのどっちかのイメージだよねー
P,それはさすがに偏見だと思うが……
周子,あ、それで思い出した。そう言えばこの間さー
P,ん？
周子,久しぶりにダーツバー行ったんだけど、そこでガラの悪い連中、10人ちょっとに絡まれちゃってねー
P,ああ、なるぼど
周子,あと、お紗枝はんも一緒だったね。上手い下手はともかく、ダーツ楽しそうだったよ
P,うへー。流石だなぁ……
周子,そして木場さんが次の獲物を見据えようとした時には、お紗枝はんが既に８人沈めてたからね
P,おかしいだろっ！？
周子,店のデッキブラシで、ひと振り３人、ふた振りで６人仕留めてたからね
P,伝説の人斬りかよ
周子,ちなみにデッキブラシをとりに行くまでに２人、投げ飛ばしてたね
P,俺、今度から紗枝とどうやって接したらいいんだろう
周子,下手に迫ったり押し倒したりしたら、全身の骨、粉々になるまで折檻されるかもね
P,ちょ、いきなりなぜ胸ぐらを掴む？
周子,詳しく話せ
P,ちょ
周子,とっとと話せ
P,ど、どうした、周子。口調が変だぞ
周子,いいから、とっとと
まゆ,……………………
ありす,……………………
イヴ,……………………
周子,なーんだ。女子寮の厨房で料理酒に酔った紗枝ちゃんが、味見に来てたPさんに壁ドンしてクダを巻いたと、そんなオチかー。ゴメンゴメン。ついカッとなっちゃって。もうしないから許してーん。ん？
イヴ,……………………
P,ふー。食った食った。ちょっと食い過ぎた
周子,ごちそうさまー。ホントに美味しかったよ。また来ようねー？
P,そうだな。また今度な
周子,まゆちゃん達はまだ出てこないねー。よく知らないで注文しちゃったかー。可愛いねー
P,よし。もういい時間だ。帰るとしよう。送ってくよ
周子,ああ、いいよいいよ。送り狼計画してるってんなら喜んで送られてあげるけど、そんなカイショーないでしょー？。いやー、実はこの後、ちょっとだけ用事があってさ。すぐお紗枝ちゃんと合流する予定なんだ。うん。リョーカイ。じゃあねー。おやすみーん
P,おう。お休みー。また明日なー
周子,さーて、待ち合わせの場所に急ごう。ん？着信？電話じゃないな。なになに？。………………………。………………………。………………………。シューコちゃん、今日は帰りたくないなぁ……
P,あー。美味かったけど、なんか疲れた。帰って寝たい。もう寝たい。ああ、そう言えば何も食べてなかったよな。お前も頑なだなぁ。すねるなよ。帰ったら何か作ってやるからさ。もりくぼは分かりやすいなぁ！。もりくぼは可愛いなぁ！。よし。帰るか。俺たちの家に
