※枕バグはやばかった,過去形
果穂,そうですね。この曲は私のアイドルとしての始まりの曲です。私にとっても大切で、毎回エンディングに流してもらってるくらい思い入れのある曲なのですが……。今のところ歌う予定は無いですね。ごめんなさいです、Nさん
DJ,お、それはまたどうして？
果穂,そうですね、主な理由は声変わりです
DJ,あ～！七年前だと果穂ちゃんは……中学生？
果穂,ギリギリ小学生でした。それで、当時と同じ声が出せなくなっちゃったんですよ。今でも練習で歌ったりするんですが、曲のイメージ通りに声が出なくて
DJ,それでもいいんじゃない？果穂ちゃんの歌唱力ならバッチリな仕上がりになるでしょ
果穂,ダメですよ。大切な曲ですから、私が満足する出来になるまでは歌いません。だけどそうですね。もしそうなれたら、真っ先に皆さんにお届けしたいと思います。頑張って練習するので、待ってて下さいね！
DJ,お、ますます果穂ちゃんの活躍が楽しみになりますねぇ。……っと、そろそろお別れの時間が近づいてきました。それではいつもの曲で締めくくりましょう。せっかく話してたんだし、今日のコールは果穂ちゃんに頼もうかな
果穂,わかりましたっ！それでは、今週もこの曲を聴きながらお別れです。放課後クライマックスガールズで、夢咲きAfterschool
DJ,果穂ちゃんさ、声変わりってあれ嘘だよね
果穂,何でそう思うんですか？
DJ,何でって、思い入れのある曲なんでしょ？それなら、歌わない理由として声変わりは弱いかなって。それに、当時と比べて凄い声変わってるわけじゃないじゃん
果穂,……今の自分の歌に納得がいってないんですよ。それは本当です。ここで数フレーズ歌いましょうか？
DJ,え、良いの？
果穂,別に構いません。減るものでもないですから。それでは……。Everybodylet'sgo!。Viva!afterschoolyearyear。Viva!afterschoolyearyear......。……と、こんな感じです。やっぱりダメですね
DJ,そうかな。個人的には結構アリだと思うんだけど。そりゃ当時と雰囲気が違うのは分かるけど
果穂,ナシですよ。そもそも歌詞からして違いますから
DJ,？歌詞は合ってるよね
凛世,失礼します。小宮果穂はこちらに居るでしょうか
DJ,ん？あ、君は283プロさんの……
凛世,マネージャーをさせて頂いてる、杜野凛世と申します。小宮果穂のお迎えに参りました
果穂,お疲れ様です、凛世さん
凛世,はい。お疲れ様です、果穂さん
DJ,むむ。それじゃあ果穂ちゃん、帰る前に一つだけいいかな
果穂,はい、もちろんです
DJ,夢咲きAfterschoolさ。今日のハガキと似たような問い合わせ多いんだよね。長年歌われてない、小宮果穂のデビュー曲と言えば注目度も高いわけだし。だから、こっちとしては再レコードとかも考えてくれると有り難いんだよね。……ま、無理強いはしないけどさ。果穂ちゃんにも拘りがあるみたいだし
果穂,わざわざ車回してもらって、ありがとうございます
凛世,急な雨模様でしたから。今日の果穂さんは、傘をお持ちでないようでしたし
果穂,さすが凛世さんです。よく見てますね
凛世,お褒めにあずかり、恐縮です。それで、今日はどうしますか？。私としては、直帰の方がよろしいと思いますが
果穂,……抗議の文、もう来たんですか
凛世,はい。〇〇〇事務所から、今日付けで
果穂,そう……ですか。それでは、今日は直帰しますね。家までお願いします、凛世さん
凛世,承りました
果穂,その、凛世さん……。プロデューサーさんのこと、よろしくお願いします
あの曲の出だしは,Everybodylet'sgo!
文書するとしたら,えびばでぃれっつごー！
凛世,ただ今、戻りました
P,うぃー。お疲れー
凛世,はい、お疲れ様です。プロデューサー様。……また随分と、お飲みになられていますね
P,別にいいだろ。定刻はもうとっくに過ぎてるんだから。それに、果穂から直帰の連絡もらったし
凛世,プロデューサー様を、責めてるわけではありません。……ただ心配なのです
P,飲みすぎはしない。自分の限界も能力も、自分でよく分かってる
凛世,そうで、ございますか。それでは、〇〇〇プロダクション様からの書面の件ですが……
P,ん？ああ、俺の机の上に置いてある
凛世,では、拝見させて頂きます
P,つってもいつも通りの内容だけどな。面白くもない。なーにが貴社のアイドルによるパワハラだ。薄汚いことばっかやってるのはアイツらの方なのにな
凛世,返答の方は……
P,もうしてる。こっちもいつも通りそんな事実はないだけどな。何もかもそうだ。何も変わらないイタチごっこだ。悪徳プロダクションが数多くあって、それを疎む連中がいる。そいつらに請われて、正義のヒーローが悪を裁く。だけど芸能界全体は変わらない。利益しか考えない銭ゲバどもは、工作や裏取引を繰り返す。業界を憂う役立たずどもは、果穂を正義の象徴へと祭り上げる。その結果は明白だ。果穂だけが削られていくんだ。悪意に晒されて、重荷を背負わされて……。ふざけるな……ふざけるなよ……！。ああくそったれめ！全員クズだ！〇〇〇プロダクションも、あのディレクターも！。みんなクズだ！んぐっ……んぐっ……はぁーっ！。……ちくしょう……ちくしょう……
凛世,プロデューサー様。これ以上は、お身体に障ります。今宵はもう休まれた方がよろしいかと
P,……分かってる。分かってるよ。本当は分かってる。分かってるんだ。誰が一番役立たずのクズなのかってことは……
凛世,プロデューサー様……？
P,ヒーローは一人じゃなれない。守るべき人がいて、初めて人はヒーローになる。そういう意味で、果穂をヒーローにしてしまったのは俺だ。全部、俺があの日に決定づけてしまったことだ。俺は何であの日に事務所いた？。何であの時ちょうど果穂が来てしまった？。何で……
凛世,……プロデューサー様。失礼致します
P,凛世？どうしたんだ、俺の手なんか握って……
凛世,プロデューサー様。凛世の知らぬ、辛く悲しいことがあったのですね。どうか、その事をこの凛世にお話しください。話す事で、楽になることもありましょう。お願い、致します……
P,……凛世
天井社長は,年齢も若いし、問題なく続けられる
P,当時のWINGは間違いなく権威のある大会だった。そこで不正がまかり通ってしまった事で、この業界は大きく変わった。不正、策謀、裏工作。色んなことが、あの大会以降は普通になってしまった。元からそういう事をしている奴らはいた。清廉潔白な業界でない事は分かってる。だけど、理不尽に夢が踏みにじられる場所ではなかったはずだ。だから願ってしまった。誰かにこの惨状を変えて欲しいと。貶められた放課後クライマックスガールズの無念を晴らして欲しいと
凛世,その想いを、果穂さんが汲んだしまったと？
P,そうだ。果穂は聡い子だから、俺の半端な態度で察してしまったんだろう。……察せられるべきじゃ無かった。プロデューサーなら、その感情を隠して堂々としてるべきだった。結局俺は、今も果穂にヒーローを期待してる連中と何ら変わらない。果穂に背負わせて、笑顔を奪ってしまったんだ。凛世も仕事以外で彼女が笑ってるのを見てないだろ？
凛世,それは……はい……
P,なぁ凛世。俺の好きなアメコミの中にさ。こんなジョークがあるんだよ。最近はこのフレーズが頭の中をグルグル回ってるんだ。そりゃ、そのアメコミの使われ方とは意味はずれるけどさ。笑顔を与えるのがヒーローなら、誰がヒーローに笑顔を与えてあげられるんだろうってさ。誰が今の果穂を笑顔にできるんだろうって。……俺にはできなかった。経験も能力も足りなかった。果穂のヒーローには、なってやれなかった。ああ、駄目だ。やっぱり駄目だ。酒がいる、飲み足りない……！。手を離してくれ、凛世。情けないのは分かってる。でも、駄目なんだ。気が狂いそうなんだよ
凛世,嫌、です
P,……凛世！
凛世,駄目です。この凛世、命に代えても放しません。これ以上お飲みになれば、プロデューサー様の御心が傷付きます。プロデューサー様の頼みと言えど、それは聞けません。プロデューサー様の思い、この凛世しかと受け止めました。おっしゃられた悲嘆や自戒の一片足りとも否定はできません。ですが、それは凛世も同じなのです
P,同じ……？
凛世,はい。私も、同罪なのです。果穂さんを守れず、このような自体を招いてしまった。故に、私は私を許せず、実家との縁を切ってまでここにおります。同じなのです。ゆえに、プロデューサー様のみが罰せられる謂れは無いのです。……どうか、ご自愛下さいませ
P,……凛世は……。凛世は、強いな……
凛世,プロデューサー様のお言葉のお陰です。やりたいことをせよ、との言葉は今も、凛世の心の中を明るく照らしております
P,……。やりたいこと、やるべきこと、か……
記者,……それじゃあ最後に、ライブにむけて一言いいかな
果穂,はい！今回は、私にとって多くの節目となるライブですが、あまり気負わずにやろうと思います。いつも通り、みなさんにはバッチリたっぷり笑顔をお届けするので、応援してくださいね！。以上です！
記者,ありがとう。うん、これならいい記事が書けそうだ。じゃあ、録音切って……っと
果穂,お疲れ様でした。時間、随分と余ってしまいましたね
記者,そうだね。ははは、時間配分もう少し考えるべきだったかな
果穂,……わざと、ですよね
記者,おや、どうしてそう思うんだい
果穂,時間に対して、質問の量が明らかに少なかったですから。それに、そういうミスをする方には見えなかったので
記者,……なるほど。うん、そうだね……言ってしまうと、個人的な取材かな。僕はね。より良い記事を書くためには、そのアイドルの芯を知る必要があると思ってる。だから、トップアイドル小宮果穂が何を考えて歌っているのかを知りたいんだ。まぁ、君に関しては僕の信条以前に、業界の記者みんなが知りたがってるとは思うけど
果穂,それでライブの取材という名目で、取材を申し込んだんですか？
記者,名目、というほど蔑ろにするつもりは無いけどね。仕事は仕事さ。もちろん、仕事と個人的な取材の区別はしっかりとつける。この後に聞くことは記事には書かない。録音もしない。ただ反映する。記事に君の理念が息づくようにしたいし、読者に君のことで誤解を与えないようにしたい
果穂,あくまで良い記事を書くために、ということですか
記者,僕としては、そのつもりだ
果穂,……わかりました。可能な限り真摯に答えようと思います
記者,後出しする形になって申し訳ないんだけど、記録に残さない分突っ込んだことも聞くけど……
果穂,問題ないです
記者,……取材を受けてくれて、ありがとう。それじゃあ早速聞くけど。君にとって、アイドルとはなんだい？
果穂,アイドルとは、ですか
記者,いきなり抽象的な質問で申し訳ない。デビュー当時はみんなを笑顔にするものって答えてくれてるよね。それは今でも変わってないのかな？
果穂,変わってないです。今でもヒーローのように、みんなに笑顔を届けるものでありたいと思ってます
記者,なるほど。基本のスタンスは変わっていない、と。しかし、それに反してオーディションでの立ち振る舞いは大きく変わったよね。その、過激というか苛烈と言うべきか……
果穂,ハッキリ言ってもらって大丈夫ですよ
記者,……悪く言えば、実力の足りていない者達を潰すようなことをしている
果穂,そうですね。否定しません
記者,あ、そのことの善悪を論じるつもりは無いからね。ただそういった事を始めた経緯を知りたい。僕としては、WING事件が契機なのかと思ってるんだけど……
果穂,WING事件って、私達のWINGのことですか。そんな風に呼ばれてるんですね
記者,僕たち記者の間ではね。真実はともかく、業界の今を決定づけた大会だったから。だけど、当事者からすれば事件よばわりは快いものでは無かったかな。失言だった。謝罪するよ
果穂,……いえ、そこは問題ないです。もう割り切れてることですから。だけど違うんです。確かにあのWINGは重要な出来事でした。ユニットにとっては、特に。その後の解散ライブに繋がることですから
記者,解散ライブというと、果穂ちゃんの当時のユニットのものかい。確かに、WINGで優勝していればそこから一年前後で解散ということも無かっただろうね
果穂,はい。そして、記者さんの言葉を使うなら、解散ライブこそが私にとっての契機だと思います
記者,……契機
果穂,あの頃の私は、ヒーローみたいになれたと思ってた、ただの小宮果穂でした。甘くて、手緩かったんです。世の中は善意で満ちていると信じることができていました。努力は必ず報われるものだと盲信していました。……あの日、ステージの照明が落ちるその時までは。……後から分かったことですが、◯◯◯プロの人達がライブの日の前後にハコの周辺で目撃されていたそうです。また、当時の同プロダクションから放課後クライマックスガールズと良く似たユニットが売り出されていて。そちらとは、客層を取りあってる形になってたみたいですね
記者,停電の話は聞いていたが……いや、しかしそこまでとは……
果穂,事務所の外には出したことの無い話ですから。どのみち、証拠になる程のものはありません。◯◯◯プロが妨害を行ったかどうかは、永遠に闇の中。あるのは事実だけです。悪意によって理不尽に踏みにじられたものがある、ということだけ
記者,君はその日、それに気づいて認めてしまったと……？
果穂,そうです。あの日、私の胸に残っていた最後の希望が凍りついて、粉々に砕けました。私は生まれ変わり、無意味な芸能界に自分の考えを記そうと決意しました。それがトップアイドル、小宮果穂です。私は三年で、自分のパフォーマンスを磨き上げました。圧倒的なパフォーマンスがあれば、悪意が入り込む余地が無い。そう考えたから。幸いなことに、良い師と才能には恵まれました。何より、偉大な先達から多くのことを学ばせてもらいました。そして、四年目から今現在のような活動を本格化させます。私の考えを体現するために
記者,それが、あのオーディションであり、君のアイドル活動というわけだね。正しいものが、正しく評価されるべきだという君の怒り……なのかな
果穂,……そういう意味では、あのWINGに帰結してるのかもしれません。いえ、かもしれませんじゃないですね。間違いなくそうだと思います
記者,何が思い当たる節が？
果穂,執着……ですかね。五人で掴めるはずだったものに、私は今もなお執着してると思います。やっぱり、あのWINGの方こそが契機だったのかもしれませんね……
記者,……ここまでにしとこうか。改めて、取材の件でお礼を言わせてもらうよ
果穂,いえ、こちらこそお話を聞いて頂いて感謝してます。不快な話で、申し訳ありませんでした
記者,そんなことないよ。そんな風に思えるはずもない。……何というか、君はとても純粋な子なんだね
果穂,純粋ですか。確かに昔はそうだったと思います。だけど、今は……
記者,今もだよ。だからこそ、謝罪もさせて欲しい。業界を担う者の一人として、一人に背負わせてしまったことを、心から申し訳ないと思うよ。こんなことなら、もっと早くに取材に来るべきだったかな
果穂,それは……すみません
記者,僕はともかく君は忙しい身だ。仕方がないことだよ。なんせトップアイドルなんだ。それで、最後に一つだけいいかな。さっきの話で、思い当たったことがある。単なる噂なんだけど
果穂,噂ですか？
記者,うん。君と、君の会社の人には知っておいてもらった方がいいと思ってね。◯◯◯プロの社長、最近あのハコの辺りに出没してるらしいんだ
P,果穂、こんな所にいたのか。探したぞ
果穂,ステージ裏って何だか落ち着くんですよ、プロデューサーさん
P,そうか
果穂,探してた、って言ってましたけど……本番まではまだ時間ありますよね
P,ああ、段取りについつは何も問題ないよ。あ、そうだ。飲み物いくつか買ってきてあるんだ。何か飲むか？
果穂,それじゃあ、ホットチョコレートをお願いします
P,はい、ホットチョコレート。俺は何にしようかな。そうだな……
果穂&P,ホットコーヒー
P,……おっと、言い当てられちゃったか
果穂,プロデューサーさん、いつもそればっかりですから
P,ははは、果穂には敵わないな
果穂,プロデューサーさんが分かりやすいんです。大体の行動が先読みできるようになっちゃいました。もう、八年の付き合いですから
P,そうか。そうだな、八年か……
果穂,はい……。……プロデューサーさん
P,何だ？
果穂,最後かもしれないので、言いたことを言わせて下さい
P,……ああ
果穂,プロデューサーさんはあの時から、私に負い目を感じていると思います。だけど、私に謝罪の言葉を言ったことはありませんよね？
P,……直接は無いな
果穂,私は、それが嬉しかったです。変わってしまった私を否定せずに、好きなようにやらせてくれたこと、感謝してます。プロデューサーさんが負い目を感じてることを知ってて、見ないふりをしてたこと、ごめんなさい。プロデューサーさんがプロデューサーさんで、本当に良かったです
P,……そうか。俺にとっても、果穂は自慢のアイドルだよ。今も昔も俺の誇りだ。それは変わらない
果穂,っ……
P,なぁ、果穂。本番の前に合ってもらいたい人がいるんだ。いいか？
果穂,……はい
P,ありがとう。それじゃあ来てくれていいぞ。……夏葉
観客,ハハハハハ！。お、この曲知ってるぞ！。ん？俺も聞いたことあるな……。ハイ！ハイ！ハイ！ピース！。多分完璧！！。行くよみんな！！
智代子,それじゃあ初日のライブの大成功を記念いたしまして、乾杯の音頭を取らせて頂きます！。乾杯！
P,んぐっ……んぐっ……ぷはーっ！
夏葉,あら、このお酒結構いけるわね
樹里,じゃあメインディッシュを切り分けるか……
智代子,さすが樹里ちゃん！相変わらず気がきくね！
凛世,よろしく、お願い致します
樹里,……ったく、しょうがねーなー
夏葉,樹里、顔にやけてるわよ
樹里,んなことねーよ！！
P,ははは……ぐびぐび……
果穂,ちょーと待ってください！！。せ、説明が欲しいですっ！。ライブの夢咲きAfterschool！あれ歌ってたのって皆さんですよね！？
夏葉,あら、迷惑だったかしら？
果穂,そんな事は、無いですけど……。むしろとっても嬉しかったですけど……
夏葉,そう、良かったわ。それならプロデューサーも浮かばれるわね
果穂,プロデューサーさんが……？
樹里,何ヶ月か前だったかな。プロデューサーからいきなり連絡が来たんだよ。一曲だけで良いから、また歌って欲しいってさ
智代子,いやー、連絡が来た時は凄いビックリしたよ。連絡来た時は深夜だったし、凄いプロデューサーさん酔ってたし……
P,ははは……ぐびぐび……
果穂,それで良くオーケーしましたね……
智代子,それでも、凄い深刻そうだったからね
樹里,二つ返事で了解したは良いけど、それからが地獄でさ。休日全部返上で、ボイストレーニングはさすがにこたえた
智代子,昔はもっと楽だった気がしてたんだけど……やっぱり若さだったのかなぁ
P,……ぐびぐび……
樹里,ま、後悔はしてねーけどな
智代子,うん。そうだね
果穂,えっと、つまり……？
凛世,果穂さん、プロデューサー様は〇〇〇プロのことを知っていたのです。果穂さんの取材のあと、記者様から連絡がありまして
果穂,……とすると私が報告しなかったことも……
凛世,存じておりますよ
果穂,り、凛世さん……？相談しなかったこと、怒ってますよね……？
凛世,はい。少しだけ、ではこざいますが
果穂,……う。ごめんなさい
凛世,いえ、果穂さんの気持ちも分かりますから。だからこそプロデューサー様も、未然に防ぐのではなく、あらゆる対策を講じることにしていました。皆様を集めたのも、その一環です
P,……ぐびぐび……怪我人が出るようなら……さすがに防いだけどな……ぐびぐび……
凛世,プロデューサー様？飲み過ぎでございます。明日も仕事なのですから
P,……う
樹里,なんか凛世の奴、昔より強くなってねーか？
智代子,プロデューサーさん、年取って何だかダメ人間度マシマシになっちゃったから……
樹里,こりゃ尻に敷かれる日も近そうだな……
智代子,そうだね
夏葉,結局のところ、プロデューサーが果穂のことで助けを求めて来た。私たちは二つ返事で集まって来た。それだけのことよ
果穂,それだけ、って。それだけでも、スゴイことじゃないですか……！
夏葉,いい果穂。私たちはいつでもあなたの事を想ってる。私たちだけじゃなく、あなたを想ってる人はたくさんいる。何かあったら、遠慮なくその誰かに連絡しなさい。力になれなくても、笑わせてあげるくらいは出来るはずだから
果穂,夏葉……さん……
夏葉,といっても、私じゃ説得力がないかしらね。芸能界を離れて、内情には疎くなってしまったから……
果穂,そ、そんなことないですっ！。やっぱり皆さんは、スゴイ人ですっ！
夏葉,そう？そう言ってくれるなら、私も救われるわ
果穂,……。プロデューサーさん、相談があります。その、明日のセットリストのことで。無理を言ってしまうかもしれませんけど……
P,うん、大丈夫だ……そう言うと思って、準備してある。もう大丈夫……だよな？
果穂,はい。心配ご無用です。大切なものは、思い出せましたから
