でみほ,熊本じゃあんまり納豆食べないから……
優花里,それは大げさでは？
麻子,生産量は１位だからいいじゃないか
桃,そんな中途半端なこと言ってるから都道府県魅力度が３年連続最下位なんだ！！
華,それは偏見です！
みほ,関係ない気がしますけど……
杏,まあまあ。でもさ、茨城としても納豆を押してるのに消費量９位ってちょーっとまずいよねぇ？
優花里,まずい、のでしょうか……？
杏,まずいまずい。でさ、幸い大洗は全国優勝して県内からも県外からも注目されてるじゃん？そこであたしらでこうどーんと納豆を押して、茨城の納豆消費量を押し上げようってわけよ
みほ,はぁ……
桃,その一環で、貴様らが前面に出てほしい
みほ,わかりました。頑張ります！
杏,ってわけで、あんこうチームは今日から納豆チームね
みほ,え
柚子,パンツァージャケットとⅣ号も納豆マークに書き換えておいたからね
優花里,ああ！あんこうがわら納豆のマークになってますぅ……
桃,あとパンツァー・フォーは次から納豆・フォーで行け
麻子,それ納豆前進って意味になるぞ
杏,それに今度からあんこう踊りに代わって納豆踊りを踊るからマスターしといてね
柚子,これ納豆スーツ。はいどうぞ
華,茶色の全身タイツに茶色無地のスイムキャップ……ですか
沙織,これじゃあんこうスーツの方がまだマシだよぉ～
杏,じゃ、よろしくね～
みほ,ではカモさんチームとかばさんチームが先行してください。納豆チームがしんがりを務めます。ウサギさんはＮＡ１０地点で待ち伏せを。納豆が敵フラッグ車を追い込みます。最後は納豆と相手の一騎打ちに持ち込みます。相手にぴったりくっついて分散させていくねばねば作戦です。それでは全車、納豆・フォー！。たれでしょーゆでねっばねば～
沙織,もうやだっ！！納豆チームって大体何なの！？
優花里,私もう納豆飽きてきました……
麻子,納豆をＰＲするには納豆に親しまねばならんといわれて毎日毎食納豆がついてくるからな。大量に
華,しかも納豆ご飯しかバリエーションがありませんもんね
沙織,そぼろ納豆でいいから食べたい―――――！！ノーマル納豆飽きた――――！
みほ,ねーばねばーねーばねばー。フフフ
優花里,西住殿しっかり！
桃,情けないぞ貴様ら！
杏,頑張ってるねー
柚子,みんなお疲れさま
麻子,元凶が来たぞ
華,納豆に漬けますか？
沙織,もう勘弁してくださいよぉ。このままじゃ納豆嫌いになっちゃいますー
杏,それがさぁ、学園艦の納豆消費量はずっと横ばいでねぇ。あたしも干し芋のかわりに甘納豆にしてんだけど効果ないみたいでさ
華,甘納豆と納豆は別物ですよ？
麻子,干し納豆にしたらどうだ？茨城の特産だぞ
桃,こうなっては仕方がないから、納豆チームの貴様らには他の学園艦へ視察に行ってもらう
みほ,他の学園艦ですか？
桃,そうだ。我々よりも納豆消費量の多い学校へ行ってもらう。そこで消費量を上げるための秘訣を盗み出して来い
優花里,それって……
カチューシャ,ミホーシャ達！我がプラウダ高へよく来たわね
ノンナ,ようこそ、納豆チームの皆さん。お話は伺っています。こちらへ
沙織,ねえ麻子、プラウダ高校ってそんなに納豆食べてるの？
麻子,プラウダ、っていうか青森の納豆消費量は全国５位だ平成２７年
華,それはまた微妙なところですね
麻子,ちなみに１位は福島県。２位は群馬県。３位は長野県で４位は秋田県だ。この中のどれか一つでも知り合いがいるか？
優花里,ええと、盾無高校とか中立高校は長野ですけど……
みほ,こんなことお願いできる知り合いはいないもんね……
麻子,そこで５位の青森プラウダ高校になったんだ。我慢しろ
カチューシャ,聞えてるわよ！まるでうちを代用品みたいに言わないでちょうだい！ニーナ、アリーナ！
ニーナ・アリーナ,はい！
カチューシャ,見せてやりなさい！我がプラウダが誇る納豆料理を！！
ニーナ・アリーナ,Ураааааааа！
みほ,すごい、料理がどんどん……
ニーナ,でぎましたぁ！特製ボルシチです！
沙織,はやっ！？っていうか、ボルシチ？
ノンナ,納豆汁のことです。我が校では納豆汁のことをボルシチと呼んでいます
カチューシャ,ちなみにピロシキの中のお惣菜は納豆よ
アリーナ,プラウダ名物の納豆ピロシキです！
優花里,衝撃です……
みほ,頂きます……。あ、おいしい
華,納豆汁も暖かいです。体にしみますね
麻子,……そういえば
優花里,どうしました、冷泉殿？
麻子,プラウダにはもう一人いなかったか？ロシア人の
ノンナ,クラーラですか？
カチューシャ,ああ、いるわよ。いるんだけどね……。クラーラ！！
クラーラ,ふぁい
沙織,クラーラさん！？鼻栓してどうしたんですか？
カチューシャ,クラーラはね、納豆が大っ嫌いなの。ニオイも駄目みたい
クラーラ,ふぉれだけふぁふぉうもふぃがてでしゅ
カチューシャ,普通に言いなさいよ！
ノンナ,鼻栓外しますよ、クラーラ
クラーラ,Пушистые！！Пожалуйстаостановите.Толькоэто...
カチューシャ,日本語で言いなさいよ！
クラーラ,コレだけはダメデス……。カンニンしてつかぁーサイ
カチューシャ,どこで覚えたのよそんな日本語……。まあ、見てのとおりなの
みほ,外国の方って納豆苦手な人多いっていいますもんね……
優花里,まあ客観的に見たら腐った豆ですもんね。普通食べませんよ
クラーラ,ワカッテいただけマスか！二ホンはユタカな国と聞いていたノニ、まさかクサッタ豆を食べてるナンテ……
カチューシャ,腐った豆じゃないわ、納豆よ！っていうやり取りも何回目かしらね……
ノンナ,我がプラウダ校では朝昼晩と納豆料理が出るのでクラーラは苦労しています
みほ,それは大変ですね……
ノンナ,我々も納豆の魅力をわかってもらいたいと思っているのですが……、カチューシャにピーマンを食べさせるよりも至難の業です
カチューシャ,ちょっとノンナ！それどーゆ―ことよっ！。え？
アンチョビ,ノリと勢いと納豆の県からドゥーチェ参上だ！恐れ入れ！！
みほ,安斎さん！？
アンチョビ,アンチョビだっ！ア・ン・チョ・ビ！！
優花里,しかしまた何でこんなところに？
アンチョビ,食材の買い付けだ。プラウダの野菜や畜産物は安くておいしいからな！
カチューシャ,当たり前でしょ！なんたってプラウダなんだから！
アンチョビ,ところで納豆が嫌いな奴がいると聞いたんだが……
クラーラ,ワタシですガ……
アンチョビ,なるほど……、このドゥーチェに任せればお前の好き嫌いも一発で直してやるぞ！
ノンナ,本当ですか？
アンチョビ,本当だ本当だ！すべての食べ物を美味しく楽しく食べてもらうのがアンツィオ校の流儀だからな！継続高校の連中にシュールストレミングとサルミアッキを克服させた私の腕を信じろ
沙織,え、あの世界一不味い食べ物たちを！？
アンチョビ,１０日ぐらい絶食させたら泣きながら食べてくれた
麻子,強硬手段じゃないか
アンチョビ,あ、これ冗談だからな？イタリアジョークだからな？普通に料理したからな？
華,逆にどう料理されたのか、私、気になります
アンチョビ,よし！じゃあまず簡単な奴から行くぞ！。最初につくるのは納豆チーズトーストだ！
クラーラ,納豆にチーズ！？
アンチョビ,どっちも発酵食品だからな。用意するのは次の食材だぞ！
納豆チーズトースト,１人分
アンチョビ,納豆は添付のたれを入れてよくかき混ぜる！。それを食パンの上に乗せて、ケチャップとチーズをかけて……。５分間トースター焼くだけだ。ケチャップの量は大匙一杯程度でいいぞ！
クラーラ,こ、コレは……
沙織,美味しいの？これ……
麻子,……頂きます
優花里,あ、おいしいです！
みほ,本当だ！意外と合う
クラーラ,うう……、でも少し納豆臭い
アンチョビ,そうか……。よし！続いては趣向を変えて納豆とトマトの冷製パスタだ！
ぺパロニ,パスタっすか！？
カルパッチョ,ぺパロニ！ドゥーチェの邪魔しちゃ駄目じゃない！
アンチョビ,あれ？今見覚えのあるやつらがいた気が……。まあいい。用意するのはこれだ！
納豆とトマトの冷製パスタ,１人前
アンチョビ,納豆はあらかじめたれと混ぜておけ。トマトはスプーンでタネを取って１センチぐらいのサイコロ状に切るんだ。危ないからケガするなよ？。ついでに大葉も千切りにしておく。こいつは最後に飾りで使うからな。そしてパスタだ。いいかお前ら、パスタのゆで時間はひっじょ～に重要だ。先にお湯を沸騰させて、塩を一つまみ入れる。今回は市販のパスタ麺だからパッケージに書いてあるゆで時間で構わん。湯で終わったら氷水で冷やして水気を切る。パスタはこの作業が命だからな！。続いてボウル麺とオリーブオイルを混ぜ合わせて、塩コショウとレモン汁で下味をつける。そこに主役の納豆とトマトをどーんと投下だ！。トマトと納豆がパスタとよく混ざったらさらに盛り付けて、大葉を散らしてブラックペッパーを振りかけて……。はい、完成！！
沙織,おしゃれ―！！
華,納豆料理とは思えませんね
ノンナ,トマトの酸味が聞いていて何とも言えません。美味しいです
カチューシャ,納豆もちゃんとマッチしてて最高よ！
クラーラ,大葉やレモンなんかの風味が聞いてマスガ……、でもやっぱり納豆ガ……
アンチョビ,気にするな！次はメインディッシュ！納豆ハンバーグだ！
エリカ,ハンバーグ？
小梅,エリカさんいきますよ！！
アンチョビ,納豆ドライカレーと迷ったんだけどな、炭水化物が続くのもあれだし
まほ,カレー？
小梅,隊長ー！！
アンチョビ,ん？なんだ？
みほ,なんだか聞き覚えのある声が……
アンチョビ,まあいい。用意するのはこれだ！
ひきわり納豆ハンバーグ,二人分
アンチョビ,このハンバーグは和風ダレで食べる！タレの材料も載せておくぞ！。まずは玉ねぎをみじん切りにしてよく炒める！タマネギの色が透き通ってきたら納豆を加えてさらに炒める！この時に塩とコショウで味を調えたら、火からおろしてよく冷ましておくんだ。続いてボウルにひき肉とパン粉、片栗粉、サラダ油をそれぞれ用意した分量入れて、さらにさっきのいためたタマネギと納豆を加えてよく混ぜる！タマネギと納豆はちゃんと冷まさないとこの時やけどしちゃうからな？気をつけるんだぞ？
エリカ,ハンバーグづくりはここが重要なのよ！混ぜ！混ぜが命なの！！
小梅,帰りますよエリカさん！
アンチョビ,さっきから騒がしいな……。ま、いいか。よく混ぜ合わせたら形を整えて焼くだけだ。ちゃんと中まで火を通さないと食中毒になっちゃうかもしれないから、ここも十分注意しろよ？ドゥーチェとの約束だぞ。次に和風きのこソースの作り方だ！。大根おろしに砂糖、しょうゆ、酒、水を入れて火にかける。一煮立ちしたら本シメジを加えて、その後に水で溶いた片栗粉を入れてとろみをとろみをつけるんだ。最後はハンバーグをさらに盛り付けて、さっきのソースをかけてねぎを散らしたら完成だ！付け合わせになすとししとうの素揚げを添えるときれいだぞ！
優花里,美味しいぃぃぃぃぃ！！
みほ,さっぱりしてていいですね！
カチューシャ,これなら納豆臭さもないわよ、クラーラ
クラーラ,あ、本当デス……。オイシイ……
カチューシャ,ね？いけるでしょ？
アンチョビ,最後はデザート。納豆ヨーグルトパンケーキだ！
沙織,納豆……、ヨーグルト、パンケーキ！？
麻子,それは美味しいのか？
アンチョビ,このドゥーチェが作るんだ、あったりまえだろ？材料はこれだ！
納豆ヨーグルトパンケーキ,一人前
アンチョビ,まずボウルに牛乳、ヨーグルト、溶き卵、それに納豆のたれを一袋入れてよく混ぜる！。さらにホットケーキミックスを加えて、粉っぽさが無くなるまで混ぜる！。さらにさらに納豆を入れてもっと混ぜる！！。混ぜ終わったら軽く熱したフライパンで両面がこんがりするまで焼いて、焼き終わったらバターとメープルをかけて完成だ！
華,パンケーキ、ですね、普通に
カチューシャ,うん、イケる！おいしいわ！！
麻子,これは意外性がある。そして甘くておいしいぞ……
クラーラ,！！
アンチョビ,どうだ、クラーラ
クラーラ,お、美味しかったデス！タダの腐敗物ではなかったんデスネ、納豆
アンチョビ,納豆のおいしさをわかってくれたなら料理人冥利に尽きるなぁ
沙織,アンチョビさんって料理人なの？
麻子,そこは置いておけ、沙織
ノンナ,どうですか？クラーラ。納豆は克服できましたか？
クラーラ,ノンナ、私、納豆食べられソウデス！
カチューシャ,ま、ゆっくりやればいいわ。嫌な顔して食べられるのは私が嫌だし
クラーラ,笑顔デ食べマスよ！
優花里,よかったですねぇ～。クラーラさん
みほ,うん。好き嫌いが克服できて
華,あの……、何か忘れてませんかね？クラーラさんの好き嫌いは関係なかったような気もするんですけど
麻子,さあ？何だったかな？
沙織,うーん。まあいいんじゃない。一件落着っぽいし。なんかこれ以上は面倒だし
華,それもそうですね
クラーラ,Вкусный！もう一パック！
ノンナ,ク、クラーラ。これで２０パック目ですよ……？
クラーラ,私、納豆がクセにナリマシタ！
ノンナ,そ、それはよかったです、けど
ニーナ,カチューシャ様！学園艦の納豆がもうすぐ底着きますだ！
アリーナ,学園艦で作った分じゃ足りないべ！！
カチューシャ,緊急輸入よ！茨城から直接買い付けなさい！
ニーナ・アリーナ,Ураааааааа！
桃,我が校の納豆消費量を上げるべく考案した新メニュー、納豆かけ納豆だ。今日から食堂の定食にはすべてこれがセットになる
杏,あと納豆かけ納豆の納豆和えもあるよ～
柚子,納豆かけ納豆の納豆和え～ひきわり納豆ミックス～も用意してまーす
沙織,……アレンジメニューとかダメなんですか？納豆パスタとか
桃,認めん！納豆は納豆として食べる物だ！
沙織,うう……。やだもー！！！
アンチョビの納豆料理ですが、,納豆チーズトースト
ちなみに熊本県の納豆消費量は２５位で、佐賀県が１３位、福岡県が１９位,すべて平成２７年
