笹井美奈,３３
聡子,そうだよ。喪黒さんは前にも、ここへ訪れたことがあるから
美奈,さすが、鉱泉だけあって他の温泉と肌触りが違う……。ピリピリして、間違いなく効いてる感じ……。喪黒さん、何となく身体が重苦しいですよ……。本当にここ、健康にいいんですか？
喪黒,この症状は瞑眩めんげん
美奈,めんげん？
喪黒,治療の過程で一時的に辛い症状が出ますが、その後は快方に向かいます。いわゆる好転反応ですよ
美奈,ううっ……。もう我慢できない……。やっぱり、あれを……。な、ないっ！！
喪黒,おや、どうなさいましたか？笹井さん
美奈,も、喪黒さん……！
喪黒,もしかして、あなた覚醒剤を持ってきたんですか！？
美奈,喪黒さん！あなた、あれを一体どこへ隠したの？
喪黒,あなたは確か……。薬物中毒の治療のために、ここに訪れたはずですよねぇ？
美奈,で、でも……。あれがないと私は……
喪黒,いいえ、ダメです。我慢してください
美奈,ハア……、ハア……。ク……ス……リ……。ウオオオオオオッ！！！く、苦しいいいっ！！わ、私を殺してええええっ！！
聡子,前にもありましたね。こんなことが
喪黒,はい。また、同じことが繰り返されるのでしょうねぇ……
仲居,どうぞ……
喪黒,白湯は身体にいいですよ。笹井さん
美奈,聡子ちゃん。お姉ちゃんと一緒にお風呂に入ろうね
聡子,はぁい
美奈,喪黒さん……。おかげで、身体の調子がずいぶん楽になりましたよ
喪黒,それはそれは、笹井さん……。あと1週間ほど湯治をすれば、あなたの薬物中毒は完治するでしょう
美奈,あと1週間ですか……。ここを離れるのは名残惜しいですね。この温泉は気持ちいいですから……
喪黒,おやおや……。あなた、ここの温泉を気にいってしまったようですなぁ……
美奈,ええ……。いずれ、もう1度ここへ訪れたいですよ
喪黒,それは結構なことです。ただし、あなたには私と約束していただきたいことがあります
美奈,約束！？
喪黒,そうです。今回の湯治を終えた後は、違法薬物を2度とやってはいけません
美奈,は、はい……
BAR,魔の巣
喪黒,笹井さん。女医物語でのあなたの演技、なかなかよかったですよ
美奈,お褒めにあずかり、光栄です……
喪黒,あの温泉で、薬物中毒を治したことにより……。あなたは、いい意味で変わったように見えますねぇ
美奈,はい……。肉体は健康になりましたし、肌も若返りましたし、頭の働きもよくなりました
喪黒,それはよかったですなぁ
美奈,それだけではありません。薬物に依存しきり、禁断症状に脅える生活から解放されたのは……。本当によかったですね
喪黒,ですがねぇ……。もう1度薬物を使用したら、その幸せはたちまち消え失せることになりますよ
美奈,ええ……。もちろん、承知していますよ……
マネージャー,2年後に放映されるJBCの大河ドラマ……。お前がヒロインの最有力候補となっているぞ
美奈,私が最有力候補ですか……。何が何でも、ヒロインの座は勝ち取りたいですね……
社長,美奈。そのためには……だ。お前は、JBCの幹部と枕営業を済ませておく必要があるな
美奈,こ、これは……
JBC幹部,笹井さんの大好きなものですよ。私も、あなたの裏事情はいろいろ噂に聞いていますから……
美奈,で、でも私は……
JBC幹部,なぁに、遠慮はいりません。これをキめて一発をやれば、この世のものとは思えない気持ちよさを味わえますよ
美奈,これは仕事のため……。やむを得ない……！。私には、万病の湯がある……！薬に溺れても、あの温泉に入れば薬物中毒は帳消し……！
石見市、温泉種,ゆのたね
聡子,こんにちは。美奈さん
美奈,あ、喪黒さん……。あなたもこの温泉へ来たのですか。奇遇ですね……
喪黒,笹井美奈さん……。あなた約束を破りましたね
美奈,なっ……！？
喪黒,私はあなたに言ったはずです。違法薬物は2度とやるな……と
美奈,え、ええ……。私は喪黒さんとの約束をきちんと守って……
喪黒,そうですか……。ならば、この人のことは全く知らないはずでしょう
ニュースサイト,JBC幹部が覚醒剤取締法違反の疑いで逮捕
美奈,ええっ！！この間ホテルで会ったあの人が、こんなことになってたの……！？
喪黒,ほう……、笹井さん。ホテルでJBCの幹部と会って、一体何をしていたんですかねぇ！？
美奈,そ、それは……。その……
喪黒,約束を破った以上……、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
美奈,キャアアアアアアアアアアア！！！
聡子,どうやら、お目覚めのようね。美奈さん
仲居,あんまり動くと、浴衣がずり落ちますよ……
美奈,！！！
聡子,私の苗字は島村……。私の名前は島村聡子
美奈,島村聡子……。あっ！！30年前にアイドルとして活躍していたけど、突然失踪したあの……
聡子,そうよ。私がその失踪したアイドルだよ。実はあのころの私も、あなたと同じように薬物中毒で苦しんでいたの
美奈,じゃあ、今のあなたは……
聡子,その通り。笹井美奈さんと同じく、私も喪黒さんとの約束を破ってこうなったってわけ……
仲居,はい！！
聡子,私は幼児の身体になったまま、永遠に死ねない。もちろん、あなたもだよ。美奈さん……
美奈,い……、嫌あああああああああ！！！
喪黒,昔から、日本人は温泉の恵みととも生きてきましたし……。日本という国は、世界有数の温泉大国でもあります
