本当は、今すぐ駆け寄ってきて,行くな
紅莉栖,……店長さん、ここに岡部倫太郎という人物が来たことは。そうですか……ありがとうございます、ご迷惑をおかけしました
天王寺,俺はいいんだが……あんたの方は大丈夫か？顔色悪くなってんぞ……
紅莉栖,大丈夫です……失礼します
天王寺,あ、ああ、なにかあったらまた来てくれ
紅莉栖,どうして……どうしてラボは消えてしまったの！？。つい二時間前まで私はラボに入ろうとしていた……それなのに。ラボはない、店長さんは岡部のことを知らない……岡部にも会えない。……いや、一度落ち着かないと。冷静さを失ってしまってはなにもできない。急に世界が変わった、私の知らない内に……あれ？。この状況、似てる。……岡部の体験した、世界線の移動。急な変化に驚き、自分だけが異質な記憶を持つ……岡部はそれを。リーディング・シュタイナーと呼んでいた……それなら、今の状況は。……岡部だ。今は岡部に会わないとどうしようもない。別に直接会いに行かなくても、電話でコンタクトを取ってそれから会えばいい。この状況に関しても岡部はきっとなにか知っているはず。……出なさいよ、岡部。……！繋がった！。もしもし！岡部！？実は。……えっ？な、なにか間違えたのかしら……気が動転してるからね。もう一度、岡部の番号に……。……見間違えでもない、押し間違えてもいない。それはつまり。岡部の電話番号が……違う番号になっている。そ、それならメールで！きっとメールなら届くはず……。岡部、岡部……あれ？アドレス帳に登録されてない……？。……他の人、まゆり……ない。橋田も……ない。……アドレス帳の中身も違う、メールボックスの中身も違う。覚えている番号は岡部のだけだし……携帯でコンタクトを取るのは、不可能。やっぱり、直接会いに行くしかない……でも、ラボは存在しない。岡部や他のラボメンにも会える場所、それがあれば……。……あっ、あった。あそこに行けば、誰かに会えるはず――。ここに自ら進んで行く日が来るとは思わなかったわ……。そんなこと考えてる場合じゃないわね。……ともかく中に。フェ、フェイリスさん！よかった、やっとラボメンに会えた……
フェイリス,ニャニャ？フェイリスに会っただけでそんなに喜んでくれるなんて嬉しいニャン♪
紅莉栖,ええ、まさかあなたに会えてこんなにホッとするなんてね……
フェイリス,お一人様ニャン？初めてみたいだから色々説明した方がいいですかニャ？
紅莉栖,……そう、私とあなたが会うのはこれが初めて
フェイリス,ニャ！？まさか、悠久の刻を越え、再び導かれた……
紅莉栖,席、適当に座るわね。どこか空いてる席は
フェイリス,ニャー……もうちょっとノって欲しいニャン
紅莉栖,ここに来ればきっと……予想通りね。すいません。ここ、座っていいですか？
ダル,ぬおっ！？ぼ、僕との相席を希望するってことでよろしいか！？
紅莉栖,ああ、先に言っておきますけど好意とかそういうのじゃないですから
ダル,なんだお……てっきりフラグが立ったのかと思ったのに
紅莉栖,……その感じからして、私のことは知りませんよね
ダル,そりゃ僕なんかが素敵な女の人と知り合いになるスキルなんて……ん？
紅莉栖,店長さんやフェイリスさんの感じから、ある程度は予想できたけど……。実際、橋田にまで知らないって言われるのは……ちょっとショックね
ダル,あの、もしかして……というか間違いなく牧瀬紅莉栖さん、だと思われるのですが
紅莉栖,へっ？あ、あなた、私のことを知ってるの！？
ダル,もちろんですとも。牧瀬氏の講義……僕もタイムマシンに対する考えを改めざるを得なかったので
紅莉栖,ああ……そういうことですか。でもあの時は講義というよりはディスカッションの方が近かったですね
ダル,いや、牧瀬氏が大体喋って時折質問に答えるとかそんな感じでしたけど
紅莉栖,……？だって、あの時は岡部が私に突っかかって来て
ダル,岡部？そんな学生いたっけ……
紅莉栖,ちょ、ちょっと待って。岡部ですよ、岡部倫太郎。あなたの友人でしょう？
ダル,んー、僕の友人にはそんな名前の人物は……
紅莉栖,えっ……？。岡部倫太郎を……知らないんですか？
ダル,岡部……岡部倫太郎……あっ、思い出したお
紅莉栖,ほ、本当！？教えて、岡部はどこにいるの！？
ダル,いや、教えてと言われても……ただ高校の時にクラスが同じだってだけで
紅莉栖,そこであなたたちは仲良くなって……
ダル,仲良く？あるあ……ねーよ。いや、敬語ならないですよって言った方が？
紅莉栖,敬語でもタメ語でも何でもいいから教えて！
ダル,わ、分かったお。岡部倫太郎ってのは僕とは対照的な人物だった訳で
紅莉栖,対照的な人物？。お、岡部がリア充！？
ダル,そんな訳で僕と岡部倫太郎は接点なんてほとんどありませんでした、以上
紅莉栖,あ、有り得ん……あの岡部がリア充なんて……
ダル,つーか牧瀬氏、リア充とかそういう言葉の意味が分かるとは……もしかして
紅莉栖,ねらーじゃないから！って今はどうでもいいわ……じゃあ、岡部の連絡先とかは
ダル,リア充の電話番号なんて持ってる訳ないお
紅莉栖,でも、同じ大学で同じ学年なんじゃ……
ダル,同じ大学？いや、あっちはたしか文系だったからそれはないと思われ
紅莉栖,そんな……。……リア充で文系とか、私の知っている岡部とは全然違う。間違いない……世界は改変された。その結果、この世界の岡部が生まれてしまった
ダル,とりあえず、岡部倫太郎について僕が知ってるのは以上だお
紅莉栖,ええ……ありがとう、橋田さん
ダル,あれ、僕いつの間にか名乗ってたんだ……全然覚えがない件について
紅莉栖,橋田は繋がりなし……それなら、もっと深い繋がりを持つ人に
フェイリス,ダルニャ～ン、ついに春が来たのかニャ？
ダル,……僕は三次元とは決別した男、いつまでも変わらずフェイリスたん命！
紅莉栖,……フェイリスさんは三次元じゃないのか？
フェイリス,二人の会話がヒートアップしてたから、注文を取るタイミングがなかったニャン
ダル,たった今ヒートエンドしたとこなのだぜ
紅莉栖,……ええ、そうね。あっ、なにか飲み物をもらえるかしら。できればアイスコーヒーとか
フェイリス,かしこまりましたニャ♪今すぐお持ちいたしますニャーン
ダル,はあ……フェイリスたんマジ天使
紅莉栖,……こうやって見ると、本当に世界が変わったのか疑わしくなるわね
フェイリス,お待たせしましたニャ。アイスコーヒーになりますニャン
紅莉栖,ありがとう。えーっと、砂糖は……
フェイリス,お待ちくださいニャ。ガムシロップとミルクを入れて
紅莉栖,あっ、ちょっと別に私は……入れちゃったしもう遅いか
フェイリス,まーぜまーぜ……まーぜまーぜ
紅莉栖,……どうして目を離さないのかしら
ダル,出たー！フェイリスたんの必殺技、目を見てまぜまぜー！
紅莉栖,必殺って、誰も死なないでしょうが
ダル,僕がキュン死するので
紅莉栖,……はあ。本当はもっと焦るべきなのに……変わらない人に会うと、流されそうになってしまう。岡部、あんたは変わってなんかいないわよね……？。フェイリスさん、ちょっと聞きたいことがあるのだけど
フェイリス,ニャ？聞きたいこと？スリーサイズは秘密ニャン♪
紅莉栖,誰も知りたくねえっつーの
ダル,ウヒョー！フェイリスたんの秘密、僕気になります！
紅莉栖,橋田さん、ちょっと黙ってて
フェイリス,で、フェイリスに聞きたいことってなにかニャ？
紅莉栖,このお店に、椎名まゆりという女の子が働いていますよね。その子に会いたいんですけど
フェイリス,椎名まゆり？ニャー……そんな名前の子は働いてないニャン
紅莉栖,働いて、いない？そ、そんな……たしかにこのお店には椎名まゆりって女の子が！
フェイリス,……じー
紅莉栖,えっ？急に黙ってどうしたんですか……
フェイリス,……じー
紅莉栖,目を見られている……？でも、そんなことしていったいなにが……
フェイリス,うーん、本気で言ってるみたいだニャ……でも、こっちも本当に知らないニャン
紅莉栖,そうですか……椎名まゆりは、このお店にいないんですね。岡部もまゆりもほとんど手掛かりなし……これは会うまでに時間がかかりそうね
ダル,牧瀬氏、その椎名まゆりって……もしかしてコスプレ衣装作るの得意だったりする？
紅莉栖,えっ？……ええ、その通りだけど
ダル,トゥットゥルー、っていう変わった挨拶とかしたりする？
紅莉栖,ええ、するわね。トゥットゥルーって
ダル,それでいつも同じ帽子かぶってたりする？
フェイリス,それはダルニャンも一緒ニャン
紅莉栖,たしかに帽子はかぶってるけど……もしかして、まゆりのことを
ダル,まゆ氏のことなら知ってるお。何度も会った訳じゃないけど
紅莉栖,ほ、本当！？
ダル,何度かコミケで話したことがあって、それで知り合ったって訳
紅莉栖,連絡先は？まゆりの電話番号は知ってるの？
ダル,えーっと、たしかまたコミケで会えるかもってことで交換したはず……
紅莉栖,そんな簡単に交換して大丈夫なのかしら……
ダル,いや、僕が何度か衣装を褒めたら次も頑張るから見に来てねー、って感じで
紅莉栖,ああ……まゆりらしいわね
ダル,まっ、まゆ氏に手を出すとかそんなふしだらなことは考えないお
紅莉栖,へえ、ずいぶん紳士的じゃない
ダル,だって僕はフェイリスたん命！
紅莉栖,連絡先、早く教えてもらえる？
ダル,……牧瀬氏の目が怖い件について。えっと、あっ、あったあった。ほい、番号を変えていなければこれで繋がるはず
紅莉栖,ありがとう。……さすがに外で電話した方がいいわよね
ダル,それは間違いないと思われ
紅莉栖,そうだ、橋田さん。あなたの連絡先も教えて欲しいのだけど
ダル,僕の連絡先？ま、まさかやっぱりフラグが
紅莉栖,……立たないって言ってるでしょうが。まあ、連絡を取ることはあるかもしれないけど
ダル,じゃ、とりあえず好感するってことでＦＡ？
紅莉栖,ええ、そうしておきましょうか。岡部と会った後、橋田の力が必要になる可能性は高い。この二人がいないと、今の状況を打破することはおそらくできない……。そして岡部、あいつに早く会わないと……
フェイリス,また来てニャンニャーン♪
紅莉栖,橋田と連絡先を交換した、まゆりの連絡先を手に入れた。岡部まで後少し……あいつに会えれば、必ずなにか見つかる。少し不安なのは、この世界線の岡部は私の知っている岡部とはかなり離れている。……まあ、それは問題ないわね。世界線が変わったのだから岡部のリーディング・シュタイナーが発動する。つまり、今この世界線にいる岡部も今までの様に記憶が上書きされている。もしかしたら、岡部もラボがなくて焦ってるかもしれないわね……。……よし、まゆりに連絡しよう。……でも、よく考えたらまゆりは……前の世界線では。日付は変わっていない、ということはまゆりは……もしかしたら既に。……お願い！電話に出て……まゆり。まゆり？まゆりなのね！？よかった、繋がった……。そうよね、急に連絡してごめんなさい。私は牧瀬紅莉栖、……覚えてたりするかしら？。……そっか。いいのよ、私もあなたにはまだ会ったことがないはずだから。ねえ、まゆりさん。あなたに聞きたいことがあるの。あなたの幼馴染に、岡部倫太郎という男の人はいる？。よかった……そこまでは変わっていないのね。こっちの話よ、気にしないで。……ここからが本題、岡部倫太郎にどうしても会いたいの。ええ、私は岡部に絶対に会わなければならない理由があるの。岡部の連絡先を教えて、お願い。どうしたの？幼馴染だから知っているでしょ？。えっ……？。ええ、お願い。なるべく早く……きっと岡部もそう思っているはずだから。ありがとう。……まゆりさん、よろしくね。まゆりを介しての連絡……なんだか面倒なことになったわね。まあ、問題はないわね。岡部も今頃、世界が変わってしまったことに気付いているはず。それなら私が会いたがってると聞けば、岡部は必ず会ってくれる。まゆりは今は生きている、でも……いつ死んでしまうかは分からない。ラボが存在しない状況で最悪の結果を迎えてしまえば……取り返しがつかないことになる。それだけは避けないと……岡部、急いで。あんたがいないと、まゆりが救えない……。……これだけ必死になっても、私は岡部に会えなくなる訳だが。そんなことを考えてる場合じゃないわね。……今は待つしかないか。まだお金には余裕があるみたいね。……これ以上泊まるような事態にはなりたくないけど。この世界線の私は今日アメリカに帰るはずだった。ラボメンとの親交もほとんどなかった。それなら誰でも岡部のような力を持っている……？それか私になにか関係があるとか……。それも含めて岡部と話す必要がある。まゆりに催促してみた方が……あっ。ナイスタイミングね、まゆりから電話だ。もしもし、まゆりさん？。当然すぐに会いたいって言ってくるはず、……あっちも焦ってるだろうから。えっ……？すぐに会いたい、とか言っていなかった……？。どういうこと……？岡部の方もこの状況に困惑しているはずなのに……。おかしい……ラボが無い、電話レンジも無い、それなのに岡部からは焦りを感じない。……岡部、あんたはなにを考えてるの？まゆりを助けるんじゃなかったの？。あっ……ご、ごめんなさい。もう一度場所を教えてもらえるかしら？。待ち合わせの場所は……このお店ね。時間にはまだあるか。……正直、不安だ。まだ会ってもいないし話してすらいない……でも。岡部はまゆりを助けるために多くのものを犠牲にしてきた……それは、岡部自身の心も含まれる。だからこそ、まゆりを助けられなかったら全てが無駄になってしまう。仮にまゆりが死んでしまったとしても、β世界線に行けばその事実はなくなるかもしれない。でも、ＩＢＮ５１００は？橋田のハッカーとしての腕は？ラボという場所は？。その全てがないと、β世界線に行くこともできない……。岡部、あんたはわかってるの？今がどれだけ危険な状況なのか、まゆりを助けられないかもしれないのよ？。お願い、岡部……会って私を安心させて。私自身のことは、もう既に決めたことだから……何も気にしなくていい
髪は茶色、耳にはピアス、喫煙者,未成年
紅莉栖,……どうなってんのよ、目の前の男は本当に岡部なの？
岡部,えっと、まゆりに言われてここに来たんですけど
紅莉栖,そ、そうでしたね……あれ？ちょっと待って……。今、岡部はたしか……はじめまして、って言った……？。岡部、さん……確認したいんですけど、私に見覚えは？
岡部,ええ、前に会った覚えはないですね
紅莉栖,……っ！り、リーディング・シュタイナーは発動していないの！？
岡部,リーディング……なんのことだか
紅莉栖,それすらも分からない……そんな……こんな、ことって……。ほ、本当に何も知らないの！？ラボは？電話レンジは！？
岡部,研究室はまだ一年だから入ってないので。レンジは……家にありますけど
紅莉栖,……ＩＢＮ５１００、タイムリープマシン、Ｄメール、これに関しては！？
岡部,なにがなんだか……ごめんなさい
紅莉栖,だ、だったら……ラウンダー、ＣＥＲＮ、これならきっと……
岡部,……悪いですけど、全部聞き覚えがないです
紅莉栖,う、嘘……嘘よ……だって、これじゃ……。期待も不安も……全部裏切られた。この岡部は……なにも知らない
岡部,だ、大丈夫ですか？
紅莉栖,……ごめんなさい、急に呼び出したのにこんな風になってしまって
岡部,いや、俺は別に大丈夫ですけど……
紅莉栖,あの……私の方が年下なので、くだけた感じで話してください。……正直、話し方なんてどうでもいい。今は……なにも考えられない
岡部,じゃ、普通に喋らせてもらうけど……あんた、俺になんの用があったんだ？
紅莉栖,用は……ごめんなさい、色々あったんだけど……無くなってしまった
岡部,無くなった？あんたが俺にどうしても会いたいって言うからここに来たんだぞ？
紅莉栖,ええ……岡部倫太郎に会いたかった。……でも、あなたではない
岡部,……意味は理解できないけど、俺に話すことはないってことでいいのか？
紅莉栖,……そう思ってくれていいです
岡部,……ったく、まゆりから久しぶりに連絡があったと思えば
紅莉栖,……まゆりさんには、迷惑をかけてしまいました
岡部,まっ、そこは気にしなくてもいいだろ。あいつはそんな細かいこと気にしない
紅莉栖,……そうですね
岡部,昔は俺にくっついてばっかで俺がいなくなったらどうなるか、って子供ながらに不安だったんだ
紅莉栖,今は……あまり話とかしてないんですか？
岡部,俺が中学に上がってからほとんど話してないな……
紅莉栖,岡部とまゆりの関係が全然違う、これもこの世界線での変化の一つ……？
岡部,まあ、あいつも見た目はいいからそのうちいい男を見つけて幸せになるだろ
紅莉栖,幸せに……？まゆりが、ですか？
岡部,ああ、ただ……あの性格だと、変な男に騙されることも十分考えられるけどな
紅莉栖,…………っ。なにイライラしてるのよ……目の前の男は岡部だけど岡部じゃない。でも、まゆりが幸せになるには……あんたの力が必要なのに、まるで他人事みたいに……
岡部,まゆりにはもう会ったか？
紅莉栖,い、いえ、まだです
岡部,ん、そうなのか。あいつは危なっかしいからな……事故に遭っても仕方が無い位だ
紅莉栖,事故に、あっても？
岡部,ああ、車に轢かれたり、駅のホームから落ちたりとか……なんか心配になってきた
紅莉栖,――っ！
岡部,なあ、あんたもまゆりに会う時は気を付けるように言ってお
紅莉栖,……岡部
岡部,ん、何だ？
紅莉栖,それ以上――それ以上言うな！あんたが……岡部倫太郎がそんなことを言うな！
岡部,お、おい……急にどうしたんだ
紅莉栖,はあ……っ……はあ……。馬鹿だ……なに言ってるんだ、私……あんな大声出して
岡部,……悪いな、あんたの言ってることはさっぱり理解できない
紅莉栖,……ええ、そんなこと位……わかってる
岡部,なにも分からない、思い出せもしない。……ただ、悪かった。謝る
紅莉栖,…………
岡部,……周りの客もこっち見てるし、正直居づらい。ここで帰ってもいいか？
紅莉栖,……ええ、好きにして
岡部,ああ、それと……またなにかあったらここに連絡してくれ。話くらいは聞ける、と思う
紅莉栖,……あんたの連絡先なんて聞かなくても知って――あっ。連絡先、知らないから……まゆりに聞いたんだ
まゆり,ごめんなさい……少し心配だったから来てしまったのです
紅莉栖,そう……ありがとう、まゆりさん
まゆり,あの、オカリンとお話……できましたか？
紅莉栖,……できたと言えばできた。けど、思っていたのとは全然違ったわ
まゆり,もしかしたら、まゆしぃが伝えるのが下手だったから……
紅莉栖,そ、そんなことないわ。あなたのおかげよ、まゆりさん
まゆり,でも……目が真っ赤だから、泣いちゃうようなことが……
紅莉栖,だ、大丈夫。これは、その……自分のせいだから。橋田やフェイリスさん、それにまゆりはあまり変わらないように見える……。それなら、なぜ岡部だけあんなに変わってしまったのか……。……ダメだ、今は岡部のこと……考えたくない。いいのよ、別に気を遣ってくれなくても……一人で帰れるから
まゆり,でも……
紅莉栖,うっ……この純粋な瞳には抗えないなにかがあるわね……。わかった、一緒に行きましょう。でも、時間は大丈夫なの？
まゆり,まゆしぃは夏休みだから、時間はたっぷりあるのです
紅莉栖,そっか、羨ましいわねー……
まゆり,牧瀬さんは、夏休みじゃないんですか？
紅莉栖,こう見えても私、大学を卒業してるのよ？
まゆり,ええー？じゃあ、牧瀬さんは、えっと……二十……
紅莉栖,あー、違うの。十八歳、大学は飛び級で卒業したから
まゆり,ええー！？す、すごいんですね……まゆしいはびっくりなのです。まゆしぃと一歳しか違わないのに……少しショックなのです
紅莉栖,お、落ち込まないで。あなただって、ほら……とってもキュートよ
まゆり,キュート？……あの、ありがとうございます
紅莉栖,……ねえ、まゆり。私のことは牧瀬さん、じゃなくて紅莉栖って呼んでくれない？
まゆり,えっ？クリスさん、ですか？
紅莉栖,うーん、思い切ってちゃん付けとかどうかしら
まゆり,えっと、クリス……ちゃん？
紅莉栖,上出来よ。それで堅い言葉遣いもなし、気楽に話しかけて。私もそうするから
まゆり,うん……わかったよ、クリスちゃん。こんな感じかな？
紅莉栖,ええ、完璧ね
まゆり,えへへ、まゆしぃはクリスちゃんとお友達になれてとっても嬉しいのです♪
紅莉栖,……まゆりのおかげで助かったわね。心に余裕が無かったはずなのに一気に落ち着いた。やっぱりこの子だけは……死なせる訳には、いかない。夏休みって結構あるけどどうやって過ごしてたの？
まゆり,コスプレの衣装を作ってたよ。誰かに来てもらうためにたくさん作ってるんだー
紅莉栖,……本当になにも変わってない、そういう風にしか思えないわね
まゆり,でも、それだけだとやっぱり暇になっちゃって、お家でダラダラしちゃうのです……
紅莉栖,部活やアルバイトとかはどう？。それなら、メイド喫茶なんてどう？
まゆり,ええー？まゆしぃには無理だよー……
紅莉栖,そんなことないわ。まゆりにピッタリなお店を紹介してあげる、どう？
まゆり,うーん、じゃあ一回行ってみようかな。クリスちゃんも一緒に行ってくれる？
紅莉栖,もちろん、きっと気に入るわよ。そろそろ帰った方がいい時間か……ずいぶん話し込んじゃったわね
まゆり,あのね、クリスちゃん……まゆしぃは、クリスちゃんに謝らないといけないことがあるのです
紅莉栖,謝らないといけないこと？そんなこと記憶にないけど……
まゆり,本当はね……オカリンの電話番号をすぐに教えようと思ったの。でも……
紅莉栖,……続けて
まゆり,最近、オカリンと全然お話してなかたったから……チャンスだと思ってしまったのです。うん……ごめんね、クリスちゃん。まゆしぃ、余計なことして邪魔しちゃって……
紅莉栖,まゆり、あなたって……本当にキュートね
まゆり,わっ……く、クリスちゃん……苦しいよー
紅莉栖,これは罰ってことで、大人しく抱きしめられてればいいのよ。それにしても岡部って酷いわね。こんな可愛いまゆりを放っておくなんて……
まゆり,そ、それは……
紅莉栖,中学に岡部が行ったら疎遠になったんでしょ？もっと甘えればよかったじゃない
まゆり,……まゆしぃはしっかりとした人になりたかったのです
紅莉栖,しっかりとした人、ねえ
まゆり,だからオカリンに頼らないようになろうって思って。……そうしたら、気付いたら話しにくくなっていたの
紅莉栖,……そうだったのね。でも、どうしてしっかりとした人になりたいって思ったの？
まゆり,おばあちゃんが見守ってくれてるから……だから、おばあちゃんが見てて安心できるような人になりたいのです
紅莉栖,そう……いいおばあさんなのね
まゆり,……うん、まゆしぃはいつまでも……忘れないよ
紅莉栖,いつまでも忘れない、か……どっかの馬鹿もそう言って忘れやがって……！。……あー、ダメだ。思い出すと少しヘこむ……。今日はありがとう、まゆり。また近いうちに会えるといいわね
まゆり,クリスちゃん、メイド喫茶のお話、忘れないでね？
紅莉栖,ええ、もちろんよ。じゃあ、気を付けて
まゆり,うん！またね、クリスちゃん。トゥットゥルー♪
紅莉栖,さっきまでの絶望感はまゆりのおかげで嘘のように消えていった。でも……。それなら、私のすべきことはただ一つ……岡部を、取り戻す。そしてあいつを引っぱたいてでもβ世界線に移動させる……！。そのために元の世界線に戻らないといけない……。誰かが起動した電話レンジ、それが原因なのはわかってる。誰が何をしたのか……それも調べないといけないか。電話レンジで世界線が変わったのなら……Ｄメールしか考えられない。それを元に戻すにはＤメールの内容を打ち消すようなメールを送らなければならない。そのためには電話レンジ、４２型ブラウン管、つまりはあの部屋が必要ね。あの部屋を借り、そして電話レンジを完成させる……これが最低条件。問題は、電話レンジ……岡部たちの話を思い出せば、あれが偶然によって生み出されたことは間違いない。偶然生み出された物を作る……これほど大変なことはない。前途多難、岡部は完全に頼りにならない。となると頼れるのは……橋田か
ダル,おっ、牧瀬氏こっちこっち
紅莉栖,相変わらずここなのね……
ダル,僕の居場所はここなので。で、僕に頼みたいってことってなんぞ
紅莉栖,橋田さん、あなたにお願いしたいことは……
ダル,ま、まさか……ムフフな展開ｋｔｋｒ！？
紅莉栖,ＨＥＮＴＡＩ発言は慎んで。お願いというのは……
ダル,ふむふむ
紅莉栖,――研究を手伝って欲しいの
ダル,……へっ？。研究？天才学者の牧瀬氏が僕なんかに手伝いを依頼するなんて有り得なくね？
紅莉栖,……橋田さん。あなた、ハッカーとしての腕は確かよね
ダル,……まあ、その通りだけど。どうして牧瀬氏がそれを知ってる訳？
紅莉栖,それはどうでもいいの。……手伝ってくれるの、くれないの？
ダル,んー、僕も暇じゃ無い訳で。相手をしてあげないといけない女の子がたくさんいるんだお
紅莉栖,こういうところは変わらんのか……。そうね……橋田さん、こう考えてはどう？
ダル,ん？。た、たしかに。経歴とかで色々使えそうな経験ではある……
紅莉栖,あなたの腕なら十分にこなせるレベルよ。どう、やってみない？
ダル,……オーキードーキー！牧瀬氏、よろしく頼むのぜ。で、その研究とやらはどこでやる訳？
紅莉栖,場所はもう決めてあるわ。ここのすぐ近くよ
ダル,この近く……研究施設とかあったっけ？
紅莉栖,ええ、この研究はそこでしか行えないの。すぐに手配するわ
ダル,うーん、そこは牧瀬氏に任せます。僕は出番が来たらまた呼んでくれればおｋ
紅莉栖,そうね、なるべく早めに連絡が行くようにするわ。それまで待っていて
ダル,了解しますた。……はあ、美人学者との時間とかみなぎってくるお
紅莉栖,変なコトしたら脳をちょこっと弄るからね
ダル,お、おうふ……それだけは勘弁
天王寺,――で、上の部屋を借りたい。そういうことでいいか？
紅莉栖,ええ……どうでしょうか？
天王寺,……ぶっちゃけ、誰も借り手が見つからなくて困ってたとこなんだ
紅莉栖,ということは……
天王寺,ああ、好きに使ってくれ。まあ、好きにっつっても限度はあるけどな
紅莉栖,あ、ありがとうございます！明日から、すぐに入っても大丈夫ですか？
天王寺,別にいいけどよ。掃除とかはいいのか？
紅莉栖,大丈夫です、自分たちでやります。……それと、店長さん
天王寺,おう、なんだ。エアコンなら自費で付けてくれよ
紅莉栖,そうではなくて……その大きい４２型のブラウン管、絶対に売らないでくださいね
天王寺,なんだそりゃ。もしかして、欲しいのか？今なら入居祝いってことで安くしとくぞ
紅莉栖,け、結構です。……それでは、また明日。……同じレンジを探すか、それとも別のでも大丈夫か実験するか。電話も同じのじゃないとダメなのかしら……偶然を生み出した時は忠実に再現すべきか。……少なくとも、ちょっとやそっとで完成するとは思わない方がよさそうね。資金は講演とか講義のとかでそれなりにあった、一ヶ月はなんとかなるはず。……なにもない状態から作るのって、相当な労力が要るわね。そう考えると、岡部って凄かったのかな……いや、でもあいつなにも作ってないし。でも、いてくれたら……やっぱり、嬉しいかな。……無理やり脳に電極ぶっさしてリーディング・シュタイナー発動しないかしら
ダル,うへー……あっつい。牧瀬氏いるー？
紅莉栖,待ってたわよ。とりあえず座って座って
ダル,よっこらせっくす……へえ、ボロいビルだと思ったけど、中は意外とキレイじゃん
紅莉栖,殺風景なのは我慢して、色々揃える時間はないから
ダル,で、この蒸し暑い部屋の中で僕たちはいったい……ん？
紅莉栖,あら、気付いたみたいね
ダル,えっと、このレンジと電話はなんなん？しかも五個ずつくらいあるし
紅莉栖,とりあえず前のと同じ型、それと違うのも揃えたわ
ダル,……これでなにをする気？
紅莉栖,電話レンジ、一緒に作ってもらうから
ダル,はい……？。まさか、天才学者牧瀬氏の研究が……こんな
紅莉栖,ガラクタ作りだとは思わなかった、って言いたそうね
ダル,自覚はあるみたいでちょっとホッとしたお。しかし、遠隔操作できるレンジって言われても……。……天才の考えることは分かんないって本当だった件について
紅莉栖,ほら、橋田さん、頑張って。あなたの力は後でちゃんと誰かの役に立つから
ダル,へいへい、……まあやりますけど。ふう……とりあえず一台完成しますた
紅莉栖,こっちも出来たわ。……さあ、いよいよ実験開始ね
ダル,実験って、ご飯でも置いて温めてみるとか？
紅莉栖,いいえ、温めない。強いて言うなら……戻す
ダル,戻すって……冷凍？
紅莉栖,冷凍になる場合もあるわね。……今はこのバナナを使うわ
ダル,バナナを握る牧瀬氏、絵になりますなあ……
紅莉栖,……止めるヤツがいないと本当にフリーダムね
ダル,で、戻すって結局なにするん？
紅莉栖,ちょっと待ってて、下を確認してくるから
