渋谷凛,事の起こりは、先日のオフだった
凛,かなり雰囲気かわった。智香じゃないみたい
蘭子,我が命を汝に与えん、ウォーリーを探せ！
春菜,これぞメガネ効果！これですこしいつもと表情とか変えたら完璧だよ
智香,表情？
蘭子,動画共有サイトに向けて削除依頼を検討せよ
卯月,凛ちゃんみたいにね。えへへ
凛,え！？
卯月,冗談だよ。でも、いつも元気でニコニコしてる智香ちゃんだから、ちよっと真面目な表情はどうかな
春菜,凛ちゃんみたいにね
凛,私、そんないつも真面目な顔してるかな？
蘭子,汝の霊力の源泉はそこにあり
卯月,じゃあ難しいこととか、考えてみたらどう？
智香,む、難しいことっ？ええと……ゼータ関数の零点の分布に関する予想についてとかっ？
凛,それ、絶対に智香の頭から出た疑問じゃない
卯月,晶葉ちゃんでしょ？
蘭子,古の新潟地方に所在する製菓を生業とするギルドよ！
智香,バレたかっ☆でも難しい事かあ
凛,難しくなくても、真剣に考えられることならいいと思う
智香,あっ！それならアタシ、前々から疑問に思っていたことがあるんだけどっ☆
卯月,え？なになに
智香,昔話の桃太郎とか垢太郎って、自分の出生の秘密を知ってたのかなっ？
凛,……
卯月,……
春菜,……
蘭子,……
智香,みんな、どう思……
卯月,じゃあ明日、10時に京成小岩駅前に集合ね
凛,わかった
春菜,アタシもいいかな？
蘭子,冥界の黒き風に身を委ねるがいい！
智香,…………永遠のテーマだよね。やっぱり自分がお爺さんとお婆さんの本当の子供じゃないって知らなかったからこそ、鬼から奪った財宝を気前よくあげたのかなっ？でも、知っててそれでもだとしたら、それこそ真の男だよね……
卯月,おんなじ地下鉄に乗り合わせるとは思わなかったよね
凛,偶然ってすごいね。あ、智香がもう来てる……あっ！
卯月,どうしたの？ええと……あれ、あれってもしかしてプロデューサーさん？
Ｐ,君、ちょっといいかな？
智香,自分が垢でできた人形だったって、知ったら相当衝撃的な……はいっ？あれっ……？
Ｐ,君、アイドルとかに興味はないかな？いや、俺は怪しい者じゃない。こう見えてもれっきとした……
智香,プロデューサーさんっ？
Ｐ,そう！知らないかな？シンデレラガールズって最近、世間で話題になってる一大アイドルプロジェクトなんだけど
智香,……知ってますけどっ……
Ｐ,俺がそのプロデューサーなんだ。それで君も、アイドルやってみないか！？
智香,あのっ……
Ｐ,君は可愛いし、スタイルもいい。なにより雰囲気というか……オーラがある！
智香,あ……はあ
Ｐ,ちょっとおとなしそうで、それでいて暖かい空気を漂わせいて、そう！今ウチにいる娘にはないオーラを君から感じるんだ！！
智香,……
Ｐ,君は何か、得意なものとかあるのかい！？
智香,…………ダンスとかっ
Ｐ,素晴らしい！！！まさに君こそ、アイドルとなるべく生まれたに違いない。俺と一緒に、シンデレラガールにならないか！？いや、なるべきだ！！！
智香,………………
Ｐ,俺は今日のこの出会いを、神に感謝する！ついに俺は見つけたんだ！！ダイヤの原石を、俺だけの宝物を！！！
蘭子,わ、わ、わ、我が両腕の付け根に激震が宿る！
卯月,いつもニコニコしてる智香ちゃんの、あんな表情初めてだよ……
凛,普段怒らない娘が怒ると、怖いね
春菜,と、止めなきゃ！プロデューサーを
Ｐ,今まで沢山の娘をスカウトしてきたけど、君みたいに綺麗で可愛い娘は初めてだよ！ちょっとキツめの表情もいい！！クール属性かな？あ、ところで君、名前は？
春菜,ぷ、プロデューサー！
Ｐ,ん？あれ？春菜？
卯月,なにやってるんですか、いったい！
Ｐ,いや、みんな今日はオフだし、こういう時こそスカウト活動をな。あれ？みんなしてどうした？
凛,みんなでカフェに……じゃなくて、プロデューサーあのね
Ｐ,そうだ！みんなもこの娘を説得してくれよ。こんな可愛い娘、見たことないだろ！？
智香,……
凛,と、智香が無言で髪を結ってる……
Ｐ,この娘も事務所に入ってもらうんだ！そうすればすぐに人気沸騰するぞ！！
卯月,め、メガネも外して……
Ｐ,しかもダンスが得意なんだそうだ。もうこれは、アイドルになるしかないだろ！？
蘭子,腋熱力量充填十割二分訳：智香さんの目が光ってる！
Ｐ,さあ、今から事務所に行こう！新しいスターの誕生だ！！！
春菜,プロデューサー……その娘は……
Ｐ,そうだ、まだ名前を聞いていなかったな！君、名前は……あれ？
智香,若林智香です。どうもはじめましてっ！！！
Ｐ,げえっ！智香ぁ！！！
蘭子,二壷の中華調味料
Ｐ,あ、あれ？じゃ、じゃあ今のは……智……香？
智香,プロデューサーさん、普段はちゃんとアタシを見てないんですねっ！！！
Ｐ,い、いや、そんな……ことは……
智香,今まで事務所にいないタイプってことは、アタシって事務所にいてもあんまり存在感なかったんですねっ★
Ｐ,そ、そんなことはな、ない……ぞ。うん
智香,アタシ、プロデューサーさんのこと……プロデューサーさんのこと……信じてたのにっ……
Ｐ,と、智香……
智香,もういいですっ★みんな、行こっ！！！
Ｐ,あ、智香！智香……
卯月,プロデューサーさん、ここは私たちが智香ちゃんをなだめてみますから
凛,後でちゃんと、謝って
Ｐ,あ、悪い。頼む
春菜,軽率ですよ、プロデューサー
蘭子,汝の頭は驢馬の頭なり！
Ｐ,……返す言葉もない
智香,さあっ！今日はみんなで楽しく食べようねっ★
卯月,う、うん。智香ちゃん、目が全然笑ってない
智香,アタシ、今日はおごっちゃうよっ★
凛,あ、ありがとう。正直、食欲ない
智香,みんな、何にするっ？
春菜,な、何にしようかなー。く、空気が重いよー！
智香,オーダーお願いしまーすっ★このメニューの端から端まで全部お願いしますねっ★
蘭子,腋より溢れる真円の激情……
卯月,あ、あのね、智香ちゃん。きっとプロデューサーさんはね
智香,……今はっ
卯月,え？
智香,今はプロデューサーさんのこと、聞きたくないんだっ★
卯月,あ、うん……
智香,アタシのLIVEで元気にするって……目をはなしたらダメですよって、言ったのに……
凛,智香……
智香,アタシ、見てもらってなかったんだよねっ★
春菜,そ、それは……
智香,いいんだよっ。ともかく今日は食べようよっ！それで明日には忘れるから……
蘭子,闇の求めに我も応じよう
かな子,おはよー！昨日はどうだった？美味しかったでしょ、あのカフェ
凛,正直、味なんてわからなかった
かな子,え？
卯月,実はね……
かな子,えー、そんなことがあったんだ。それはショックだよね
凛,そもそもほら、智香はプロデューサーのことを……
かな子,だよね。それは余計にショックだよね
卯月,智香ちゃん、怒った後は可哀想なぐらい落ち込んじゃって
蘭子,天地開闢以来の無垢なる魂よ
かな子,なんだか私、責任を感じるなあ
凛,かな子のせいじゃないけど、でも智香を元気づけてはあげたい
卯月,そうだよね。事務所の盛り上げ隊長が落ち込んでたら、やりきないし
かな子,そうだ！要はプロデューサーさんが、ちゃんと智香ちゃんのことを理解ってるって証明できればいいんだよね
蘭子,巡れ、運命の羅針盤
かな子,もしもし？巴ちゃん？うん、例のセットこれから使ってみたいんだ。うん
村上巴,持ってきたで。けど、本番はまだ先じゃなかったんかいの
凛,かな子、これって……
かな子,今度のシンデレラガールズ感謝祭スペシャルで使われる予定の、クイズセットだよ
卯月,高校生クイズ選手権みたいだね
巴,制限時間内に解答すれば、帽子の所から○が出るけん
かな子,これで智香ちゃんに関するクイズを出して、プロデューサーさんが見事に正解を連発していけば、智香ちゃんもちゃんとプロデューサーさんが智香ちゃんのこと理解ってくれてるって安心するんじゃないかな
卯月,なるほど。さすがにプロデューサーさんは、私たちの事は熟知しているはずだし
凛,ちょっとこれ、試してみたい
巴,ほんじゃあうちがアシスタンするけん、司会役はかな子に頼むで
かな子,はーい。じゃあ凛ちゃんクイズハット被って
凛,いいよ。ちょっとわくわくしてきた
卯月,がんばれ！凛ちゃーん！
かな子,では、渋谷凛ちゃんに関するクイズです。凛ちゃんが飼っている、犬の名前は？
凛,ハナコ
巴,正解じゃ。ちなみに、凛はCDでハナコの名前を出しとるけんファンの間でもハナコの名前は有名じゃのう
かな子,では続いての凛ちゃんに関するクイズ。シンデレラガールズの中で、凛ちゃん同様犬を飼っていて写真の撮りっこもした間柄なのは誰？
凛,聖來水木聖來。うれしいよ
卯月,自分のことだから当たり前かも知れないけど、さすがに正解連発だね
蘭子,我を使役するは我のみなり
巴,くわしいのう、くわしいのう
卯月,ちょ、ちょっと私もやってみていい？
かな子,いいよ？じゃあハットを被って……はい。じゃあ卯月ちゃんに関する問題
卯月,がんばりますっ！
かな子,三枚におろした魚をゆで、骨や皮を取り除いた後、圧搾して水気をしぼってから焙炉にかけてもみくだき、擂り鉢で軽くすりほぐしてその後、鍋に移して、酒・みりん・砂糖・塩で調味し煎りあげたものをなんと言う？
卯月,えっ？
巴,東京では、おぼろとも言うそうじゃ
卯月,もしかして、でんぶ？。……あの
かな子,続いての卯月ちゃんに関する問題
卯月,あ、がんばりますっ！
かな子,モンティ・パイソンのスケッチコント
卯月,え？シリー？
巴,正解じゃ。うちはこのコント見たことないが、さすがに卯月は知っとるんじゃのう
卯月,……あの、かな子ちゃん？
かな子,続いての卯月ちゃんに関する問題
卯月,……がんばるけど
かな子,故事成語で、深く考えず、ただ血気にはやるだけの勇気や思慮も分別も無い、腕力に頼るだけのつまらない勇気のことを、何の勇と言う？
卯月,……匹夫ひっぷ
巴,要するに、無鉄砲なモンのことじゃのう。うちは鉄砲玉の男は好きじゃが、無鉄砲な男は好かんけん
卯月,これ、ぜんぜん私に関する問題じゃない気がするん……
かな子,続いての卯月ちゃんに関する問題
卯月,……はい
かな子,本を読む時に、どこまでよんだか目印にする物を総称してなんと言う？
卯月,しおり？。今、一瞬不正解のブザーが鳴りかけたよね！？
巴,すまんのう、ちょっとした手違いじゃ
かな子,気にしないで続けるよ
卯月,私は気になるんだけど
かな子,エジプト神話に登場する、生産の神の名をなんと言う？
卯月,？ぜんぜんわかんないんだけどこれまでの傾向からすると、おしり……
巴,正解じゃ！オシリス神、エジプト神話も知っとるとはさすがじゃのう
卯月,ちょっと待って！私、今まだ答えてなかったんだけど
かな子,いやいや、ちゃんと卯月ちゃん答えていたよ？さっきの事があるから、早めに正解のチャイムを鳴らしたたせけだよ？
巴,今度はちゃんと早めに判定できたのう
卯月,それにそもそも、問題がおかしいよ！少しも私に関する問題が出てないよ！
かな子,いや、まあ……それは……
凛,ヒップに関する問題ばっかりだった
蘭子,神に遣わされし聖少女の約束の地
卯月,お尻イコール私って、どうなのかな？
巴,くるしいのう、くるしいのう
かな子,ま、まあとにかくこれで、プロデューサーさんの信頼を取り戻してあげようよ
凛,作戦としては、悪くない
卯月,もう。でも、考えはいいかもね。じゃあプロデューサーさんを呼ぶね。もしもし？プロデューサーさんですか？あれからどうでした？
Ｐ,それがケータイかけても出てくれないし、メールしても返信がないんだ……
卯月,そうですか。じゃあ急いで事務所に来てください。仲直りの機会を、作ってあげます
Ｐ,本当か？助かる
智香,おはようございますっ
卯月,待ってたよ、智香ちゃん！
智香,？どうかしたの卯月ちゃんっ？
凛,これからプロデューサーにクイズを出題する
智香,えっ？
かな子,プロデューサーさんが、どのくらい智香ちゃんのことわかってるか試してみようよ。ね
智香,みんな……ありがとうっ☆
Ｐ,おはよう……と、智香
智香,……おはようございます
Ｐ,あ、ああ。あの、な……
かな子,はいはい。とにかくプロデューサーさん、これをかぶって
Ｐ,え？おい、これ今度の特番用のクイズセットじゃないか
凛,これから智香に関する問題を出すよ
卯月,ちゃんと智香ちゃんのことわかってたら、全問正解できますよね？
Ｐ,！そういうことか。よし、こい！！
智香,……
かな子,じゃあ、智香ちゃんに関する問題。智香ちゃんのように気だてがよくて優しい女性を、出身の鹿児島ではなんと呼ぶ？
Ｐ,確か……おこじょ！。えっ！？
巴,オコジョは、イタチみたいな動物じゃろが！
凛,おごじょ、だよプロデューサー
智香,…………
卯月,ぷ、プロデューサーさぁん……
かな子,つ、続いての問題。チアガールの智香ちゃんがよく手に持っている、あの玉房状の飾りをなんと言うでしょうか？
Ｐ,これはわかるぞ！ボンボンだ！！。え？いや、ボンボンだろ！？あれ！！
巴,正解は、ポンポンじゃ
凛,プロデューサー、しっかり！
智香,………………
卯月,ちょ、ちょっとかな子ちゃん。もう少し問題のランクを下げてよ
かな子,わ、わかった。では映像問題です。次の４つの映像のうち、智香ちゃんはどれでしょう？
凛,うわ。腋だけの映像
蘭子,特殊な禁断領域
卯月,かな子ちゃん、むしろ問題の難易度あがってるよ！
かな子,大丈夫。あのプロデューサーさんの、自信に満ちた顔を見てよ
卯月,あれ？本当だ
Ｐ,ふっふっふ。簡単な問題だな！智香は４番だ！！ついでに答えておくと、１番は瑞樹さん川島瑞樹。ふっふっふっ。見たか！この俺の腋を見る眼力！！
智香,……腋ならわかるんですね
Ｐ,いやっほーい！え？
智香,顔はわからなくても、腋だけならわかるんですね
Ｐ,い、いや、そういうわけでは……
智香,よくわかりましたっ！アタシ、実家に帰らせていただきますっ！！！
Ｐ,え？あ、と……智香？
凛,大変
卯月,ど、どうしよう！？
かな子,わ、私のせいだよね！？ご、ごめん！！
巴,今はそんなこと言っちょる場合じゃないじゃろ
蘭子,疾く、翔けよ！
Ｐ,わ、わかった！智香！！！。帰るなら、新幹線に乗るにしても飛行機にしてもまずは地下鉄だな。うわっ！ちょうどラッシュの時間か。あっ！前の車両に智香が乗った！！ちょ、すみません！乗ります！！乗ります！！！。ちょ、満員でぜんぜん進めない。ぐ……ぐああ
智香,プロデューサーさんの馬鹿っ★アタシ……アタシ……
Ｐ,……はぁ……はぁ……確かこの車両に………
智香,プロデューサーさんなんか、もう知らないんだからっ……
Ｐ,……どこだ？智香は？
智香,アタシの気持ちも知らないでっ……
Ｐ,いた！車両の反対側だ！！智香ー！！！
智香,アタシ、プロデューサーさんが好きなのにっ……
Ｐ,智香ー！！！智香あああぁぁぁーーーっっっ！！！
智香,プロデューサーさん、アタシのことぜんぜん見てくれてなかったんだっ……うええ……
Ｐ,智香！？泣いてるのか？俺の……俺のせいで？智香！！！智香智香智香あああぁぁぁーーーっっっ！！！
智香,うええ……うえええぇぇぇ……
Ｐ,智香！俺の話を聞いてくれえええぇぇぇーーーっっっ！！！
智香,えええぇぇぇん……
Ｐ,智香！智香！！俺だ！！！
智香,……はいっ？
Ｐ,智香！俺が悪かった！全部謝るから！
智香,ぷ、プロデューサーさんっ！？
Ｐ,智香ー！俺が悪かった！
智香,なんですかっ！？ぜんぜん聞こえませんよっ！！
Ｐ,俺が悪かった！許してくれ！
智香,プロデューサーさんっ！？聞こえませんよーっ！！
Ｐ,俺が悪かったー！！許してくれー！！
智香,えーーーっ！？なんですかあーーーっ！？
Ｐ,俺が悪かったーーー！！！許してくれーーー！！！
智香,？？？
Ｐ,だからあ……
智香,えっ？
Ｐ,俺が悪かった！許してくれ！
智香,……でもっ
Ｐ,頼む、智香！行かないでくれ！
智香,……プロデューサーさんは、アタシをどう思ってるんですかっ！？
Ｐ,？なに？
智香,……プロデューサーさんは、アタシをどう思ってるんですかっ！？
Ｐ,どう思ってるかだって？決まってる！
智香,……プロデューサーさんは、アタシをどう思ってるんですかっ！？
Ｐ,愛してるんだ！！！
智香,！嬉しい……あ、アタシもプロデューサーさんが好きですっ☆
Ｐ,良かった……
智香,！嬉しい……あ、アタシもプロデューサーさんが好きですっ☆
凛,と、いうわけで一件落着
卯月,まあプロデューサーは、公衆の面前での騒ぎで始末書を書かされたけどね
蘭子,命運の帰結
卯月,そして思いが通じ合った２人は
凛,今日も
蘭子,相似の黄金比！
智香,ひゃっほーう☆プロデューサーさんっ☆今日もお仕事がんばりましょうねっ！
Ｐ,ああ！がんばって、やっていこうな！！
智香,大好きですよっ！プロデューサーさんっ☆
Ｐ,俺もだ！もう絶対に、見間違えたりしないからな
智香,絶対ですよ！アタシから目を離したらダメですよっ☆
