？？？,だ～れだ♪
奏,じゃあストロベリーホイップを貰おうかしら
モバＰ,俺はチョコバナナで
奏,意外ね。甘い物は嫌いだと思ってたわ
モバＰ,甘すぎるのはな。前に里美に付き合った時は大変だったよ。あいつ・・・
奏,ダメよ
モバＰ,ん？
奏,女の子とデートしてる時に他の子の話はＮＧよ
モバＰ,そりゃ失礼しました
奏,あと・・・
モバＰ,む・・・
奏,チョコレート・・・付いてたわよ
美嘉,ああああああああ！！！
周子,美嘉ちゃん！バレちゃうから！
志希,ここで志希ちゃんの秘密兵器～！サーモグラフィー！
フレデリカ,わーい、何それー！
志希,これはねー、普段ポーカーフェイスな奏ちゃんが恥ずかしい時だけ体温が上がるのを利用して体温が見えるように用意した装置だよー！
フレデリカ,わーお！でもお高いんでしょ？
志希,いえいえー！今日は特別価格でハスハス一年分でフレちゃんも付けちゃうお得な価格！
フレデリカ,お安ーい！フレちゃん買っちゃう！電話番号どこー？
周子,いつまでボケ倒すねーん。はよせんかーい！
志希,はいはーい。目標の体温分析完了。モニターに出すよ
４人,うわっ・・・真っ赤っか
奏,じゃあまずは映画でも見ましょうか
モバＰ,ん？水族館は？
奏,いいじゃない。ちょっとくらい寄り道しましょ。見たかった映画があるのよ
モバＰ,ん・・・まぁいいか。どれだ？
奏,これね
モバＰ,・・・明らかに恋愛映画なんだがお前苦手じゃなかった？
奏,そうね・・・でも今日はそういう気分なの。今まで敬遠してた世界を塗り替えて新しい幕を開けて新たな物語を紡ぎたいの。その物語の演出・・・お願いできる？
モバＰ,あぁ任せておけ言ってることは良く分からんが！
美嘉,良い雰囲気
周子,あ、あたし照り焼きチキンサラダ
志希,ピザソースうまぁ・・！
フレデリカ,あ、美嘉ちゃんそのキャラメルシフォンパフェとアタシのイチゴカスタードパフェ交換しよー♪
奏,・・・
モバＰ,・・・
美嘉,この映画・・・
周子,ん？美嘉ちゃん何か知ってるの？
美嘉,前に伊吹ちゃんと奏と一緒に観に行ったんだけどその時”甘ったる過ぎて見てられないわ”って言ってたやつだ・・・
志希,・・・
フレデリカ,・・・
４人,ガチに落としにかかってるやつだこれ！？
モバＰ,大人一人と学生一人
奏,あら？大人２人でもいいのよ？
モバＰ,？
奏,大人の世界で男女が２人恋愛映画を見る・・・さぁて、他人から見たらどう見えるかしら？
モバＰ,・・・友人
奏,ふふっ、まぁそういうことにしておくわ。現実はどうかしら？試してみる？
モバＰ,止めてくれ
奏,そうね。私もまだアイドルはやっていたいからね
フレデリカ,フレちゃん一枚♪
周子,フレちゃーん、店員さんがわからん！さっぱり、わからん！って顔してるから
志希,美嘉ちゃん映画で泣いちゃダメだよ～？
美嘉,そんな映画で泣かないってば☆
モバＰ,ん、中々良い映画だったな
奏,そう？
モバＰ,あぁ
奏,そうね。プロデューサーさんも・・・悲しい恋が好きそうよね。映画みたいに
モバＰ,そうかな？
奏,そう見えるわ
モバＰ,そんな気は無かったんだけどなぁ
奏,自分の事は自分がよく分かるって言う人もいるけど自分で作った仮面が剥がせない人もいるものよ。ましてや人の事ばっかり考えてる御人好しの人は。プロデューサーさんは私たちのことばっかりで自分を大切にしないからね
モバＰ,気を付けるよ。ところで奏さん？。いつまで腕組んでるの？
奏,嫌かしら？
モバＰ,流石に立場上バレると不味いから止めてくれ
奏,あら？立場上の理由が無ければよかったのかしら？
モバＰ,奏
奏,ふふっ、分かってるわ
美嘉,あﾞあﾞあﾞあﾞぅえﾞっぐ・・・ﾋｯｸ・・・
志希,ペッピー戦線離脱でーす
周子,・・・
フレデリカ,あれ？周子ちゃんも泣いてる？大丈夫？フレちゃんの胸貸す？
周子,な、泣いてへんし！
奏,そろそろ本命、行ってみる？
モバＰ,そうだな、水族館が本来の目的だったし。・・・あれ？本来の目的って何だっけ？
奏,ふふっ、じゃあそろそろ行きましょうか
モバＰ,お、おうあれ？目的なんだっけか？
美嘉,ｸﾞｽｯ・・・
フレデリカ,おー、よしよし
志希,２人共行くよー
周子,目元赤ぁなってへんかなぁ？
奏,綺麗・・・幻想的ね
モバＰ,奏はこういうの好きだよな
奏,そうね。幻想的な雰囲気に隠れた愛らしい海の生物。薄いガラスの中で踊る魚達・・・まるで私たちみたいじゃない？
モバＰ,お前たちは見世物じゃない。魅せる者だから
奏,魅せる者・・・ね。上手い言い回しね。私は魅せられてるのかしら？同じ水槽で隣り合わせの人を
モバＰ,・・・
奏,いつまでもプロデューサー面させないわよ、私は。・・・ねえ、プロデューサーさん。今日はどこまで行く？
モバＰ,・・・どこまでとは？
奏,ご想像にお任せするわ
フレデリカ,///
志希,フレちゃん顔赤いよ～？何考えたのかにゃ～？
フレデリカ,な、なんでもないよ！？
周子,フレちゃんやらし～
美嘉,まさか！？キスまで！？そんなの！子供出来ちゃうじゃん！
奏,あら？イルカのショーもあるみたいよ
モバＰ,時間的に次の公演が最後みたいだが・・・行ってみるか？
奏,そうね、幻想的な世界もいいけど、たまには光に照らされる世界も見てみたいわ
モバＰ,んじゃ、行ってみるか
美嘉,いやいやいやいや、そんなキスまでなんてそんなことするわけが・・・いやでも奏のことだからあるいは・・・？でも子供出来ちゃったらアイドルもさすがに難しいだろうし・・・専業主婦！？家に帰ってご飯作っておかえりって言ってその・・・あの・・・何かする！
周子,美嘉ちゃーん、帰って来てー
奏,イルカのショー・・・人に飼われて安定を得る生活と大きな海原で自由とスリルを得る生活・・・どちらが幸せなのかしら？
モバＰ,奏はどっちが良いと思うんだ？
奏,束縛は嫌いよ。でもそれは扱う人によって変幻自在に変わるわ。あなたになら飼われてもいいかもね・・・ふふっ
モバＰ,他所でそんなこと軽く言うんじゃないぞ
奏,あなたにしか言わないし、これでも軽く言ったつもりはないんだけど？
モバＰ,おいおいおい、今日の奏どうしたんだよ！？随分グイグイ来るんだけど！？
志希,ん～♪水しぶき気持ちいい～♪
美嘉,こらこら、志希ちゃん。ちゃんとレインコート着ないとダメだって
フレデリカ,ん？あれ？そういえば志希ちゃん無線機は？
志希,・・・あ
周子,こわれている・・・
モバＰ,そろそろいい時間だし飯にしようか
奏,そうね、丁度いい時間だし・・・どこにしよっか？
モバＰ,確かこの施設内にパスタの美味しい店があったはずだ
奏,あら？乗り気じゃなかったのにしっかり調べて来てるのね
モバＰ,・・・いい絵の撮れるとこ探してたら偶然見つけただけだよ
奏,本当に？
モバＰ,・・・行くぞ
奏,あっ、待って
志希,どうしよどうしよどうしよ・・・無線機壊しちゃった・・・亜季ちゃんに怒られる・・・というか怒られる程度で済めばいいんだけど・・・あ、あたし天才だしここで機械の知識がバーン！！って爆発してきっと直せるはず！！
周子,見事に爆発したねー
奏,さっきから何やってるのかしらあの４人？
モバＰ,ﾓｸﾞﾓｸﾞ
奏,今日一つ分かったことがあるわ
モバＰ,ん？
奏,プロデューサーさんって意外と子供っぽいのね。食事の趣味とか
モバＰ,やかましい、明太子パスタ美味いだろ
奏,そうね、下手に気取ってるよりよっぽどいいわ。素のあなたが見れたみたいで少し嬉しかったの
モバＰ,まぁ事務所では少し格好つけてるとこもあるからな。頼りない奴に人はついてこないからな
奏,私もついてこなくなると思わないの？
モバＰ,俺と奏の仲だ。少しくらい自分見せてもいいだろ？ん？
奏,あら？んっ・・・
モバＰ,口元ホワイトソース付いてたぞ。折角の自慢の唇白くしてちゃ台無しだ
奏,・・・。前言撤回するわ。プロデューサーさんは充分大人の人だったわ
美嘉,かな！かなかなかなかなかなかな！！
志希,おー、サーモグラフィー真っ赤っか・・・美嘉ちゃんも。あたしのパスタみたいにタバスコ入れすぎちゃったかにゃ～？
周子,いや～あれは照れるって。どっちかと言うとお砂糖入れすぎかな？
フレデリカ,ん～♪このパスタ祖国の味がする～♪イタリア産かな？
モバＰ,そろそろ帰るか
奏,ねぇ、最後にもう一回アクアリウムを見に行っていいかしら？
モバＰ,ん～・・・
奏,すぐ終わるわ・・・だから・・・ね？
モバＰ,まぁ少しくらいならいいか
志希,あれれ？
フレデリカ,どしたの～？
志希,ん～・・・奏ちゃんの体温がずっと高いの。壊れたのかな？
周子,そろそろ決めるつもりかもね～
美嘉,決める！？決めるって一体何を・・・・・・・・・うわうわうわ・・・
奏,ナイト・アクアリウム・・・。幻想的ね。夜の蒼とイクオリンの白と・・・。私たちは、付かず離れずのコバルトフィッシュ。で、それに惹かれたエンゼルたち・・・。夜に迷い込んだのは・・・どっち？
モバＰ,？？？
奏,気づいてなかった？あそこよあっち
モバＰ,あっち？
奏,隙だらけよ・・・
モバＰ,な！？
４人,！？
美嘉,あわわあわわわわわわわわわ
志希,美嘉ちゃん落ち着いて！
周子,
フレデリカ,フォックスー！！
奏,ふふっ、顔が真っ赤なのが約一名・・・と意外と初心なのが１名。ふふっもっと思わせぶりにしてみる？
モバＰ,はぁ・・・
奏,ん？どうしたの？あっ、髪かき分けられると耳の後ろゾクッって・・・え？ちょっと近・・・待っ・・・んっ
美嘉,
フレデリカ,美嘉ちゃんがー！！！
奏,どうして呼び出されたか分かるわよね？
４人,・・・
奏,はぁ・・・尾行しようって言い出しっぺは誰かしら？
志希,はい！志希ちゃんです！だから他の３人は関係ありません！！
奏,そう・・・
志希,・・・
奏,じゃあ志希ちゃんには１週間ご馳走して貰おうかしら
志希,えっ！？そこは許してくれるとこじゃないの！？こう・・・感動した！許してあげよう！的な！
奏,私はそこまで甘くないの
志希,酷いっ！亜季ちゃんにも怒られたし散々だー！
美嘉,妥当だと思うけどなぁ
奏,さて、後は・・・
伊吹,奏！！
奏,伊吹ちゃん？
伊吹,お前子供出来たんだって！？
奏,！？
周子,美嘉ちゃん？
美嘉,えっ？だってキスしたら子供出来ちゃうんじゃ・・・
フレデリカ,美嘉ちゃんには保健体育の授業追試だね～
奏,そ、そんなこと誰から？
伊吹,美嘉から聞いたよ！奏に子供が出来ちゃうって！！
奏,そう・・・。ねぇ美嘉？
美嘉,ｿﾞｯ
奏,・・・あなたどこまで見たの？
美嘉,へ？
奏,答えなさい！あなたどこまで見たの！あの後まだ尾行してたの！？
周子,あっ・・・
志希,ｷｭﾋﾟｰﾝ
フレデリカ,あ～あ・・・
美嘉,へ？何々？なんのこと！？
奏,・・・？
美嘉,えっ？アタシ倒れた後すぐ帰ったんだけど何かあったの？え？
奏,！
志希,奏ちゃんプロデューサーとあの後何かあったんだぁ♪
奏,何のことかしら？
周子,シューコちゃんも気になるなぁ
伊吹,奏・・・まさか・・・
奏,・・・迂闊だったわ
志希,ちょーっとそこのカフェで詳しいこと聞こうか～♪大丈夫、あたしの奢りだよ！
奏,いつも通り誤魔化して・・・
周子,志希ちゃん、噓発見器ってこれでいい？
奏,ごめんなさいプロデューサーさん。年貢の納め時かもね
美嘉,結局？何だったの？
フレデリカ,何だったんだろうねー。あ、美嘉ちゃんはアタシとお勉強だよ
美嘉,はぁ・・・
