夢見りあむ,……は？
りあむ,ごちそうさま。悪くなかったよ！Pサマ、ぼくの食レポ、どうだった？
P,火葬と土葬、どっちがいい？
りあむ,もはや弔い方について！？。え！？そ、そんなに！？
P,自覚が無いのか……
りあむ,ちゃんと美味しいとか言ったのに！？
P,お前に食レポをやらせるくらいならその辺で不法滞在してるパキスタン人を連れてきた方が100倍マシだとわかったよ
りあむ,比較対象、何？
P,0点のテストを手直しする赤ペン先生の気分だ……
りあむ,お、お手柔らかに……ね？
P,まず初手！かっっっった！！！って！！！
りあむ,だって硬いんだもん！
P,最初にネガティブワード入れるのは食レポとして0点なんだよ！！！
りあむ,ごめん……
P,ってかお前！その後どうやって割ってた！？
りあむ,チョップ
P,雑すぎんだろうが！！！目の前で商品チョップされて嬉しいヤツいねえだろ！！！
りあむ,でもどうせ割るなら一緒じゃん！
P,うるせえ！お前のメンタルを割ってやろうか！！！
りあむ,そっちはもともとバッキバキだようるさいなあ！！！
P,しかし、素直な印象を口にすることは大切だ。お前は最初に硬いと思ったんだな？
りあむ,うん……
P,そこはしっかりしてるとか噛み応えがあるとか、いろいろ言い換えればいい
りあむ,なるほど！
P,そもそも、いきなり齧るんじゃなくて、先に割って小さくしてから食べても誰も文句言わないだろ。アイドルなんだから
りあむ,確かに……ちょっとずつ食べる方が可愛い！尊い！
P,そんで、肝心の味について！何て言った！？
りあむ,おせんべい！って感じ！
P,おせんべいの感想におせんべいというワードを使うな！！！。そりゃそうだろおせんべいなんだから！！！むしろおせんべい食べてビーフシチューの味がしたらこの街はおしまいだから早く病院に行くといい！！！頭の病院にな！！！！！
りあむ,お、落ち着いてよPサマ！
P,お前の脳内のおせんべいイメージと近い味だったんだろ？そういう時は懐かしい味ですねとか落ち着く味ですねとか、あるだろう！
りあむ,Pサマすごい……！
P,これでわかっただろ？食レポってのは、自分が感じたことをいかに耳障りの良い言葉に置き換えられるかが勝負なんだ。つまり、お前が一番苦手としていることだ。それができるやつはそもそも炎上なんてしない。なぜ俺はお前に食レポの仕事を取ってきたんだ？アホなのか？
りあむ,情緒大丈夫！？すっごいリアクションしにくいよ！？
P,ともあれ、後戻りはできない……徹底的に鍛えるぞ
りあむ,ひぃい……
P,次はこの、おまんじゅうだ
りあむ,おまんじゅう……って、ちっちゃ！こんなんじゃ足りな……はっ！
P,……
りあむ,違う！言い換え……言い換え……！。かわいいサイズ！一口で食べれるからどんどん口に放り込んじゃいそう！やっぱ食べ歩きだとこれくらいの方が気兼ねなく買えるよね！。どう！？
P,うっ……りあむ……ようやく……その気持ちが”思いやり”だよ……
りあむ,ガチ泣き！？。あとその”作ったロボットに感情が芽生えた時の博士”みたいなセリフはなんなの！？
P,俺はまたてっきりこんなサイズじゃハトのエサにもなりゃしないぜ！いったいいつからここは赤ちゃん向けのおやつ売り場になったんだい？HAHAHA！！！とでも言うのかと……
りあむ,そんなアメリカンな罵倒したことないんだけど！？
P,冗談はともかく、見直したよ
りあむ,えへへ……
P,その調子で味についても頼む！
りあむ,任せて！。……！。さっきのおせんべいより美味しい！！！
P,おまんじゅうの感想におせんべいというワードを使うな！！！
りあむ,ひぃぃぃぃ！！！
P,おまっ……ばっ、馬鹿野郎！この……ばか！！！
りあむ,Pサマ！語彙が！
P,ちょっと褒めるとすぐこれか！3歩も歩かずに言い換えるのを忘れやがって！！いったいいつから俺はニワトリのプロデュースをしてたんだろうなあ！！HAHAHA！！！
りあむ,そんなアメリカンな罵倒されたことないんだけど！？
P,同じ商店街の他の商品を引き合いに出すとか、一番やっちゃいけないことだからな！生涯遺恨が残るやつだからな！！！
りあむ,わかったよぅ……
P,そもそも甘いものとしょっぱいものを比べてもしょうがないだろ！3割バッターと10勝投手を比べてもどっちが新人王にふさわしいとかわかんないんだよ！！！
りあむ,その例えはぼくにはよくわかんないけど……
P,やはりダメだ……俺の力じゃお前をまともなレポーターにはできない……
りあむ,ごめんって……
P,せいぜい10％の確率でまともな食レポをするクズ型ロボットどまりだ……
りあむ,Pサマの罵倒のボキャブラリーって人生のどの過程で鍛えたの？
P,とにかく！数をこなして慣れるしかないな……次は……
りあむ,あ……PサマPサマ
P,ん？どうした？
りあむ,……おなかいっぱい
P,ああん！？せんべいとまんじゅうで！？お前はあれか！妖精さんか！！！
りあむ,ち、違うよう！さっきタピオカミルクティーでひと映えしてきちゃって……
P,タピオカミルクティーの単位は映えじゃない！！！
りあむ,で、でも食レポの話は突然だったし、その前にぼくが何か食べててもしかたないでしょ！
P,むぅ……それは正論だな……
りあむ,あ！ちゃんと飲み干してゴミ箱に捨てたよ！
P,当たり前だ。そもそもポイ捨てなんてしたらお前が事務所に着く前にアカウントの炎上が俺の耳に入るわ
りあむ,くそう……包囲網だ……
P,じゃ、今日はここまでにしよう。続きはまた今度な
りあむ,わかった……
P,ちなみに、タピオカミルクティーはどうだった？
りあむ,え？甘くてもちもちしてたけど？
P,……ﾁｯ
りあむ,舌打ち！？あ！今のも食レポのフリか！えっと……えっと……！”飲んだら太りそうだから運動に繋がっていいと思った”よ！！！
P,……やっぱり他人から褒められないで育ったヤツは褒めるのが下手なんだな……俺が悪かったよ
りあむ,もはや哀れまれてるんだけど！？めっちゃやむ！！！！
