日野茜,凛ちゃん！おはようございますっ！！
早苗,お母さんお腹すいたー！すーいーたー！
瑞樹,誰がお母さんか！……あぁほら、じたばたしないの。下着が見えてるわよ
早苗,見せてるのよ！
瑞樹,そこで得意げな顔をする意味がわからないわ……
早苗,あたしの下着のことはどうでもいいのよ。ご飯はまだなの瑞樹？
瑞樹,お婆ちゃん。ご飯はさっき食べたじゃない
早苗,最近物忘れがひどくてねぇ……って誰がお婆ちゃんよ！あたしはまだピチピチの20代！
瑞樹,そうね。早苗はピチピチよね、わかるわ
早苗,なによぅその慈愛に満ち溢れた笑みは
瑞樹,べっつにー？
早苗,食べた食べたー！ごちそうさま！
瑞樹,お粗末様でした。それにしても出来ない訳じゃないんだから自分でやればいいじゃない。嫁の貰い手がなくなるわよ
早苗,それ、瑞樹が言う？
瑞樹,……どうやら食器の前に早苗を片付ける必要があるようね
早苗,ごめんなさいぐりぐりしないで……ってあれ？
瑞樹,ごまかそうたってそうはいかないわよ！
早苗,そうじゃなくてほら、外見て！。花火！
瑞樹,あら、本当に……近々あるとは聞いていたけど今日だったのね
早苗,こうしちゃいられないわ！すぐに向かうわよ瑞樹！
瑞樹,ちょっと待……もう行っちゃったわ。相変わらず強引なんだから早苗は。でもまぁ、なんだかんだでそこがいい所でもあるのよね
棟方愛海,みーくちゃん！うひひひひ……おはよう！！
前川みく,……
愛海,今日も良い胸してるねぇ！
みく,……
愛海,あ、あれ？みくちゃん？
みく,……
愛海,返事がない。抵抗しないならもっと激しく揉んじゃうよ？
みく,……好きにするといいにゃ
愛海,！？。どうしたのみくちゃん！
みく,みくはもう疲れたの……。最近のあにゃんといいあーにゃんといいみくのアイデンティティが脅かされすぎだにゃ……。もういっそ自分を曲げてしまおうかな
愛海,……。みくちゃんのバカッ！
みく,いたっ！何でみくの胸をはたいたんだにゃ！
愛海,こんなんじゃあたし、みくちゃんの胸を揉みたくなくなっちゃうよ……
みく,えっ、それは別にいいけど……
愛海,あたしはね、みくちゃんがみくちゃんであるからこそ胸を揉みたいの。自分と同じような人達が出てきたならその逆境を利用すればいい！だって困難は大きければ大きいほど乗り越え甲斐があるんだから！。あ、でも胸は別だよ？大きいのも小さいのもどっちもこいこい☆。女の子の柔らかい部分を揉むのだってそう。皆に理解されない困難な道だけれどもあたしは求め続ける
みく,……それは、なんでなのにゃ？
愛海,そんなの簡単だよ。だって、好きだからだもん。好きだから頑張れるんだよ
みく,！！
愛海,みくちゃんは猫は好き？あたしは女の子の柔らかい所が大好き！。それに皆のことも大好き！だからもっと揉む！揉むとその人の人生がわかるからね。だからあたしは胸を揉み続けるの！一人一人のかけがえのない人生と共に！
みく,……ことばの意味はわからんがとにかくすごい情熱だったにゃ。そう……他人なんて関係ない。猫チャンが好きだっていう大切な気持ちを忘れていたにゃ……。みく、泣き言を言うには早すぎたの！猫チャンアイドルの頂点に登りつめるならライバルは多い方が燃えるにゃ！
愛海,みくちゃん！それでこそみくちゃんだよ！。じゃあいつも通りになったってことでもう一回揉んでいい？
みく,お断りだにゃ！
市原仁奈,ちょりーっすでごぜーますよ里奈おねーさん
藤本里奈,おー仁奈ちゃん！今日の気ぐるみもかわたん☆
仁奈,仁奈、おしゃれさんでごぜーます！。里奈おねーさんも一緒に着やがりますか？
里奈,さすがにあたしに仁奈ちゃんのサイズは無理でしょー
仁奈,こんなこともあろうかと、どんなサイズも用意済みですよ！
里奈,仁奈ちゃんパない！。どう？似合ってるっしょ！
仁奈,仁奈とお揃いになりやがりました！一緒に猫の気持ちになるですよ
里奈,にゃんにゃんふじりにゃんだにゃあ♪
仁奈,ににゃんですにゃー！
里奈,仁奈ちゃん！
仁奈,はいっ！
里奈,やーこういう気ぐるみ着てみるとテンションアゲぽよ☆。そうだ仁奈ちゃん。せっかくだし写真撮ってもらおっ！
仁奈,写真？
里奈,写メもいいけど、こういうのはちゃんと写真で思い出に残したいし！。確か椿さんがいたはずだし、とりま頼みにいってみない？
仁奈,だったら他の人もさそって皆で撮りやがりますよ！
里奈,いいねそれっ！ナイスアイデア☆
仁奈,それじゃあレッツゴーでごぜーます！
三船美優,ふぅ……
江上椿,ふふっ、お疲れですね美優さん
美優,もう、笑わないで……本当に大変だったのに……
椿,はい、ごめんなさい♪
美優,……もうっ
椿,しかし、仁奈ちゃんの気ぐるみは不思議でしたね
美優,あの気ぐるみのどこに何着も服が入っているのかしら……
椿,みんなのサイズにピッタリなのも驚きましたけど
美優,本当に……
椿,不思議ですね……。それにしても美優さん、気ぐるみを着ることをよく了承しましたね
美優,本当は恥ずかしいけれど……椿ちゃん、仁奈ちゃんに笑顔で頼まれたら断れる？
椿,おそらく……無理ですね。むしろこちらが撮る許可をお願いしたいほどの笑顔でしたから
美優,それに、里奈ちゃんも元気いっぱいに頼んできて……
椿,もちろん引き受けるつもりでしたけど、あれだけ楽しそうに来られると断るのも無粋に感じますね
美優,でも、恥ずかしくはあったけれど……それ以上に楽しかったな
椿,ファインダーから見える皆の笑顔、とても素敵でしたよ。……若干、愛海ちゃんだけ意味合いが違ってみえましたけど
美優,あ、あれはもう忘れて……！
椿,美優さんの姿を見かけるなりむ――モゴッ
美優,わ、忘れないと……私だって怒っちゃうんだから。ぷ、ぷんぷんっ……
椿,ふぁ、ふぁい
美優,……あっ、ごめんなさい。急に手で押さえちゃって……。そう言えば椿ちゃん、せっかく着たのに写真を撮らなくてよかったの……？
椿,私、撮る方は好きなんですけど撮られる方は緊張でドキドキしちゃって。皆はまた今度の機会でと言ってくれましたが、申し訳ないです
美優,椿ちゃん、美人なんだからもっと形に残るものを残したほうがいいのに……
椿,び、美人だなんて照れちゃいます
美優,そんなことないわ……椿ちゃんの気取らない美しさ、とっても素敵よ？
椿,み、美優さん……恥ずかしいです……
美優,ふふっ……カメラよりもまず言葉に慣れる方が必要みたい……
椿,美優さん、なんだか攻めますね……もしかしてさっきの仕返しですか？
美優,さぁ、どうかしら……♪
十時愛梨,おはようございまーす！
松尾千鶴,あっ……どうも十時さん
愛梨,ふぅ……今日も暑いねぇ～
千鶴,最近猛暑が続いていますからね。何か飲み物でも入れますか？
愛梨,それじゃあお願いしてもいいかな？
千鶴,はい。少し待っていて下さい
愛梨,うんっ！……ふぅ、それにしても本当に暑いなぁ
千鶴,お待たせしました……って、なっ！？
愛梨,あ、千鶴ちゃんありがとう！
千鶴,な、な、なな……なななな
愛梨,なな……菜々ちゃん？
千鶴,何で服を脱いでいるんですか貴女はー！！
愛梨,さっきも言っていたけど、最近本当に暑いからねぇ～
千鶴,だからといって事務所で服を脱ぐ必要がありますか！もし、もし盗撮でもされていたらどうするんですか！
愛梨,私を撮っても面白くないと思うけど……それよりも千鶴ちゃんがかわいいから撮られちゃうよ～
千鶴,か、かわいい……私がかわいい……？えへへ……
愛梨,千鶴ちゃん？
千鶴,……ハッ？！そ、そんなことよりも貴女は人気アイドルなんですからもう少し慎みをもってください！。それでなくとも扇情的な身体付きをしているんですから
愛梨,しばらくは女の子しかいないから大丈夫だよっ
千鶴,女性しかいないからこそやってくる人もいるんですが……
愛梨,？？……でも、やっぱりこれ以上迷惑をかけたくないし着るね。ごめんね千鶴ちゃん
千鶴,別に迷惑という訳では……
愛梨,私、いつも注意されているのについやっちゃうから……反省しなきゃいけないなぁ。……そうだっ！千鶴ちゃんにお願いしたいことがあるんだけどいいかな？
千鶴,お願い？私にお願いですか？。これでどうでしょうか？
愛梨,絶対に脱がないぞ……うん！千鶴ちゃんの字凄くきれいだね～！。お部屋に張っておいて、忘れないようにしとおかないと！。でも本当にごめんね。せっかくの腕前をこんなことに使わせちゃって
千鶴,いえ……私の習字が十時さんの役に立つのなら
愛梨,ねぇ千鶴ちゃん。お世話になったお礼がしたいから一緒にケーキ食べに行こう！
千鶴,ケーキ、ですか。ケーキ……ファンシーなお店に一度……
愛梨,そういうかわいいお店ならたくさん知ってるよ！
千鶴,ハッ……別にかわいいのとか興味ないです
愛梨,そうなの？でもこの前一人でいる時ハートポーズを決めて――
千鶴,なっ……？！そんなことしてない、してないですから！それは松尾千鶴じゃありません！
愛梨,えっと……千鶴ちゃん、顔真っ赤になってるよ？
千鶴,――～～～！！こ、これは……朱墨！そう、朱墨を被っただけです！
楊菲菲,チャーハン作るヨ！
ナターリア,フェイフェイ、料理するカ？
菲菲,料理は得意ダヨー！花嫁修業の為にやってるヨ！
ナターリア,お嫁さん修行……スル！ナターリアも料理スル！
菲菲,じゃあふぇいふぇいと一緒に作るヨー！
ナターリア,ウン！料理には隠し味って聞いたナ！
菲菲,ナターリア、何か考えがあるデスカ？
ナターリア,スシとバナナを入れル！
菲菲,チャーハンには合わないと思うヨ……
ナターリア,ソウ……。フェイフェイ、アレやって欲しいナ！
菲菲,わかったヨー！
ナターリア,フェイフェイ凄いナ！
菲菲,えへへ、それほどでも……あるヨー！
ナターリア,フェイフェイもっと！もっと見たいナ♪
菲菲,ふぇいふぇいにお任せアレー♪
ナターリア,本当にスゴイナ……アッ！？。フェ、フェイフェイ！？
菲菲,まだ……まだだヨ！！。間一髪だったヨ……
ナターリア,フェイフェイすごいナ！。ン～～！！おいしイ！
菲菲,喜んでもらえたならうれしいナ♪
ナターリア,フェイフェイお店ひらくカ！ナターリア毎日通うナ！
菲菲,気持ちは嬉しいけど、ふぇいふぇいまだまだアイドルやりたいヨー！
ナターリア,ソッカ……じゃあナターリアと一緒にもっともっと頑張る、ネ！
菲菲,がんばるデスヨ！。そういえばナターリア料理しなかったネ
ナターリア,……ア
安部菜々,到着ですよ琴歌ちゃん！
西園寺琴歌,はわぁ～……立派なお家です……
菜々,これが菜々の実家……じゃ、なくて！ウサミン星の地球における避暑地です！
琴歌,とても趣のある日本家屋ですね……！
菜々,今日はナナ達しか居ませんから遠慮せずにくつろいでください
琴歌,菜々ちゃん、ありがとうございます。わざわざ連れてきてくださって
菜々,そんなのいいんですよぉ！お友だちとお泊りなんてナナも嬉しいですから！
琴歌,ここは綺麗な場所ですね……良い花が見つかりそうです
菜々,とりあえず中に入って涼みましょう！。あ゛あ゛あ゛あ゛～
琴歌,い、今のは一体……？
菜々,これですか？こう、扇風機に向かって声を出すとですね……。ワ・レ・ワ・レ・ハ・ウ・サ・ミ・ン・セ・イ・ジ・ン・ダ
琴歌,世の中には不思議なことが沢山あるのですね……
菜々,琴歌ちゃんもやってみますか？
琴歌,いいのですか？……なんだかドキドキします
菜々,ささっ、扇風機の前にどうぞ！
琴歌,……ワ・レ・ワ・レ・ハ
菜々,わっぷ！？
琴歌,あ、髪が……申し訳ありません菜々ちゃん！。この網はどういった物なのですか？
菜々,蚊や虫が入ってこないようにこの中で寝るんですよ。どうぞ琴歌ちゃん！
琴歌,失礼いたします。……ふふっ、菜々ちゃんと一緒でとても楽しい一日でしたわ
菜々,またいつでも大歓迎ですよ！それじゃあそろそろお休みにしましょう。電気は夕方……小さく着けておきますか？
琴歌,真っ暗だと少し怖くて……
菜々,琴歌ちゃんは怖がりやさんですね♪大丈夫、お姉ちゃんがついてますよぉ！
琴歌,もう……菜々ちゃん意地悪ですっ。……菜々ちゃん……菜々ちゃん
菜々,へへ、もう食べられませんよぉ～……んがぐぐ
琴歌,へうぅ……起きて下さい菜々ちゃん……
菜々,ううーん……どうしたんですか……？
琴歌,その、このようなお願いは恥ずかしいのですが……ついてきてほしいのです。菜々ちゃん……いますか？
菜々,いますよー
琴歌,菜々ちゃん……まだいますか？
菜々,ちゃんといますよー
琴歌,夜分に起こして……ご迷惑をおかけしました
菜々,いえいえ。それよりあれを見てください琴歌ちゃん！
琴歌,あれ、ですか？……あっ
菜々,今夜の月、まん丸で綺麗ですねぇ
琴歌,本当……まさに絶景というものですね
南条光,きらりさん！少し聞きたいことがある！
諸星きらり,光ちゃんがきらりにご相談？うっきゃー！！頼られちゃってうれすぃ☆なーんでも答えちゃうよー♪
光,感謝する！実は聞きたいことと言うのはきらりさんの身長のことについてなんだ。正義の味方としては体格も重要になると考えて……きらりさんがどういう成長をしたのか是非聞きたいと思ったんだ
きらり,うゆー……ちいさなきらりんは美味しいものいーっぱい食べたの！！。んでんでー、お外でうっきゃー！って遊んでたら……。いつの間にかおっきくなってたにぃ♪
光,特別な特訓とかそういうのは？
きらり,ぜーんぜん！えっへん☆
光,もしかして生まれ持った才能……。いや、特訓といえば秘密でするものだから、きらりさんもそうなのかもしれない！
きらり,光ちゃんかたぐるますゆー☆
光,おぉー！これがきらりさんの見ている世界……壮観で、感動的だな！
きらり,光ちゃんのいーっぱいの元気があればきらりんよりもっともーっと大きくなるよー！
光,アタシも、いつかそんな風になれるだろうか……
きらり,それに、光ちゃんはもうとってもおっきなアイドルさんだよぉ？
光,アタシが、大きい？
きらり,光ちゃんのみんなを守るぞー！！って気持ちは、誰よりもおっ……き～～なものだっておもうよー☆
光,大きな、気持ち……
きらり,だから、ほかの所は光ちゃんがおっきくなるまできらりが手伝ってあげゆ☆。やったるにぃ！きらりんパーンチ！！きらりんキーック！！
光,手伝う……か。そういえば誰かさんも助けあいでしょと言っていたな。きらりさん！こんなアタシだけどこれからも力を貸してくれるだろうか？
きらり,おっけーおっけーばっちし☆
