モバP(以下P),理不尽です常務
ちひろ,私はそもそもキス自体をしたことが……
P,参考にならん……こうなったら詳しそうな人間に聞くしかないか
早苗・ちひろ,詳しそうな人？
P,というわけで教えてくれ、奏
奏,何がというわけでなのか教えてくれるかしら？
P,ほら、奏ってキスに関しては経験豊富そうじゃん。だから喫煙者ともキスした事あるかなって
奏,…………………あるわよ？
P,何故に疑問形
奏,あるに決まってるじゃない。えぇ、あるに決まってるわ
P,目がめちゃくちゃ泳いでる気がするけれども
奏,気のせいよ
P,さよか
奏,………
P,………………本当の事を言ってごらん？
奏,ハァ、お察しの通りよ。煙草吸ってる人とはキスした事ないわ
P,そうかそうか。うん。無理に聞いて悪かったな
奏,待って
P,うん？
奏,そうよ。確かに私は煙草を吸ってる人とはまだキスをした事がないわ。だから
P,だから？
奏,教えてくれないかしら？煙草を吸う人とのキスの味を
P,てやっ
奏,痛っ……何するのよ
P,許せ奏。また今度だ
奏,………。言質はとったわよ？
P,奏、いい子だからそのボイスレコーダーをよこしなさい
奏,………
P,………
奏,嫌よ！
P,待てこのっ！
早苗,それで、奏ちゃんは捕まえれたの？
P,取り逃しましたよ。くそう。カッコつけてイ〇チの真似なんてしなきゃよかった
ちひろ,完全に自業自得ですね
早苗,処置なしね。いっぺん脳みそ取り換えた方がいいんじゃない？
P,この短時間で何があったんだってくらい辛辣な返しをありがとうございます。涙を拭きたいのでハンカチを下さい
早苗,それでどうするのよ
P,諦めたくないですけど、諦めるしかないですよねー。ハァ、今西部長が言ってたみたいに煙草を辞めたくなるような相手を探してみるかなー。もういっその事アイドルの中から探してみるとかなー
ちひろ,あっ、そういう迂闊な事を言うと
フレデリカ,じーっ……
P,フレちゃん、要求は何だ。何でも聞くぞ？飯か？服か？家か？何でも買ってやるぞ
フレデリカ,Pがアイドルの中から恋人募集中って言いふらしていい？
P,それはダメ
フレデリカ,ごめん、もうLINEで皆に送っちゃった
P,このテキトーなパリジェンヌ！
フレデリカ,あ、フレちゃんも彼女に立候補しまーす
P,勘弁してくれ！
凛,P、知ってる？煙草の煙で花って早く枯れるんだよ
P,ど、どうした急に
凛,なんとなくね、なんとなく
まゆ,知ってますかPさん。喫煙者と非喫煙者だと圧倒的に喫煙者の方が離婚率が高いんですよ？
P,まゆもどうした急に
まゆ,うふふ。なんとなくですよ、なんとなく
加蓮,アタシが入院してた頃ね、何人も煙草が原因の肺がんで死んだ人がいるんだ
P,いきなり怖えよ！
奏,おはようございます……あら、朝から賑やかね
P,おはよう奏。そして助けて奏
奏,おはようPさん。そうだ、1つ聞きたいのだけれど、昨日の今日でいきなり禁煙なんてできてないでしょ？
P,そりゃあな。いきなりどうした
奏,まだ煙草吸ってるのなら、昨日の約束した事、してもらおうかな
P,待て奏それ以上言うな。相当ＥＸＣＩＴＥしちまう
奏,何を？Pさんが私に煙草味のキスをしてくれるって言ってくれた話？
P,言い方に語弊はあるけど内容は何1つ間違ってないのが最高につらいところ
凛,プロデューサー
まゆ,今の話
加蓮,詳しく聞かせてもらえるかな
P,…………………外回り行ってきます！
凛,あ、待って！
まゆ,逃がしませんよぉ！
P,チクショー！いつか絶対禁煙してやるー！
ちひろ,Pさんが煙草吸い始めたきっかけって何なんですか？
P,きっかけ、ですか
ちひろ,煙草への執着強いじゃないですか。気になっちゃって
P,大したきっかけじゃありませんけど……大学時代に1回だけ来たことがある特別講師の人が吸ってる姿に憧れて吸い始めただけですよ
ちひろ,本当に大した理由じゃないですね
P,だから言ったでしょ？でも、女性ながらあの煙草吸ってる姿はカッコよかったなぁ
ちひろ,女性の方だったんですか？
P,ええ。なんでも、色んな経験を積むために海外で勉強したり、人にもの教えたりっていう事をしてたらしいんですよ
ちひろ,名前とか覚えてないんですか?
P,覚えてないですねぇ。なんなら顔も覚えてないです。1回だけでしたし、なんなら講義の内容とかも半分寝てて聞いてませんでしたし
ちひろ,まったくあなたって人は……
P,でもちょっとした進路相談にのってもらったりしたんで恩はあるんですよ。その人のおかげでアイドルプロデューサーの道に進むことに決めましたし
ちひろ,その恩人の顔も名前も忘れてると
P,っと、もう定時ですね。帰りましょうか
ちひろ,露骨に話をそらしましたね……私はもう少し残っていきます。まだちょっとだけ仕事残ってるんで
P,わかりました。お疲れ様です。事務所の喫煙所が撤廃されたせいでわざわざ駅前の喫煙所まで行かにゃならん羽目になるとは。俺電車通勤じゃねえのに
美城常務,
P,あれ、常務じゃないですか
美城常務,君か。こっちは君の家とは逆方向じゃなかったか？
P,どっかの誰かさんが喫煙所をなくしたせいでわざわざここまで吸いに来てるんですよ
美城常務,そうか
P,………常務も煙草吸うんですね
美城常務,あぁ。今は減ったが、昔はよく吸っていたものだ
P,だったら喫煙所残しといてくれても良かったのに
美城常務,私は仕事中には吸わない主義なんだ
P,さいですか。………
美城常務,何だ、人の顔をジロジロと見て
P,あ、すいません。何か既視感が……
美城常務,理由はどうあれ、女性の顔を不躾に見るというのはよろしくない。気を付けたまえ
P,うっす。常務の煙草吸ってる姿、どっかで見たことあるんだよなぁ。でも常務が煙草吸ってるって知ったのは今さっきだし……ま、いっか。それにしても、常務の煙草吸ってる姿かっけえなぁ
