愛土瑠流,あいどるりゅう
紗枝,それはそうやけど.....あんまり酷いと、Ｐはんに怒られてしまうよ？
周子,大丈夫だって、昨日のはＰさんも共犯だからねー。店主があたしを追いかけてる隙に、あたしが残しておいた一杯を、Ｐさんがこっそり食べちゃったんよ♪
紗枝,そうなんどすか？もう、二人揃ってなにやっとるんですか......
周子,なになに～？一人だけ置いてかれてやきもち妬いてはるん？かわええなー♪
紗枝,もう！周子はんったら！
周子,あはは、ごめんごめん！
紗枝,.....それで、陰陽師の子はどうやったん？
周子,可愛かったし、真面目っぽい子だったよ
紗枝,実力の程は？
周子,それはまだまだかなー。あたしの事も全然気づいてなかったし
紗枝,そうどすか～、それはちょっと心配やね.....
周子,まぁ、何とかなるでしょ。あたし達もいるしさ
紗枝,まぁ、それもそうどすな～
周子,だからあたし達は、こうやってのんびりお団子を楽しもうよ
紗枝,そうしましょか....ふふっ、美味どすな♪
周子,うんうん、おいしー♪
紗枝,.....ところで周子はん、お代はちゃんと持っとるんよね？
周子,流石に団子代くらいは持ってるよ、ほら.....。......................
紗枝,.....周子はん？どないしたんどす？
周子,お財布、宿に置いてきちゃった
紗枝,.....実は、うちもどす
周子,......................
紗枝,......................
歌鈴,ここが、さっきの人がそば屋を出してた場所......あれ？だれか座り込んでる。すみませーん....って、きゃっ！
Ｐ,うおっ、びっくりした！.......大丈夫かいお嬢ちゃん？
歌鈴,だ、大丈夫です。よくあることなので.....
Ｐ,それなら良いんだが.....ん？その恰好は.....お嬢ちゃんもしかして、愛土瑠流かい？
歌鈴,はい、道明寺家の歌鈴です！お兄さんは、愛土瑠流をご存じなんですか？
Ｐ,まぁな。昔お世話になったんだよ
歌鈴,お世話になったということは.......まさかお兄さん、以前あやかしに襲われたって事ですか！？
Ｐ,まあ、そんなとこかな
歌鈴,大変です！一度あやかしに襲われた人間は、他のあやかしに襲われやすくなるんですよ！
Ｐ,あやかしは霊感が強い人間を好んで喰らうから、一度襲われて、怪異の存在を信じ易くなった人間を狙うんだっけか？
歌鈴,そうです、だから気を付けてください！今この村は、あやかしに目を付けられていますから！
Ｐ,そっか、んじゃ用心しとくよ
歌鈴,私の作った魔除けの御札も渡しておきますので、いざとなったら使って下さい。ただあくまで護身程度の物なので、御札の力に過信せず、使ったらすぐに逃げてくださいね？
Ｐ,いいのか？でも、襲われるのは女ばかりなんだろ？俺は大丈夫なんじゃねぇか？
歌鈴,あやかしは、そういう心の隙間に付け込んでくるんですよ。いいから持っててください！
Ｐ,.....まぁ、そういう事なら貰っておくよ。ありがとな
歌鈴,いえいえ、これが私の務めですから！
Ｐ,......いい村だよな、ここ
歌鈴,えっ？
Ｐ,この村で生まれ育った女は、みんな別嬪で、しかも巨乳になるんだとよ。おかげで、良い目の保養になってるぜ
歌鈴,..............あのー？
Ｐ,おっと！女の子の前でこんな話は失礼だったか。すまんすまん。でも.......そのせいでこの村は、あやかしに狙われてるのかもしれないな......
歌鈴,えっ.....どういうことですか？
Ｐ,攫われた人、かなりの割合で胸がデカいって評判の人達だったらしいんだよ。意外と、あやかしの趣味でそうなってるかもって思ってさ
歌鈴,胸が大きい程、狙われる？..............！！。そうだ！
Ｐ,えっ？
歌鈴,貴重な情報を、ありがとうございした！それでは！
Ｐ,おっ、おう。どういたしましてー？
歌鈴,そうと決まれば、早速準備しなきゃ！
Ｐ,さてと、そろそろ.....
紗枝,はぁ...はぁ...あっ、Ｐはんや....
周子,あー、ほんとだー....
Ｐ,......二人とも、どうしたんだ？そんなに息切らして
周子,ちょっと、色々あってさ......
紗枝,それで、どうだったん？
Ｐ,妖気は残ってるし、罠も踏まれた形跡はあったが......起動していない
周子,そうなん？あれって、あやかしが踏んだら即ドカンするやつじゃなかったっけ
Ｐ,そのはずだ。だがな、一つ面白い事があったよ
紗枝,面白い事？
Ｐ,そこの豆腐屋、今油揚げ切らしてんだと。なんでも、昨日の夜盗人に入られて、油揚げだけ持っていかれたんだとか
紗枝,！！
周子,......成程ねぇ、つまり
Ｐ,ああ、間違いない。狐憑きだ
歌鈴,残念でしたね！貴方が今掴んだものは、このお饅頭ですよ！。その御札を食らった以上、貴方はもう動けません！ここで大人しく.......って、あなたは！。村長の娘の、愛海ちゃん！？。そんなっ！あやかしの正体が、人間だったなんて.......。.....なるほど。あなた、狐憑きですか。人間の身体に取りつき、その意識を乗っ取って、宿主や周囲の人間から生気を吸い取る狐のあやかし.......。女性ばかり狙っていたのは、より強い霊力を求めたからですね。ですが、その悪行もここまでです！この場で私が、あなたを祓います！。な、何が可笑しいんですか！。なっ、拘束が！。しまっ、きゃあっ！。なに、これ......身体に力が、入らない......。あ、ああ....や、やめて.......。えっ？な、なに？。炎.....いや、あれは狐火？一体誰が！？
Ｐ,やっぱり狐憑きだったか。身体は人間だから、罠が反応しなかったってわけね
周子,歌鈴ちゃんだっけ？生きてるー？
紗枝,やっぱり、見張っといてよかったどすなぁ
歌鈴.,それと.....
紗枝,お初にお目にかかります、小早川紗枝どすー♪
周子,歌鈴ちゃんが心配だったからさー、こっそり影から覗いてたんだよね
歌鈴,そ、そんな場合じゃないです！早く逃げてください！
周子,この状況であたしたちの心配？優しいねー歌鈴ちゃん♪
歌鈴,いいから早く！このあやかしは！。しまった！皆さん、早く!。ダメ、間に合わない....!
周子,聞いた紗枝はん？
紗枝,聞きましたけど、何を言ってはるんかさっぱりやわ
周子,ホントにねー、人間に取りつかないと生きられない三下が、誰を頂くつもりなんだろうねー？
歌鈴,凄い！あの狐憑きを、簡単に跳ね飛ばした！？。......って、お二人とも、その狐のような耳と尻尾は！？
周子,おっと、変化解けちゃってたか
Ｐ,歌鈴ちゃんは気づいてなかったみたいだが、周子と紗枝はあやかしだ。俺の使い魔やって貰ってる
歌鈴,あやかし.....という事は、お二人も狐憑き！？
紗枝,ちょっと歌鈴はん。うちらはれっきとした妖狐や、あないな三下と一緒にしないでおくれやす
歌鈴,す、すみません！
周子,それでＰさん？あいつ、やっちゃっていいんだよね？
Ｐ,宿主は傷つけない様にな
周子,えー、久々に暴れられるとおもったんやけどなー
Ｐ,お前ら二人が暴れたら、村ごといっちまうだろ。つべこべ言わずに行って来い
周子,しょうがないなー、じゃあ紗枝はん、さっさと済ませようか
紗枝,せやねー周子はん
周子,まあ成り行きでねー。意外と悪くないよ？こういうのもさ
紗枝,そういうわけで、往生しはってな？
Ｐ,おろ？
歌鈴,しまった！
Ｐ,おいおい何やってんだよ二人とも、捕まっちゃったじゃん
紗枝,ごめんなぁＰはん、余りに弱そうな相手やったから、つい油断してしもうたわ
周子,Ｐさん、来世でも元気でねー♪
歌鈴,えぇっ！？周子さん！？
Ｐ,うわー見捨てる気満々かよ。しょうがねぇ、折角貰ったしこれ使うか
歌鈴,あれは私の御札.......でも駄目です！普通の人が使っても大した効果は！
周子,そうかな？
歌鈴,えっ？
周子,だって、一応あたし達を使い魔として使役できてる人が
紗枝,普通の人な訳、ないやんなぁ？
Ｐ,破アァ！！！
歌鈴,えーー！！？？なんですかあの威力！？あの御札、私が使ってもあんな風にはならないのに！
紗枝,歌鈴はん、高峰家って知っとりますか？
歌鈴,高峰家って、最強の陰陽師と名高い高峰のあ。........まさか！？
Ｐ,そう！件のお尋ね者、高峰Ｐ衛門とは俺の事さ
歌鈴,そ、そうだったんですか！？
Ｐ,あー、なんかそんな風に言われてるがな。俺は別にあやかしが好きな訳じゃねえのよ。むしろ嫌いだね。というわけで、お前はしっかり祓わせてもらうよ。この棟方村において、憑依、誘拐、あとついでに食い逃げ！数々の悪逆非道を尽くした怪異、狐憑き！
周子,うるさい！言い逃れはあかんよ！
紗枝,そうどす！そういう事にしとけばすべて丸く収まるんどす！
Ｐ,高峰家の陰陽師Ｐ衛門として命ずる！即刻その娘から出ていって、地獄で往生してろ！。破アァー！！！
愛海,う、うう........
歌鈴,は、祓えたんですか.....？
Ｐ,ああ、もうこの子の中に狐憑きはいない。もう大丈夫だ
周子,というわけで、後処理はよろしくねー歌鈴ちゃん♪
歌鈴,えっ！？放置ですか！？
Ｐ,だって俺たち、お尋ね者だからなー。この村のあやかしも祓ったし、食い逃げがばれないうちに、さっさとこの村出るわ
歌鈴,.....！そ、そうでした！待ちなさいＰ衛門ッ.....！。うっ.....さっきの狐憑きの攻撃のせいで、動けない.......
周子,それじゃ、またどっかで逢えたらいいねー。ばいばーい
紗枝,おおきにー♪
歌鈴,ま、待ってー！せめて、道端に置いていくのはやめてくださーい！。いっ、行っちゃった.....うぅ、寒いよぅ......
愛海,う、うーん....あれ、あたしは.....
歌鈴,愛海ちゃん！気が付いたんですね！
愛海,あたしは.....そっか、あの狐に取りつかれて.......。そっか、あなたが助けてくれたんだね......ありがとう......
歌鈴,えっ？いや、私は何も.....
愛海,.........それにしても.......
歌鈴,？
周子,それにしても、何で胸の大きい子ばっかり狙ってたんだろーね？
紗枝,どういう事どすか？
周子,だって、霊力が大きい人間ってだけなら、別に巨乳にこだわらなくても良かったじゃん？。それこそ女の子じゃなくても、あのそば屋さんとか結構霊感強かったみたいだし、宿主になった愛海ちゃんだって、周りに比べて特別胸が大きかったわけじゃないよね？
Ｐ,ああ、多分それは.......
愛海,.......あー！！もう我慢できない！！目の前にこんなかわいいお山があるのにお預けなんて無理！！
歌鈴,えっ、あ、愛海ちゃん？
愛海,目標確認！いただきまーす！！！
歌鈴,えっ、ちょっ、ちょっと！愛海ちゃ、あん！やめ、そんなとこっ.....！
愛海,うひひ.....幸せ～.......
歌鈴,う、うわーん！誰か助けてー！！
Ｐ,多分、宿主の趣味に引っ張られたんだろ。自我が強い人間に取りつくと、そういう事もあるからな
周子,あー、なるほど
紗枝,歌鈴はん、ご愁傷さまどす.......
愛海,えへへへ～.........
歌鈴,あ、だめぇ.....うわーん！！
彼は陰陽師たちに、路を外れた不埒者こと不路出遊詐亜,ぷろでゅうさあ
