本田未央,さて、今週もやってまいりました、逝ってm@s！司会の本田未央です
志保,えっと……たしか殻に光沢があって透明なのがいいのよね？
雫,実は正解です。これは後で加工に回しますので
志保,牛乳はたしか、水に二、三滴落とすといいって聞いたわ……
雫,いえ、古いのは水に流れて溶けますので、これはみんな新しいのですよ
未来,なるほど……コップに開けちゃってわからないのもあるもんね
静香,ちゃんと飲みきりなさいよ
雫,えっと……すみません。ゼラチンが少し足らないようで……
静香,そういえば、あっちでも同じ催しがやってるわね
雫,というわけでオムレツ作りに変更です！
静香,お、オムレツ？！……私、家庭科の調理実習でも作ったことは
未来,静香ちゃん頑張れ！
静香,あぁ、もう未来ったら……仕方がないわね。うまくかき混ざらないわね
未来,静香ちゃん！フライパンが煙を！
静香,大変！水につけないと！。アチチ！
杏奈,あー、まだフライパンに卵すら入れてないのに……
志保,三連敗確定ね……
未来,みんなー！もう夕方だから帰ってご飯だよー！
志保,それで戻るのかしら？
杏奈,さ、さぁ……
静香,あ、意外にみんな言うこと聞いてるわね
未来,じゃあ。牛はこっち。鶏はあっち。豚さんは……そっちね。熊さんはどこだろう……。ふぇ……ど、どうしよう
静香,ど、どうしたらいいの……
杏奈,ライフルとか……ないの？
志保,そんなのが……
雫,ありますよ。GM6リンクス対物狙撃銃とAA-12フルオートショットガンにM32リボルバーグレネードランチャーですよ
静香,ま、待って！もし未来に当たったら……
雫,大丈夫ですよ……撃ちます
未来,え、どっちに？！えっと……。え……。……ごめんね。熊さん。熊さんだって生きているからご飯が欲しかったんだよね。え？。え！？え、え……ま、まだ生きてた……
静香,みらーい！！
未来,うーん
静香,未来、しっかりして
未来,あ……おはよ……静香ちゃん……あれ？生きてる？。うわっ！……ってなんでここに？
星梨花,それじゃあ、せーの
雫,ごめんなさい。実はその熊は
志保,ちびきのお友達の一匹で
ちびき,だぞ！
杏奈,と、特別出演してもらったんだ
未来,あは……あははは……。どっきり大成功inおいかわ牧場でした！！。というわけだったんですよ
小鳥,あらあら
環,でも、スイーツファイブのケーキを食ったんだろ？うらやましいなー
恵美,スイーツファイブの！？
琴葉,ケーキだって！？
未来,えへえへ……おいしかったよ
恵美,なんで残してくれなかったの～
琴葉,めったに食べる機会がないし、こないだの亜利沙と千枝ちゃんの誕生日の時は食べ逃しちゃったんだから！
未来,うぅ……おいしかったですよ！
静香,まったく……あんなに食べちゃって、またレッスンしないといけないからね
未来,はーい
美咲,ところで、29日は私の誕生日だけど……。私の誕生日ぃ～
