古賀小春,あの、あいさん～
小春,……はれ。あ、あいさん、どうしてしまったんでしょう～…
晴,…いや、まあ…ある意味まともな反応だろ…
あい,ぶくぶく
晴,格好悪いけど、可愛い人だな
あい,…ん
晴,お。目ぇ覚めたか
あい,……うむ。…ここは…
晴,事務所だよ
あい,私は
晴,あいさんだよ
あい,メイド！？
晴,そうだな。まあ…いきなりイグアナ触ったりしたら、普通びっくりするよな
あい,…うん。はは、恥ずかしいところを見せてしまった…
晴,…
あい,……。タオル、晴君が乗せてくれたのかい？ありがとう
晴,気にすんな。なあメイドちょー
あい,…。だから、メイド長ではないと、言っているだろう？
晴,…さっきはそう呼んで構わない、みたいなこと言ってなかったっけ
あい,……ふふ、覚えていないな
晴,ずりぃ
あい,ふふ。大人はずるいものさ
晴,アンタは子供だけどな
あい,ひどい。それにほら
晴,ん？
あい,メイド長と呼ばれるには、ほかに何人もメイドがいなくてはならないだろう？
晴,……。……一理ある、けど……屁理屈だろ……それは
あい,でも理屈だ
晴,…。…ふん。そういうところが子供っぽいってんだ
あい,むう。子ども子どもとうるさいなー。そうやって突っかかって来る方が子どもなんだぞ！
晴,知らね
あい,むぅー
晴,可愛い…
あい,……。…！。そうだ。なあ晴君
晴,あ？
あい,そんなに私をメイド長にしたいのであれば、君もメイドになればいい
晴,……、。…ガム飲み込んじまったよ。なんだって？
あい,ぷ。晴君はお子様だな
晴,アンタにだけは言われたくねぇよ
あい,ひゃう。ほ、ほっぺはやめひぇくれ…。……
晴,で、なんだって？
あい,う、うむ。だから、君もメイド服を着ればいい、と言った
晴,嫌に決まってんだろ
あい,おや。こんなところに替えのメイド服が
晴,もうやだこの事務所
あい,着たまえ
晴,……。や、意味分かんねぇし。ていうかほら、俺だけ着ても意味ねぇんじゃね？二人だけでメイド長ってのも変な話じゃん？
小春,じゃあ小春も着ますぅ～
晴,！？てめ、お姫様じゃなくていいのかよ！
小春,えへへ。お姫様らしく、メイドさんの衣裳をアレンジしちゃいます～
晴,そういう問題じゃねえよ！
あい,これでなにも問題はないな！
晴,問題だらけだよ！や、やめろって！オレはスカートなんてキャラじゃねぇんだよ！
Ｐ,……騒がしいなあ…
市原仁奈,メイドちょー！
仁奈,あいおねーさん！
あい,…。うむ。なんだね仁奈君。それといま私をなんと呼んだか、聞き直した方がいいかな
仁奈,おねーさんは可愛い格好がしたいと、仁奈の小耳に挟まりやがりました！
あい,…ほ、ほう。それは一体だれから――
仁奈,可愛いと言えばキグルミでごぜーます！
あい,そ、そうか。うむ。と、ところで――
仁奈,一緒にモフモフしてくだせー！
あい,あ、ちょ、ま
晴,押され気味だな
仁奈,メイドちょう！
あい,だ、だからその名で呼ぶなと、…もが。……
晴,おう。ずいぶん見違えたな
あい,…もうお嫁にいけない…
晴,なんのこった
あい,…うぅ。こ、こうなったら…晴君が私を貰ってくれるかい
晴,そういう趣味はねぇよ
あい,えー
晴,ぶーじゃねえよ
仁奈,…！。あいおねーさん！そのキグルミはよく似合ってごぜーます！
あい,…。そ、そうかい？あまり、こんな突飛な格好はしたことがないものだが…
晴,メイド服も大概突飛だけどな
仁奈,えへへ。一緒にヒツジの気持ちになるですよ！
あい,よ、よし。いいだろう
小春,ひつじさんを数えちゃいましょう～
晴,…小春までいつの間に…
小春,えへへ～。晴くんも一緒にどうですかぁ～
晴,勘弁してくれ
仁奈,晴おねーさんは一緒にもふもふしやがりませんか？
晴,…。ほら。俺はもふもふされる側だから。仁奈たちでオレのために羊を数えてくれ
仁奈,？？な、なるほど…わ、分かりやがりました
晴,分かったのか
あい,ふふ。上手く回避したじゃないか
晴,いまの苦し紛れを上手いと思うのはアンタぐらいだ
仁奈,では、晴おねーさんのために羊を数えやがりましょう！
あい,おー
小春,お～
晴,…寝るか。…ん
あい,…くぅ
晴,……
あい,…むにゃ
晴,……さっきも寝てたじゃねえか
あい,……ん…
晴,…ったく
あい,…ん…ふふ…
晴,……はあ
あい,ぐぅぐぅ
晴,…。…これ動けねぇじゃねえか
あい,ぐぅ
晴,…ちっ……はー。くそ
あい,ぐうぐう
晴,……早く起きろよ、バーカ
あい,……ふふ♪
晴,実は起きてるとかねぇよな？
あい,…♪
晴,…。まあ、それでもいいか
Ｐ,晴とあいさんは仲良しだな
晴,…見てたのか
Ｐ,そりゃ横で仕事してたら目に入る
晴,……仲良しねぇ…
Ｐ,うん
晴,……どうだろ。分かんねー
Ｐ,そうか？
晴,うん
Ｐ,コーヒーでも飲むか？
晴,…
あい,…
晴,悪ぃ
Ｐ,いいよ。俺もちょっと休憩にする。はー…
晴,お疲れさん
Ｐ,どうも
晴,ガムやるよ
Ｐ,お、サンキュー。はい
晴,ありがと
あい,…むにゃ
Ｐ,…なんだか、すっかり晴の方がおねーさんって感じだな
晴,……なんでこうなったんだか
Ｐ,晴のお姉さん属性がどうの
晴,突っ込むのもめんどくせぇ
Ｐ,って比奈が言ってたような
晴,…あの人なら仕方ねぇ
Ｐ,そうだな
晴,…。…なあ、砂糖ある？
Ｐ,と、悪い。そっか、晴はブラックでは飲まないか
晴,…アンタまでオレを大人扱いすんじゃねえよ。どうせまだガキだよ
Ｐ,変わった自己アピールだな
晴,いっつもお姉さん属性とやらで考えられたら疲れちまうよ
あい,…ふふっ…
Ｐ,……そうだな。そうやって自分から言ってくれるのは助かる
晴,？
Ｐ,…あいさんも、きっと同じだったんじゃないかと思って
晴,…。そうかもな
Ｐ,うん
晴,あいさん、大人だもんな
Ｐ,うん
晴,…
あい,……
Ｐ,…まあ…たまにでいいから、甘えさせてやってくれ
晴,…はいはい。へっ。プロデューサーってのは大変だな。アイドルの子守りみたいなもんだ
Ｐ,小さい子も少なくないしな。間違ってはない
晴,今回のは大きい子だけどな
Ｐ,そうだな
あい,…ん…♪。…。…ん…？
晴,お。やっと目ぇ覚めたか…
あい,…
晴,へ。この台詞も今日だけで二度目だけど。よく寝るなアンタ
あい,…
晴,…？
あい,…これは…晴君が、膝枕をしててくれたのかな…？
晴,…そうだけど。……悪いな、美優さんみたいに気持ち良くはなかったかもしれねぇけど
あい,そんなことはないぞ！
晴,太ももをぐにぐにすんじゃねぇよ
あい,ふふ。だが本当に気持ちよく眠らせてもらった。なんだか暖かかったし
晴,それはきぐるみのせいじゃねえかな
あい,ありがとう
晴,…おう
あい,…、それは？
晴,コーヒーだけど
あい,…！カッコいいな！
晴,その台詞は相当格好悪いな。あいさんだってコーヒーくらい飲むだろ
あい,う、うむ。…大抵、缶コーヒーの甘いものだが
晴,子どもか。これも甘いけど…飲む？
あい,…
晴,眠気覚ましにはなるんじゃねぇかな
あい,…そうだな
晴,…
あい,ではまたあとで晴君に淹れてもらうとしよう
晴,なんでオレが
あい,いまはもう少し、こうしてまどろんでいたい
晴,…
あい,いけないかな
晴,…。そんなときだけ格好いい顔すんじゃねぇよ
あい,決まっていたかな？
晴,笑えるからやめてくれ
あい,あれー
小春,メイドさん～
あい,む？
小春,ヒョウくんが～以下略
あい,それは大変だ！いますぐ助けなければ！
晴,もうリードかなんかでちゃんと繋いどけよ…
あい,よし。今度こそ私が救ってみせよう
小春,よろしくお願いします～
あい,うむ。この――…
小春,？
あい,…ふ。そう。この
小春,んむ？
あい,メイド長がね
小春,…！は、はいぃ…お願いしますぅ…
晴,無駄にイケメンだな…
あい,晴君
晴,なにー
あい,似合っているよ。そのメイド服
晴,……。嬉しくねぇよ、バーカ
あい,そうか
晴,…
あい,はい。どうぞ小春君
小春,あっ…ありがとうございますぅ～！
晴,…。大丈夫か？顔青いぞ
あい,……うむ。平気だよ
晴,…そっか。……へっ
あい,？どうかしたかい
晴,なんでもねーよ。お疲れ。ほらガム
あい,わわっ
晴,相変わらず運動神経鈍いな…
あい,あ、ありがとう
晴,いえいえ
あい,…♪
晴,…。…いや、まあどっちもあいさんなんだろうなぁ
あい,ん？
晴,だからちゃんと噛んでからにしろって
あい,いたいっ
晴,へ。まあ甘えたくなったらいつでも言えよ。お姉さんが甘やかしてやるよ
あい,…。ふふ。覚えておくよ。晴君こそ遠慮することはない。いつでもお姉さんの私に甘えたまえ
晴,終始ガムを噛みながら言う台詞じゃねえな。…ま、気が向いたらな
あい,うむ
仁奈,メイドさーん！
あい,む？どうしたかね、仁奈君
晴,おいおい。仁奈が呼んでるのはメイドだろ？メイド長は後ろでどっしり構えてやがれ
あい,む。聞き捨てならないな。まだメイド歴の浅い君には任せておけない案件かもしれないだろう。ここはこのメイド長にだな
晴,ああん？
仁奈,…。よ、よく分かんねーですが、二人は仲良しでやがりますね
あい,まあね
晴,即答かよ
あい,違うかい？
晴,……どうでしょうね
仁奈,二人で来てくれればいいですよ！仁奈に着いて来てくだせー！
あい,あ、ちょ…ふふ、忙しい子だな、仁奈君は。…ふふ、では我々も行こうか。ね
晴,……はいはい。分かりましたよ、メイドちょー
あい,うむ
