乃木園子,わっしー……私眠いんよ……
美森,……本当に、本当にありがとうね、樹ちゃん……。それでね、樹ちゃん。迷惑ついでにもう一つ相談しちゃうけれど、私最近皆の脚の美しさに魅了されちゃって目が離せなくて困っているのよ
樹,……へ？
美森,風先輩
犬吠埼風,……どうやら深刻な話のようね。何があったの？
美森,友奈ちゃんの脚が自分の脚に付いていると思うと夜も眠れなくなると思いませんか？
風,何言ってんの、あんた？
美森,風先輩も私たちに返ってきた供物へ違和感を覚えたことはあったはずです
風,そりゃあ、まぁね。ってやっぱり真剣な話っぽいじゃない。……ああ、良かった。さっき友奈の足とか聞こえたのはアタシの空耳だったのね
美森,だから、私の脚が友奈ちゃんの脚の機能で興奮します
風,空耳じゃなかったッ！？
樹,おはよー、おねーちゃん……
風,ほい、おそよー
美森,お邪魔しています、樹ちゃん
樹,あれ……とうごう、先輩！？
風,……なんで東郷を見て一番に自分の足を手で隠すのよ。──ねぇ、不思議よねトーゴー？
美森,風先輩
風,あんたのその真剣な表情に最早嫌な予感しかしないけど、何よ？
美森,風先輩のおみ足も肉感的で美しいですよ
風,……ねぇ、樹。この東郷、病院に連れていなくても大丈夫だと思う？
樹,ええと、色々な重さから解放されたんだよ、きっと。だから、今はあたたかい目で見守ってあげて
美森,いけないわ、このままでは！。最近私は皆の脚に気を取られてしまっている。特に友奈ちゃんの脚と自身の脚が顕著だ。このままでは日常生活に支障が出るのも間近だろう。でも、この煩悩を祓うためにはどうすれば良いと言うの……？。！！。……あった。たった一つだけ皆の脚から救われる方法があった。これで皆の脚
園子,ごめんごめん～、もう始まってるー？掃除当番の途中で寝てしまったんよ～
夏凜,園子、そんな時に寝る事が出来るのはあなたくらいよね
園子,わぁ！褒められたー！
友奈,良かったね！夏凜ちゃんはなかなか人を褒めないんだよ
樹,多分、褒められてはいないんじゃないかな……？
風,さて、全員揃ったわね？じゃあ十二月期の部会、始めるわよ！。園子もさ、二人共一体どうしたのよ？友奈は泣き出すし、園子はずっと怖い顔してるしで本当何があったって言うの？
園子,……よく聞いてね？今のこの記憶は嘘ってこと
風,えっ？
園子,なにかとんでもなく微妙な事が起きていて、それが何だか分からないけど、私達はそれをなかった事にしてる
友奈,私、思い出した……。勇者部にはもう一人、とても大切な友達がいたんだよ。東郷さん！ここに、東郷美森って子がいたんだよ！
夏凜,あんたたち何脚を隠して──はっ！？
美森,夏凜ちゃん……(私)もう手遅れだよ……
夏凜,あんた、何言って！
美森,夏凜ちゃんの引き締まった足から目を離せないの！どうしても離すことができないの！！
夏凜,最近足元に感じていた熱っぽい視線って東郷だったの！？
美森,夏凜ちゃんの脚でこうなんだよ？友奈ちゃんの脚、私に付いている友奈ちゃんの脚の機能を見るともう自分を抑えることはできないの……
夏凜,……ごめん。涙を浮かべているところ悪いんだけど、言っている意味が全然分からない
美森,だからね、私、神樹様のところに行ってくるね
夏凜,え、え……！？話の流れが全然見えないけど、神樹様のところに行くって、あんた何する気！？
美森,……
夏凜,とう、ごう？──東郷っ！！。悲しそうに微笑する東郷とそれを追いかけようとしていた私。多分、これが覚えている東郷との最後の記憶になる。私なら東郷を止めることができたはずなのに、東郷の言っていることが意味不明すぎて行動が遅れたんだ！ちくしょう！
風,私、部長なのに……また……
友奈,でも、もう思い出した。何で、何が起こってるの……？
園子,わっしー。今どこで、何してるの……？
美森,東郷美森、ただ今帰還しました！
友奈,東郷さん！？
園子,わっしー！？
樹,あ、お帰りなさい
美森,ただいま、樹ちゃん
夏凜,あ、あんた今まで何して──
美森,何のこと夏凜ちゃん？
夏凜,何のことって……あれ？何だったかしら？
友奈,ええと、東郷さんが家庭科室でぼたもちを作ってくれていたんだっけ？
園子,わっしーのぼたもち美味しいよね～
樹,私も東郷先輩みたいにお菓子を上手に作れるようになりたいです
美森,なれるわよ、樹ちゃんなら
夏凜,あんた、どこに行く気？
美森,どうして止めるの、夏凜ちゃん！
夏凜,いや、止めてはいないけどさ。そっちは大赦よ？勇者のお役目から解放された私たちが行ける場所じゃないわ。……って何で私の足元を見てんのよ？
美森,夏凜ちゃん……私もう手遅れだよ……
夏凜,え？あんた、何言って！
美森,今も夏凜ちゃんの脚しか目に入らない。だけど、私は気付いたのだ。これは代償行動。自分の脚、友奈ちゃんの脚の機能を持つ脚に視線を向けないための防衛行動。このままでは大和撫子としての命に係わることは容易に想像がつく。だからね、私、神樹様のところに行ってくるね
夏凜,え、え……！？話の流れが全然見えないけど、神樹様のところに行くって、あんた何する気！？
美森,私は勇者であり巫女。だから、私には神樹様の声が届いていて──。ごめんなさい、夏凜ちゃん、皆。少しだけさようなら
夏凜,とう、ごう？──東郷っ！！
美森,夏凜ちゃんは動きを止め──樹海化が起きたのだ──私は樹海の中をゆっくりと進んで行った。そして、私は神樹様に触れ、皆の記憶から居なくなった。私の目的は神樹様に供物を正しい持ち主へと返して貰うことだった。それが叶えば私の邪念は消え去り、日常生活に戻れると信じていたから。だけど、現実は残酷だった。私に戻ってきていた供物は友奈ちゃんのものではなかったのだ。それなのに邪念は未だに健在で消える気配すら見せない。その驚きと失望は計り知れなかったけれど、幸いにして私は同じ苦悩を共有できる存在と知り合うことが出来た。そう、神樹様だ。世間では脚ふぇちと呼ばれる者同士、それはもう語り合った。正確には言葉ではなかったのだけれど、互いの想いは確かに通じていた。そのような素晴らしい時を過ごし、私は今日再び勇者部への帰還を果たす。神樹様の計らいで私が居なかった期間の記憶は補てんされ、いつも通りの日常を取り戻していくはずだ。何より──。脚ふぇちである東郷美森を知っている者は、この世で神樹様しか存在しなくなる。これも神樹様の計らいだ。だから、その気持ちに応えるため国防へますます励もうと心に心に誓った。そして、私は日常へと戻って行った
風,今日は皆でゴミ拾いよー！。ほらほら、樹。ここに大物があるわよ～
樹,ゴミ袋に入るかな……？
夏凜,待ちなさい、樹！それはプラスチックに見せかけた金属よ！だからこっちの袋に入れなさい
園子,へいへい、わっしー、ゆーゆ！こっちも部長たちに負けてられないぜぇ！大物はっけーん！捕獲します！
美森,もう、そのっちったら元気なんだから
友奈,東郷さん凄いねー。一番後ろでゴミの見落としがないかしっかり見てくれているんでしょ？
美森,え、えぇ！町は隅々まで綺麗にしなくちゃ！
友奈,よーし！私も見落とさないようにしっかり探していくぞー！
美森,……。こうして、私は掛け替えのない勇者部での時間を取り戻した。どうか、いつまでもこの日常が続きますように──
