【4/1,エイプリルフール
奈緒,はぁ？あたしは素直だろ？
凛,どうだか
奈緒,だいたいな。あたしのことをとやかく言う前にプロデューサーさんも凛もあたしのことをからかうのをやめろよ！
凛,ごめん
P,悪かった。奈緒好き
奈緒,ふん。そうやってきちんと謝ってくれるならあたしだって素直になれるよ
P,奈緒好き
奈緒,うるさい。あたしは嫌いだ
凛,奈緒。素直に
奈緒,…。まあ…あたしも嫌いじゃないけどさ
P,
奈緒,…え、エイプリルフールだからなッ！
凛,嫌いってこと？
奈緒,え、いや、その…嫌いではないけど…
凛,素直に
P,殺傷力が高すぎるから言わなくても…
奈緒,ほ、ホントは好きだけど…///
P,
凛,コーヒーが甘い甘い
奈緒,え、エイプリルフールだ！エイプリルフール！
凛,結局、どっちなのさ？
奈緒,ふん。嘘だよ
P,どこまでが？
奈緒,…ノーコメントで
凛,ずるいね
P,俺は好きだぞ
奈緒,…も、モフるなよ。…。まあ、あたしも嫌いじゃないけど…
P,いやもう結婚しよう
奈緒,まだ無理だろ…
P,来年
奈緒,ん…
凛,目の前でプロポーズしやがった
奈緒,い、いやエイプリルフールだから
P,そうだそうだ。俺たちの会話を真に受けるなんて純情だぞ
奈緒,そ、そーだ！そーだ！
凛,奈緒
奈緒,な、何だよ
凛,顔が緩みきってて説得力がまるでないよ
奈緒,えー？
P,お、これは可愛い
奈緒,ちょ！撮るんじゃねえよ！
P,式で使うやつだから
奈緒,そ、そうか…？ならいいけど…
P,笑ってー
奈緒,こうか〜♪
P,いいね
凛,コーヒー飲んでくる。エイプリルフールは終わったし。もう嘘はつかないよね
奈緒,まーな
P,もちろん
凛,じゃあ聞くけど。昨日の発言はどこまで本気だったわけ？
奈緒,き、昨日はほとんど嘘だったな！うん！
P,俺はほとんど本気だったけど？
奈緒,ほ、ほほほ本気って…どこまでが！？
P,さあ
奈緒,…結婚しようとかは？
P,え？
奈緒,聞こえなかったならもういい
P,怒るなよ奈緒〜
奈緒,…やっぱ嫌いだ///
凛,無言のブラックコーヒー
