キャラ名,英文
成幸,と、とりあえず、嫌がってると思われたら困るし、うるかがしてくれてたのに、俺が拒否するわけにはいかないよな。正直恥ずかしいけど、覚悟を決めろ俺！。OK.
うるか,What?
成幸,I'lldowhatyousaid.
うるか,Really!?
成幸,Yes.Imakeupmymindtodoit.
うるか,Tha,Thanks?。そ、そんなに覚悟するようなことなの！？き、聞くのちょっと怖くなっちった。……でも、今の成幸なんかキリッとしててカッコいい！
成幸,Uruka.Pleasecloseyoureyes.
うるか,Closemyeyes?Why?
成幸,Well,BecauseIamembarrassedifyoukeepyoureyesopen.
うるか,？Idon'tgetit,butanyway,shouldIclosemyeyes?
成幸,Yes,please
うるか,IsitOK?
成幸,OK,justasitis.
うるか,な、なんで目をつぶれなんて言ったんだろ。見られてるからってそんな変わるんかな？。まさかキスするつもりだったり……なーんて――。……………………え？。…………い、いまほっぺに……？え！？なんで！！！？？？
成幸,な、なんでってキスしろって言ったから
うるか,言ってない言ってない！
成幸,俺のキスを教えろって英語で……
うるか,ち、違くて。あたしが知りたかったのは成幸がキスしたときのことで……
成幸,え？………………す、すまん！！！！！勘違いした！
うるか,い、いいいいってば。しし、しちゃっったもんはしょうがないし！
成幸,いやしょうがないで済まされることじゃ――
うるか,ほ、ホント大丈夫だから！そ、それじゃあたしちょっと部活に顔を……あれ？
成幸,だ、大丈夫か！？
うるか,あ、あはは。動けない。腰抜けちゃったみたいで……。あれ、あはは涙まで。ほんとあたしどうしたんだろ。うわ、勘違いでされただけなのに、成幸からキスしてくれたのがこんなに嬉しいなんて。あたしどんだけ成幸のこと好きなんだろ。……あー、でも幸せ……
成幸,本当にすまん！ショックだよな……なんて謝っていいか
うるか,ち、違うって！本当に全然嫌なんかじゃないから
成幸,んなこと言ってもそれ……
うるか,だからこれは違くて！
成幸,すまん……できることならなんでもする
うるか,青ざめた顔して、そんなに慌てて。あたしが嫌がってるとしか思ってないんだ
成幸,ほんとどうやって謝ればいいか……
うるか,鈍感。鈍感鈍感！。……だけど、あたしはそんな成幸だから。成幸。こっち来て
成幸,え？
うるか,ほら、来て？
成幸,わ、わかった
うるか,……。……好きだよ。成幸
成幸,…………え？
うるか,……これで嫌じゃなかったってわかった？
成幸,い、今ほっぺに！？
うるか,成幸もしたでしょ？おかえし
成幸,で、でもお前好きな相手が他に……
うるか,……。...DoyouthinkthatIkissanyonewhoIdon'tlike?
成幸,え。...N,No.Idon'tthinkso...but
うるか,...Thanks.。ほんとは受験終わるまでなんにもする気じゃなかったんだ。あたしのジュケンもあるし、それに成幸にメーワクかけたくなかったし。だから他に好きな人がいるって言ってたんだけど……でも、嫌がってるなんて誤解されたら嫌だから、ついやっちった。……ごめんね、成幸
成幸,い、いやそんな。うるかが謝ることなんてなにも
うるか,ううん。成幸がそういう余裕はないって言ってたこと、聞いてたから
成幸,いや、元はといえば俺が勘違いしたからだし……
うるか,だ、だからいいってば！。……それにある意味スッキリしたし
成幸,え？
うるか,な、なんでもない！。じゃ、じゃーもうなんかあれだし、あたし部活行くから！
成幸,あ、ああ
うるか,その前に、ええと……一応
成幸,うん？
うるか,Well...Doyounoticewhoismycrush?
成幸,！。……イ、イエス
うるか,...I'mglad!!。で、でも気にしないでいいかんね！受験終わるまで余裕ないと思うし！そ、それじゃ！
成幸,…………。…………。…………。……できるわけないだろおおおおおおお！
小林,……成ちゃん？叫び声聞こえたけどどうしたの？
成幸,う、うわ！小林！？
小林,驚きたいのはこっちなんだけど……。何かあったの？
成幸,べ、別になんでも……。……いや、相談したいことがあるんだけどいいか？
小林,うん、どうしたの？
成幸,その……うるかと英語の面接の練習してたら
小林,うんうん
成幸,流れでキスして泣かれたあとに好きって言われた
小林,……ごめん、ちょっとよくわかんない
成幸,とりあえずそういうもんだと思って聞いてくれ
小林,いや流せる内容じゃないんだけど……あとで詳しく聞かせてね
成幸,その後、うるかは返事しなくていいって言ってたんだけどさ
小林,へー……。武元、ついに告白したのか。それでどうするの？付き合うの？
成幸,……小林は海原と付き合ってどうだった？
小林,俺？俺は幸せだよ
成幸,おお、即答……
小林,まあ事実だから
成幸,その……例えば付き合って勉強が中途半端になったりしなかったか？
小林,んー俺は成ちゃんほど勉強に力入れてないから参考にならないかもだけど。智波ちゃんと付き合って、確かに勉強時間は減ったかな。でも俺が成績落として、智波ちゃんに私のせいで落ちたなんて思わせたくないって思うとそれなりに身が入るよ。実際成績も落としてないしね
成幸,そうか……
小林,他にもなにか？
成幸,……あいつの足を引っ張らないかな
小林,どういうこと？
成幸,あいつ、国体で金メダル取ったろ？雑誌で特集されたりもしてて、すごいやつなんだってようやく実感したっていうか
小林,あー、わかるよ。中学の同級生ってのが先に来てた感ある
成幸,だからあんな凄いやつのこと、俺みたいなやつが好きになるのはあいつのためにならないんじゃないかってさ
小林,うーん……成ちゃんはどうしたいの？
成幸,え？
小林,武元と付き合いたいとか付き合いたくないとか
成幸,……考えたことない
小林,ほんとに？あれだけ仲いいんだし、中学校の頃とか付き合ったらどうとか考えなかった？別に本気じゃなくてもさ
成幸,いや、まあ……
小林,俺はあいつと付き合ったらーみたいなこと考えたことあるよ？まあ武元とじゃないけどさ
成幸,違うんじゃないか
小林,まあ武元はどう見たって成ちゃんが好きだったからねえ。さすがにそういうこと考える気にならないって
成幸,嘘ぉ！？
小林,ほんと。バレバレだったよ
成幸,そ、そうだったのか……
小林,それでどうなの？
成幸,…………まあ。全く考えたことがないって言ったら嘘になるが
小林,やっぱり
成幸,い、いいだろ別に
小林,別に悪くないって。話戻すけど、付き合えたらって思ったことはあるんでしょ？ならそれでいいと思うけど
成幸,いや、だから……
小林,足引っ張るとか言ってたけど、そもそも好きだって言ったの武元なんだから、断ったほうが調子悪くなるんじゃない？
成幸,うっ
小林,まあ、ずるい言い方したけどさ。それ言い出したらきりないって。付き合って成績良くなるかもしれないし、浮かれて勉強に身に入らなくなるかもしれないし
成幸,……まあそうだけど
小林,あとは気にしなくていいって言われたなら、言われたとおり何もしないってのも一つの手だと思うけど？
成幸,いや、それは……俺にもうるかにも、結局一番良くない気がするから
小林,……確かにそうだね。それなら何選んでも後悔するかもしれないんだし、俺は成ちゃんに幸せになってほしいって思うから、自分がどうしたいかだけ考えてもらいたいかな。だから、例えば他に好きな人がいるっていうなら仕方ないと思うよ。……あ、智波ちゃん以外ならね
成幸,いや、それはないから
小林,どっちのこと？
成幸,そ、そりゃ海原の方だよ
小林,そっか。まあ、あとはよく考えて、としか言えないかな
成幸,……そうだな
小林,……ただ武元のことも中学のときから見てるから、どう返事するにしろちゃんと考えてあげてね
成幸,ああ、それはわかってる
小林,うん、よかった。それじゃ先に帰ってるよ
成幸,ああ。ありがとな。……。……よし
うるか,うわ、どうしよう。目の前が揺れてて、景色が目に映ってるのに頭に入らない。体調が悪いわけでもないのに体が浮いているような、心臓が頭の中で鳴り響いてるような……。顔も熱出てるみたいに熱いし……これが浮ついてるって言うんかな。うわー大丈夫かなこれ……
真冬,懸念……武元さん？体調でも悪いのかしら？
うるか,……あ、桐須先生？
真冬,……本当に体調が悪そうね。保健の先生は帰ってしまっていると思うけれど、とりあえず保健室に行きましょう
うるか,い、いえ。病気とか疲れとかそういうわけじゃないんで……！
真冬,そんなにふらついていて何もないわけないでしょう
うるか,いやあの、本当にたいしたことない……。ただ……その、もしよければ、ちょっと相談したいことがあるんですけど、聞いてもらってもいいですか？
真冬,……？無論、真剣な相談なら聞くけれど
うるか,あ、ありがとうございます！桐須先生みたいな大人の女の人に是非聞いてもらいたかったんです！
真冬,……ここで話すことではなさそうね。生徒指導室でいいかしら
うるか,はい！
真冬,何故かしら。嫌な予感がするわ。密室……ここなら外には聞こえないわね
うるか,ありがとうございます！
真冬,体調は戻ったみたいね
うるか,あはは……さすがに落ち着いてきました
真冬,それで、なんの相談なのかしら
うるか,その、友だ…………。……いえ、私の話なんですけど。好きな人に勢いで好きって言っちゃったんです。お互いに受験前だし、言うつもりは全然なかったんですけど……。その人、受験終わるまで余裕ないって言ってたのに。こんなことで悩ませて、足を引っ張りたくなかったのに。迷惑をかけちゃったかもしれないって思うとどうすればいいのかわからなくって……。……でも、それよりそれ以上に、今の関係でいられなくなりそうなのが怖いんです。自分勝手だなって自分でも思うんですけど
真冬,……そう。恋愛相談なんて……嫌な予感は当たるものね
うるか,その、桐須先生は恋愛ケーケンも豊富ですよね？できればアドバイスもらえないかなーと……
真冬,生憎……私は自分から告白した経験がないから、いいアドバイスができるかわからないけれど
うるか,お、おおー。た、確かに桐須先生くらいキレーだと告白するまでもないよね！？オトナだぁ……
真冬,……嘘は言っていないわ。嘘は。覆水……言ってしまったものはもうどうにもならない。どういう流れで告白をしたのかはわからないけれど、良くも悪くも今までの関係ではいられなくなるわね
うるか,……で、ですよね
真冬,……もっとも、相手が私も知っている彼と仮定して話すけれど
うるか,！？
真冬,彼はきっと迷惑だとは思わないと思うわ。もちろん悩みはするでしょうけれど、それを迷惑だとか、足をひっぱるだと思うことはないはずよ
うるか,そう……ですよね
真冬,ええ。それに、彼が返事をするのかしないのか。どういう返事をするのか。それは彼にしかわからないけれど、少なくともあなたがむやみに傷つくようなことをする人間ではない。だからあなたも落ち着いて……というのは難しくても、なるべく普段どおりにして返事を待つのが良いのではないかしら
うるか,……ありがとうございます。少し気が楽になりました
真冬,……他にもなにか心配なことがあるのかしら？
うるか,あはは……やっぱりわかっちゃいます？。その、もし仮に、仮になんですけど、その相手があたしのこと好きって言ってくれたとしても。あたしは留学することをもう決めました。水泳にこれまで以上に打ち込んで、その上外国で……。恋人らしいことなんてきっとできない。そんな状態で縛ってしまうことは相手のためにはならないから、なおさらどうすればいいのかなって……
真冬,……。昔日……私にもあなたと同じように一つのことに必死で打ち込んでいた時代があったわ
うるか,え？
真冬,才能があったのでしょうね。周囲から期待されていたし、結果もついてきていたわ。けれど私は、進路を決めるとき……ちょうどあなたと同じ年齢のときね。自分に向いていたものではなく、自分がやりたいものを選んでしまった
うるか,後悔してるんですか？
真冬,……そうね。選んだ道を上手く歩めていたのなら良かったのだけれど、私には向いていなかったようだから
うるか,もし今選ぶなら、どっちを選びますか？
真冬,無論。向いているものを選ぶわ。そこでの後悔は自分だけのものだもの。周囲の期待を裏切るようなことや、選んだことで傷つけてしまった人は生まれないから
うるか,……やっぱり、恋人を作るのなんて、諦めたほうがいいですよね
真冬,否定。そうではないわ
うるか,え？
真冬,私の場合、向いていたものを選んだとしても、きっとなぜ選ばなかったのかと後悔していた。私が憧れたものは、向いていたものかどちらかしか選べないものだったから。……そういう意味では、そんなものに憧れを抱いたこと自体が間違っていたのかもしれないわね。ただ、あなたの選択肢はそうじゃない。留学をするからといって、恋人を作ることは諦める必要があるものなの？。もし、留学を諦めなければならないものなら留学をするべきだけれど、恋人を作ることと、留学をすることは矛盾するものではないのだから、どちらも選ぶという選択肢もあるのではないかしら。どちらを選んでもあなたは後悔すると思うわ。だったら後悔をしないために、全力をつくすべきではないかしら
うるか,で、でも……外国に行っちゃったら気軽に会えなくて、恋人らしいことなんて全然できないですし……
真冬,恋人らしいことをしなければ恋人ではないのかしら
うるか,！
真冬,一般的な恋人らしい関係だけが恋人というわけではないわ。それに、会わない時間が愛を育てるものよ
うるか,……。……さっすが先生！オトナですね！
真冬,別に大したことではないわ。ちょっとした経験に基づいたアドバイスよ
うるか,おおー
真冬,やめなさい
うるか,すみません。でも、ありがとうございます。肩が軽くなったっていうか、視野が広くなったっていうか
真冬,そう。役に立ったのなら良かったわ。ただし、唯我く……失礼
うるか,い、いえ。いいですよ。やっぱりわかっちゃいます？
真冬,見ていれば察しはつくわ……コホン、ただし唯我くんと恋人になって水泳に集中できないようなことがあるのであれば、即刻別れるべきよ。自分がどういうタイプの人間なのか。よく考えなさい
うるか,はい！
真冬,ところで、留学の話は唯我くんにはしているのかしら
うるか,い、いやーそれがまだ
真冬,…………そうなの
うるか,や、やっぱりまずいですか！？
真冬,突然留学をすることを聞かされれば動揺するでしょう。気軽には会えないと覚悟していて返事をするのと、突然聞かされるのでは全く違うわ
うるか,うう……ですよね
真冬,いずれにせよ今から言うわけにもいかないのだし、唯我くんから反応があったときに伝えることね
うるか,はい……
真冬,ともかく。唯我くんがどんな返事をするのかは考えても仕方がないのだから、あなたはあなたがどうしたいかを考えることね
うるか,はい。相談に乗ってもらって、ありがとうございます！
真冬,生徒の相談を聞くのも教師の役目よ
うるか,桐須先生に相談してよかったです！結果が出たらホーコクしますね！
真冬,好きになさい
うるか,はい！それじゃ失礼します。ありがとうございました！
真冬,……。……ふう。カレエゴに助けられたわ……読んでいてよかった
成幸,うるか。ちょっといいか？
うるか,うぇっ！？
成幸,放課後、ちょっと時間もらっても大丈夫か？その、昨日の件なんだけど
うるか,えっと、その……やっぱり？
成幸,ああ。うるかはああ言ってくれたけど、やっぱり何も言わないってわけには
うるか,……うん、成幸はそう言うよね。わかった
成幸,ありがとう。それじゃ放課後、校舎裏に来てもらっていいか？
うるか,うん。わかった
大森,真面目な感じで話し込んでたけどあれ何の話だろうな？
小林,さあねえ。頑張りなよ、ふたりとも
成幸,その、気にしなくていいって言ってたのにごめんな
うるか,ううん。やっぱあんなこと言われたらそのままってわけにはいかないよね
成幸,ああ。あれから、しっかり考えたんだ。自分の勉強のこととか、うるかの勉強のこととか。うるかは水泳であんなに凄い成績残してるやつで、俺なんかじゃ釣り合い取れないだろうなとかそんなこととか。でも付き合うってそういうことじゃないよな。メリットとかデメリットとか、もちろんあるかもしれないけど。それでも、いちばん大切なのは自分がどうしたいかだって気付かされたんだ
うるか,……
成幸,俺はきっとうるかに憧れてた。やりたいことがちゃんとあって、それに全力で打ち込んで結果も出して。中学のときから凄かったけど、国体で金メダルまで取って、雑誌で特集まで組まれてて、本当に凄いんだなって実感した。きっとこれから日本中がうるかに注目するようになるんだろうなって、本気でそう思う。俺にとってもうるかの努力が認められていくのは嬉しいよ。……だけど。俺はうるかのことを見てる誰かのひとりになりたくないんだ。俺は他の誰よりもうるかに近いところで、うるかのそばで、うるかのことを見ていたい。うるかに負けないような人間になりたいって気づいたんだ。俺はうるかにとっての一番でいたい。うるかのことが好きなんだ。俺と、付き合ってください！
うるか,……あんがとね。成幸。ほんとに、本当に嬉しい。きっと今まで生きてきて、今が一番幸せ。でも、あたしね。卒業したら留学すんだ
成幸,…………え？りゅ、留学？
うるか,水泳の成績が認められたみたいで、オーストラリアの大学から誘いが来たの
成幸,留学……
うるか,正確な期間はわかんないけど、その間はきっと気軽に会えないし、恋人らしいことも全然できない
成幸,……
うるか,好きって言ってくれたのは、本当に泣きたいくらい嬉しいけど。でも留学するのはやめない。あたしは成幸の一番になりたいけど、水泳の一番にもなりたいから。だから成幸、そのうえでもう一度返事して
成幸,……できればこの間言っておいて欲しかったんだが
うるか,ご、ごめん
成幸,やっぱり留学は長いのか？
うるか,はっきりとはわかんないけど……そんなに短くはないと思う。中途半端な気持ちで行くわけじゃないから
成幸,そっか。ともかく、まずはおめでとう。凄いなほんと
うるか,ん、あんがと
成幸,そのうえでだけど、返事は一緒だよ
うるか,ほ、ほんと？
成幸,……小林に聞いたけど、中学の頃から俺のことが好きだったってほんとか？
うるか,うえぇっ！？こ、こばやん何言っちゃってんの！？
成幸,うるか
うるか,…………ほ、ホント。ずっとずっと好きだった
成幸,……気づかなくてごめんな
うるか,べ、別にあたしが言わなかっただけなんだし、謝ることじゃないじゃん
成幸,そうかも知れないけど、でも気づけなかったからさ。だからまあ。俺も中学のときからずっと、うるかのこと何年間も待たせたんだし。俺にもうるかのこと待たせてくれ
うるか,成幸……
成幸,何年になるかわからんけどさ。ずっとうるかのこと待ってるから。ずっと見てるし、俺も早く目指したいものみつけて、その夢を叶えて、うるかに並べるような男になるから
うるか,…………あ、あたしは何年も片思いのまま待ってたんだけどなあ。成幸は両思いで待てるんだからずるい
成幸,う……い、いやまあそうなんだけど
うるか,えへへ。嬉しい
成幸,っ！？
うるか,ほんとに、嬉しい。……嬉しいよ、成幸
成幸,う、うるか！？
うるか,成幸に好きって言ってもらえるなんて、夢みたい。そうなったらいいってずっと思ってた。……好き。成幸、大好き
成幸,……俺も好きだよ。うるか
うるか,……もうちょっとこのままでもいい？ちょっと、今は顔見せらんない
成幸,ああ。……
うるか,……
成幸,な、なんかすげえ気まずい！恥ずかしい！
うるか,あ、あたし何しちゃってんの！？うう、成幸にはしたないって思われてないよね！？
成幸,えっと、その、うるか？
うるか,ひゃい！？
成幸,留学するって言ってたけど、試験とかはあるのか？
うるか,し、試験？う、うん。音羽大学と交換留学なんだけど、入試の英語で8割がボーダーだって
成幸,は、8割……結構厳しいな
うるか,うん。だから英語のベンキョーも手が抜けないっていうか
成幸,よし、じゃあ勉強は今までどおり、いや今まで以上にビシバシしごいていくからな！
うるか,うぅー！もうちょっと優しくならないのー！？かか、かわいい恋人なんだし……さ
成幸,じ、自分で言っといて照れるなよ……。つ、付き合い始めて成績が落ちてきたなんて言ったらシャレにならないだろ。勉強は目標に向かってコツコツやらないとな
うるか,わかってるけどさー
成幸,……ただまあ、その、勉強ばっかりじゃ受験まで持たないだろうし、たまには息抜きにどっかで遊んだりしよう。ふ、2人で
うるか,……。……うん！
成幸,それじゃあ早速図書室に行くぞ。緒方と古橋も待ってるだろうしな
うるか,……今日くらい、休みになんない？
成幸,ならない！ほら行くぞ！
うるか,うえーん！成幸の意地悪ー！！。ねえ成幸、リズりんと文乃っちには付き合ってること秘密にしたいんだけどいい？
成幸,別にいいけど……なんでだ？
うるか,2人ともまだ成幸に勉強教えてもらわないといけないっしょ？でも、あたしたちが付き合ったなんて聞いたら遠慮しちゃうかもしれないし
成幸,……そんなに気にするもんなのか？
うるか,するの！もー成幸は女ゴコロわかってないなー
成幸,するのか……まああえて言うこともないし、それなら秘密にしとくか
うるか,うん、ちゃんといつもどおりにね
成幸,ああ、うるかもな。すまん、遅くなった
うるか,ごめーん！遅れちった！
文乃,ううん。大丈夫。課題進めてたから
理珠,お2人で何かしてらしたんですか？
成幸,い、いや何も！？
うるか,う、うん！たまたま一緒に遅れただけ！
文乃,……ん？
理珠,そうでしたか。では昨日の続きを始めましょう
うるか,そ、そーだね！
成幸,お、おう！
文乃,……
理珠,……
うるか,……。ね、成幸。ここわかんないんだけど……
成幸,どれどれ……
成幸・うるか,！！
理珠,……2人して何をしているんですか？
成幸,い、いや別に！？だよなうるか！？
うるか,う、うん！なんでもないよね成幸！？
理珠,そうですか。勉強は静かにしましょう
成幸・うるか,は、はい！
文乃,……この2人、何かあったな！？だよ！！
理珠,……
文乃,……うう、胃が痛い
