ウサミン星,６畳１間
菜々,ナナ、なんでまじまじと見てたんでしょう。まあそれはともかく……蘭子ちゃんは黒にレース。蘭子ちゃんにはすごく合ってるけど、ナナには雰囲気的に……さっきも試して違和感ありましたし。友紀さんの方は、下がオレンジで上は黒。今言うのもアレですけど、揃えましょうよ……。人のことは言えないですけどねー……たまにそうしちゃいますし。ともかく、友紀さんもあんまり参考にはならないですね……仮に上下オレンジだったとしても、やっぱり友紀さんだから似合うって感じです。そうなると、ナナだったらピンク？。でも、それはさっき試してみたし……うーん。……そもそも、Ｐさんの好みって？。！。なんでこんな簡単なことに気付かなかったのか……！。Ｐさんに直接聞けばいいじゃないですか！。さすがにどんな下着が好きですか？とか聞くのはアレですから……もっとソフトに、何色が好きですか？みたいな。……………………。……いや、ないですね。うん、ない。完全にテンパッてるなあ……っていうか、なんでこんなことで、こんなに悩んでるんだろう……？。……………………あー。悩むのはやめです。変に気取ったりしないで、ありのままの安部菜々を……私を見てもらえばいいんです。だから、私は――
Ｐ,おはよう菜々
菜々,おはようございますＰさん！今日はよろしくおねがいしますね？
Ｐ,ああ、よろしく。……って、今日はジーンズか。珍しいな
菜々,そ、そうですか？
Ｐ,ああ。衣装もスカートだったりショートパンツだったりするからな
菜々,そうですねえ……言われてみれば、ひさしぶりに履いたような気もします。でも、これならアイドル安部菜々だって分かりにくいでしょう？髪も降ろしてますし
Ｐ,だな。ぱっと見は分からない。って、いつまでも家の前で立ち話してるのもアレだな。さ、乗った乗った
菜々,はーい。失礼しまーす。あーもう顔見てすぐに期待しちゃってる……ナナ、本当にえっちです///
Ｐ,よーし、シートベルト締めたかー
菜々,大丈夫ですよ。子供じゃないんですから。子供じゃないんですからっ
Ｐ,何故２回言った。いつもはリアルＪＫとか１７歳とか強調してるのに
菜々,今日はプライベートだからいいんですっ
Ｐ,そっかそっか。じゃあ俺も気が楽だな。自爆したときツッコミしなくていいんだから
菜々,そこは常に触れないようにしてくださいよぉ
Ｐ,そうはいかんなぁ。じゃ、出発するぞー
～ﾐﾐﾐﾝﾐﾐﾐﾝ,デート中省略
菜々,んっ……Ｐさんっ……///。い、い、いよいよ……！！
Ｐ,菜々……
菜々,…………//////
Ｐ,……………………。おい菜々真顔
菜々,は、はひっ？
Ｐ,なぜ下着をつけてない
