櫻井桃華,…Pちゃま、今なんと？
桃華,せっかくのお顔が涙で台無しですわよ、それと、仮眠室のベッドのシーツもずぶ濡れですわ
P,ももがあああああああああああ
桃華,お黙りなさい！
P,うん
桃華,Pちゃま…先ほどの不用意な発言、お許しくださいまし
P,え？
桃華,わたくし…どうかしておりましたの
P,じゃ…じゃあ…
桃華,撤回します。改めて…よろしくお願いしますわ、プロデューサー
P,桃華わあああああああああああ
桃華,きゃっ！Pちゃま…いくらほかに誰もいないとはいえ…く…くっつきすぎですのよ…！
P,桃華ぬふあうえおおおおお
桃華,いくら、ほ、抱擁を許したのはお母様、お父様のほかにPちゃまだけとは言えどっ
P,桃華ぬぼわええええええええ
桃華,これ以上は、Pちゃまの涙でわたくしの衣服が濡れてしまいますわっ…///
P,よし泣き止んだ
桃華,相変わらずの対応の早さ…
P,だからもう少し、抱きつかせてくれ
桃華,もう…
P,桃華と俺はこれっきりだと…心が心じゃなかったよ
桃華,わたくしも、あの程度のことで、これまでの関係を絶やすようなマネを…
P,よかった…本当によかった…
桃華,むしろ、あれぐらいの発言で簡単にわたくしのプロデュースをやめてしまうほどのPちゃまでも困りますわ
P,桃華のプロデューサーじゃなかったらこの仕事すぐやめるつもりだったよ…
桃華,まったく、Pちゃまもこのようなお姿を晒して、恥はありませんの？
P,桃華の前だけだよ、こんな恥晒し野郎でいられるのは
桃華,どっちが子どもだか、分かったものじゃありませんわね…
P,その分いつも桃華には甘えてもらっちゃってるしな
桃華,ななな、何をおっしゃいますの！？わたくしがいつそのような！！？
P,はは、もうどこにも行かせないぞ、桃華
桃華,最初に原因を作ったのはどなたですか…ほんとに呆れますわ…
P,それは桃華もおあいこだからな
桃華,むぅ…。…そろそろ離してくださらない？
P,うん
桃華,ところで…先ほどのPちゃまの発言については
P,え？ヘソ？
桃華,…ええ
P,舐め尽くしたいよ？
桃華,…撤回するということはなくって？
P,え？あるの？
桃華,…はぁ
P,え？いいの！！？
桃華,いくら心を許したパートナーといえど、あのような発言をいきなりされたら誰でもまいってしまいます
P,だ、だよな…
桃華,…お引き受けできませんわ
P,うぶあああああああああああああ。うぅ…俺の夢が…野望が…
桃華,…本来なら、です
P,…？
桃華,その…Pちゃまが…どうしてもということであれば…
P,！！！
桃華,少しだけなら…その…
P,どうしても！どうしてもどうしても！
桃華,せっかちすぎますわ！
P,はい
桃華,まぁ、わたくしとPちゃまの仲ですから…
P,うんうん！うんうんうん！
桃華,特別に、構いませんわ
P,やったあああああああああああああああああああ！！
桃華,ですが…条件がありますわ
P,え？
桃華,わ、私のヘソを、なめるということは…その…
P,どうした、俺の舌じゃ不服か？
桃華,そういうことではなく…つまり…戯れ事をするということは…
P,ん？
桃華,ですから…だから…その…最後まで…いくということに…
P,え？どういうことだ？
桃華,もう！察してくださいまし！
P,あでっ
桃華,わたくしが…口にしないといけませんか…？
P,お、おお？おお
桃華,わたくしも…いつかはこのときが来るとは覚悟をして参りましたわ
P,ああ
桃華,ですが、わたくしもこのような経験は始めてで、どうしたものか…
P,俺もはじめてだが？
桃華,そ、そうでしたの？とてもそうには見えませんけれど…
P,むしろ、はじめて会ったときから桃華しかいないって決めてたし
桃華,なっ！！
P,桃華、大丈夫か？顔が赤いぞ？
桃華,この期に及んで…そういう冗談はよしてくださいまし
P,冗談…？
桃華,ともかく！
P,お、おう
桃華,と…、ともかく、わたくしの、う゛ぁー…
P,ヴァー？
桃華,う゛ぁ…あぅ……じ……ん…を…
P,え…
桃華,その…、さ…ささげる手前、下着姿になるのですから、その、あ、明かりを…
P,え、なんで下着姿になる必要があるんだ？
桃華,何をおっしゃいまして！？
P,何をっつっても、俺は桃華のヘソを舐めたいだけだぞ？
桃華,は、はい？
P,それ以上でも以下でもない
桃華,おへそを、な、舐める意外のことは？
P,特別ないけど…
桃華,…また冗談ですの？
P,冗談も何も
桃華,……はぁ
P,あ、ヘソを舐め尽くしたいっていうのは本当だぞ。で、条件っていうのは結局？
桃華,…何でもありませんわ。少し勘違いをしていましたわ。わたくしったら、なんてことを…思い違いも甚だしいですわ！！
P,そうか！無条件で舐め回させてくれるんだな！
桃華,言葉遣いに気をつけなさいと言ったでしょう！！
P,す、すまん
桃華,私も、まだお子様かもしれませんけど…ひとりのレディーでもあるのですから、デリカシーというのを考えてくださいまし
P,じゃ、じゃあ、桃華のおへそをお舐めあそばし仕っても…よろしくてよ？
桃華,そういうことではなく！もうっ！馬鹿にしてますの？
P,す、すまん！何か言葉遣いが間違ってたか？
桃華,丁寧な言葉遣いも間違っているのは勿論ですが、Pちゃまの…自然な言葉で話してくださって構いませんから
P,そ、それもそうだな
桃華,どれほど一緒のときを過ごしてるとお思いですの…
P,じゃあ、改めまして。桃華…、今からお前のヘソを舐めるぞ。いいな？
桃華,ふえっ！？
P,今更駄目とは言わせないからな
桃華,い、いま、すぐ？ここで？
P,ああ
桃華,そ、そうは言いましても、わたくしまだ心の準備が…
P,これでいいか？
桃華,は、はぅ！
P,…落ち着いた？
桃華,こ…こんなの…逆効果ですのよ…。Pちゃま…もう少し…ムードというのを…考えてくださいまし…
P,ムードか…
桃華,その、なんにせよ…おへそを舐めるということは…結局のところ上は下着姿になるということですし…
P,いや、その必要はない
桃華,！？
P,こう、ちょっと上着のすそを両手でたくし上げてくれるだけでいい
桃華,ええ…ええ？
P,それだけで、いい。じゃあ、お願いしてもいいか…？
桃華,は、はい…。こ…こうですの？。これも…なんてはしたない格好…
P,もっと近くで、みせてくれ
桃華,…
P,かわいいおへそだな
桃華,真顔で…言わないでくださる…
P,そして…とてもきれいだ
桃華,お母様から授かった、大切な体の一部ですから…
P,…もう少し、いいか？
桃華,Pちゃま、早くしてくださらない…？このままじゃ、お腹が冷えてしまいますわ
P,…わかった。じゃあ、遠慮なく
桃華,…やさしく、してくださいませ？
P,……
桃華,ん…
P,…
桃華,ひ…うぅ…。なんだか…すごくいけないことをしている気が…
P,桃華…
桃華,少し、くすぐったいですわ…
P,…じゃあ、こう
桃華,んううう！
P,待て。あまり大きな声を出すな。ちひろさんに聞こえる
桃華,そ…んな…ことを言われましても…
P,続けるぞ
桃華,んっ…。こんな…こと…気持ち悪いだけだと思っていましたのに…。すごく…変な気持ちになりますわね…。でも、これ以上は…。限界ですわ…！！。Pちゃま、そ、そろそろ…
P,まだだ
桃華,そ…んな…
P,まだ俺は桃華のヘソを舐め尽くしていない。…続けるぞ
桃華,あっ！
P,…
桃華,ひゃうっ！
P,…
桃華,あ…ああ…
P,…
桃華,…んんっ！
P,桃華？大丈夫か？
桃華,だ…大丈夫も何も…ただ、おへそを舐めているだけではありませんか…
P,そ…そうだったな
桃華,大丈夫な…はずなんですけれど…
P,…大丈夫な…はずないよな
桃華,……それは…
P,桃華…ごめん
桃華,…何を謝る必要が。この遊戯は同意のもと…のはずですわよ
P,これは俺の傲慢だ
桃華,Pちゃま…
P,俺は今、俺の欲望を満たすためだけに俺は動いている
桃華,…
P,この時間が終わっても、どうか、こんな、下劣な、背徳な、俺を許してくれ…
桃華,…
P,桃華…？
桃華,確かに、不潔で…不貞で…まだ違和感がありますけど…
P,…桃華…
桃華,この先、Pちゃまがどんな破天荒なことをしたとしても、Pちゃまと…ど、どんな関係になったとしても。Pちゃまが、わたくしのプロデューサーである事実は一生変わりませんから
P,も…桃華ぁ…！
桃華,それに…Pちゃまは、少し勘違いをしていますわ
P,え？
桃華,…もう少しだけ…
P,…？
桃華,ですから！…もう少しだけ…この余興につきあってあげても、よろしくてよ？
P,いいのか…？
桃華,ムードも何もあったもんじゃ、ないですけど…。今日は特別、ですの。それに、Pちゃまは、私の特別なんですから
P,桃華…！俺、どうかしてたみたいだ。その言葉で目が冷めたよ
桃華,わたくしも、これ以上しおらしくなったPちゃまを、見たくありませんでしたから…
P,今日は己の欲望に忠実に従うことにするよ
桃華,へ？
P,それにまだ全然舐め尽くしてないしな
桃華,ま、待ってくださいませ。確かにつきあうとは口にしましたが、もう少し順序よくたおやかに…！
P,問答無用
桃華,あ、あぁ～！
ちひろ,まぁ、あれだけ大きな声だったらいくらなんでも聞こえますよね
P,大変深く反省しております
ちひろ,私の一声で、早苗さんに伝えることもできるんですが…
P,お願いです。お願いですからやめてください
ちひろ,まぁ、Pさんが豚箱行きではこのプロダクションの信用にも関わりますし…
P,ということは！ということは！
ちひろ,まぁ、多少はね？
P,ありがとうございます！ありがとうございます！
ちひろ,その代わり、私の気が変わらないうちは馬車馬のように働いてもらいますよ
P,
