喜多見柚,……むー…
Ｐ,べつにいいけど、それ俺の手だからな。柚はどこに行った？
比奈,さっき、先に事務所の方に走って行ってたッスよ
Ｐ,そっか。ならいいけど
比奈,…なにか考えごとでスか
Ｐ,うん。考えごとの、考えごとだな
比奈,なるほどッス
Ｐ,うん。…ああほら、楓さん、階段は危ないですから…
比奈,保護者ッスね
仁奈,仁奈が下にいるから大丈夫ですよ！
Ｐ,なにが？
仁奈,仁奈のキグルミを舐めてもらっては困りやがります！
Ｐ,あ、いまのドヤ顔は絶対幸子の影響だな
柚,お、戻って来たー
Ｐ,おう。…？
輿水幸子,…ぐす
柚,よーしよしよし
Ｐ,…。え？さ、幸子はどうしたんだ？
幸子,……うー…ぷ、プロデューサーさーん…
Ｐ,はい
幸子,…。…。……い、いえ。なんでもありませんよ！ボクがホラー映画を観て、な、……泣いてしまうなんて、ありえませんからね！
Ｐ,鼻歌みたいになっとる……。よしよし
幸子,…。…っ。……ほ、ホントに…こ、怖かったんですからね！ど、どうして、そういうときに、そばにいてくれないんです！ホントに、プロデューサーさんは、もう！
Ｐ,ごめんごめん
幸子,もー…もう
Ｐ,よしよし
幸子,……もー…。…にゅう…
Ｐ,……最近、幸子はよく寝るなあ。よっと、…軽いな
比奈,ほっとしたんでスかね
Ｐ,うん。仮眠室に連れて行って来るよ。柚
柚,ン…なにー？
Ｐ,戻って来るまで、幸子の面倒、見ていてくれたんだろう？ありがとな
柚,…。ううん。全然。気にしないで
Ｐ,そっか
柚,ちゃんと寝付くまで、付いててあげるといいよ♪
Ｐ,うん
幸子,……ん…
仁奈,楓おねーさん。もう少しでゆっくり寝られるので、頑張るですよ！
楓,……ん…うん……むにゃ
比奈,仁奈おねーさんも大活躍ッスねー
幸子,…くぅ
楓,……むにゃ
仁奈,…もふ
Ｐ,…結局、仁奈まで一緒に寝ちゃったな…疲れてたのか。さて。俺はもう一仕事しないとな。…
柚,…？。Ｐサン。おかえりー
Ｐ,うん。…比奈は？
柚,幸子チャンの代わりに、小梅チャンと輝子チャンの映画鑑賞に付き合ってあげてるみたい
Ｐ,そっか
柚,コーヒー飲む？
Ｐ,淹れてくれるのか？
柚,へへっ。いまだけ柚サービスだよー
Ｐ,……、柚子風味のコーヒーを想像してしまった…
柚,…さ、さっぱりしてそうだね
Ｐ,そうだな
柚,どぞー
Ｐ,ありがとう
柚,いえいえ♪
Ｐ,……
柚,はふー
Ｐ,…。まだ帰らないのか？
柚,ン？。そーだなー。退屈だし、“あの子”とバドミントンでもしよっかなーって、思うけど…
Ｐ,うん
柚,……まー、今日はいっかな。ちょっとここでのんびりしてるよ
Ｐ,そっか
柚,うん
Ｐ,なあ
柚,うん？
Ｐ,えっと…隣で仕事してもいいか？
柚,…。…へへ…。いいよ。大歓迎だよー
Ｐ,そっか。ありがとう
柚,うんっ。お隣どぞー
Ｐ,うん。ふう
柚,どしたの？ソファが恋しくなった？
Ｐ,まあな
柚,そっか。それは仕方ないねー
Ｐ,うん。仕方ないな
柚,うん
Ｐ,それで、えっと
柚,うん
Ｐ,…いやでなければ、膝を、お貸ししますが
柚,……。ぷっ。あははっなにそれ
Ｐ,わ、笑うことないだろ
柚,へへっ、ごめんごめん。…あはは…でも、おかしーよ……そんな、楓サンに話すみたいな…
Ｐ,悪かったな。可笑しくて
柚,ううん。素敵
Ｐ,……、。あ、そう
柚,うんっ。へへ…。じゃ、お言葉に甘えようかなー
Ｐ,おう
柚,失礼します！
Ｐ,はい
柚,……
Ｐ,…
柚,…
Ｐ,な、なにか言ってくれよ
柚,かたいカナ
Ｐ,…すいません
柚,てへへ……。ううん、いいと思う
Ｐ,……、そっか。それはよかった
柚,うん。あ、…ごめんね。邪魔しないから。お仕事してください。どぞどぞ
Ｐ,うん
柚,…。ね…Ｐサン
Ｐ,どうした？
柚,……柚はねー、疲れてなんかないんだよ。元気がトレードマークだよー。だからね、いまも、ちょー元気
Ｐ,そうだな
柚,そうそう。……だけどね。ちょっとだけ、寝るね
Ｐ,うん
柚,うん
Ｐ,お休み
柚,おやすみー。……くぅ…
Ｐ,…。お疲れさま…おやすみ
柚,……。……
Ｐ,…
柚,……遅くまで精が出ますねっ
Ｐ,うお、びっくりした
柚,あ、ごめんね
Ｐ,いえいえ。おはよう
柚,うん
Ｐ,元気そうだな。いつも通り
柚,うんっ
Ｐ,…そう言えば…聞いてもいいか？
柚,うん？
Ｐ,……すりすりするなよ
柚,うへへ
Ｐ,変態か
柚,Ｐサンには言われたくないカモ…
Ｐ,いまのお前に言われたくないよ
柚,…
Ｐ,…
柚,てへ
Ｐ,はは
柚,それで――えっと、なに？
Ｐ,ああ、うん。結局、考えごとってなんだったんだ？
柚,…………。じ、事務所の未来を！
Ｐ,絶対うそだ！
柚,てへ？♪
