北条加蓮,そうそう！
奈緒,それで加蓮はどうしたいんだよ？わざわざアタシ達に相談したんだから何か考えがあるんだろ？
加蓮,…えっとね、その…
？？？,お前達！
奈緒,へっ！？
ベテラントレーナー,いつまで話し込んでいるつもりだ！もう休憩時間は終わってるぞ！
凛,は、はい！すみません！
ベテトレ,ではさっきの続きだ！三人とも気合を入れなおすように！
凛・奈緒・加蓮,はいっ！
加蓮,あー…べテトレさん厳しすぎだよ…あの後皆グロッキーで話す余裕なくなっちゃったし…。…ん？メール…Pさんから？。大事な話…？何だろ…。ヤッホー、お疲れー。あれ？凛に奈緒？なんでいるの？
奈緒,いや、Pさんに呼ばれたんだよ、大事な話があるって
加蓮,え、奈緒も？
凛,…その反応から見るに、加蓮もなんだね。一体何なのかな…
P,ああ、３人とも揃ったか。すまないな、わざわざ来てもらって
凛,大丈夫だよ、プロデューサー…ってあれ？
奈緒,べ、べテトレさん？何で一緒にいるんだ？
ベテトレ,私の事は気にするな。それよりお前たち、プロデューサー殿に聞きたいことがあるのではないか？
加蓮,…！そ、そうなのPさん！実は聞きたいことが－－！
P,…アイドルによって口調や性格が変わっているのは何故か、だろ？
加蓮,…！何で知ってるの…！？
P,昨日べテトレさんから聞いたからだよ。ああ。それでこのまま隠していてもいずれバレるという結論に達してな。話すことにしたんだ、が…
凛,…え？
奈緒,ぴ、Pさん、大丈夫か！？震えてるぞ！？
P,だ、大丈夫だ…！大丈夫…大丈夫…
ベテトレ,プロデューサー殿！落ち着け。大丈夫だ。アイドル達の事はあなたが一番よく知っているだろう？
P,…スゥー…ハァー…ありがとうべテトレさん。おかげで覚悟は決まった。じゃあ…話すとするか…
加蓮,…た…
凛,た…
奈緒,たっ…！
P,…そういうことだ
奈緒,いやいやいや！そういうことだ、じゃないだろ！
P,信じられないか？
凛,た、確かにそう考えれば、色々と納得できるけど…！
P,…ほら、これ。診断書だ
加蓮,…解離性…同一性障害…？
P,多重人格の本来の呼び方だよ
奈緒,け、けど、いきなり信じろって言われても…！
P,…うん。まぁ普通はそういう反応だよな…グッ！？
加蓮,ぴ、Pさん？
P,ッだああもう、面倒くせえなあ！信じろっつってんだろうが！
凛,ひっ！？
ベテトレ,プロデューサー殿！
P,うがっ…！す、すまねえ…ウグ…！
奈緒,こ、今度は何だよ…！？
P,…申し訳ありません。怖がらせてしまいましたね…
奈緒,お、大人しい性格に切り替わったのか…
凛,…大丈夫だよ。それよりも、何ていうか…
加蓮,うん、急に敬語で話される方がちょっとむずがゆいよ
P,…ははは、確かにそうですね。少しお待ちください…
奈緒,え？
P,…ぷはっ。スマン、急に変貌して。急に飛び出してくるなってのに…
加蓮,…Pさん、ひょっとして、別人格が出てる時の記憶があるの？
P,ああ、医者曰く普通は記憶は残らないそうなんだが…まぁこれに関しては俺が例外だと言わざるを得ないらしい
凛,その…加蓮から聞いた人格以外にも他に別人格がいたりするの？
P,ああ、例えば茜と接するときは熱血漢の人格で対応してたりするし、ガールズパワーの皆と接するときは女性人格で接してる。他にもまだいる
加蓮,じょ、女性人格！？
P,まあ、平たく言えばオカマだな
奈緒,凄いな…なあ、Pさん
P,どうした？奈緒
奈緒,その…答えたくなかったら、答えなくて良いんだけど…
P,…何でこんな俺がプロデューサーをやってるのか、か？
奈緒,…うん
P,安心しろ。今日お前たちを呼んだのは、全部説明するためだから。答えられることは全部答えるよ
家に居場所はないし、先生に相談しても,お前にも原因があるんじゃないのか？
社長曰く、,ティンときた
P,…これが俺がプロデューサーをやってる理由…って、うお！？
凛,グスッ…
奈緒,ウアァァン…
加蓮,ヒック…ヒック…
P,ちょ、お前達どうした！？
奈緒,だって…こんなの聞いたら…泣いちまうだろうよぅ…
加蓮,アタシ…知らなかったとはいえ、Ｐさんに我儘ばかり言ってた…
凛,私も…何度もプロデュース方針に噛みついてた…ゴメン…プロデューサー…
P,わ、分かったから落ち着いてくれー！。…落ち着いたか？
凛,うん…
加蓮,アタシも…うん、落ち着いた
奈緒,スー…ハー…でも…凄いよPさんは
P,何がだ？
奈緒,だってそれからずーっとプロデューサーをやってきたわけだろ？その…別人格を残したまま。最初は大変だったんじゃないのか？その…アタシ達にはとても想像できない苦労とか、さ
P,…そうだな。最初は本当に大変だった。荒い気性の人格が突然出てきて、いきなり暴れたりとかもしたし。それこそ社長をはじめ、ちひろさんやべテトレさん、他の社員達にもかなり迷惑をかけた
加蓮,…あ。だからべテトレさん、Pさんの事を知ってたんだ…
ベテトレ,そういうことだ。私が新人トレーナーだった時、突然暴れだしたプロデューサー殿に思い切り突き飛ばされた事、未だに覚えてるからな？
P,そ、その節は本当にご迷惑をおかけしました…。…まあ、とにかく最初は自分の中の人格を抑えることに必死だった。けど、不思議なもんでな…周りに助けられて精神的に余裕が出てきたら、段々と他の人格達が大人しくなり始めたんだ。それでやっと気が付いたんだ。余裕がなくなってたのは、俺だけじゃない。他の人格達もだったんだと。そう思い至った瞬間、ビックリしたよ。ようやく気付いたか、バーカって声がしたんだ。そしたら、今度は色々な声が頭の中で、わちゃわちゃしだしてさ。思わずうるせえ！って声に出しちゃって周りにまたか！？って心配されちゃったよ。で、そこから何年もかけて、自分の中の全部の人格と話し合って…その結果、色んなアイドルとうまくやれるようになったってわけ
加蓮,…何というか…凄いね
凛,うん…どれだけの苦労があったのか想像もできない。まるで…
P,フィクションの物語を聞いてるみたい、か？
凛,…！ご、ゴメン！プロデューサー！
P,気にしてないよ。自分自身マンガみたいな人生歩んでるって自覚はあるしな
奈緒,でも…よく今まで他のアイドル達に知られなかったな…
P,…ウチは基本ユニット単位での活動がメインだからな。それに今抱えてるの、人気ユニットばかりだし
奈緒,あ、そういう事か。ユニット同士の交流とかも少なかったから、ユニット毎のPさん像を知ることがなかったのか…！
P,まあ、一部の聡いアイドルは違和感は感じてたかもな…まあ、どちらにせよ、それも今日で終わりだ
凛,…？ちょっと待って。それどういう事？
P,決まってるだろ？退職するんだよ
加蓮,なっ！？
ベテトレ,ちょ、ちょっと待てプロデューサー殿！私も初耳だぞ、それは！？
加蓮,な、何でプロデューサーがやめる必要があるの！？
P,前々から決めてたんだ。アイドル達にバレたらやめるって
奈緒,何でだよ！アタシ達、今の話を聞いたからってPさんの事、嫌いになったりなんか－－！
P,お前たちはそうだろう。だが年少組は？こんないつ豹変するかもわからない、怖い大人に傍にいてほしくはないだろう？
凛,何言ってるの！？今まで年少組の子達には別の人格で相手にしてきたんでしょ！？これからもそうしていけばいいだけじゃん！？
P,…本音を言うと…少し前から罪悪感を感じてたんだ
凛,罪悪感…！？
P,…アイドル達はどんどん成長している。ありのままの自分で前を向いて進んでいっている。だが自分はどうだ？和解したとはいえ自分とは違う別人格を使って話して…そんな自分が前を向いて進んでいるといえるのか？。自分に出来ないことを別人格に押し付けて逃げているのではないか？そんな考えが頭から離れないんだ
加蓮,そんなこと…！
P,…もう社長とは昨日のうちに話を通してある。次のプロデューサーが雇われ、引継ぎが終わり次第、俺はお役御免だ
奈緒,そんな…！
P,他のアイドル達にも明日全てを話す。…こんな形でお前たちと別れるのは本当に申し訳ないと思っている。だが、これは俺なりのケジメだ。どうか分かってくれ…じゃあな。長々と拘束してすまなかった
奈緒,P…さん…。はあ…どうすればいいんだろうな…これから…。ん…？加蓮からメッセージ…？。…！。ナイッスアイデアだ！加蓮！
P,失礼します
社長,おお、来たなP君。まぁ座りたまえ
P,…それで、ご用件というのは？
社長,言わずともわかるだろう？
P,…ですよね。つまり、もう後任のプロデューサーが？随分と早いですね…
社長,いや、そうではない。君の退職だが、なかったことにさせてもらいたいのだよ
P,…はい？。いや、ちょっと待ってください！自分はもう彼女たちの傍にいる資格は－－！
社長,これを見てもそれが言えるかね？
P,こ…これは？
社長,君を辞めさせないでほしいという旨の嘆願書だ。君の担当アイドル全員分の、な
P,な、何で…？
社長,渋谷君達トライアドプリムスの三人がアイドル達に呼び掛けたそうだよ。全く…いきなり大量の嘆願書を持ってこられたときは何事かと思ったよ。随分と慕われているじゃないか。プロデューサー冥利に尽きるというものだろう。これを見ても、まだ辞める等と言い張る気かね、君は？
P,……し、しかしですね…
社長,付け加えさせてもらうと、だ。渋谷君たちはアイドル達に質問したそうだ。プロデューサーについてどう思うかとね
P,…え？
社長,そうしたら皆、口を揃えてこう言ったそうだ。アイドル想いの優しい人だとね
P,…ッ！
社長,それぞれ違う人格の君と相手をしていたというのに、皆同じ意見を言った。どういうことか分かるかね？
P,……
社長,例え別人格でも根っこは君と同じということだよ。さてここで質問だ。主人格である君の担当はトライアドプリムスだ。君は彼女たちとしっかり向き合ってきた自負はあるかい？
P,…はい、私なりに精一杯、彼女たちと向き合ってきたつもりです
社長,では更に質問だ。別人格の君たちは、それぞれ君とは違うアイドルを担当してきた。彼らは…きちんと担当アイドル達と向き合ってきたといえるのか？答えは－－聞くまでもないね？
P,……！
社長,無論、イエスだ！根っこが君と同じであるならば、例え別人格といえどもアイドル達を蔑ろにするはずがない！。君は逃げてなどいない。しっかり前を向いて、アイドル達と歩んでいるのさ
P,…っ…ふっ…うぅ…
社長,全く…君は一人で背負い過ぎなのだよ。辛いときは、遠慮なく周りを頼りなさい。こっちはもう散々迷惑をかけられている身なんだ。今更少し迷惑をかけられたところで何とも思わんよ
P,ありがとう…ございます…！
奈緒,…アタシ達の想い、Pさんに届いたかな…
加蓮,どうだろうね…
凛,…私たちに出来ることはやったよ。後はもう祈るしかないと思う
奈緒,だよなあ…
P,おはようございます…あ
凛・奈緒・加蓮,Pさん！？
P,…よ、よう。その…色々と迷惑をかけ－－
奈緒,Pざぁぁぁん！
P,ゴハッ！？
奈緒,うわぁあああ戻ってぎたあああああああ！！
P,な、奈緒…っ！ちょ、おま、離れ…！
加蓮,ぷっ…！あはははっ！奈緒、凄い顔になってる！
凛,ふふっ…！加蓮もヒドいことになってるよ
奈緒,…！。う、うわぁああああああああああああ！何やってんだアタシはーーーーー！
P,は…ははっ…！ははははは…！
加蓮,じゃあ…Pさん、今後も続けてくれるんだ
P,ああ。今後もお前たちのプロデューサーとして全力で向き合うつもりだ
凛,よかったね、奈緒
奈緒,な、何でアタシに振るんだよ！？
加蓮,あれ～？一番Pさんの事で動揺しまくってたのはどこの誰だっけ～？
奈緒,う、うううう、うるさい！あの時の事はもう忘れろ！忘れろぉ！
凛,ふふっ、奈緒、かわいい
奈緒,あーーーーーーもおおおおおおおお！
P,あー…すまんが、そろそろ今日のスケジュール、確認してもいいか？
加蓮,むぅ、しょうがないか。じゃあ奈緒いじりはおしまい
奈緒,はぁ…はぁ…ありがとうPさん…
凛,それで？プロデューサー、今日の予定は？
Ｐ,ああ、今日はまず１０：３０からブーブーエスで－－。…以上が今日のスケジュールだ、何か問題はあるか？
凛,ううん、問題ないよ
奈緒,うっし！今日も頑張っていこうか！
加蓮,うーん…ポテト食べる時間あるかなあ…
奈緒,あのな加蓮、お前この前も食べただろ。今日はやめとけっての
加蓮,ブーブー
P,よし、じゃあ今日も頑張ってくれ！
凛・奈緒・加蓮,はい！
加蓮,ねえ、奈緒
奈緒,ん？何だ、加蓮？
加蓮,Pさんの正体、判明したね
奈緒,…ああ、そうだな！Pさんの正体は－－
