読んでいる方がわかる過去作,同じ世界観、繋げていく部分有
女提督,！！？
能代,ふ、ふぁ…ぁ…んんっ、ん、ぁ、ふんっ
酒匂,ねぇねぇ矢矧ちゃん、真っ暗で見えないよー
矢矧,見るものなんて無いよ
酒匂,そーなの？
矢矧,そうなの
能代,あ…阿賀野姉ぇ…胸…とか、太腿…触るの…やめてぇ…
阿賀野,ん～能代のは、どこ揉んでも柔らかいなぁ～
女提督,はわわ！！
能代,んっ…ぁ、んんっ、ふぁ、ぁ、ぃぃっ
女提督,やり過ぎじゃないかな！？
阿賀野,…あはは！なーんてね。どう？驚いた？
女提督,この事態にに驚かない心臓は持ち合わせて無いよ！
阿賀野,あははは、私ら姉妹だし流石にねー
能代,ハァ…ハァ…酷いよ、阿賀野姉ぇ…
阿賀野,いつものお返しだよ！提督を驚かせるついでに能代も、ね。これぞ一石二鳥！…なんて！
能代,こ、こんの……馬鹿ーッ！！
阿賀野,ぎゃっ！。……
女提督,あちゃぁ…
酒匂,…ぴゃんっ！…あれ？何で阿賀野ちゃん倒れてるの？…寝てるの？
矢矧,そ。阿賀野が寝ているのはいつもの事でしょ？
酒匂,あ、そうだったね！
能代,…当然の報いよ！
矢矧,…全くもう。大分逸れちゃったけど…提督は治った？
女提督,ん……あ！治ったみたい！
酒匂,ぴゃーあ♪良かったね！指令ー！
女提督,うんうん、ありがとうね皆
酒匂,えへへ～♪
矢矧,姉達が頑張ってくれたからね、私は別に
能代,治ったみたいなら良かったですよ…はぁ…
女提督,そんな事無いよ、ありがと。……ところで、阿賀野ちゃんは平気なのかな…？
阿賀野,……
女提督,お、おーい…阿賀野ちゃーん
阿賀野,……
女提督,…し、死んでる…
酒匂,えー！？
矢矧,…わけ無いでしょうが
女提督,えへ
能代,や、やだ…ちょっと強くやり過ぎちゃったかな…？
矢矧,…大丈夫よ、すぐに起こせるから
能代,そ、そうなの？
矢矧,ちょっと提督…良い？
女提督,うん？
矢矧,じゃあ、そんな感じで
女提督,う、うん
能代,？
女提督,よ、よーし。しゃっくりを止めてくれたお礼に、間宮さんのデザート奢っちゃおうかな～？棒
酒匂,わーい！アイスー！
女提督,あー！でも阿賀野ちゃんは気絶してるから寝かせておいてあげなきゃね、残念だー棒
阿賀野,……
女提督,残念だけど、阿賀野ちゃんは置いて皆で───
阿賀野,私も行く！！
女提督,ひぃっ！
能代,阿賀野姉ぇ！
酒匂,ぴゃん♪
矢矧,…ホラね
能代,…良かったぁ…
阿賀野,…んっ？どしたの、能代
能代,どしたのじゃないよ！…じゃなくて……その、ごめんなさい
阿賀野,んん？…ああ、気絶してた事ね。別に良いよ！私も能代の触ったし、おあいこ
能代,阿賀野姉ぇぇ…
女提督,え…おあいこ…？
矢矧,…元を辿れば阿賀野が悪いんだけどね。…まぁ良いんじゃないかしら
女提督,そう、よね。それで治ったんだし…
阿賀野,てゆーか提督ぅ！間宮さん所行くんでしょー！
酒匂,あたしも早くアイス食べたーい！
女提督,あーうん、じゃあ皆行こっか？
矢矧,あら、本当に連れて行ってくれるのね
女提督,ちゃんとお礼はするよ
能代,…有り難う御座います！提督！
女提督,良いの良いの。じゃ、行くよ～♪。ねぇねぇ木曾ちゃん
木曾,ん？何だよ？
女提督,先日の演習あったでしょ？
木曾,ああ、あったな
女提督,その時にね、舞鶴の提督さんに相談されたの
木曾,…へぇ～、何て？
女提督,女心について
木曾,あ？…もっと砕いて言ってくれよ
女提督,好きな子に告白したいんだって
木曾,へぇ……それをお前に相談したのか？
女提督,うん、しっかりアドバイスしてあげたよ
木曾,ぷ…あっはっは！相手を間違えたなぁそりゃ！
女提督,なぁっ…！酷いよ木曾ちゃん！私だって真面目にアドバイスしたもん…！
木曾,だってお前そういう経験無いんだろ？それでアドバイスって…あっはっは！
女提督,そんな笑わなくても良いじゃないの！
木曾,あっはっは！ああ、悪い悪い、可笑しくってな
女提督,可笑しくないし…
木曾,それで、上手くいったのか？そいつは
女提督,これからじゃないかな。お祭りが向こうではあるみたいなの、そこで言うんだって
木曾,へぇ～、祭りかぁ…良いねぇ
女提督,あ、やっぱり木曾ちゃんもそういうのに憧れちゃう？
木曾,勘違いするな、俺は祭りが良いなってだけだよ
女提督,なぁんだ…つまんない…
木曾,失礼な。でもまぁ、一応俺だって女だし、そういうのは憧れるかもな
女提督,素直になりなよ
木曾,どういう意味だコラ
女提督,…でも木曾ちゃんって改装してから…あれだよね、格好良くなったよね
木曾,聞いてねェ…。というか……そうか？中身は特に変わってないぜ？
女提督,こう、何て言うか…漂うイケメンオーラ…艦娘ちゃん達にモテモテじゃない？
木曾,ねーよ！
女提督,えーそうなんだ？いがーい…
木曾,どういう目で俺を見てるんだよお前は…
女提督,イケてるメンズ
木曾,俺は女だ！。…チッ…大体なぁ…ほら、他にもウチに居るだろうが…えーっと…加古とか
女提督,あ、確かに！加古ちゃんも随分変わったよね！あれも中々…
木曾,だろ？
女提督,でもね、違うの
木曾,…違うのか？
女提督,確かに見た目は格好良くなって、変わらぬお調子者って感じのギャップにはやられたけど…。こう…ね？木曾ちゃんとはまた違うの…わかるかな
木曾,いや、わからないって
女提督,見た目じゃないって事、加古ちゃんは可愛い系
木曾,可愛い系……俺は？
女提督,格好良い系って言いたい所だけど、木曾ちゃんも可愛い所あるからね
木曾,なんだそれ…
女提督,強いて言えば…かわ格好良い系？
木曾,それは喜んで良いのか？
女提督,とにかく。そんな娘を、世の男が放っておく訳がありません！
木曾,…ははは！そりゃねーわ！
女提督,えー！あるって！私が男だったら木曾ちゃんに求婚してるね、間違いない
木曾,はいはい、ありがとうございます
女提督,ありゃりゃ、つれないね
木曾,お前の相手も結構大変なんだぜ？
女提督,ちょぉっ！そういう事は言わないでよーっ！
木曾,へいへい
女提督,もぅー……。あーぁ…私も良い人見つけたいなぁ…
木曾,いっぱい居るじゃねーか、憲兵然り他鎮守府の提督然り
女提督,憲兵さんは妻子持ち多いし、他の提督さんは艦娘とイチャイチャしてるし……はぁぁ…
木曾,お、おう…そうだったのか。そりゃ気の毒だな
女提督,…早く海を取り戻して、良い人見つけようね…
木曾,…ああ、任せとけ。…もし見つからなかったら、そん時は俺が貰ってやるよ
女提督,えっ！？
木曾,…俺とお前の仲だろ？
女提督,木曾ちゃん…！
木曾,…あっははは！なーんて───
女提督,嬉しいよぉぉ！木曾ちゃぁぁぁん！
木曾,うおぉ！？
女提督,やっぱり私には木曾ちゃんしか居ないよーー！
木曾,は、離しやがれっ！じょ、冗談だよ！冗談！
女提督,えーっ！？酷い！私とは遊びだったの！？
木曾,はぁ！？始まってすらねーだろ！？
女提督,そうやって他の娘とも！？
木曾,ちょ、待て！待てって！まさか本気にすると思わなかったんだよ！…悪いな
女提督,木曾ちゃん…
木曾,……
女提督,…ぷ、あっはっはっは！本気のわけないでしょー！
木曾,なっ！
女提督,さっき笑ったお返し♪
木曾,な、なんだよそれ…
女提督,…でもね？
木曾,…あン？
女提督,もしも、本当に貰い手無かったらお願いしちゃおうかな？なーんて。もちろん、木曾ちゃんはお婿さんで！
木曾,…馬鹿か…
女提督,んぁー！何するの木曾ちゃんー！
木曾,…うっせ……しばらくそうしてろ…
雷,わぁー！こんな部屋があったのねー！
女提督,そうだよー。艦娘ちゃんも料理したいって言うから特別にね
電,とっても広いのです！
女提督,何十人押しかけて来るか分からなかったからね、今じゃ広すぎるかも
暁,鎮守府も広すぎるのよ、まるで迷路みたい。まいｇ…ｺﾎﾝ…まだ覚えきれないもの
女提督,そうだね、全部覚えてる娘は少ないんじゃないかな？
暁,司令官は覚えてるの？
女提督,提督だからね、バッチリよ
暁,へぇ～流石ね～！
女提督,ふっふっふ…それほどでも──
天龍,なぁ、提督よぉ…何でオレをここに連れてきたんだ？
女提督,ん？ん～…手が空いてそうだったし？一緒にやろうよ
天龍,やっぱそうなんのかよ！そういう事は先に言えよな！？
女提督,あぅ、ごめんね…？
天龍,…ぐぅっ！？……チッ。ハァ……今回だけだぞ
女提督,それ、百回くらい聞いた
天龍,う、うっせー！。つか、そんなに言ったのか…オレ…んん…？
女提督,ふふっ…
雷,ねぇねぇ司令官！早速作り始めても良いかしら！
女提督,あ、うん。じゃあ準備しましょうか♪
電,は、初めてなので緊張するのです…
女提督,大丈夫♪私も付いてるし、天龍ちゃんも居るから、ね？
電,は、はいなのです…！
天龍,おう、任せとけよ
暁,てんりゅーは料理出来るの？
天龍,ったりめーよ！料理なんて楽勝だぜ！
暁,へぇ～！さっすがてんりゅー！
天龍,フフフ、凄いか？
暁,うん、凄い！
天龍,ククク…ぃよっしゃァーッ！暁！オレについてこいッ！
暁,おーっ！
女提督,ふふっ、よく焦がしてた天龍ちゃんが懐かしいね～♪
天龍,
暁,て、てんりゅー…
天龍,む、昔の事だろォ！それはよ！
雷,大丈夫よ！天龍さん！初めは誰だって失敗するんだから！恥ずかしがる事は無いの！。それに今はもう出来るんでしょ？凄いじゃない！だから胸を張って良いのよ！
天龍,い、雷……！そう、だよな…。ああ…！そうだよな！オレはもう出来るんだ！。今のオレは出来る！出来るんだ！オイ分かったか！提督ッ！
女提督,はいはい…ふふふっ
天龍,…チッ、何か腑に落ちねーぜ…
電,あのぅ…司令官、今日は何を作るのですか？
女提督,ん、そうだねぇ……ケーキとかどう？
雷,ケーキ！良いじゃない！
電,ケーキ…作ってみたいのです！
暁,ケーキ！？。はっ…ｺﾎﾝ…ケーキで喜ぶなんて、まだまだね。大人のレデイはケーキくらいじゃ喜ばないのよ？
雷,えー！暁だってケーキ大好きじゃない！
電,なのです！
暁,うﾞ……い、今の私は違うもん！ケーキなんかじゃ喜ばないわ！
女提督,あらあら？じゃあ暁ちゃんは、ケーキは嫌いかな？
暁,えっ…き、嫌い…って訳じゃないけど…
女提督,良かった。じゃあ…ちゃんとしたケーキの食べ方って、知ってる？
暁,え？ちゃんとした…？……知らないけど
女提督,普段食べてるケーキにはね、ちゃんとした食べ方ってのがあるの。これを知っておくと、理想の大人のレディに更に近づくんじゃ無いかな？
暁,理想の…。……うん、うん！わかったわ！レディは如何なる物も正しい作法で食べないとね！
女提督,うん、そうだね。さてさて、それじゃ始めよっか。───よし、下準備はおっけーかな
雷,私は何をすればいいかしら？
女提督,じゃあ雷ちゃんはボウルに入った卵をほぐして貰おうかな。ほぐれてきたなーって思ったら、そこのグラニュー糖を入れて更に混ぜてみて
雷,わかったわ！任せて！
電,い、電はどうしますか？
女提督,電ちゃんにはシロップを作って貰うね
電,シロップ…？クリームとは違うのですか？
女提督,そうだよ。ケーキには大事な物なの
電,そうなのですね！わかりました！頑張るのです！
女提督,そこに置いてある水とグラニュー糖を小鍋に入れて火にかけてね。沸騰したら火を止めて、完全に冷めるまで待つの。そして、冷めた後にこの特製リキュールを混ぜる…ここまで大丈夫？
電,だ、大丈夫なのです！
女提督,ふふっ…とりあえずはやってみないとね。わからなかったら聞いて？
電,はいなのです！
女提督,良し…。あ、雷ちゃん次はね──
天龍,お、おい…大丈夫か？暁
暁,だ、だだだ大丈夫よ！ほ、包丁くらい使えるわ！
天龍,いや、そうは見えねェんだって…
暁,い、行くわよ！
天龍,指、切るなよ？
暁,ひっ…！ちょっと！怖い事言わないでよぉ！
天龍,おおぅ、わりぃな。今のお前、危なっかしくてよ
暁,イ、イチゴくらい私だってねぇ…！よ、余裕よ！。大人のレディは狼狽えない！
天龍,ハハハ！その震えが無けりゃ立派なんだけどな！。仕方ねぇ…じっとしてな
暁,て、てんりゅー…？
天龍,オレに任せろ
暁,あ…うん…
天龍,良し……震えも止まったな…。良いか？まずは持ち方は…こうだ
暁,こ、こう？
天龍,おう！それだよそれ！
暁,えへへ…
天龍,そしたらな、左手をこうして…包丁を持った右手はこうだ
暁,こ、これでいいの？
天龍,あと左手な、こうやって指先を曲げるんだよ
暁,へぇ～…！
天龍,こうすっと切れる心配は無いからな、じゃあ…行くぜ？
暁,え、ええ！。き、切れた…切れたわ！
天龍,おう、上手くいったな！やったな！
暁,ありがと！てんりゅー！
天龍,へへっ…良いって事よ。んじゃ…後は自分で出来るか？
暁,ええ！任せて！。ちゃんと…見ててよね？
天龍,おうおう、ちゃんと見ててやるよ
暁,えへへっ♪
女提督,───さてと、じゃあ今度は焼いてるうちにクリーム作ろっか
雷,ええ！任せて！
女提督,さっきの作業もそうだけど、雷ちゃん手際良いねー
雷,そうかしら？
女提督,うんうん、流石雷ちゃんだよ。良いお嫁さんになるね
雷,そ、それほどでも無いわよ！
女提督,ふふっ…それじゃまた同じ事だけど、これ
雷,このクリームを混ぜれば良いの？
女提督,そう、持ち上げた時にクリームが少しお辞儀すれば完成よ
雷,え…クリームが…お辞儀…？
女提督,…あはは！ちょっとその想像とは違うかも、やってみるればわかるよ
雷,そうなの？わかったわ！やってみる！
女提督,電ちゃんは、どう？
電,あ、司令官さん！…今からこのリキュールを入れる所なのです
女提督,…うんうん、問題無さそうね
電,は、はわわ…。あ、あの…司令官さん…
女提督,うん？
電,響ちゃんは…元気ですか？
女提督,…うん、元気。この前も大活躍してたみたいだよ？
電,響ちゃんが…？…凄いのですっ！
女提督,そうだね。……そうだ！今度横須賀行く時、一緒に行こっか。会いたいでしょ？
電,は、はい！是非お願いしますなのです！
女提督,うん、任せて。…あ、スポンジが出来たね。それじゃ、最後の仕上げといこー！
電,はいなのです！
女提督,ここを…こうして…っと。良し…こんなものかな
天龍,おう…初めてにしては中々じゃねーか？
女提督,天龍ちゃんの時とは大違いだね、あの時は何度スポンジ生地が飛んだ事か…
天龍,あ、あれは力み過ぎただけだから！つか、過去の事は言うんじゃねー！
女提督,あはは、ごめんね？
天龍,…ケッ！
女提督,はい、それじゃ皆で作ったケーキ、早速頂こう♪。さてさて、会議始まるまで少し時間あるし他の提督さんに挨拶して回ろうかな。木曾ちゃんと行きたかったけど、木曾ちゃんは多摩ちゃんとこ行っちゃったしね。……あら、あそこで壁に腕組んで寄りかかってる提督さんて…。佐世保の…提督さんですよね？
佐世保提督,…何だ？現世に生きる淑女よ
女提督,わぁ、相変わらず…。淑女だなんて…。お見かけしたので挨拶をと…
佐世保提督,フン…良い心掛け──ぐあっ！？
女提督,えっ…え！？大丈夫ですか！？
佐世保提督,くっそ…！まだ暴れたり無いってか…！？それとも…奴らが近い…！？
女提督,え！？奴らって何ですか！？右手が痛いんですか！？
佐世保提督,違うッ！死にたくなきゃ俺から離れろッ！ここはッ…！俺が抑え付ける…ッ！
女提督,右手に包帯をしてる…！もしかして傷が開いた？でも言動が意味不明だわ…！
佐世保提督,……収まったか…危うく暴走する所だった…
女提督,え…だ、大丈夫なんですか…？
佐世保提督,…はン…持たざる者にはわからないさ…この宿命の重さはな…
女提督,な、何を言ってるのかしら…？。えっと…じゃあもう大丈夫なんですね…
佐世保提督,嗚呼。しばらくは“コイツ”も暴れ出さないはずだ
女提督,は、はあ…
阿武隈,ちょっと提督！何してるんですか！こんな所で！
佐世保提督,……来たか
女提督,あら、阿武隈ちゃん
阿武隈,来たか…じゃないですよぅ！勝手に何処か行かないでくださいっ！
佐世保提督,ククク…この世の全ての森羅万象でさえ俺を捕まえる事は不可能だというに…。艦娘如きに俺が捕えられると？口を慎めよ…雑輩
阿武隈,はあぁぁぁ～…。…この馬鹿っ！それ恥ずかしいからやめてって言いましたよねっ！？
佐世保提督,ば、馬鹿…だと…！？貴様誰に向かって───
阿武隈,貴方しか居る訳無いでしょ！いい加減にしないと怒りますよ！！
佐世保提督,ぐ…っ！
阿武隈,ほら、行きますよ！
佐世保提督,えっ…あ、ちょっ…痛い痛い痛いっ！耳は引っ張らないで！
阿武隈,女提督さんすみませんっ！お騒がせしました～っ！
女提督,あ、うん…頑張ってね？。…佐世保の艦娘ちゃん達は色んな意味で強そうね…。あ、呉だ！久しぶり～！
呉提督,あ？…あぁ、何だお前か。久しぶりだな
女提督,何だとは失礼な。相変わらずボーッとしてるし、それに無愛想
呉提督,そうでもねーだろ
女提督,どーだか……あら？
鈴谷,……
女提督,久しぶり、鈴谷ちゃん
呉提督,おい鈴谷、何俺の後ろに隠れてるんだよ。お前も挨拶しろって
鈴谷,……ふんっ
呉提督,またお前は……
女提督,あ、あはは…。何でか知らないけど、呉の鈴谷ちゃんには嫌われてるなぁ…
呉低得,悪いないつも
女提督,ううん、平気だよ
鈴谷,ねぇ、もういこーよ
呉提督,あぁ？まだ時間じゃねーだろ
鈴谷,いーの！席に先に着くのー！
呉提督,急に何だよお前…おい、やめろ、叩くな
女提督,ふふっ…相変わらず仲が良いのね
呉提督,どこが…
鈴谷,むー！
女提督,見たまんまよ。…行ったら？私は他の人に挨拶もあるし
呉提督,…そうか？悪いな…ってだから鈴谷てめぇ引っ張るなっての！
女提督,…またね
鈴谷,……
女提督,…おや？こっちを見た
鈴谷,
女提督,…あ、あはは…。仲良くしたいんだけどなぁ…。はぁ……さて
舞鶴提督,や、やっぱり此処は…緊張するね…
那智,しっかり頼むぞ、貴様は我々の顔でもあるんだからな
舞鶴提督,そ、そうだよね…僕がしっかりしないと…
那智,フッ……だが、それが貴様らしいと言えば、貴様らしいんだがな…
舞鶴提督,え…どういう事…？
那智,頼りないって事だ
舞鶴提督,そんな…！酷いよ！
女提督,お～い、舞鶴さーん
舞鶴提督,…あ、女提督さん
那智,おや、久しぶりだな
女提督,那智さん！お久しぶりです！。それとこの前は演習、有難う御座いました
舞鶴提督,あ、いえいえこちらこそ…それに女提督さんのおかげで…
女提督,あっ！上手くいきました？
舞鶴提督,はい、何とか。“色々”ありましたけどね…ははは
女提督,おおっ！それは良かったですね！おめでとうございますー！
舞鶴提督,あ、ありがとうございます
那智,何の話だ？
舞鶴提督,あれだよ、僕と羽黒の…ね
那智,ああ、その事か──
横須賀提督,おーっす！
女提督,あ、横須賀の提督さん
舞鶴提督,あ…先輩の…
横須賀提督,久しぶり！女提督ちゃん最近うちに来てくれないじゃん、たまには遊びにきてよ
女提督,あ、実は今度行こうかなって。響ちゃんに会いたい娘も居るので
横須賀提督,あぁ、姉妹のね！良いよ良いよ、かもんかもん
女提督,はい。ではその時は宜しくお願いします
横須賀提督,おう！……っと、後そこの君！
舞鶴提督,は、はいっ！
横須賀提督,…君とは演習で一回会った事あるけど、話したことは無かったね
舞鶴提督,そ、そうですね…！
横須賀提督,……ふむ。君があいつの代わりねぇ…
舞鶴提督,……
横須賀提督,うんうん。那智、この子はどうだ？
那智,ん…どうだと言われてもな。良くやってくれているぞ
横須賀提督,そっかそっか
舞鶴提督,ま、まだまだ未熟な僕ですけど！先輩に追いつけるように、頑張ります！
横須賀提督,ぷ…ははは！そうかそうか！あいつになぁ……ま、今後もその意気で頑張ってくれよ？。まぁ何だ、今後ともよろしく！
舞鶴提督,は、はい！
女提督,…そういえば、曙ちゃんは？
横須賀提督,ああ、曙は向こうで雪風の相手してもらってるよ
女提督,あら、そうなんですね……って2人…？同伴は秘書艦だけでは？
横須賀提督,…雪風を置いて行くなんて…俺には出来なかったんだ…
女提督,え、えぇ…？
那智,相変わらずの馬鹿者だな
横須賀提督,うるさいよ！会議中は控え室に居てもらうから平気だし
舞鶴提督,だ、大丈夫なんでしょうか…？
女提督,…多分ですけどね。これでも成績は1番なんですし
横須賀提督,これでもってそんな…まるで俺が馬鹿みたいな
曙,…合ってるじゃないのよ
横須賀提督,はっ！
雪風,しれぇっ！
横須賀提督,雪風ぇっ！
女提督,おぉ……曙ちゃん、久しぶり
曙,あら、久しぶりね。元気そうで何よりだわ
女提督,うん、何とかね
曙,また私の愚痴聞いてよ、このクソ提督のさ
女提督,ふふっ、良いよ♪
横須賀提督,え、何、いつも愚痴ってんの？
曙,あんたの秘書艦やってると溜まってくるもんがあるのよ、クソ提督
横須賀提督,またそんな事言って～、ツンデレかな？
曙,は？
雪風,しれぇっ！曙ちゃんが怒ってます！怖いです！
横須賀提督,おい曙！雪風が怖がってるだろ！もっと優しくしろ！
曙,ぶっ飛ばすわよ！意味わかんないし！さり気無くちゃん付けしてんじゃ無いわよ雪風！
舞鶴提督,あ、あはは…
那智,フフ…あそこは相変わらずだな
女提督,ですね～。あ、始まりますね
舞鶴提督,みたいですね。では、また後ほど
女提督,はい、また
曙,ほら！さっさと行くわよ！
横須賀提督,いだだだ！耳を引っ張らないで！行く、行くからぁぁ！
雪風,しれぇ～～っ！
女提督,あ、これさっき見た
木曾,──何だありゃ……
女提督,あ、木曾ちゃん。…どうだった？多摩ちゃんは
木曾,ああ。相変わらずだったよ
女提督,ふふっ、そうなんだ
木曾,…って話してる場合じゃないな。行こうぜ
女提督,は～い
暁,ホラー映画を借りてみたの
女提督,あらまぁ
天龍,ホラー映画…
電,暁ちゃん…大丈夫なのです？
暁,今話題らしいのよ、これ。大人のレディは流行物には敏感でないとねっ！
雷,前も同じような事言って、一人でお手洗い行け───んぐっ
暁,わー！わーーー！。と、とにかく！夕食が終わった後、皆で見ない？
女提督,ふふっ。私は良いけど
天龍,ああ、オレも別に良いぜ
暁,やった！決まりね！
雷,…今度は皆が居るし、大丈夫かしらね？
電,だといいのですが…。……
暁,た、大した事無いわね…！
雷,あ、暁…苦しいわよ…！
女提督,うん、結構面白かったね。…天龍ちゃんはどうだった？
天龍,ああ、中々良かったな。ホラーも偶に見ると面白い
雷,電は…寝ちゃってるわね。もう、仕方ないんだから。…ちょっと先に電を部屋に連れてっちゃうから。皆、おやすみなさい
女提督,はーい、おやすみー
天龍,おーう。ちゃんとトイレ行っとけよー
雷,──わかってるわよー！
暁,あ……。ど、どうしよう……お手洗い行きたいけど…一人じゃ怖い…。い、一緒に行けば良かった…
天龍,…ん？
暁,……
天龍,ああ、そうか。おい、暁
暁,え、な、何？
天龍,悪ぃな、ちょっとトイレ付き合ってくんねーか？
暁,えっ！ど、どうして…？
天龍,さっきの映画中々怖かっただろ？それで、ちょっとな
暁,ふ、ふーん…！そっかぁ…そうよね！しょうがないわね！天龍ったらっ！
天龍,ヘヘッ……サンキュ。助かるぜ。じゃ、そういう事で。じゃあな提督
女提督,ふふっ…またね。……流石天龍ちゃんね、駆逐艦に人気がある訳だわ。さてと…。あ、もしもし？木曾ちゃん？。あははごめんごめん。あ、うん。さっき皆でホラー映画見てたんだけどね。…腰が抜けて立てなくなっちゃった、助けて木曾ちゃん！。そ、そんな…！？木曾ちゃん！？木曾ちゃあああああん！！
陸奥,提督、入るわよー？
女提督,ん、陸奥ちゃん？どしたの？
陸奥,先日大本営で会議だったんでしょ？何だったの？
女提督,あ、うん。前に見つかった新型の深海棲艦が判明したみたい
陸奥,ああ、前に長門達が撃退したっていう？
女提督,そうそう。確か…ええっと。…戦艦レ級と防空棲姫…って言うんだって
陸奥,あらあら。また厄介そうなのが増えたわね
女提督,だね。特に後者が危険過ぎるみたい
陸奥,そんなに強いの？
女提督,うん。敢えて言うなら…横須賀の大和ちゃんのお墨付き
陸奥,あの大和が……それは相当ね
女提督,後者ほどじゃないにしても、レ級って艦も横須賀の第一と渡り合ってたみたいなの
陸奥,あら。それは凄いわね
女提督,…陸奥ちゃん“達”も気をつけてね？
陸奥,ええ、わかってるわ
女提督,あと、もう一つあるんだけどね
陸奥,何かしら？
女提督,んとねー…相手側に指揮する何かが出来た…みたい？
陸奥,疑問系なのね？
女提督,横須賀の提督さんや曙ちゃんは間違いないって言ってるんだけどね。大本営側が、決め付けるのは早計ではないかって
陸奥,なるほどねぇ…。でも、それが仮に本当だとしたら…厄介ね
女提督,だね。今までと違って策を使うようになってくるだろうし…
陸奥,フフ…いくら策を講じようと、力でねじ伏せれば良いのよ♪
女提督,わぁ頼もしい…何か陸奥ちゃん、段々と長門ちゃんに似てきたね
陸奥,ビックセブンは伊達じゃ無いのよ？
女提督,流石姉妹って言うか何と言うか…とりあえず今後は少し警戒しなきゃね
陸奥,ええ、そうね
女提督,…よし、陸奥ちゃんこの後時間ある？
陸奥,何かしら、デートのお誘い？
女提督,そうそうデートデート
陸奥,まあ…程々にね？
女提督,え…どういう意味ですか
陸奥,さぁ、どういう意味だと思う？
女提督,いや、そんな探り合いする事じゃないよ！普通にご飯食べようってだけで！
陸奥,あら良いわね♪…で勿論その後は？
女提督,その後って…何
