※状況：幼女戦記(Web版)第八二話より,卑怯者！逃げるのですか！
ヴィーネ,坊って時点でダメでしょ
ラフィエル,ではターメリックウンタラカンタラオモイゴンダーラ……
サターニャ,そのお経みたいなのいつまで続けるつもりよ！
ヴィーネ,ター……ター……そうね、ターシャ、ってどうかしら？。えっと、絵本画家の人の名前だったと思うんだけど……
ガヴリール,他のが全滅だし本人が嫌じゃなきゃそれがいいんじゃないか？
サターニャ,ヤンスター！ヤンスターとかどうよ！
ヴィーネ,それブーシュさんの苗字じゃなかった？
ラフィエル,とりあえずターシャちゃん、という事でいいですか？
ターニャ(ロリボイス),は、はい、いいなまえだとおもいます！
ラフィエル,ターシャさん。ふふっ、今なら猫を被らなくてもいいんですよ？
ターニャ(猫を被る？つまり,何か隠しているのを見透かしています
ターニャ(ロリボイス),ねこはいきものですよ？
ラフィエル,まあ、猫を被ったままでもいいんですけどもとりあえず一つだけ。ナイフを預けてもらえますか？
ターニャ(ロリボイス),しらはおねえさんがなにをいっているのかよくわからないですよ？
ラフィエル,力ずくで、というのはあまりしたくないのですけども……
サターニャ(inトイレ),う、うぅぅぅぅぅぅ
ターニャ,盗撮とはいい趣味をしてますね、白羽さん
ラフィエル,！？そんな声を出せるんですねターシャさん……いえ、本名をお聞きしても？
ターニャ,下手に教えて間違えて呼ばれても困りますので。ナイフは渡しますがその代わり
ラフィエル,ええ、あなたが持っていたとはバラしませんよ。ああ、それと私たちに妙な真似をするつもりであればあなたには予想も出来ない手段での反撃が待っていますのでご注意ください
ターニャ,元より恩を仇で返すような真似をする気はありませんよ
ラフィエル,それならばいいんですけども……あ、これはついでなんですけども、ふふっ、私の事はラフィと呼んでください
ターニャ,……ところで妙な真似をしているのはラフィエルさんの方では？
ラフィエル,ふふっ。別にバラしてもいいですけど意味は無いと思いますよ？
ターニャ,納得尽くと？
ラフィエル,諦めているだけ、だとは思いますけどね。では、ナイフをくださいな
ターニャ,ええ。……持ち運ぶ時にはきちんと隠さないと厄介な事になりかねないですからご注意を
ラフィエル,あら、これはご丁寧に……。そういえばこちらへどのような事情で？
ターニャ,理不尽と不条理の果ての不慮の事故で、と言った所でしょうか？
ラフィエル,それはまたご愁傷様です。それにしても猫を被っている時とはまるで別人ですね……もっと甘えてもいいんですよ？
ターニャ,……私としてはあのような振る舞いはあまり好まないのですが
ラフィエル,あらぁ、それはとても残念です……ふふふっ。先ほどは少々敵対的に接してしまってごめんなさいね、ターシャさん。私としてはこれから仲良くさせていただきたいのですが……
ターニャ,ええ、私としても仲良くさせていただきたいですが
ラフィエル,ですが？
ターニャ,少しお返しをさせていただこうと
ラフィエル,いつの間に！？
サターニャ,うう、私がトイレにいる間に二人でなにしてるのかしら
ラフィエル,あはははははははっ
ターニャ(ロリボイス),あ、くるみざわおねえちゃん！ラフィおねーちゃんとあそんでたのー
ラフィエル,ひひひひひぃっ！ひぃぃぃぃぃっ！
サターニャ,タ、ターシャにラフィエルがやられたの！？……私より悪魔の才能があるのかしら
ターニャ(悪魔の才能…………まあ,ラインの悪魔
ターニャ,ターニャ・デグレチャフ改め仮称ターシャであります。現状の把握というものはとても大切だとは思いませんか？。額面上は存在するはずの部隊の大半が実は既に存在していなかった、などという話もありました。そもそも今、私の存在する世界というのは如何様なものなのか、きちんと確認しない事には原隊への復帰どころか下手をすれば生き延びる事さえ出来ないかも知れません
ガヴリール,それじゃー次回状況整理
ターニャ,決め台詞を取られた！？
