藤居朋,久々に来たわねこの部屋……
朋,どれにしよっかな～。今日はパスタの気分かな～
智絵里,いえ、わたしがパスタの気分です
ほたる,いえいえ、私の方がパスタの気分ですよ
朋,パスタの気分って重複NGだっけ？
智絵里,わたしはこの”シェフの気まぐれベーコンと半熟卵のカルボナーラ”にしようかな……
朋,別にいいけどシェフの気まぐれが入り込む余地少なくない？食材まで指定されてるけど？
ほたる,私は”気まぐれシェフの堅実ナポリタン”で
朋,気まぐれにやらせてあげてよ。そうやって個性を殺すのよくないわよ
智絵里,朋さんはどのシェフにしますか？
朋,そもそもシェフを選ぶシステムに疑問を持って？。すいませーん。やけに元気ね
智絵里,朋さんはどれにするんですか？
朋,んー、たらこスパゲッティにしよっかな
智絵里,わたしの方がたらこスパゲッティですよ
朋,たらこスパゲッティも重複ダメなの？
日野茜,ご注文をどうぞ！！！！！
朋,うわあ！？
ほたる,あ、茜さん……！？
茜,はい！！！
朋,な、何してるの！？
茜,職業体験です！！！
朋,そ、そういう企画なの……？びっくりした……
茜,さあ！ご注文を！！！
朋,えっと……たらこスパゲッティを1つ
茜,ご一緒にステーキはいかがでしょうか！！！
朋,いらないけど！？
茜,ええ！？
朋,パスタのついでにステーキ頼む人見たことある！？
茜,智絵里さんは！
智絵里,わたしはカルボナー……
茜,ご一緒にステーキはいかがですか！？
朋,食い気味に
智絵里,いりませんけど……
茜,ほたるちゃんはっ！
ほたる,……ステーキのAセットを
智絵里,先打ちしてステーキを……！？
朋,なんで心理戦始めてるの
茜,ご一緒にステーキはいかがですか！！！
朋,耳ついてる？
茜,ご注文を繰り返します！！！
朋,ちゃんとお願いね！
茜,◀◀
朋,えっ巻き戻し！？そういうシステム！？
茜,▶
ほたる,えぇ……
茜,ステーキ3つ！！！
3人,頼んでない！！！！！
ほたる,料理は注文通り来てよかったですね……
朋,美味しかったけども……
智絵里,いつクビになるか、賭けませんか？
朋,賭けごと好きすぎるでしょ
ほたる,ではそろそろ、グッズの話をしましょうか
朋,ようやく本題ね……
智絵里,本題までに5000文字も使って何をしてるんですか？
朋,智絵里ちゃん。えっと、じゃ、とりあえずユニットグッズは後にして、それぞれのグッズを考えよっか？何か案ある？
智絵里,はいっ！
朋,ふ、不安だけど……
智絵里,黄金の等身大智絵里像2980円
朋,またそんなどこに需要があるのかわからな安っっっっっっ！！！！！
ほたる,採算も取れず需要も見込めない……。センスがありませんね……
智絵里,むっ！じゃあほたるちゃんはさぞセンスがある商品が浮かんでるんだよね？
朋,えっと、じゃあほたるちゃん？
ほたる,はい、私はこの
朋,植木鉢って単語が出てきたらその時点で終了ね
ほたる,……どんなときも私らしくsmilling過ごしたいな梢からは木漏れ日エメラルドガーデン
智絵里,虚ろな目でライラックタイムを呟き始めましたね……
朋,ご、ごめんって！
智絵里,では、朋さんは何か案はありますか？
朋,ふっふっふ～……よくぞ聞いてくれました！
智絵里,えっなんですか今のふっふっふ～
ほたる,ぬかりありません
智絵里,ぐっじょぶほたるちゃん！
ほたる,後で送っておきますね
智絵里,今日の晩ご飯は期待してていいよ
ほたる,わぁい
朋,聞いて！！！！！！！。あたしはこれがいいなって！
ほたる智絵里,？
朋,星座早見盤！……これはあたしが個人的に使ってるやつだけど
ほたる,あ……理科の授業で使った記憶が……
朋,そうそう！日時と方角を合わせて夜空を見たら、その時に見える星座がわかるのよ！星占いにピッタリ！
智絵里,ここで”星座早見盤って何だっけ……？”という人がググるためにちょっと時間を取ります
朋,誰に言ってる？？？
智絵里,はい。でも、朋さんらしくていいですね……！
朋,平然と再開した……
ほたる,私もそう思います。ですがこの早見盤……けっこう使い込まれているというか……
朋,あはは……これね、あたしがまだ小学生くらいの時に買ってもらったやつなんだ
智絵里,そうなんですか？
朋,毎日これを持って夜空を見上げてさ？風邪ひいて怒られちゃったなあ……。こっちにも持ってきたんだけど、流石に都会は星が見えにくくって、ちょっと凹んじゃったりして
ほたる,……
朋,これならそんなに値段も高くならないし、ついでに星占いにも興味持ってくれれば一石二鳥！どうかな！
智絵里,良い話すぎて笑いに繋がりません……
朋,別にいいでしょ！！！。じゃ、あたしのは決定でいいかな？
ほたる,はい。空を見上げるクセをつければ、何か墜落してきても観念する時間ができますからね
朋,早見盤で死ぬまでの猶予を稼ぐのは想定してないかな
智絵里,はいっ！思いつきました！
朋,不安はぬぐえないけど……
智絵里,名付けてちえりんのツインテカチューシャです！
朋,おおー？
智絵里,ご想像の通り、わたしのこのツインテールがカチューシャにくっついてるんですっ
朋,動いてる……
ほたる,でも、買うであろう私たちのファンは男性が多いですが……
智絵里,……
朋,……
ほたる,……
朋,や、やめよっか
智絵里,そ、そうですね。思ったより難しいですね……
朋,とはいえ物販でツインテカチューシャを売るわけにはいかないし……
智絵里,わたしらしさって何でしょう……。わたしには……何も……
朋,え？そんなに？アイデンティティが揺らぐような流れだった？
ほたる,そ、そんなこと言わないでください！
智絵里,ほたるちゃん……
ほたる,智絵里さんには……その……いろいろ、ありますよ！いろいろ！
朋,励ます気持ちはいいけど語彙力
智絵里,ありがとうほたるちゃん……
朋,ちょろい……！
ほたる,智絵里さんといえばやはり、四つ葉のクローバーが浮かびますよね
朋,クローバーをあしらったモノとか、あったらいいんだけど
智絵里,なるべく実用性もあればいいんですが……
ほたる,あっ
朋,おっ、何か浮かんだ？
ほたる,扇風機……とかどうでしょう？ハンディタイプの
朋,いいと思うけど……本体にクローバーをあしらうの？
ほたる,いいえ。クローバーは……
智絵里,あ！プロペラ？
ほたる,はい、四枚の羽根をクローバーの葉の形にするんです
朋,なるほど！それならかわいいし実用的ね！
智絵里,そして一番強い風量にすれば、回転するプロペラが武器にもなる！
朋,言ってない！
ほたる,はい！
朋,はい！？。じゃあ智絵里ちゃんのも決定ね
ほたる,値段も、そこまでにはならないでしょう
智絵里,じゃあ、わたしのを考えてくれたお礼に、ほたるちゃんのを考えてあげるねっ
ほたる,ダイジョーブ博士の手術くらい期待してますね
朋,ほとんど信じてないやつだ
智絵里,はいっ！
朋,威勢はいいのよね
智絵里,白菊印のAEDを売りましょう
朋,自動体外式除細動器。あれ個人が所有するものじゃないし！
智絵里,お手軽☆全身麻酔キットも考えたんですが
朋,麻酔は手軽にやるものじゃないから！！
智絵里,ダイジョーブですよっ
朋,だからカタカナだと不安しかないのよ！！
智絵里,ですが、ほたるちゃんのファンなんてどうして生きながらえているのか不思議なほど不運と聞きますし……
朋,もうちょっと言い方なかった？
智絵里,あっ！
朋,どうせろくでもないアイデアでしょ！
ほたる,もう少し言い方あるのでは……
智絵里,ヘルメット！
朋,へ、ヘルメット！？
智絵里,そうです！これでライブ中に怪我人が出なくなって、訴えられる回数も減ります！
ほたる,もともと訴えられてないですが
智絵里,どうかな？どうかな？
朋,あ、渾身のアイデアなんだ
ほたる,でも実際、悪くないと思いますよ……？
智絵里,わぁい
朋,さっきからそれ2人とも可愛くてずるい
ほたる,では最後にユニットグッズですが……
朋,これは、普通にマフラータオルとかでいいんじゃない？
ほたる,そうですね。もしかしたらタオルを振り回す曲とかも歌えるかも……
智絵里,いえ……甘いですっ！
朋,へ？
ほたる,？
智絵里,もっと、わたしたちのように強いタオルにしましょう！
朋,強いのはほたるちゃんだけよ？
智絵里,まず、なんか強い素材を編み込んで、銃弾も防げるようにしますっ
朋,さっきから非日常の想定が多すぎない！？
智絵里,さらに特殊繊維により、熱を完全にシャットアウトっ
ほたる,いくらになるんでしょうか……
智絵里,吸水性にも優れて、あなたの涙も拭き取りますっ
朋,なんか楽しくなってきてない？
智絵里,さっそく常務に掛け合ってみましょう！
ほたる,あっ、智絵里さんっ
朋,ま、待って！あ、お会計お願いします！
茜,ステーキ3つで60000円です！！！！！
朋,だから頼んでな高っっっっっっ！！！！！
常務,素晴らしい。全て承認しよう
智絵里,わぁい
ほたる,わぁい
朋,ええ……
常務,早速だが、企画部に回そう。順調に進めば、君たちの次のイベント……野外ライブだったか。には間に合うだろう
朋,相変わらず仕事が早いわね……
常務,楽しみにしていてくれ
智絵里,ありがとうございますっ
朋,そういえば、卯月ちゃんとか凛ちゃんはグッズ出してないの？未央ちゃんは聞いたけど
常務,当然ながら出している。島村はわくわく世界征服キットで
朋,わくわく感が微塵も感じられない
常務,渋谷はおはな
朋,おはな
智絵里,はい！今日はみなさん、来てくれてありがとうございますっ！！
朋,わぁ……みんなヘルメット被ってる……なんだこれ……
ほたる,朋さん、漏れてますよ
朋,はっ！ごめんごめん。今日から販売のグッズ、買ってくれてありがとー！
智絵里,星座早見盤も、ちゃんとみなさん買っているみたいですよ
朋,大事にしてね！
ほたる,あ、ちょうど野外ライブですし、せっかくだから空を見上げてみるのはどうでしょうか？
朋,いいわね！じゃあみんな、早見盤を持ってる人は準備してみて！
智絵里,えっと、日付と……
朋,ちょうどステージの方が北ね！
ほたる,わあ……星が見えます……
朋,おおー！晴れててよかったわ！
智絵里,はい……あれ？
朋,え？どうかした？
智絵里,あの……なんか、赤い点が……たくさん……？
朋,……た、確かに……？
ほたる,あれは……？
朋,あれ？なんかスタッフさんたちが騒がし……
智絵里,はっ！あれ、モニターに……緊急ニュース？
朋,えええええええ！？。えええええええ！？
智絵里,これは……
ほたる,この会場ドンピシャですね
朋,えええええええ！？
智絵里,死ぬまでの猶予ができましたね
朋,冷静なのおかしくない！？
ほたる,ですが、1つ1つは小さいようです。みなさん！ヘルメットを被って、屈んでください！
朋,これ防災イベントだっけ！？
ほたる,朋さんもこれを被って屈んで！
朋,いや頭だけじゃ足りな。きゃああああああああああああ！！！！
ほたる,はい、というわけでライブを再開します
朋,いやいやいやいや！！！何でみんな無事なの！？
智絵里,ヘルメットがありましたし……
朋,明らかに守備範囲足りなかったでしょ！？
ほたる,怪我人もいなかったようです
朋,会場はこんなにボロボロなのに！？
智絵里,でも、なんだか熱いですね……
ほたる,あ……そこら中に転がっている熱を持った小さな隕石が、会場の温度を上げているのかも……
朋,ええ！？や、やっぱり中止に
智絵里,いえ、みんなでクローバー扇風機を最大出力にしましょう！
朋,どうしてこうも都合よく役立つの！？
ほたる,落ちている隕石は、ぜひお土産に持ち帰ってくださいね
朋,いやいや、会場の温度を上げるくらいの熱い石なのよ！？そんなの、熱を完全にシャットアウトするような特殊な布とかが……なきゃ……
智絵里,ﾆｯｺﾘ
朋,……
ほたる,……
智絵里,……
朋,こうなりゃヤケクソよ！！！ライブを始めるわ！！！！！
みんな,わぁい
朋,そういうのどこで覚えるの！！！！！
ほたる,次が、最後の曲になります
朋,はぁ……はぁ……
智絵里,朋さん、気合入ってますね……
朋,いつ死ぬかもわからないからね……！
ほたる,では、早速……あれ？
朋,……どうしたの？
智絵里,空なんて見上げて……？
ほたる,何か、大きな……
朋,え？。また！？。えええええええ！？
智絵里,ひ、光が、大きくなってきます……！
ほたる,朋さん
朋,な、なに！？
ほたる,ライブの打ち上げ、美味しいお店を探しといてくださいね
朋,なんで今言ったのー！！！！！。ほたるちゃん！！！！！！！！！
