ビスマルク,Admiral、改装がおわったわ
比叡,司令はお姉さまと張り合うくらいの紅茶好きですよ
ビス,………そんな、出会ってまだ一ヶ月なんだからいきなり過ぎるわ。もっと段階を…ってダメよそんなところ………えっ？紅茶？
比叡,大丈夫ですか？
ビス,大丈夫。なんでもないわ。Admiralは紅茶が好きなのね？
比叡,ええ、お姉さまが淹れる本格的なものからリプトン、午後○ィー、ジャ○ティーまでなんでも飲みます。効き紅茶でお姉さまが淹れた紅茶を当てられます
ビス,そうなの？あなた随分詳しいのね
比叡,そっそんな事ないです。ただお姉さまを見ていると一緒に紅茶を飲んでる司令が目に入ってくるから知ってるだけで私はお姉さま一筋なんです。司令はお姉さまを巡る恋のライバルであって決して気になるとかそういうわけでは………
ビス,大丈夫？
比叡,ダメです司令、ダメですお姉さまが見てます………ハッ、なんですか？寝てません！寝てませんってば！
ビス,Oh、これはダメそうね………他へ行きましょうか
明石,いらっしゃいませ、明石の酒保へようこそ
ビス,明石。お酒ってどれくらい取り扱いがあるの？
明石,お酒ですか？ビスマルクさんの好きそうなビールならそれなりに揃えてますよ
ビス,Ah、ビールじゃなくて………。甘めのお酒とかはあるかしら
明石,うーんと、ビールや日本酒が皆さんに人気なのでカクテルやサワーはあまり扱ってないんですよねぇ………
ビス,そう………、あら、これは………“アイスティーサワー”？
明石,ああ、それは間違って仕入れちゃったんですけど売れないんですよね
ビス,アイスティー………これならAdmiralも一緒に飲んでくれるかしら………
明石,なにか言いました？
ビス,なっ、なんでもないわ！これ、1ケース頂くわね
明石,ありがとうございまーす。提督………ああいうお酒が好みなんだ………
ビス,あとは誘う理由よね………
Uー511,ビスマルク姉さん、お帰りなさい
ビス,ユー、先に戻ってたのね
U,何買ってきたの？
ビス,これ？これは………ちょっとね、お酒よ
U,ビールじゃなくて？
ビス,ええっと、ちょっとビール以外も飲んでみたくなってね。ユーも一本飲む？
U,うん、だんけ
ビス,私も一本飲んでみようかしら………
U,………………
ビス,………………これは
U,ちょっと良くないです………………
ビス,とてもじゃないけど紅茶とは呼べない味ね………
U,まだいっぱいあるね……
ビス,………今度ローマに分けてあげるわ。アレじゃダメだわ。もっと提督に楽しんでもらえるような味じゃないと
大淀,ビスマルクさん。どこへ行かれるんですか？
ビス,ちょっと明石の酒保にね
大淀,さっき明石さんの所から大きな段ボール持って出てきませんでした？
ビス,ああ、あれはつい勢いでね
大淀,どんな勢いですか
ビス,えーっと話すと長くなるんだけど………
大淀,なるほど、提督のために紅茶の味がするお酒を
ビス,でもアレはおいしくなくて
大淀,あ、私紅茶の味がするカクテルがあるって聞いたことがあります
ビス,ホント！？
大淀,ちょっと詳しい内容を通信室のコンピューターで調べてきますね。プリントアウトしてきました
ビス,Danke、大淀
大淀,どういたしまして。フフッ、頑張ってくださいね
明石,いらっしゃいませー。ってビスマルクさん。またですか
ビス,明石、このメモにあるお酒ってあるかしら？
明石,ハイ、すぐに用意しますね。これでメモにあるのは全部ですね
ビス,Danke、これでイケるわ
明石,ありがとうございました
U,ビスマルク姉さん。今度は何作ってるの？
ビス,今度のはちゃんと紅茶の味がするはずよ
U,……ん、っく。う……ん。さっきのよりおいしいよ
ビス,……うん。これなら提督にも納得してもらえるわ！
U,Admiralがどうしたの？
ビス,なんでもないわ。ほら、明日も朝から出撃なんでしょ？はやくねなさい
U,うん、GuteNacht.BisMorgen
提督,ふぅ、やっと長門の急用が片付いた…もう12時過ぎてるな…ビスマルクの約束もすっぽかしちゃったし、怒ってるかな
ビス,Admiral、まだ仕事してたのね
提督,ビスマルク。ごめんな急に出てっちゃって
ビス,Dasmachtnichts.それより、こんな時間までお疲れ様………これ、私が作ったんだけど
提督,これって、紅茶か？よく俺の好みを知ってたな
ビス,ビールが苦手って言っていたから皆に聞いて回ったのよ
提督,………ありがとうなビスマルク
ビス,Bitte.私の分も作ったのよね
提督,うん、レモンティーか………ﾋｯｸ、うん。美味い、ﾋｯｸ
ビス,ちゃんとレモンティーの味がするでしょ？このカクテ………
提督,………ｚｚｚ
ビス,あら、Admiral？。寝ちゃってる。疲れてたのかしら？
提督,ｚｚｚ
ビス,しょうがないわね…ﾋｯｸ、部屋まで運んであげるわ…ﾋｯｸ。はい、着いたわよ、ﾋｯｸ
提督,ウーン、………ﾑﾆｬﾑﾆｬ
ビス,………可愛い寝顔してるわ、ﾋｯｸ。私も眠くなっちゃった………
提督,うーん、朝か？………頭痛てぇ…
ビス,…ｚｚｚ
提督,………。なんでビスマルクが俺のベッドに？
ビス,うーーん、あら、制服のまま寝ちゃって………Admiral！？なんで？
提督,こっちのセリフだって！なんで俺の部屋に？
ビス,えーっと、昨日は………提督にアレを出して…
比叡,司令！おはようございます！今日もっ！気合ッ！入れて……
ビス,Admiral、昨日の良かったでしょ？
提督,ああ、うまかったな………あ、比叡…
比叡,ひえぇーー！失礼しましたっ！！
提督,あ、待て、比叡。絶対なんか誤解してるだろ！
大淀,………。上手く行ったみたいですね。ビスマルクさん
明石,提督、買ってくれるかなー？
リットリオ,ローマ？その缶いっぱい、どうしたんですか？
ローマ,ビスマルクが日本の“オスソワケ”だって
リットリオ,紅茶のお酒ですか？面白いですねー
ローマ,そうね、ドイツの艦にしては気が利いてますね。………これだからドイツの艦は…
