緻華(千歌),数取団突込総長やらしてもらってる緻華だけどよぉ…
渦灘,すごいよね、ちゃんと袖とか背中にメンバーエンブレム入ってるんだもん
紅玉,そう！それ頑張って刺繍したんだ～
マリー,Socool♪テンション上がっちゃうわね！
華魔留,…それにしても、金剛さんのは確かに応援団みたいずら
紅玉,あ～、それ実は…
妖,実際、金剛さんに関してはちょっと応援団をイメージして作ったんだ
金剛,確信犯だったんですの!?
一同,wwwwwww
渦灘,…始める前に、確認しときたいことがあるんだけどさ。あっちに畳がたくさん敷いてあるのは何？
華魔留,あ、それマルも気になってたずら
妖,本家だと、負けると相撲をやらされるから畳なんて使わないよね…？
渦灘,誰か、何か聞いてる？
一同,…………
渦灘,誰も知らないのか…
紅玉,とりあえず、このままやってみるしかなさそうだね
マリー,やってみてのお楽しみってことね！Exciting♪
緻華,それじゃあみんな！私たちの数取、始めるよ夜露死苦ぅ!!。みんなどんどんブッ込んでいくよ！夜露死苦ぅ!!。せーの！
一同,ぶんぶんぶぶぶん！
緻華,スクールアイドル！
哩虎,1組！。持ち歌！
渦灘,2曲♪。ライブ！
金剛,3公演！。セットリスト！
妖,4公演分！。ライブ衣装！
夜紫乎,5着！。PV！
華魔留,6本♪。パンフレット！
マリー,7冊♪。サイリウム！
紅玉,8本！。Blu-rayDisc!
緻華,9枚！。ようりこSS
哩虎,じゅ……はい!?///
緻華,イェーイ！大成功♪
哩虎,何よそのブッ込み方ー!?///
？？(覆面&柔道着),…………
？(覆面審判),…………
夜紫乎,道着の人…あ、柔道!?
渦灘,それで畳だったのか…まあ確かに相撲やるのは無理があるっちゃあるけどなんで柔道…
哩虎,やれってことね…はぁあああ!!
？？,！
哩虎,っ!?
？？,はっ！
哩虎,きゃああああ!?
？,一本！
妖,うわぁ!?
金剛,見事な背負い投げ…！
？？,…………
？,…………
哩虎,いたたたた…
紅玉,哩虎ちゃん大丈夫…？
哩虎,うん、ひとまずは…それより。さっきの道着の人…もしかしてμ'sの海未さん？
マリー,Oh!?やっぱり哩虎もそう見えたのね！
渦灘,！……じゃあ、審判の人ももしかして？
華魔留,…多分、凛さんずら
緻華,うわー！μ'sと共演なんて奇跡だよー!!
哩虎,いや何もこんな形で共演することないじゃない!?
妖,あはは……
哩虎,で、確認だけど…SSって10作？
緻華,うん！私はそのつもりで出したよ
華魔留,あとは、小説なんかと同列で考えるなら10篇なんかもアリずら
緻華,でも惜しいなぁ…哩虎ちゃんがちゃんと答えてたら、○○SSつながりでみんなの好きな組み合わせ聞けたかもしれないのに
金剛,数取を勝手に推しCP暴露大会にしないでいただけませんこと!?
哩虎,いたた…海未さんの背負い投げけっこう痛いのでみんな覚悟夜露死苦!!。もう負けないようにバシッとブッ込んでいくから夜露死苦ぅ!!。せーの！
一同,ぶんぶんぶぶぶん！
哩虎,…ようちかSS
渦灘,1作。…ダイまりSS
金剛,2作！。…かなまりSS
妖,3作！。ちかりこSS！
夜紫乎,4作！。…ルビまるSS
華魔留,5作。よしルビSS！
マリー,6作♪。ダイかなSS！
紅玉,7作！。よしまるSS！
緻華,8作！。ハートのA(エース)！
哩虎,9…枚！。ハートのA！
渦灘,10枚！。ハートのA！
金剛,11枚！。ハートのエースが出てこない！
妖,っ…オリコン12位！。ダイヤのA！
夜紫乎,13巻！
妖,!?ぶんぶん！ぶんぶん！
夜紫乎,……へ？
金剛,静粛に！審議を行いますわ！。順を追って確認致しましょう…まず緻華さんのハートのAに、哩虎さんは9枚と答えましたわね？
哩虎,はい…トランプのカードだから枚よね、緻華ちゃん？
緻華,うん、うまくいくかと思ったけどかわされちゃったよ…
金剛,とすると、同じくトランプのカードの一種である妖さんのダイヤのAも13枚となるはずですわね
夜紫乎,待って！私が思ったダイヤのAはトランプじゃなくて、野球漫画の方！
渦灘,あー！え、でもさすがにそれは無理があるんじゃ…
妖,私も単にマークを変えただけで、トランプのつもりで出したよ…？
夜紫乎,いやいや！だって作品名でブッ込んでくる流れは金剛のハートのエースが出てこないからあったじゃない!?
紅玉,言われてみれば…一理あるかも…？
マリー,確かに…それに、スポーツに詳しそうな妖が相手ならエースに絡めたブッ込みを警戒するのも分かるわね
金剛,……協議致しましょう。華魔留さん、こちらへ
華魔留,はいずら！
金剛,…………
華魔留,…………
金剛,……そうですわね、私も同意見ですわ
華魔留,じゃあ、それでいくずら！
ようよし,！！
金剛,ではみなさん…協議の結果をお知らせ致します。先ほどのゲームにおいて、妖さんの出題ダイヤのAは…
ようよし,…………
金剛,漫画のタイトルだと直ちに判断するのは文脈上不自然だと見なし、13枚を正解と致します！
妖,よおおおおし!!
夜紫乎,だああああああ!?
海未(覆面),…………
凛(覆面),…………
夜紫乎,あーもうやればいいんでしょ!?。堕天の魔力を思い知りなさい…秘技！堕天流鳳凰縛!!
海未,……
夜紫乎,なっ!?
紅玉,軽々とかわした…！
海未,はっ！
夜紫乎,きゃぁ!?
凛,抑え込み！
哩虎,寝技!?
夜紫乎,ぐぬぬぬぬ…！
海未,…………
凛,……一本！
夜紫乎,だああああああああ!!
海未,…………
凛,…………
夜紫乎,はぁ……はぁ……
華魔留,夜紫乎ちゃん…息切れしてるけど微動だにしてなかったずら
夜紫乎,うっさいわ!!
緻華,完膚なきまでにやられてたね…
夜紫乎,何が腹立つって…海未さんも凛さんも、去り際に耳元でボソッとおはよしこって
一同,wwwwwwwww
夜紫乎,だからヨハネだっつってんでしょうがああああ!!
金剛,次のゲームを始める前に…お伝えすることがありますわ。先ほど華魔留さんとの協議の際、新たにルールを設けることで合意致しました。先ほどのダイヤのAのように、複数の意味に解釈され得る出題に関して…。今後、解答者側がお題の意味を直ちに一意に絞ることができるよう、出題の仕方を工夫する義務を出題者に課すことと致します
緻華,えっと…どういうこと？
華魔留,例えばダイヤだけだと、宝石のダイヤのことなのか金剛さんのことなのか分からないからNGで…。ダイヤモンド黒澤ダイヤダイヤさんみたいに、どれを指すのかはっきり分かる表現に直してもらうずら。さっきのダイヤのAなら、ピッチャーの投げ真似やトランプを広げるジェスチャーをつけて区別すればOK。あ、野球のピッチャーと飲み物を注ぐピッチャーはイントネーションで判別できるからそのままで大丈夫ずら！
妖,ふむふむ…
金剛,これらの工夫を怠った為に解答が詰まるなどして、ゲームの進行が止まってしまった場合…。出題者側をアウトと判定することがありますので、以後ご注意ください
一同,はーい！
夜紫乎,じゃあ…ちゃんと分かるように出題していくんで夜露死苦っ!!。とっておきの堕天流ブッ込みかましてやるわよ夜露死苦っ!!。あと海未さん凛さん、私はヨハネ！夜露死苦っ!!。せーの！
一同,ぶんぶんぶぶぶん！
夜紫乎,ハートのA！(ﾄﾗﾝﾌﾟｼﾞｪｽﾁｬ-)
華魔留,1枚！。ハートの磁石♪(みら僕振付)
マリー,2個！。ハートの磁石♪(振付)
紅玉,3個！。ハートの磁石♪(振付)
緻華,4個！。ダイヤモンド！
哩虎,5カラット！。タイヤ！
渦灘,6本♪。たい焼き！
金剛,7個！
渦灘,っ！ぶんぶん！ぶんぶん！
金剛,……は？
渦灘,ちょっと金剛～、たい焼きは個じゃなくて匹でしょ！
金剛,匹…!?いやいや！おかしいですわ！
妖,まあ、個でも間違ってはいないけど…
哩虎,本家の数取団だと、よりお題に特有の単位じゃないとダメなのよね？
マリー,ワインだと○本じゃなくて○年物、とかね！
金剛,いやいや！だとしても匹は原則的に動物に用いる単位でしょう、お菓子であるたい焼きには不適切ですわ！
紅玉,うーん、確かに人形焼も人の形だからって人じゃないもんね
渦灘,そりゃそうだけど、あくまで原則的にでしょ！無生物でも生物っぽい特徴があれば匹になるはずだよ！
緻華,あー、そう言えばドラえもんやAIBOもロボットだけど匹を使うっけ…
金剛,むぐ……ややこしいですわね……
夜紫乎,数取部長の金剛が当事者となると…判定権限があるのは副部長のずら魔留？
華魔留,では…僭越ながらマルが判定させてもらうずら
ダイかな,…………！
華魔留,たい焼きの単位は…………。匹ずら！
渦灘,よおおおおおおしっ!!
金剛,なああああああああ!?
(※どちらが正しいのかはっきりと断定できるだけの文献が見当たらない為、今回は華魔留ちゃんの独断で,匹
海未(覆面),…………
凛(覆面),…………
金剛,くっ…受けて立ちますわ！
凛,！
金剛,……っ？
海未,…………
妖,あれ…？海未さん戻っていっちゃった
金剛,ほう…今回は凛さんが相手ですのね？ならb
？,！
金剛,!?
哩虎,背後からもう一人!?
？,…………
金剛,ピギャアアアアアアアアアア!?
一同,!?
凛,一本！
金剛,何がですの!?
2人,…………
一同,
金剛,はぁ…はぁ…何故希さんまでいらしてるんですの!?
華魔留,lilywhite揃い踏み…まさかすぎる展開ずら……
マリー,でも、金剛は私がやってるやつで免疫ついてるからNoproblemね♪
金剛,お黙らっしゃい!?
緻華,でも…これで海未さんと希さんのどっちが来るか分からない恐怖感がプラスってことだよね
紅玉,うぅ…回を追うごとにどんどんキツくなってる気がするよぉ
夜紫乎,……にしてもリリホワ、他にもうちょっと選ぶ仕事なかったのかしら
金剛,……脅威が増えていよいよ負けられない分、もう容赦はしませんわよ夜露死苦っ!!。数取部長の真髄、とくとご覧いただきますわよ夜露死苦っ!!。しばらくたい焼きは食べませんわ夜露死苦っ!!。せーの！
一同,ぶんぶんぶぶぶん！
金剛,スクフェス！
妖,Rank1！。スクフェス！
夜紫乎,Rank2！。クレーンゲーム！
華魔留,3手！。メガジャンボ寝そべりぬいぐるみ！
マリー,4体！。MEGAJUMBO寝そべりぬいぐるみ！
紅玉,5体！。メガジャンボ寝そべりぬいぐるみ！
緻華,6体！。メガジャンボ寝そべりぬいぐるみ！
哩虎,7体！。メガジャンボ寝そべりぬいぐるみ！
渦灘,8体！。メガジャンボ寝そべりぬぃっ…ぐるみ！
金剛,9体！。メガジャンボ寝そべりぬいぐるみ！
妖,10体！。メガジャンボ寝そべりぬいぐるみ！
夜紫乎,11体！。メガジャンボ寝そべりぬいぐるみ！
華魔留,12体！。ぷよぷよ！
マリー,13連鎖♪。ぷよぷよ！
紅玉,14連鎖！。音頭♪(ぴっかぴか音頭の振付)
緻華,15曲！。音頭♪(振付)
哩虎,16曲！。音波！
渦灘,17…Hz(ヘルツ)！。音波！
金剛,18Hz！。超音波！
妖,19MHz(メガヘルツ)♪。超音波！
夜紫乎,20MHz！。チョッパー！
華魔留,21……発!?
一同,ぶんぶん！ぶんぶん！
華魔留,ずらああああ!?チョッパーって何ずら!?
夜紫乎,ずら魔留……あんだけ本屋行ってればあんたもさすがにONEPIECEぐらいは知ってるでしょうよ
華魔留,……あ！あの帽子かぶったトナカイさんのこと!?
マリー,Yes！トナカイだから21頭ね♪
金剛,他にも、トナカイや鹿のようにひづめを持つ動物は蹄(てい)で数えることもありますわ
緻華,へぇ～…！
華魔留,……一言だけ言わせてほしいずら。このゲームで間違えて罰ゲームやるのは…。嫌いずら～！
夜紫乎,未来ずら～みたいに言うな!!
一同,wwwwwww
リリホワ(覆面),…………
妖,うわうわ!?最初から3人で来たよ!?
海未,…………
華魔留,…柔道ずら!?
海未,……！
華魔留,ふぐぐ…！
哩虎,持ち堪えてる！いい勝負じゃない!?
紅玉,華魔留ちゃん頑張ルビィー!!
海未,…………
華魔留,ぐぐぐぐ…！
希,♪
華魔留,
希,♪～
華魔留,ずらああああああああああ!?
渦灘,強制執行!?
凛,一本！
金剛,だから何がですの!?
凛,…………
リリホワ,…………
華魔留,ずらぁ……
夜紫乎,…えっろ
華魔留,うるさいずらああああ!!
一同,wwwwwww
妖,しかし…みんなバンバンブッ込んだのに、20ってけっこう続いたね？
金剛,本当ですわ…Rank、連鎖、Hz、MHzとファインプレーのオンパレードでしたわね
華魔留,セガスタッフイメージガールとしてぷよぷよで決めるつもりでいたのに…
マリー,順番的にSEGA系のお題は予測できたから予習済みデース♪
緻華,…そう言えば華魔留ちゃんの肩、去り際に凛さんが封筒を貼っていったね？
華魔留,え？…あ、本当ずら
紅玉,…スクフェスのR封筒だね
華魔留,何だろう…開けてみるずら
哩虎,手紙…？何て書いてある？
華魔留,えっと…SEGA以外のアニメやゲームも知っておいた方が生き残るのには便利にゃ！by凛
渦灘,アドバイス生々しいね!?
一同,wwwwwwww
華魔留,…とりあえず今度ONEPIECE探してくるずら
夜紫乎,87巻まであるわよ!?
