彼女の身体で膨れ上がる布団に小声で,行ってきます
イヴ,Ｐさん……私、実は……サンタじゃないんです
P,…………。……はい？
イヴ,いえ、サンタではあるんですけど、厳密にはまだ半人前のサンタなんです
P,……はぁ
イヴ,えーっと。サンタクロースになるには、幾つか条件がありまして……私はまだそれを全部は満たしていなかったんですよ～
P,う、うん
イヴ,一応、長老の直系ってことで、特例として正式なサンタライセンスは持っていましたが～。やはり業界では半人前扱いですね～
P,ら、ライセンスって……
イヴ,ちなみに、こういった一族直系のサンタクロースを、真血、もしくは純粋種っていいます～
P,強そう
イヴ,けど～。今日、Ｐさんにこの指輪を貰ったことで～、条件の一つはクリアしました～
P,ほ、ほう？
イヴ,ぶっちゃけ～。既婚者じゃないとダメなんですよ～、サンタクロース
P,ま、マジでか……
イヴ,はい～。だからそういう意味でもＰさんには、とても感謝してます～
P,そ、それは良かった？いや、まぁ、正式にはまだ結婚してないけどね……。うん。ど、どういたしまして？
イヴ,それで～、Ｐさんはこの指輪を渡す時、誕生日おめでとう、って言ってくれたじゃないですか～？
P,うん……言ったよ？
イヴ,私～、誕生日プレゼントの他に、クリスマスプレゼントも欲しいです～
P,へっ！？
イヴ,誕生日とクリスマスが一緒だからって、まとめちゃうのはズルいと思うんですよ～。も
P,も？
イヴ,もう一つの……サンタクロースの資格に必要な……ものを……私に……く、下……さい……。はい～。Ｐさんにも出来ること～。むしろＰさんにしか出来ないことですよ～。怖くないです～。怖くない。大丈夫です～。天井のシミを数えてる内に終わりますから～
P,えっ？何それ？何それ？なんか嫌な予感が……
イヴ,Ｐさん……
P,い、イヴ？イヴさん！？ちょっ、何をっ！？
イヴ,Ｐさんは……ど、どっちがいいですか～？
P,な、なにがっ！？
イヴ,そ、それも両方……欲しいです……か？
P,だから……なんの話っ！？
イヴ,Ｐ……さん……
P,ちょ、まっ……んむっ！？
佐久間まゆ,ふぅ、やっとＰさんのお家に着きましたぁ
五十嵐響子,何度もお巡りさんに止められたせいで時間が掛かっちゃいましたねー
首藤葵,まぁ、運転手が運転手やし、仕方ないっちゃ
若葉,むー。仕方なくないですよ～！しかも他の子のぶん、まだ何往復かしなきゃダメですし～
薫,お巡りさん達、みんな真っ青だったねー！
仁奈,すげー、震えてやがりました！
浅利七海,れすー！
まゆ,……あら？
ブリッツェン,…………
若葉,どうしたんでしょうか～？中に入らないのかな？
仁奈,どうしたんでごぜーますかー？
薫,寒くないのー？
ブリッツェン,…………。ブルルルッ
薫,頭ふってるー！
まゆ,……ここを退きたくない……ってことでしょうか？困りましたね……
葵,りょ、料理を持ってる手が痺れてきたっちゃ……
仁奈,うー？どうしたでごぜーますかー？お腹痛いんでごぜーますかー？
ブリッツェン,…………。……ブヒュルル
仁奈,う？それはどういう意味でごぜーますか？
ブリッツェン,……フルルル
仁奈,ふんふん……
響子,仁奈ちゃん……会話してる？
薫,仁奈ちゃんはよくブリッツェンさんやアッキーやペロとお話ししてるよー？
まゆ,言葉が分かるんでしょうか……もしそうだとしたら、すごいですねぇ
仁奈,ふんふん……
まゆ・響子,…………
若葉,妹？弟？なんの話ですか～？
薫,ブリッツェンさん、なんて言ってるのー？
仁奈,よく分からねーですが、もし兄弟が生まれるとしら、男の子と女の子どっちが……。！？ブリッツェンの毛が急に逆立ちやがりました！
ブリッツェン,…………！！
まゆ,……うふふ
響子,……あ、まゆさん。私の……愛用のこれも使って下さい……
まゆ,…………
葵,口に一本、両手に三本ずつの包丁……こ、これがあの有名な、まゆさんの戦闘態勢！
七海,佐久間まゆ、セブンスソードれすー！
若葉,ええっ！？
まゆ,……まだです
響子,えっ！？
まゆ,…………
七海・葵,！！
七海,これを～。七海の愛用の包丁れす～
葵,あ、あたしのもー！
まゆ,…………
響子,こ、これは！
葵,衣装のフリルにも刃を仕込んだ全身凶器！
七海,佐久間まゆ、フルセイバーれすーっ！
若葉,な、なんでやねんっ！！
薫,わっ！？
仁奈,若葉おねーさんが関西弁でツッコンだでごぜーます！
若葉,だ、だって～。他にいないから～
まゆ,さぁ、ブリッツェン……いえ、まゆの恋路を邪魔する悪いトナカイさん？
ブリッツェン,…………
まゆ,そこを退かなければ……まゆが実力で……排除しますよぉ……
ブリッツェン,…………
薫,ブリッツェンさんが……立った！
葵,二本脚で立っとるっちゃよ！？
仁奈,チョッ◯ーみてーです
まゆ,なるほど、あくまで退くつもりはない。正面から受けて立つ……と
ブリッツェン,…………
響子,こ、これは……一体どっちが勝つか、まったく分からないっ……！
葵,そう……これが……！
響子,プロダクションの存亡をかけた……！
葵・響子,対話の始まりっ！！
七海,なんなんれすかねー。このノリは……
若葉,ああっ！？七海ちゃんが急速にさめて無責任なことをっ！？
まゆ,佐久間まゆ、悪いトナカイを……駆逐します！
仁奈,対話じゃなかったんでごぜーますかっ！？
ブリッツェン,…………！！
