若林智香,あっ！おはようございますプロデューサーさん！
モバP,そのへんは我慢してください・・・。あれ、なんかこの一角だけ栄養ドリンクばっかりだ・・・
楓,あとプロデューサーさんのスーツ、よく似合っていますよ
モバP,おっ、そうですか！いやー、僕も変に背伸びするのは財布にも自分にもよくないと思いまして
楓,素敵ですよ、似合っている、というか似ているというか・・・
モバP,(レッスンルームを覗くと、やはり今日も朝練に励むアイドルたちがいた)。(今日レッスンしているのはガールズパワーの三人)
モバ,(バランスボールを二つ重ねた上で片足立ちをしている。大した女子力だ)
ちひろ,おはようございます！プロデューサーさん！
モバP,おはようございます。どうですか今日の僕？
ちひろ,どう、といいますと？
モバP,僕が着ても違和感が無いというか、分相応な感じがしません？
ちひろ,相応、というか似合っているというか・・・似ていますね？
モバP,そうでしょ、スーツからメガネまで全身ぴにゃこら太ですよ
ちひろ,どうしてそんなファッキン・・・じゃなくてファッションに着地したんですか？
モバP,自分のレベルに見合った服装ですよ。僕ってぴにゃこら太に似てるってよく言われるんで
ちひろ,そうですか・・・ものすごい黄緑色・・・
モバP,お互い様ですよ。ところでガチャ引かせてください
ちひろ,ダメです
モバP,ﾋﾟﾆｬｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱｱ!!!!!。そっくりだって言うんだもん・・・穂乃香がバッチリだって言うんだもん・・・
亜子,春菜ちゃんとあいさんと時子サンに頼るって言ってなかった？
モバP,時子さんには拒否されたんだ・・・だから次善の策として・・・
亜子,次善・・・？次善・・・？
モバP,最初は靴だけだったんだ。ぴにゃ風革靴だったんだけど・・・
亜子,やけど・・・？
モバP,靴だけだと調和が取れないからって春菜がメガネをぴにゃデザインに・・・
亜子,ガンの転移か。というかその靴スニーカーかと思ったら、ちゃんとした革靴やんけ
モバP,これでもビジネスマン向けのぴにゃデザインらしいからな。丈夫にできてるよ
亜子,ビジネスマンは履かんやろうな・・・
モバP,ぴにゃあ・・・
亜子,どうすんの？どうすんの？
モバP,どうしよう？どうしよう？
亜子,なんで服装すらちゃんと出来んのや・・・芸能界ってまず見た目やないの・・・？
モバP,見た目に金を使ってる暇があったらガチャに金を使いたい。というか使っている
亜子,そんなアホがいるから規制が厳しくなってるんやで？
モバP,最低限は気を遣ってるって、僕だって街を歩いているだけで犯罪者予備軍と呼ばれるような油ギッシュな方みたいにはなりたくないからな
亜子,それは本当に最低限やないかい！
モバP,でもあれだよね、犯罪者予備軍って職質はされても逮捕されたってニュースは滅多にないよね
亜子,うん？いや、だからこそ偶にオタクの犯罪ってお祭り騒ぎになるんちゃう？
モバP,前科者ってオタク系よりチンピラとかオラオラ系の方が多いよね、なんで彼らは予備軍呼ばわりされないの？
亜子,それがメディアマジックやで・・・・・・この話はもうやめーや
モバP,そもそも車やブランド品にアホほど金を突っ込むのはありで、ガチャはなしなのはなんでなのなのなの・・・
亜子,そのへんの会社はメディアにとって大手のスポンサーやからやない？。もうあれや、男は中身やで！見た目は普通でいいから仕事で成果だしてこ！
モバP,僕はすでに頑張ってるのに・・・ガチャを引く余裕だってあるはずだ
亜子,アイスの蓋で捻出されたもんを余裕とは言わんやろ
モバP,でも僕はアイドルとちひろさんの次くらいには出勤して真面目アピールしてるんだけど
亜子,アピールだけじゃなくて成果をだしいや。社会人なら
モバP,甘いな亜子。最近は定時までに効率よく仕事を片すより、汗水たらして残業している方が同じ仕事量でも評価が高いんだぞ
亜子,そんな株式会社は暴落してまえ
モバP,そもそも暴落以前に高騰しないがな。はっは
亜子,やかましいわ・・・・・・よし分かった。こうなったら真面目に働こう。バリバリ働いてガチャの誘惑に溺れないデキる男の姿を見せつけるんや
モバP,わかってくれたか、作業効率より作業風景を重視する現代人のトレンドが
亜子,腐れ
モバP,亜子、これ1万円札ね・・・それと
亜子,今日はストロー持ってきてるで
モバP,ありがとう・・・500円で買わせてもらうよ
亜子,毎度
モバP,さてとストローを右の鼻の穴に入れて、一気に吸い込
智香,おっっはよーうございまーーーすっ！！！
モバP,・・・・・・・・・おはよう。今日はアンスコじゃなくてスパッツなんだな
智香,防寒対策ですっ！！！それとどこ見てるんですか！！
モバP,いや、仕事が忙しくてね・・・手元ばかり見下ろしていた時につい・・・
智香,確かに見るからに忙しそうですねっ！でも転ばないように気をつけてください！！
モバP,おう・・・気づいたんだけど智香の足元だけめちゃくちゃ雪解けしてるんだな
智香,ヒートアップしちゃいました！！
モバP,クールダウンしたら社内に入るんだぞ
楓,・・・おはよう、ございます？
モバP,・・・・・・おはようございます
楓,忙しそうですね・・・？
モバP,ええ、業務は溜まっていますし、こうして通勤時間も業務の一部ですよ、はっはっは
楓,いつも私たちのためにありがとうございます
モバP,社会人としての義務ですよ、義務
楓,あと、どうせならこの自販機にお酒を追加してくれたりなんかするともっと私のためにな
モバP,おっと仕事が忙しいので失礼。(レッスンルームではフリルドスクエアがレッスンをしていた)。(四つ重ねたバランスボールのそれぞれの隙間にメンバーが一人ずつ挟まっていた)。(大したバランス感覚だ、見た目は変なサンドイッチのようだが)
ちひろ,おはようございます！きょうは普通のスーツで良かったです
モバP,ええはい、一応まともな値段で買い取ってもらえたので
ちひろ,ふふ、そうでしたね。ところでどうしてタブレットを？
モバP,ふふふ、歩いている間も仕事を続けるためですよ
ちひろ,仕事？昨日の定時までに終わらせたんじゃなかったんですか？
モバP,その後持ち帰った分ですよ。仕事はたくさんするに限りますからね
ちひろ,だからずっとタブレットをタプタプしてるんですか。こっちも見ずに
モバP,ええ、家からここまでずっと歩きながらタブレット内で処理できる業務を処理してきました
ちひろ,歩きスマホですか、そうですか・・・
モバP,僕は24時間アイドルのことを考えてますからね
ちひろ,守秘義務って知ってます？
モバP,はっはっは、もちろんですよ。ところでガチャを引いてもいいですか？
ちひろ,ダメです
モバP,ｼﾞｮﾌﾞｽﾞｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳｳ!!!!!!
亜子,歩きスマホって、会社によってはめちゃくちゃ悪評につながるって知っとる？
モバP,スマホじゃないもん！タブレットだもん！そう！アイフォンならね！！
亜子,スマホやないか、それを言うならアイパッドや
モバP,私生活まで仕事に捧げている姿をアピールしてたのに！！
亜子,会社の資料持ち出して、とっくに免職沙汰なんやけどなぁ・・・
モバP,アイパッド取り上げられたしぃいい！！！ウイルスチェックとかでええええええ！！！
亜子,今やPちゃんが会社のウイルスまであるで
モバP,文香だって歩き読書が癖でよく駅の階段から転げ落ちるって言ってたのにそっちはいいのかよ！！
亜子,よくないで！！？？
モバP,でもあれだ、歩きスマホが良くなかっただけで、仕事に真面目に取り組むってのはいいかも知れない
亜子,ほうほう、根拠は？
モバP,ちひろさんの態度が今までより若干、柔らかかったかな
亜子,そうなんか？
モバP,おう、あんまりこっちを馬鹿にしている感じじゃなかった。なんか道に落ちてる軍手を見てる感じ
亜子,ゴミ扱いやないか。仕事を社外に持ち出しまでして、いよいよガチャどころやないで
モバP,くそう、そっか、最近は情報漏洩に厳しいもんな
亜子,10年前からそうやけど？
モバP,分相応な格好をして
亜子,はい
モバP,真面目に効率よく仕事をして
亜子,はぁい
モバP,社外秘の情報が漏れないようにする
亜子,ええ・・・まぁ・・・うん
モバP,よし、閃いた。ちょっとイメチェンしてくる！
亜子,はぁい！？
モバP,じゃあ行く前にストロー！
亜子,一本千円な
モバP,サンクス！！
亜子,毎度
モバP,机にこすりつけて削ったスタージュエル・・・。七色に輝く削り粉を机の上に一列に並べる・・・。あとは鼻に挿したストローの先っぽを・・・。鼻息で粉が飛び散らないように近づけて・・・。一気に吸い上げる！！！！！！。ご、ごしょくのにじいろ・・・・・・。あぶぶぶぶぶぶぶぶぶぶぶぶぶぶぶぶ
亜子,・・・・・・。しっかし、何度見ても・・・見てられん趣味やなぁ・・・
智香,あれ、プロデューサーさん！今日はメタリックですね！
楓,プロデューサーさんいつからロボットになったんですか？
モバP,(レッスンルームデハ、ニュージェネレーションガレッスンヲシテイタ)
ちひろ,・・・ロボコップそっくりですね
モバP,脳ヲ高度ナPCに改造シ、脳内デ業務ノ処理ヲ行ッテイマス。ガチャ、ヒイテモイイデスカ？
ちひろ,ダメです
モバP,理解不能理解不能理解不能!!!!!!
智香,あれ、プロデューサーさん！今日はアルカイックですね！
楓,プロデューサーさんいつから仏様になったんですか？
モバP,(修練場には愛すべき偶像たちが調律玉の上にて修練に耽っていた)
ちひろ,・・・千手観音そっくりですね
モバP,数多の業をこの手で担うべく悟りを開いたのです。ガラガポン、一つ引かせて頂いても宜しいか？
ちひろ,ダメです
モバP,南無阿弥陀仏南無阿弥陀仏！！！
智香,あれ、プロデューサーさん！今日はイデアですね！
楓,プロデューサーさんいつから概念になったんですか？
モバP,(ガチャをレッスン場でガチャをアイドルがガチャをバランスボールでガチャ)
ちひろ,・・・概念そのものですね。ダメです
モバP,きえゆく
亜子,・・・・・・・・・。・・・・・・・・・。・・・・・・・・・。・・・・・・・・・。毎日毎日スタージュエル吸引しとるけど・・・。・・・そろそろ手持ちの分は切らしそうやし・・・。そしたら・・・ガチャも引かせてくれるんちゃう？
ちひろ,私もいらない衣類を買い取るのは面倒ですしその方がいいですね
亜子,あれってちひろさんやったん！！？
