村上銀蔵,３７
秘書,兵庫製鋼のデータ改ざんによる、今回の投資の損失は思った以上に深刻です……！！
村上,分かっているさ！！だがな……、俺は投資では今までトータルで勝ってきたんだ！！。宮沢社長……。よろしかったら……、私に資金を預けてみませんか！？。相変わらず、今の俺は火の車……。新規の顧客を獲得し……、その金で前の顧客の配当金を払うことができた。久しぶりですね、喪黒さん。こうやって事務所を持つことができたのも、あなたのおかげ……
喪黒,ねぇ、村上さん。個人投資家としてささやかな利益に満足する生活を続けていれば、よかったでしょうに……
村上,私にも欲があります！！投資で儲けまくり、知識も豊富になったからこそ、プロのディーラーになれたんですよ！！
喪黒,確かにあの眼帯は……。生活に困らない程度のお金に恵まれる効果がありますし、勘が鋭くなる効果もあります
村上,でも、私はプロのディーラーとして勝ってきたし、今も儲けていますから……！！
喪黒,村上銀蔵さん……。どうやらあなた、私との約束を破ったようですね！
村上,なっ……！？
喪黒,私は忠告したはずです。自分や他人に嘘をつくような生き方をしてはいけない……と
村上,仕方ないでしょう！！まさか、兵庫製鋼がデータを改ざんしているなんて夢にも思いませんよ！！
喪黒,それだけではありません。今のあなたは、配当金を払うあてがないまま新規の顧客を獲得しようとしましたね！！
村上,あ……、後で資金運用で利益を上げれば乗り切れますから……！！何とかなりますって！！
喪黒,そうですか……。あくまでも自分の嘘をこのまま貫き通すおつもりですか……。ドーーーーーーーーーーーーン！！！
村上,ギャアアアアアアアアアアアア！！！
秘書,た、大変です……！！米中の貿易摩擦の影響で……、ニューヨークの株式市場が……！！
村上,お……、おしまいだ！！事務所の運用資金も……、俺の全財産も……、何もかもがカラッケツになってしまった！！
男たちの声,よぉ、村上さん！？たいそう困っているようだなぁ！？
ヤクザA,なぁ村上さん……。確かあんた……、うちの組の資金も運用していたんだよなぁ……
ヤクザB,村上さん……。ちょっと組の事務所まで一緒に来て貰おうか……。なぁに……、いろいろ話が聞きたいからよぉ！！
喪黒,私たちは市場経済のもとで暮らしていますし、株式市場なくして市場経済は成り立たないものです
