ミリP,以外P
P,人数多いし、このほうが臨場感ありますからね。──あ。始まりますよ
静香,この身──
このみ,あ……♥。だめっ！声出しちゃ──！
静香,果てても──
このみ,ふぅぅぅぅぅぅんんっっっ♥♥♥
P,盛大に果てたな。よし。もう一回最初からだ
Faチーム,はい！
このみ,くぅ……💕。だ、だめ……！隣にPが居るのに！みんなが真剣に練習してるのに──！。はぁぁああぁああああん💕💕💕
P,エロい……。よし、今日は解散！
Faチーム,お疲れ様でした！
P,どうでした、このみさん？
このみ,。あへ……うぅん♡良かったぁぁんんん♡じゃ……ない……かしらぁ……♡
P,……調子に乗りすぎたかな
このみ,え？
P,ああいえっ、なんでもないです！。ボタンOFFにしとこ
このみ,はぁ……はぁ……
P,このみさん、やっぱり体調悪かったんじゃあ。無理しないでくださいね
このみ,あんたが無理矢理連れて来たんでしょうがああああああ！！。──と怒る気力もないわ。早く帰って休みましょ
P,送りますよ
このみ,いい、いい！大丈夫だから！もう無理！やめて！
P,そ、そうですか。ボタンOFFにしたから、もう大丈夫だけど
このみ,それじゃあ、お疲れ様
P,はい。お疲れ様です
このみ,Pから離れたら症状が出なくなったわ。本当にPの近くに居たからなのかしら。どうしよう。病院行ったほうが良いわよね。でも正直に話しても対応してくれるかしら。というか正直に話せるかしら、私。Pがそばにいると突然果ててしまいます。……とんだド変態だわ。Pがそばにいると……か。私、そんなにPのこと好きなのかな。……一人じゃ嫌だな。一緒がいいな……。って、なに考えてんのよ私ってば！。う～～～～～～！。もういやーーーーーー！
P,このみさん辛そうだったな。ちょっと罪悪感。FairyTaleじゃいられないのイベント期間中じゃなくて良かった。イベント期間中だったらどうなってたんだろう？。……。……。ぐへ。青葉さん。ミリシタでFairyTaleじゃいられないのイベントをもう一度やりませんか？
美咲,え？どうしてですか？
P,新規増えたし、あのイベント好評だったし、ユーザーも喜ぶかなって
美咲,でもあのとき頑張ったユーザーさんに悪いですよ
P,ぐっ、正論。──よし。ここは春香直伝のいいからいいから作戦でいこう
美咲,それにイベント復活なんてしたら、他のイベントも復活しないといけなくなっちゃいますよ。今後のイベントも控えてるし、ユーザーさんも新しいイベントのほうが喜んでくれると思いますけど
P,いいからいいから
美咲,いや、いいからって
P,いいからいいから
美咲,
P,いいからいいから
このみ,おはようございまーす。あれ依頼なにもなかったけど、いったいなんだったのかしら
P,お、きたきた。おはようございます、このみさん。ポチッとな
このみ,……
P,あれ？
このみ,あああ……。あああああああああああああああああああああああああああああああああああ！！！！！！
P,！！？
このみ,はあへぁへぁああああ♥♥ひぃぃぃぐぅぅううううぅぅぅうう♥♥♥。りゃめぇ💕果てちゃ──ううううううう💕💕
P,おお……！
このみ,だめ……また来る❤❤すぐくりゅ❤❤❤来ちゃ……来ちゃうううううううう❤❤❤❤❤
P,このみさん
このみ,見にゃいれぇぇぇ！！果てちゃうのぉ♡♡すぐ♡いっぱいぃぃぃ♡♡♡はぁぁぁまたくりゆ♡♡♡♡来る来る来る……♡♡来たああああ♡♡♡♡♡♡。止まりゃない💞💞果てりゅの止まりゃないのぉぉぉ♥♥♥。はぁぁぁぁ──また来たああああああ♥💚💙💛💜
P,ハートのカラーバリエーション凄いな
このみ,んっ♥んっ♥んっ♥んっ♥んっ♥。おごっ♥おごっ♥おごっ♥。はぁっん♥はっ♥はっ♥はっ♥
P,繋がらない携帯のコールを待ってても、胸がチクチク痛む～
このみ,はっ♥はっ♥。あっ♥あっ♥あっ♥あっ♥あっ♥。あっ……♥はっ……♥はぁっ……ん♥。あっあっあっあっあっあっ♥♥♥♥♥♥。ぷろりゅーしゃ……ぁぁん♥はぁ……たしゅけて！死んじゃ、死んじゃう……ぅぅぅんんん♥♥。死んじゃ……ははぁぁぁあああああああああああああああああああああああ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥。────────────
P,このみさん！！？
このみ,
P,やばい！救急車ー！！。やりすぎた！
このみ,あ……あ……♥
P,俺がボタンをOFFにするまで、このみさんは気絶したまま果て続けていた
このみ,ん……。知らない天井だわ。ここは……病院？。そっか。気を失って運ばれたのね。迷惑かけちゃったな。症状は治まってるみたい
P,
このみ,Pが寝てる。看病してくれてたのね。！！。服が違う。まさかPが着替えさせて……？。──まさかね。流石に看護師さんがやってくれたでしょ。はぁ……。Pに凄いところ見られちゃったな。途中からあまり記憶がないけど。……。うっ……。私の体、どうなっちゃったのよ。重い病気だったらどうしよう。命に別状がないとしても、こんな体じゃまともに生活できないじゃない。Pに恥ずかしいところ、いっぱい見られちゃったし。もうお嫁にいけないわよ。うっ……うぅぅぅ……
P,このみさん
このみ,！？
P,このみさん……ごめんなさい……むにゃむにゃ
このみ,寝言か。Pは悪くないわ。私の体が変なだけよ
P,うぅぅん
このみ,あら、Pからなにか落ちたわ。は？なにこれ。………………………………。………………え、マジ？。……
ﾎﾟﾁｯ,ON
このみ,くぅぅぅぅぅッッ♥♥
ﾎﾟﾁｯ,OFF
このみ,
ﾎﾟﾁｯ,ON
このみ,あぁぁぁぁぁぁぁんん♥♥♥
ﾎﾟﾁｯ,OFF
このみ,。……。これ以上は駄目よね。目の前でPが寝てるんだし。………………
ﾎﾟﾁｯ,ON
このみ,ひゃぁぁっん❤駄目……りゃめなのに♥♥♥こんな所でぇ❤❤ひぃゅん❤❤ふぅぅぅぅんんん♥♥♥♥。やば、声出すぎ──❤。ひぐッ♥♥ひぐひぐひぐひぐひぐ♥♥♥。ひぐううううううううう♥♥♥♥♥♥♥。んっ❤んっ❤んっ❤んっ❤。りゃめ♥止まらりゃない♥♥また果てちゃううううッッ♥♥♥。まだ来りゅの？❤また……来ちゃうの？❤❤。はぁぁぁあああああああああんん♥♥♥♥♥。──ふぇぇっ、まだ来りゅ！？。♥♥♥♥♥♥♥。止まんない！本当に止まりゃな……！！。はあああああああああ♥♥♥♥♥♥。やば、そろそろ本当に──。止めないと──。～～～～ッッッ♥♥♥♥♥♥♥♥
ﾎﾟﾁｯ,OFF
このみ,ﾋｭｰ……❤ﾋｭｰ……❤。んぐっ……はぁ……♥。はぁ……はぁ……。落ち着いてきた。そういえば今イベント中だったわね。危ない危ない。さて──
P,
このみ,このボケどうしようかしら
P,ん……俺、寝てたのか
このみ,おはようP
P,このみさん！気がついたんですね。よかった
このみ,P、私になにか言うことないかしら
P,え？
このみ,これ、Pのでしょ
P,あああっ……！？そのボタンは……！！。──し、知らないっす
このみ,よく盛大に反応したあとにとぼけられるわね。このボタンのせいで、私はdear…を歌えなくなったじゃない！
P,え？FairyTaleじゃいられないのはずじゃあ……
このみ,あれ、知らないんじゃなかったの？
P,ああっ……！！ああああああ……！！。墓穴……Wで墓穴……Wボケ
このみ,このボタンのせいで、どれだけ私が恥をかいたか。これからの人生どうしようって、本気でショックだったんだから！！。──今ここで死ぬのと、もう死にたいと思うの、どっちがいい？
P,許してください！俺、なんでもやりますから！土下座でもなんでも！
このみ,へぇ。じゃあやってもらおうじゃない。“土下座”をね──
P,えええええ！？
このみ,今なんでもするって言ったわよね？土下座するって言ったわよね？
P,いや……しかし……！これはいくらなんでも……！
このみ,本来出来るはずなのよ……！本当にすまないという気持ちで胸がいっぱいなら……！どこであれ土下座ができる……！例えそれが……肉焦がし骨焼く、鉄板の上でもっ……！！
P,ひぃっ！！。マジ……マジだ……このみさんの目がマジ……！辛かったんだ……本気でっ……！。そ、そんなもの……どうやって用意したんですかっ……！
このみ,Pの質問に答えるのは容易い。でもそれでPの運命がどう変わる訳でもないわ。まあでも、特別に教えてあげる。協力してくれたのは水瀬財閥、萩原組、歌織ちゃん周辺の人たち、まつりちゃん、そして帝愛グループよ
P,最後だけで十分でしょおおおお！！ほかの協力いります！？。あと、なんでまつり入ってんの！？その中でめっちゃ浮いてるよ！なにしてんのあいつ！？
このみ,この燃えたぎる鉄板を、ここまで運んでくれたわ。片手で
P,片手で！？
このみ,──あ、流石にちゃんと軍手はしたわよ
P,そういう問題じゃねーよ！！それに軍手でどうにか出来る熱さでもないでょう！！
このみ,P、ツッコミ下手ね
P,やめてええええ！！今のところその言葉が一番辛い！
このみ,さて、それじゃあそろそろ────執行ね
P,バックの組織が強すぎて逃げられない！。逃げれば……死！！
このみ,覚悟を決めなさい
P,ぎゃああああああああああああ！！！
このみ,このボタン、持って帰って来ちゃった。……❤
ﾎﾟﾁｯ,ON
このみ,はぁぁぁぁぁぁん♥♥♥。いい♥♥いいのぉぉぉぉぉ♥♥♥。ひぐうううううううう♥♥♥♥♥。やば……くせになっちゃったかも❤❤
