①本田未央,雨のち晴れのち植木鉢
ありす,なんで文句を言われなきゃいけないんですか！！！
藤居朋,板前フレデリカ？。今日はユニットのレッスンね
朋,とりあえずは荷物を置いて、誰かいたら喋ってようかな？。今日の占いでもいつもと違う出会いがあるかも？って書いてあったし！。こんにちは～、誰かいる？
宮本フレデリカ,へいらっしゃい！
朋,え、ええ！？ふ、フレちゃん！？な、なんでカウンター！？し、しかもその恰好は！？
フレデリカ,ワザマエ！
朋,板前じゃなくて！？
フレデリカ,フレちゃんはね！お寿司を握るよ！
朋,いやもう全然わかんないけど
フレデリカ,まあまあ、座って！
朋,う、うん……
フレデリカ,はい、ラーメンお待ち！
朋,お寿司は！？。板前さんじゃなかったの！？
フレデリカ,いまやお寿司屋さんでラーメンなんて珍しくもないよー？
朋,それは一部の回転寿司の話！
フレデリカ,じゃあ、何を握って欲しい？
朋,いや、っていうかフレちゃん、お寿司なんて握れるの？
フレデリカ,冗談は植木鉢だけにしてほしいな！
朋,あたしだって降ってくる植木鉢は冗談だと思いたいわよ！！！。って今！窓の外を落ちて行かなかった！？
フレデリカ,ノルマ達成！
朋,それは誰目線なの！？
フレデリカ,なんの話だっけ！
朋,フレちゃんにお寿司が握れるの？って……。あと魚もどこから仕入れたの？
フレデリカ,お寿司はね！アオイちゃんとナタちゃんに弟子入りしたの！
朋,ま、まともな人選すぎて何も言えない……
フレデリカ,30分！
朋,情熱浅くない！？
フレデリカ,お魚はナナミちゃんに仕入れを頼んだんだ！
朋,あー、七海ちゃんなら安心かもね
フレデリカ,どうせ違いなんてわからないれしょうけど、いい魚が入ったんれすよ～って！
朋,なんかトゲがあるけど！？
フレデリカ,そうかな？チエリちゃんよりは……
朋,それは相手が悪い
フレデリカ,はいはい！お話はここまでだよー！何か頼んで！
朋,ええ……っと……、じゃあ、マグロの赤身をお願い？
フレデリカ,赤身入りましたー！！！。かしこまりましたー！！！。赤身いっちょーーー！！。アリガトウゴザマース！！
朋,うるさいなあ！！！早くしてよ！！！
フレデリカ,せっかちだねー？
朋,今の1人4役はいらなかったでしょ！？
フレデリカ,活気のあるお店を開いてって……アオイちゃんの遺言で……
朋,死んでないわよ！！！あと4人目のカタコトはなんだったの！？
フレデリカ,出稼ぎ労働者！
朋,どうでもいいとこにリアリティ！！！
フレデリカ,へいお待ち！
朋,わ、見た目は綺麗ね！
フレデリカ,お好みでソースをかけてね！
朋,邪道！！！醤油でいいでしょ！？
フレデリカ,さあさあ♪
朋,い、いただきます……
フレデリカ,……
朋,……うんっ！美味しい！
フレデリカ,でっしょー！
朋,ちょっと不安な顔してたくせに
フレデリカ,2000円ね！
朋,たっか！！！
フレデリカ,あ、アド街見たって言えば、20円になるよ！
朋,なんでそうなるの！？そんなに万能なフレーズだったっけ！？おかしくない！？
フレデリカ,もー！ありすちゃんならシステムが理解できない！の一言で片づけるのに！修行し直しだよー？
朋,ありすちゃんすごいわね！？いや知らないけど！！！
フレデリカ,ハイ次！
朋,自由すぎでしょ……。じゃ、アナゴお願い
フレデリカ,ふぅ～ぐたくぅ～ん
朋,そっちじゃなくてね
フレデリカ,他になにがあるの！？
朋,寿司を出してよ！！！板前の恰好が泣いてるわよ！！！
フレデリカ,はいどうぞ！
朋,最初から出してくれればいいのに……。ん、これも普通に美味しい……
フレデリカ,3000円！
朋,また！？！？……あ……アド街……見た
フレデリカ,2980円！
朋,話が違うじゃない！！！
フレデリカ,世の中そんなに甘くないよ！
朋,腹立つ！！！
フレデリカ,次は？次は？
朋,あー、でも、この後レッスンだし……
フレデリカ,あ、トモちゃんも？フレちゃんもこの後レッスンなんだ！
朋,あ、そうなの？あたしはレッスンルームBだけど……
フレデリカ,こっちはレッスンルーム仏だよー！
朋,無駄にかっこいいわね！？ってかフレちゃんが名付けたでしょ！？
フレデリカ,そっか、じゃあ最後にこれ食べてく？
朋,？デザートとか？
フレデリカ,うん！お饅頭！
朋,おお！……あれ？2個も食べないわよ？
フレデリカ,片方はフレちゃんのだよー！
朋,ああ、なるほど
フレデリカ,どっちか選んで！
朋,え？じゃ、じゃあこっち……
フレデリカ,じゃあフレちゃんはこっち！
朋,……嫌な予感がするんだけど……、中身は？
フレデリカ,片方はつぶあんだよ！
朋,もう片方は！？。ち、ちょっと！
フレデリカ,いっただっきまーす！
朋,あ～！普通に食べてる！！！ってことはこっちがハズレ！？
フレデリカ,食べないのー？
朋,うう……。もうどうにでもなっちゃえ！！！。……。味は普通のあんこだけど……、あれ！？。な、なんか入って……、紙！？
フレデリカ,開いてみて！
朋,ええっと……。……！
フレデリカ,わお！大当たり～！
朋,……知ってたくせに
フレデリカ,なんのことかな～？。じゃ、レッスン行こー！
朋,あと、わさびが用意されてなかったのはありすちゃんのためでしょ？
フレデリカ,フレちゃんはそんなに気が利くレディーじゃないよ～♪
朋,……そうねっ
フレデリカ,～♪。あの紙、チケットをご用意することができませんでしたバージョンもあるんだよ！
朋,やめろ！！！
未央,まだ誰もいないみたいだね
智絵里,か～ら～の～？
未央,うっわ普通にめんどくさい
ほたる,あ、誰か来たみたいですよ
卯月,あ！未央ちゃん！智絵里ちゃんとあふろちゃんも！
未央,なんでその呼び名は浸透してるの！？
ありす,そもそもなんでほたるさんはそんな髪に！？
凛,菊というよりブロッコリーだね
未央,例えが下手すぎないかな！？
朋,あれ？なんかたくさんいる！
智絵里＆ほたる,朋さん！！！
未央,ともともへの信頼すごい
ありす,まぁ卯月さんも最初に未央さんを呼んでましたけどね
フレデリカ,ありすちゃん元気～？
ありす,なんですかその恰好……
フレデリカ,ワザマエ！
ありす,板前ではなくて！？
朋,ツッコミ被ったー！
フレデリカ,……。！。ふっふっふっ……！チエリちゃんとホタルちゃんに告ぐ！トモちゃんは預かった！返してほしくば交換するモノを用意しなさーい！
智絵里,なっ！
ほたる,ひ、卑怯ですよ！
フレデリカ,知ったことかー！
朋未央ありす,なんか始まった……
ほたる,智絵里さん、どうしましょう……
智絵里,落ち着いてほたるちゃん、なにか交換できそうなモノを探し……あ！
未央,え！？
ほたる,未央さんでいけるでしょうか……
智絵里,わからないけど、おっぱいは大きいし……
朋,聞こえてるからね！？
未央,私の胸以外の価値は！？
卯月,さあ！面白くなってきました！
凛,朋78
ありす,なんで解説役に収まってるんですか！？
卯月,注目の結果はコマーシャルの後！
ありす,MCが板についてる
フレデリカ,残念☆トモちゃんが欲しければ、ありすちゃんをもってきなさーい！
智絵里,うう……、ほたるちゃん、一旦交渉はやめて、コレとありすちゃんを交換しよう……
未央,“コレ”って私のこと！？扱いが奴隷レベルだけど！？
ほたる,おっぱいは大きいですから、平気そうですね……
未央,おっぱいおっぱいうるさいなさっきから！！！
智絵里,さて、卯月ちゃん、お願いがありますっ
卯月,どうしたんですか？智絵里ちゃん♪
智絵里,未央ちゃん、今なら安くしますよっ
未央,とうとう普通に売られてるんだけど
朋,でも付き合ってあげてる未央ちゃん優しいわね
卯月,仕方がないですね。今回は1アリス＝1ミオでの取引を認めましょう！
ありす,そんな為替相場みたいな！？
凛,未央、おかえり
卯月,おかえりなさいっ
未央,う、うん、ただいま腑に落ちない……
智絵里,ありすちゃん、キリキリ歩いてっ
ありす,最初から酷い扱いですね！？
ほたる,トレードの
ありす,人権もへったくれもない！！！
智絵里,フレデリカさんっ！ありすちゃんですよ！
フレデリカ,わーい！
ありす,うわっ！ちょっと！
朋,せめて最後までトレードしてよ！まったく……
智絵里,LackLuck、結成ですねっ
ほたる,はいっ！
朋,……ま、いっか
フレデリカ,じゃ、帰ろっか！
凛,じゃあ帰ろうか
智絵里,じゃあ、帰りましょうかっ
ありす未央朋,レッスン！！！！！
橘ありす,帰ってきた家電アイドルフレデリカ？
