本田未央,そんなっ！だからって、私達を残してっ！
先輩Ｐ,誰が奴だ、アホ
モバＰ,うぐっ……なんでこうも重いコブシなんだ……
先輩Ｐ,それで、美嘉
美嘉,ひうっ
先輩Ｐ,身構えんなって。これ今月のスケジュールな
美嘉,んなっ！？
未央,うわぁ……みっちりだ……
先輩Ｐ,モバＰの休暇の日に合わせてオフのお願いされたら、私への挑戦としか思えんぞ
美嘉,うぅ……ごめんなさい
先輩Ｐ,素直に謝ったから、私は許そう。これが本当のスケジュールな
卯月,いつも通りですね。ちょっとお休みが増えてる？
先輩Ｐ,……気のせいだよ
美嘉,うわぁぁ！先輩Ｐ、ごめんなさい！大好きっ！
先輩Ｐ,うおっ！いちいち抱きつくなっ！
モバＰ,キマシっ！……って、すごいな。なんだあれ
乃々,顔が胸に埋まってるんですけど……
美嘉,っぷは！すっごいこれ。すっごい！！
先輩Ｐ,人の胸で遊ぶなっ！
美嘉,あいたっ。へへへ、ゴメンゴメン★
凛,そうやって、うやむやにしようとしてるけど……駄目だよ？
加蓮,先輩Ｐも言ってたでしょ？私“は”って
奈緒,無駄な抵抗はやめよう……な？ほら、会議室行こう
美嘉,……ッス
ちひろ,珍しく美嘉ちゃんが暴走してましたね
先輩Ｐ,ですね。原因はこいつでしょうが……仕方ないな
モバＰ,は？
先輩Ｐ,いや、お前は悪くないんだけどな。自分の担当アイドルに気が行くのは当然だし。デビュー前の娘達もいるしな
モバＰ,はぁ……？
先輩Ｐ,まぁ、なんだ。時間があったら構ってやってくれってこと。私が休暇中もあんまり絡んでないだろ？
モバＰ,ん～……そう言えばそうですね。先輩の担当アイドルって送迎だけであとは自分達でこなせますから。まゆくらいでしたね、自分の担当以外では
先輩Ｐ,まゆの機嫌の良さはそれでか。とにかく、あんまりお前との接触を押し留めるのも、いいことにならんなと
モバＰ,え……でも
先輩Ｐ,線引きは出来てるだろ。ぐだぐだ言わず構ってやれ
未央,そーだそーだ
卯月,そーだそーだ
三船美優,そ、そーだそーだ
モバＰ,……美優さん。そんな柱の影に隠れて、顔だけ出して何を……
美優,最近、Ｐさんが冷たいので怯えてるんです。構ってくれれば治ります
モバＰ,冷たくした覚えは……
美優,契約した日を境に、Ｐさんの態度が素っ気無い気がします……
モバＰ,いや、何て言うか……
未央,しまむー、アイツ、お前のこと好きなんだと！ひゅ～って言われた、小学生みたいだね
卯月,気まずくなって距離を置いてしまうアレだねっ！
モバＰ,二人共聞こえてるぞ。特に卯月な。……確かに意識しすぎてました。ただ、アイドルとプロデューサーである以上
美優,意識はしてくださいっ！
モバＰ,あ、はい
未央,弱っ！
モバＰ,まいったな……どうすれば……
和久井留美,そうね。まずは一緒に飲みに行くって約束を果たせばいいと思うわ
モバＰ,留美さんまで、そんなコミカルな体勢で……
美優,……で、どうですか？
モバＰ,……そうですね。いい機会だし、行きますかっ
留美,今まで放置されて、不安の日々だったわ……ちらっ
モバＰ,も、もちろん！俺の奢りでっ！
先輩Ｐ,あざーす
モバＰ,貴様っ！
ちひろ,ごちでーす
モバＰ,悪魔っ！
高垣楓,獺祭が飲み放題と聞いて
モバＰ,誰っ！？
※獺祭,だっさい
留美,フリーのモデルで、雑誌の撮影で仲良くなった……
楓,高垣楓と申します
モバＰ,あ、モバＰです……じゃなくて、一応関係者以外は事務所内に……
先輩Ｐ,あぁ、大丈夫だ。私が呼んだんだよ。アイドルに興味が出てきたみたいでな
留美,私達がこの年齢からアイドル始めたって話したら、食いついてきたのよ
楓,お二人を見てたらなんだか楽しそうで……駄目ですか？
モバＰ,え、あっいえ、そんなとんでもない
楓,ふふっ、よろしくお願いしますね
モバＰ,は、はい。よろしくお願いします……パイセンパイセンっ！なんか神秘のオーラがあるんスけどっ。女神なんスけどっ！
先輩Ｐ,いい加減パイセン言うなや。……んまぁ、そうだな。そこまで言うならお前担当でいいぞ
モバＰ,は！？なんで……
留美,なに澄ましてるのよ。どうせ焼き鳥食べたいな、とか思ってるんでしょ？
楓,焼き鳥と獺祭は意外と合うんですよ。そんな組み合わせは、だっさいなんて言っちゃ嫌ですよ？……ふふっ
モバＰ,おや？
美優,は、はは……
留美,またこの子は……
楓,さらに鳥レバーも食べレバー、栄養がええよう……ふふっ
モバＰ,……なるほどぉ
先輩Ｐ,な？お前にぴったりの人だろ？
モバＰ,もう、どんとこい！。ぬはぁぁ……昨日飲み過ぎたかな……体が重い……
上田鈴帆,なんね、辛気臭さか顔して。Ｐしゃんも着ると？ウチ特製の着ぐるみ。自然と笑顔になるばい
モバＰ,また今度な。えっと……ここ公道だけど、脱がないの？
鈴帆,ウチのアイデンティティを否定すると？死ねと？
モバＰ,そこまでか。しかしよく出来てんなぁ
佐藤心,鈴帆ちゃん、はぁとに負けず劣らず衣装作り上手☆とってもスウィーティー♪
モバＰ,俺、スウィーティーって柑橘類イメージしちゃって、すっぱい感じがするんですよね
心,いやーん、はぁとのあま～い魔法のコトバになんて事いうの～☆暗に歳のこと言ってるのかー☆おまえ後でナックルパートな☆
モバＰ,深読みし過ぎですよ、しんさん
心,……びっくりするわ。大抵、佐藤さんで……あ、シュガーハァトって呼べぇ☆もう、ぷーんぷん！
モバＰ,ハハッ。蘭子はまだかなー
心,……っ☆……っ☆
モバＰ,か、かわいく叩いてるつもりなんでしょうけど、これただの殴打ですよ～☆
神崎蘭子,同胞たちよ、待たせた。魔術を鍛える装束は煩わしいものだなみなさん、お待たせしました。着替えに手間取っちゃって
鈴帆,蘭子しゃんの服なら仕方なかばい。ウチはジャージの上に直でいけるけんね！
モバＰ,……しかし、目立つな。怪獣、ゴスロリ、ピンク
鈴帆,ウチはドラゴンじゃけんね！あんぎゃおおおおっす！！
蘭子,なんと浅はかな！内なる波動に気付かぬとはっ！大人っぽい格好したつもりなのにぃ！
心,雑っ☆
モバＰ,ふははっ、それじゃ帰るか！。闇に飲まれよ！
蘭子,闇に飲まれよ！
鈴帆,闇に飲まれよ！
心,闇に飲まれよ☆
向井拓海,おう、闇に飲まれよー
村上巴,飲まれよー
双葉杏,はいはい、やみのまー
佐久間まゆ,お疲れ様です……仲いいですねぇ。向井さんもそういうキャラだったんですね
拓海,もう慣れたよ。Ｐの担当見たらわかるだろ？このくらいじゃ、まだまだ
巴,確かにの。楓もなかなか強烈だったし。Ｐの担当は愉快じゃ
杏,すごい美人なのにね～。て言うかそれ、自分達も同じカテゴリーで見られてるってことにならない？
拓海・巴,言うな……
モバＰ,なんだよ～、仲いいことは良い事だろ～？楓さんとも愉快にいこうぜぇ～
まゆ,むぅ……ん？Ｐさん、少し顔色悪いですね？大丈夫ですか？
モバＰ,あぁ、大丈夫大丈夫。ちょっと昨日飲み過ぎたみたいでな。大した事ないよ
まゆ,駄目ですよぉ？もっと自分を労わってください。じゃないと、まゆ心配で泣いちゃいますよ？
モバＰ,わかったわかった。泣くと言えば、くるみは？
拓海,あっちで乃々を盾にしてるよ
巴,あらましは……大沼くるみ、財前時子との関係改善の為、コミュニケーションをとろうと奮起。が、あえなく失敗。その際、机の下からもりくぼを召喚
モバＰ,そっか……
乃々,そっか……じゃないんですけどっ！じゃないんですけどっ！！
大沼くるみ,ふぇぇ、乃々しゃんまって～
財前時子,いい加減、そのとろさ叩き直してやるわ！待ちなさいっ！！
モバＰ,おわっ！乃々、俺を盾にするな！あそこに杏がいるだろ！
杏,巻き込むなっ！馬鹿っ！！
蘭子,んな！我の背後に……ならばっ！
鈴帆,ウチは阿蘇山の火口に帰らんと！
心,……はぁとは阿蘇山の火口じゃないぞ☆
拓海,なんだこれ
巴,もうわからんの
まゆ,楽しそうですねぇ
モバＰ,と、時子さん落ち着いて！何をそんなに
時子,そのとろいの、あろう事かっ、私となわとびを一緒にしようとかほざきやがったのよ！
くるみ,一緒にトレーニングしたら仲良くなれると思ってぇ、ふぇぇ
モバＰ,……ﾌﾌ
時子,二人まとめて躾けてやるわっ！
モバＰ,ちょ！？
ちひろ,……………………………………………………………買出し行ってきまーす
拓海,逃げたな
巴,逃げたの
心,お疲れっしたー……あ、プロデューサー居たんだぁ☆隠れて見てるなんてオチャメさん！うふん♪
ルキトレ,お、おつかれさまでした。すごい変わり身ですね……
モバＰ,ルキトレさん、お疲れ様です。いつもごめんね？今日なんかマンツーマンだったから、特に大変だったでしょ？
ルキトレ,い、いえ。レッスン自体は真面目にやってくれてるので……偶に戸惑ってしまう、わたしが未熟でして
モバＰ,ルキトレさん、アレと相対して戸惑わない奴なんて……いない
ルキトレ,やだ……かっこいい……
心,おーい、はぁとをダシに何をしてるのかなぁ？て言うか、いじめだよね？お仕置きしちゃうぞ☆
ルキトレ,ご、ごめんなさい。ちょっとした冗談のつもりで……
モバＰ,え？
心,……必☆殺☆はぁとアターック☆必ずぅ殺すぅ
モバＰ,ちょっ！？おわっ！なにこのハートの物体っ！どっから出して、あぶっ！
心,はぁとのジャージは幸せのハートがいっぱい☆いやーん、もぉっ☆避けんなぁ～♪
モバＰ,じょ、冗談ですって！肩よすぎでしょっ！これ重い球ついてますよ、絶対！
心,打ち返せないほど重いハート……重い女って言いたいのかぁ☆ゆ～るさな～い♪
モバＰ,めんどくせぇ！！
心,逃げるなぁ～♪
ルキトレ,………………お疲れさまでした。……なんか寂しい
モバＰ,機嫌直してくださいよ。ちょっとした茶目っ気だったんですよ
心,む～、じゃあ黄泉の泉へ誘え☆
モバＰ,え？……あぁ、蘭子でいうお茶しようですか。それくらいでいいのなら
心,メイド喫茶ね♪
モバＰ,……そうきたかぁ
心,知り合いがいるから、大丈夫。楽しい楽しい☆
モバＰ,はぁ……まあ、ちょっとは興味あるんで行きましょうか
心,決まりっ！それじゃ早くいこっ！置いてっちゃうぞ？ほらほら、早くはぁとを捕まえないと居なくなっちゃうぞ☆
モバＰ,……
心,……。他人のフリしてんじゃねぇよ。流石のはぁとも恥ずかしいわ
モバＰ,……さーせん。おお、実際言われてみるとなんか感動するな
心,でしょ？お嬢様……いい響き☆
安部菜々,おかえりなさいませぇ、あ！はぁとちゃん！久しぶりですね！
心,ナナさん、お久ぶり～♪今日はちょっと報告があって来たのぉ
菜々,さん付けなんて……駄目ですよ～？それで、報告ってもしかして！そちらの方とっ！？
心,はい……結婚します☆
モバＰ,あ、佐藤さんのアイドル活動をプロデュースしてる、モバＰといいます
心,おい☆スルーは良くないぞ～？あと、シュガーハァトな☆
菜々,アイドル……活動……？
心,そう！此度はぁとは無事オーディションに受かり、アイドルになりましたっ！わぁ～パチパチ
モバＰ,正確には候補生ですけどね。もうすぐデビューです……えっと、どうしました？
菜々,プロデューサー……さん？
モバＰ,は、はぁ
菜々,……
心,……はぁとはちょっとお花摘み～。プロデューサー、ナナさんがかわいいからってナンパはご法度だぞ☆スカウトもね♪すんなよ？絶対すんなよ？
モバＰ,ははっ、佐藤さんも困った人ですね。で、どうです？アイドルやってみません？な～んて……
菜々,ぜひっ！
モバＰ,！？
菜々,ぜひっ！！
モバＰ,え、あ
菜々,ぜっひ～！！！
モバＰ,ちょっ、まっ…………ふふ
菜々,笑い事じゃないですよっ！ナナはナナはっ！！
モバＰ,え、もしかして本気だったり……
菜々,冗談でこんなに必死になれませんよっ！
モバＰ,そ、そうですね。でも、実は昨日新人が入ってきたばっかりで……すいません
菜々,っ……そうですか……
モバＰ,あぁ、勘違いしないでください。その人、元々芸能活動をしていたので、完全に新人って訳ではないんです。なので
菜々,枠はあるってことですかっ！？
モバＰ,お、落ち着いて。上司に相談してみます。そこで、大丈夫そうなら改めてお話をしましょう
菜々,あ、あ……ありがとうございます！よろしくお願いします！！
モバＰ,いや、まだ決まった訳ではないですよ？多分、スカウトって形にならないと思うし
菜々,がーん……ナナはスカウトするに値しないと……
モバＰ,個人的にはですが、ルックスも申し分ないし、人柄も良さそうってことで十分スカウト圏内ですよ？
菜々,ですかっ！よろしくお願いします！！
モバＰ,いやいや、上司が面談すると思いますので
菜々,がーん……駄目なパターンです。これ……
モバＰ,ん～、大丈夫だと思いますが。アイドル的なかわいさ満開だし
菜々,ですよねっ！よろしくお願いします！！
モバＰ,だからって、決まる訳ではないですけど
菜々,がーん……上げて落とされました……
モバＰ,ただ、僕なら絶対合格にします
菜々,でしたっ！よろしくお願いします！！
モバＰ,やだっ、この子おもしろっ！。そうだ。一応言っときますが、うちの事務所パンチ効いてる人多いんですが……大丈夫です？
菜々,はいっ！ナナ、電波がピピッと来ました！Ｐさんのいる事務所なら、絶対大丈夫って！
モバＰ,でん……ぱ？
菜々,そうです！ナナはウサミン星からやってきたんですよぉっ！ピピッ！っと受信しました！
モバＰ,……確かに大丈夫そうですね
菜々,という事で！アイドルになれますように、Ｐさんへのハートウェーブ送信ーっ！ピリピリンッ！
モバＰ,あ、はい。……えっきし。こりゃ、風邪ひいたかな？
菜々,ああっ！突然投げやりにっ！
先輩Ｐ,昨日言ってたアイドル志望の娘、面談明日でいいか？
モバＰ,また急ですね。いつでもいいとは言ってたので大丈夫だと思いますが
先輩Ｐ,来週からお前休みだし、他にもちょっと立て込んできそうなんだよ。明日じゃないと、当分先になりそうでな
モバＰ,了解しました。連絡しときますね……ぶしっ！あ～
先輩Ｐ,きったねーな。っと、電話だ
モバＰ,俺も、もうしとこ。えっと、アナベベ……じゃなくて、いかん頭もボーっとしてるな……｡あ、安部さんですか？―――。う～ん、鼻づまりもひどい。やっぱ病院に行ったほうがいいかな……うん、行くからそんな足を撫で
前川みく,ただいまにゃっ！Ｐちゃんお疲れにゃ、お疲れにゃぁ！！
先輩Ｐ,んっと。ストップ
みく,にゃっ！？
先輩Ｐ,撮影前倒しになったから、行くぞ
みく,え！？Ｐちゃんっ！たすけっＰちゃ
モバＰ,……奈緒、おかえり
奈緒,ただいま……小粋に抱えて行ったな
モバＰ,あの人ゴリラでしょ、もう
奈緒,報告しとくな？
モバＰ,勘弁してください。死んでしまいます
奈緒,ははっ、冗談だよ……ちひろさんは？
モバＰ,買出し。最近、新たな謎ドリンクの開発に乗り出して……
奈緒,そっか……ふーん
モバＰ,ふーんって、こっちは戦々恐々と……どした？
奈緒,いや、二人きりだなって……
モバＰ,え？
奈緒,……なあ、隣座っていいか？ちひろさんの机だけど
モバＰ,あ、あぁ。別にいいと思うけど
奈緒,ん……
モバＰ,なんかあったのか？
奈緒,ううん。でも、ちょっと思うところがあって
モバＰ,思うところ？
奈緒,あたしさ、なんていうか……さっきのみくまでとは言わないけど、あんな風に自分を出せないんだ
モバＰ,うん。奈緒はあんな風になってはいけない。絶対
奈緒,ふふっ。でもな、やっぱり羨ましいんだよ。凛も加蓮も結構ぐいぐい行くだろ？あたしは一歩引いてしまう時があるし
モバＰ,えっと、撮影のことか？
奈緒,違う違う、Ｐさんのこと。アンタを想う気持ちは誰にも負けないって思ってる。けど、どうしても照れが出て踏み出せないっていうか
モバＰ,あ、あの……今まさに自分をさらけ出してるし、割と踏み出してる様に感じるんだけど、奈緒さん？
奈緒,そんな事じゃ駄目だからさ、もっと素直になれるよう頑張るよ
モバＰ,耳を傾けて欲しいな？
奈緒,差し当たっては、Ｐさんっ！
モバＰ,うおっ！な、なに？
奈緒,その……寄り添っていい？
モバＰ,え、あ、うん
奈緒,やった！……えへへ
モバＰ,って！駄目……えへへ！？
奈緒,えへへ。肩に頭乗せちゃお
モバＰ,吹っ切れてる……もう、いいか。ただなぁ
奈緒,こうして、二人きりで寄り添ってると、その……こ、恋人みたいだなっ。きゃあ！Ｐさんっ！あ、足に何かっひゃあ！やだやだっ
モバＰ,二人きりではないんだよなぁ……って、奈緒かわいいな
奈緒,やぁ！なんか出てきたっ！怖い怖い……って、まゆ！？
まゆ,はい、まゆですよ～。意図せずアシストしてしまったみたいですねぇ。ギャップ萌えですかぁ？
奈緒,っ！？なし！今のなしっ！！違うからな、Ｐさん！演技だから！勘違いすんなよっ！
まゆ,素直になるんじゃないんですか？うふっ
奈緒,なっ……聞いて……Ｐさんっ！なんで教えてくれなかったんだ！て言うか、どうやって収納してたんだ！全然気付かなかったぞ！
モバＰ,まゆ小さいから、股広げたら案外いけるんだよ
奈緒,言い方っ！大体、股の下に女の子を押し込むなんて、どうなんだ！
モバＰ,奈緒も言い方っ！乃々にしてもまゆにしても、座った時にはすでに入ってるんだよ！
奈緒,何が！？
モバＰ,何が！？
まゆ,奈緒さん……
奈緒,あっ！ち、ちが…………Ｐさんのむっつり！！
モバＰ,マジかっ！俺かっ！！
奈緒,う～、う～っ！！
モバＰ,そうだな！俺だなっ！
奈緒,優しくすんなっ！馬鹿野郎っ！！
モバＰ,そんなっ！まゆ、どうしよう！むずいっ！！
まゆ,え、え？ま、まゆですか？あの……そんな時は…………こう……強引にキスして、うやむやに？
モバＰ,あ～、少女漫画でよくあるな。うんうん、あるある
奈緒,あたしは、やさしくがいいな
まゆ,急に素に戻らないで下さいっ！もうっ！とにかく二人共っ！！
モバＰ・奈緒,！？
まゆ,今回の事は盗み聞きしてた、まゆが悪いです！全部忘れるので許して下さいっ。ごめんなさい！！
モバＰ・奈緒,は、はい
まゆ,でも、安易に下ネタに走った二人もどうかと思います！謝ってください！！
モバＰ・奈緒,ご、ごめんなさい
まゆ,はいっ！よろしい！！じゃあ、まゆは帰ります！お疲れ様でしたっ
モバＰ・奈緒,お疲れ様でした……
モバＰ,……まゆでもテンパるんだな
奈緒,……うん。声のハリと機敏さが三割り増しになってた
モバＰ,……ね
奈緒,……
モバＰ,……
奈緒,……あたし達も全部忘れよう
モバＰ,ん、無理
奈緒,泣くぞ？
モバＰ,ん、忘れる
奈緒,ん
モバＰ,すいません、こちらから指定しといて、こんな騒がしいところで。急に会議室を別の用件で使わないといけなくなって
菜々,いえいえ。芸能事務所なんだなって実感できて、ナナはうれしいですよ！生凛ちゃんがすぐ傍にいるなんて、感動ですよ！
凛,あ、ありがとう……面と向かって言われると、ちょっと照れるね
蘭子,蒼き乙女の魂の輝きは侮れぬな凛ちゃんはやっぱり有名ですね！
菜々,わっ！この娘もすごいかわいいっ！
モバＰ,ほらほら、今から面談始めるから
蘭子,ぶ～
菜々,え？Ｐさんがですか？
モバＰ,はい。予定していた上司に急な仕事が入りまして。会議室の件もそれと一緒です。それで、僕に任されちゃいまして
菜々,ですかっ！よろしくお願いします！！
モバＰ,あれ？デジャヴ……あ、マスク姿なのは勘弁してくださいね。ちょっと風邪ひいちゃいまして。じゃあ、始めましょうか
菜々,はいっ！
凛,お茶、入れてくるね
モバＰ,あ、じゃあ俺は水でお願い。安部さんは？
菜々,ナナも水をお願いします！デトックスですよ～
蘭子,蒼き乙女よ、我も生命の起源を注ぎに行こう凛ちゃん、私も手伝います！
凛,うん。それじゃ、行こっか
蘭子,はい！
凛,ペットボトルで持って行くのもなんだよね。コップどこだろ？
蘭子,む～、生命の起源も多様にあるのだないっぱい種類がありますね……
凛,え？わっ！ほんとだ。ちひろさんかな？蘭子、好きなの選んでいいよ
蘭子,ぬっ！ならば……これだっ！クリスタル……ゲイザー？
凛,ガイザーだね。せっかくこんなにあるし、もう一つは違うの入れようか。どれがいい？
蘭子,ん～、では……おぉっ！硝子細工に封印されておるわ！瓶のもあります！
凛,おー、珍しいね。あ、コップ発見。氷、氷っと
蘭子,これなんて読むんだろ？スパイリュタス？……ん？spiritって書いてある。……魂！魂の水！！かっこいい！
凛,蘭子、もう一本持ってきて。……余ったの、後で飲も
蘭子,魂が籠ってる究極の生命の起源だ。我が開封しよう
凛,ふふ、ありがと。それじゃ、これをプロデューサーにあげようか
蘭子,うむ……ん？
凛,水だけど、お茶請けあったほうがいいよね。えっと……
蘭子,蒼き乙女よ、その……今入れた生命の起源、こう……攻撃的な芳香を発してないか？
凛,え？そう？今ちょっと鼻詰まってて……プロデューサーにうつされたのかな？ふふ……おそろい。……よしっと
蘭子,え！？持っていくの！？どうしよう！
凛,ほら、行くよ
ちひろ,さーて、今日も素敵ドリンクの開発に精を出しますか！。……ん～、流石に冷蔵庫の中、片付けないといけませんね。希釈用の水で溢れかえって……あれ？。冷凍庫の奥に入れてたはずの、スピリタスが……危ないですね。アイドルの娘達の、目につかない所に入れとかないと。ん？。嘘……これ……開いて、はる……
※spirytus,スピリタス
モバＰ,では、履歴書を拝見させてもらいますね。えっと……安部菜々さん、17歳っと
菜々,え！？
モバＰ,え？
菜々,あ、いや……。素で17歳って書いちゃった！
モバＰ,17歳……卯月、奈緒、美嘉と同い年ですね
菜々,で、ですね～。なので、敬語も敬称も無しでお願いします！安部さんじゃなくナナとっ！
モバＰ,不思議なんですけど、タメ口にするの凄い抵抗があるんですよ。呼び捨ても……なので、菜々さんと呼ばせてもらいますね
菜々,有無も言わせぬ、いい笑顔です……
モバＰ,住んでるとこは……ちょっと遠いですね。電車で一時間くらいかかりそうですが、大丈夫です？
菜々,はい！若さでカバー出来ますっ
モバＰ,……？あ、すいません。なんか強烈な違和感が……
菜々,あ、あはは……
モバＰ,ん？学歴の最後が卒業になってますね。在学の間違い……あれ？そういえば、初めて会ったとき平日でしたよね？休みだったんです？
菜々,……キャハッ！
モバＰ,！？
菜々,……すいません。実は
凛,おまたせ。はい、ナナさん。プロデューサー
菜々,え？あ、ありがとうございます。うぅ、言いそびれた……ん？
モバＰ,おぉ、ありがとう。風邪ひくとなんか喉渇いて
菜々,……水、ですよね。気の所為か、刺激的な香りが……
モバＰ,ははっ、毒なんて入ってないですよ。こう、ゴクリといっても……。？……ﾝ
凛,ひゃっ！ど、どうしたの、蘭……プロデューサー！？ナナさん！？
モバＰ,
菜々,
ちひろ,プロデューサーさん、スピリタスが開封されてたんですが……え！？
モバＰ,ゴハッ！ガハッ！アガ、ケヒケヒッ！ンガハッ！！
菜々,は、鼻がっ！ほわぁぁ！鼻がぁぁ
凛,プロデューサー！ナナさん！！あぁ、どうしようどうしよう
ちひろ,何があったの！？凛ちゃん、蘭子ちゃん！！
蘭子,み、みずを二人に……プロデューサーが口に含んで、毒霧で……ナナさんの顔面に……ふぇぇ、ふわぁぁ止めたけどぉ、間に合わなくてぇ！うわぁん！
凛,私、毒入れちゃったの？やだよやだよぅ。誰か二人を助けてぇ
ちひろ,あぁ、泣かないで。毒じゃないから。多分スピリタスっていう、ちょーっと強いお酒だから。ね？大丈夫大丈夫
モバＰ,スピリ……タス……だと？ガフッゲフッ……おのれ、ちひろ……謀ったな……
菜々,息吸った瞬間に、Ｐさんから熱いぶっかけですよ～……鼻の奥がヅーンってしますよ～顔面はスーっとしますよ～
ちひろ,と、とりあえず、水とタオル持ってきますので。凛ちゃんと蘭子ちゃんは二人を見てて
凛,うん……
蘭子,はい……
ちひろ,あの……いつまで正座をしてないといけないんでしょうか
モバＰ,別に強制はしてないですよ。ちひろさん自身が、大事な子供達がいる事務所に酒を……スピリタスを置いていた人を、許せたらいいんじゃないんですか？
ちひろ,うぐぅ……
菜々,あのぅ、ナナはどうすれば……
モバＰ,あ、ごめんなさい。変なことに巻き込んじゃいまして。本当に申し訳ないです。鼻、大丈夫ですか？
菜々,はい。ナナは、もう大丈夫です。ナナよりＰさんの方が……
凛,顔色すごい悪いよ。ごめんね、私がちゃんと確かめなかった為に……
蘭子,熱もこんなに……私が瓶だからって……うぅ、ごめんなさい
モバＰ,泣くな泣くな。凛も蘭子も何も悪いことしてないんだから、気にすんな。………………それで、菜々さん。この通り体調最悪なので、面談はここまでで
菜々,あ、はい……え！？
モバＰ,すいません、限界です。病院に行きたいと思います
菜々,え？え？放置？
モバＰ,あ、そうか。合格です。後日、住民票と、え～と……あとは、ちひろさんに詳細を。では
凛,待って！付き添うからっ！
蘭子,わ、私もっ！
菜々,……え？嘘……こんな簡単に……ナナはアイドル？
ちひろ,そうですよぉ。これから仲良くしていきましょうね！さっそくですが、足が痺れて立てないので、手を貸して欲しいなと
菜々,やりましたぁ！！はぁとちゃんにお礼の電話しないとっ！
ちひろ,……マジか
モバＰ,明日から休みっ！ごふっ、ごほっ！！
楓,大丈夫ですか？旅行に行くとか小耳に挟んだんですけど、そんな状態じゃ……
美優,そうですよ、無理したら駄目です……
モバＰ,ふ～、ありがとうございます。10連休ですからね！最初の2,3日はおとなしく寝て、そっからですね！
留美,それがいいわね。……ところで、その旅行は一人よね？
モバＰ,え、ええ。京都で抹茶を嗜みながら、温泉に入ったり、甲冑を身にまとって武将気分になったりしようかなと
楓,温泉……プロデューサー、私来週オフが三日ほどあるんです
留美,駄目よ
楓,ぶ～、私も温泉っ！行きたいです、行きたいですよっ！プロデューサーも一人じゃつまらないですよね？
モバＰ,まぁ……でも、一人だけってのも、それはそれで楽しめるんですよ
楓,むぅ……甲冑も一人で？私も興味あるなぁ、巴御前みたいなの。でも一人じゃ恥ずかしいなぁ……ちら。その後、温泉入りながら一杯飲みたいな……ちら
モバＰ,は、はは……
留美,結局、温泉じゃない。立場を考えなさい
モバＰ,留美さんは頼りになるなぁ
留美,じゃあ、はやく惚れなさい
モバＰ,おおぅ、漢前……
美優,……楓さん。私も来週オフがあるんです。一緒に、温泉に行きませんか？……京都に
楓,！……もちろんご一緒します。ふふっ
留美,まったく……美優もたくましくなったわね
美優,留美さんは……
留美,私は仕事。あくまで、女だけの旅行よ。いい？
美優,はい……偶然知り合いに会うかもしれませんが……
