モバＰ,以降Ｐ表記ですか？メモしておきますね
梨沙,大トロって美味しいとは思うけど、やっぱりこの脂がちょっとクドいわよね
晴,そっか？オレはそこが好きだけどなぁ
ネネ,大トロって人によって好き嫌いハッキリ分かれますよね
Ｐ,俺も嫌いじゃないけどなぁ。ガッツリ系好きだし
梨沙,アンタ自身が色々と濃いものね
Ｐ,個性のバーゲンセールって呼ばれてるお前らに言われたくないわい
ネネ,あの、それ初耳なんですけど
悠貴,あ、これお塩ですかっ？じゃあ試しにお刺身に……ああっ！これも凄いっ！凄いですっ！
晴,ぷはぁ…。Ｐ、アラ汁おかわりー。あ、ご飯にぶっかけてくれね？
Ｐ,お行儀悪いからやめなさい
ネネ,ん～っ♪美味しいお米に美味しいお刺身…日本人で良かった、って思う瞬間ですね
Ｐ,ほれ晴すけ、アラ汁とご飯のおかわり。んでもってついでに海苔持ってきたけど手巻きにしたい人ー？。ハハッ、思ったより食欲旺盛だねお前さんたち
晴,うまっ！！海苔巻きうまっ！
ネネ,海苔巻きじゃくて巻き寿司じゃないですか？あれ、でも酢飯じゃないし…？
梨沙,刺身を巻くか中落ちを巻くか…悩むわね
悠貴,両方いっぺんにしてみよっと……ああ、もう思い残すことありませんっ
Ｐ,早い。君の人生はまだこれから始まるんだよ１３歳
梨沙,あれ、何してるのロリコン
Ｐ,ごく自然に名前のように風評被害で呼ぶな。折角だしシャリ作ってる
ネネ,折角だからシャリを作るって凄い日本語ですね
梨沙,その行動力を少しは仕事にも…って、ドン引きするぐらい仕事取ってくるのよね…コイツ
悠貴,お酢の良い匂いですっ
Ｐ,さて、こんなもんか。マグロに合わせて赤酢ベースで作ってみた。寿司でも握るか？
晴,握れんのかよ
Ｐ,安心しろ、俺は毎週江戸前の旬
梨沙,世界中の寿司職人に謝りなさい
Ｐ,あ、本当にできた
梨沙,なんでよ！！
晴,Ｐ－、俺中トロ４つなー
悠貴,赤身お願いしますっ！
ネネ,えっと、中落ちで軍艦巻きとか…いいですか？
Ｐ,あいよっ。そこのヒョウ柄さんは？何か握るか？
梨沙,柄で呼ばないでよ。…じゃあ、赤身
Ｐ,はいよっ
晴,うお凄ぇ。片手で握ったぞ今
ネネ,あ、あれはまさか噂に聞く石塔返し
悠貴,知っているんですかネネさん！
梨沙,ちょっと！アタシ１人にツッコミ任せないでよあんた達！
ネネ,酢飯が口の中でホロリとほぐれます…
悠貴,私も軍艦巻きお願いしていいですか？
Ｐ,はいよー
晴,あ、じゃあオレ次はアナゴとサーモン
Ｐ,マグロから作れるかぁ
梨沙,騒がしい夕食よね。あーあ、本当なら今頃思う存分電話でＬＩＮＥで通信対戦でパパとキャッキャウフフしてたのに
晴,キャッキャウフフって自分で言うのか凄ぇなお前
Ｐ,どっちにしろ今夜は無理だったろ。パパさん急な仕事が入ったって言ってたし
梨沙,ハァ？アタシ何も聞いてないんだけど。テキトーな事言わないでよロリコン！
Ｐ,テキトーも何もさっきＬＩＮＥきたし、ほら
梨沙,パパっ！？パパっ！？
晴,チャラいな梨沙の親父さん…何つーか、イメージしてたのと全然だわ
ネネ,テンビンゴールドみたいな口調なんですね
梨沙,違うわよ！アタシのパパは恰好よくてダンディで紳士で素敵でダンデイで！
悠貴,ダンディ被っちゃってますよ
Ｐ,忙しそうだし、梨沙には俺から伝えればいいかって。悪いな、遅くなっちゃって
梨沙,っていうか今のＬＩＮＥ嘘でしょ嘘って言ってよ嘘よね？
Ｐ,梨沙のパパさん割といつもこんなノリだけど。この前飲みに行った時も一緒にカラオケいってニチアサ縛りで盛り上がったし
梨沙,友達か！
晴,そういやＰってアイドルの保護者に取り入るの上手いよなぁ。ウチの親父ともなんだかんだで意気投合したし
Ｐ,人聞きの悪いこと言うな。人様の家の子を預かるんだから親御さんの信用を得るのは当然だろ
梨沙,嘘よ嘘よ絶対嘘よこんなのパパじゃないアタシが知ってるパパじゃないきっとニセモノよそうよ擬態したワームよロイミュードよコピーベントよ…
悠貴,わっ、梨沙さんのハイライトがお休みしちゃいましたっ
ネネ,知りたくなかった親の一面ってありますよね…
Ｐ,ごめん、親の顔すらあんま覚えてないわ
晴,アンタまでハイライト消すな収集つかねぇだろ！
梨沙,ぱぱ…ぱぱ…
Ｐ,あらら、卯月みたいな目になっちゃった
梨沙,ぱぱ、ナンデ？ぱぱナンデ？
晴,どうすんだよコレ…責任取って治せよＰ
Ｐ,んな家電みたいな感覚で言われても…。ほーら梨沙。マグロだぞー。軽く炙ったぞー？
晴,はむっ…うん、美味ぇ
Ｐ,お前が食うなよ！
ネネ,はーい梨沙ちゃん。こっちも美味しいですよー？焼きまんじゅうですよー？
梨沙,ぱぱ…？
悠貴,ネネさんならママじゃないですか？
Ｐ,むしろ焼きまんじゅう常備してる方が気になるんだが
梨沙,ぱぱー
Ｐ,え、俺？こんなデカい娘持った覚えないんだけど
晴,オッサンなら何でもいいんじゃね？あ、ホラ。ちょっとハイライト戻ったし
Ｐ,失礼なっ！まだ▽◇歳だよ！
梨沙,ぱぱー
悠貴,思いっきりくっついちゃってますね。梨沙さんって普段こんな風にお父さんに甘えてるんですねっ
Ｐ,子供どころか彼女すらいないのに…マグロ食べさせたら元に戻るかな
梨沙,あむあむ
ネネ,どうです？
梨沙,ヒンナヒンナ
ネネ,ああ、駄目みたいです
Ｐ,他に気になった点はないのかねチミィ
晴,んー、どうすりゃ戻るんだ？叩いてみっか
悠貴,息を止めながらお水を飲むと治るって、前に菜々さんに聞いたことがありますっ
Ｐ,シャックリか
芳乃,ほいみーっ
梨沙,ふぁっ？
Ｐ,あ、ハイライトおかえり
梨沙,…
Ｐ,？
梨沙,何くっついてるのよロリコン！
Ｐ,太ももの裏側は痛い！
梨沙,まったくもう！油断も隙もあったもんじゃない！
Ｐ,理不尽でごぜーますよ…
ネネ,まあまあ、はい、あったかい焼きまんじゅうどうぞ
Ｐ,はぁ、あったかい焼きまんじゅうどうも
晴,Ｐ－、もう刺身無くなってきたんだけどー
悠貴,ご、ごめんなさいっ。私食べ過ぎちゃってますか？
Ｐ,はいはい、どんどん作るからガンガン食べてガンガン肉と脂肪をつけなさいな成長期さんたち
梨沙,肉はともかく脂肪って。もっと言い方ってもんがあるでしょ
Ｐ,んじゃ次は焼きに入るぞー
晴,うおっ！すっげぇ良い音！テンション上がるな！
悠貴,ああ、もう早速いい匂いしてきましたっ
Ｐ,フライパンにバターを溶かして、軽く片栗粉つけた切り身をだね、こうして…。…そういやさっき１人増えてなかった？
晴,え？
ネネ,そんなことは無いと思いますけど
梨沙,スタドリ飲みすぎて幻覚でも見えてるんじゃないの？
悠貴,す、スタドリってそんな危険なものなんですかっ？
芳乃,ほー
Ｐ,そっかぁ、気のせいかぁ…。ほい、取り敢えずムニエル。各自お皿もってこーい。絶対増えてるって！
芳乃,ほっかほかのー、お魚なのですー♪
ちひろ,あれ、芳乃ちゃんそのお皿どうしたんですか？
ネネ,焼き加減が、焼き加減が、もう…っ
悠貴,バターたっぷりなのにマグロが全然負けてないですっ美味しいですっ！
Ｐ,本場のムニエルってこの何倍もバター使うんだよな。まぁ向こうの国と日本じゃバターの値段が全然違うし
晴,おかわりっ！
Ｐ,速っ。晴はよく食べるから将来きっとすくすく育つだろうなぁ
晴,そうか？あー、そう言えば確かに最近また背ぇ伸びたっけ
Ｐ,この調子で１９歳ぐらいになったら８９-５７-８８ぐらいになるだろうな
晴,何の数字だよ！？
梨沙,マグロ自体が割としっかりした味だからムニエルっていうよりステーキみたいな感じになるわね…ああもうっ！タルタルに角切りの白身入れないでよ！
Ｐ,マグロとかカツオとか、味の強い血合いの強い赤身って実際肉と同じような調理方がしっくり来るんだよな。カラシとかも相性良いし
悠貴,プロデューサーさんっ、ご飯おかわりもらってもいいですかっ？
Ｐ,はいよ、どのぐらい？
悠貴,えっ、えっと……い、いっぱい？
晴,よく食うよなぁ悠貴も
Ｐ,そう言いながらお前もお茶碗突き出しとるがな。どれぐらい？
晴,いっぱい！
ネネ,ふふ、みんな沢山食べますね
梨沙,ネネだってもうお茶碗空じゃない
Ｐ,お前さんらはどうする？おかわりするか？
ネネ,あ、じゃあお願いしてもいいですか？
梨沙,んっ
Ｐ,あいよ。次は何作ろうか。照り焼きにするか塩焼きにするか…
晴,全部作っちまえばいいんじゃね？
悠貴,あ、私照り焼きがいいですっ！タレのほうがご飯が進むと思いますっ
梨沙,アタシは塩焼きかしらね。さっぱりと食べたいし
ネネ,うーん…悩んじゃいますね。タレか塩か……人類永遠のテーマじゃないでしょうか
晴,面倒だし両方作っちまえば？
Ｐ,そうだな、よーし今度は希少部位の腰のところ焼いてやろう
晴,はふっ、はふふっ！あむっ、んぐっ…！
梨沙,ちょっと、誰も取ったりしないからもっと落ち着いて食べなさいよ！
悠貴,あわわ…これはダメですっ、これはダメなやつですっ…ご飯が、ご飯がいくらあっても足りません！
ネネ,悠貴ちゃんも落ち着いて？もう頬っぺたがハムスターみたいになっちゃってるから
Ｐ,食欲はハムスターっていうよりベムスターだけどな
光,今バグスターの話した！？
Ｐ,してないしてない。ガシャットあげるからレイナサマで遊んできなさい
光,なんだー
悠貴,プロデューサーさんっ、おかわりお願いしますっ
梨沙,ねぇ、今の出来事に何の疑問も無いわけ？
ネネ,照り焼きのこってりしたタレの味でご飯がどんどん…ああ、でも塩焼きもシンプルな分マグロの美味しさがダイレクトに…どうしましょう？どうすればいいんでしょう？
晴,はぐっ！んぐっ、あむむっ、もぐもぐ…
Ｐ,流石は育ち盛り達…凄ぇ食べっぷり。このペースだと生姜醤油とニンニク醤油、２種類作ってみたヅケは入らないかな？
悠貴,いただきますっ！
ネネ,是非っ。両方是非っ
梨沙,勝手に決めつけないでよ。さっさとよこしなさい
晴,まだまだイケるぜっ！
Ｐ,君たち普段ちゃんとご飯食べてるよね？。まだ食べられそうか？ワサビソースでハンバーグ作ってみたんだけど
晴,食う！
Ｐ,カマ肉をサッと湯引きして岩塩振ってみた
悠貴,いただきますっ！
Ｐ,尻尾を薄口醤油と味醂で煮付けにしてみた
梨沙,早くよこしなさい
Ｐ,薄切り赤身をアラで取ったダシにくぐらせるマグロしゃぶしゃぶ、なんてやってみたんだが
ネネ,Ｐさんこっちです。こっちにスペースありますから置いてください
Ｐ,皮をササッと茹でてポン酢で和えて酢の物にしてみたんだが
こずえ,よこせぇー…
Ｐ,えーっと、次は…。…あれ、今１人多くなかった？
晴,けぷっ……食いすぎた…
梨沙,みっともないからお腹出すんじゃないわよ。そこにロリコンがいるんだし
Ｐ,ハハッ、１０年早い
ネネ,はぁ……幸せです
悠貴,………けふ
梨沙,悠貴ちよっとヤバくない？お腹パッツパツじゃない
悠貴,ちょっ、い、今はあんまり触らないでっ…
ネネ,そう言いながら梨沙ちゃんもご飯４回おかわりしてましたよね
Ｐ,いやぁ、お陰様で大分消費できたよ。あとどれぐらい残ってるかな
マグロ,半分ぐらいや
Ｐ,マジかぁ。…。茶漬けでも作ろうかと思うけど、食べる？。マジかぁ。…あれ、やっぱ１人多くない？
晴,ギブ…流石にもう限界…
梨沙,…明日からレッスン増やさないとね
悠貴,お腹も心も満腹満足ですっ。…お腹いっぱいになったらちょっと眠くなってきちゃいますねっ
Ｐ,これだけ沢山食べてくれると作る側としても気持ちがいいな
ネネ,ご馳走様でしたＰさん。とっても美味しかったです
Ｐ,って言いながらネネさん何で焼きまんじゅう食べてるんよ。え、足りなかった？
ネネ,デザートですよ？
Ｐ,群馬って凄い
晴,あ゛～…、やべぇ、動けねぇ
悠貴,むにゃむにゃ…もう食べられません…
梨沙,２人ともお腹出さないの、みっともない。すぐそこにロリコンがいるんだから少しは恥じらいを持ちなさいよ
Ｐ,さてと、片付けも一通り済んだし、今夜はこれでお開きにしとこうか
梨沙,…もう食べられないとか言っておきながらしっかりデザートまで食べたわね
晴,別にいいじゃねえかよ。別腹だよ別腹
ネネ,そうですよ、デザートは別腹なんです
梨沙,ねぇお願いだからツッコミ一任させてボケ倒すのやめて？
悠貴,え、えっと……な、なんでやねん！
梨沙,気を使ってくれるのは嬉しいけど雑！
Ｐ,余りは冷蔵庫に入れといたし、それじゃみんな。しっかり歯ぁ磨いて風呂入って宿題して寝るんだぞ？
悠貴,はーいっ
晴,…おうっ
ネネ,晴ちゃん宿題まだやってないんですね？
梨沙,随分遅くなっちゃったけど、ようやく部屋に戻ってゆっくりパパの声が聴けるわ。…あ、そうそう。ご馳走様。美味しかったわよ
ネネ,是非また声をかけてください。本当にご馳走様でしたっ♪
悠貴,次もよろしくお願いしますっ！あ、今度は私お茶碗持ってきますねっ
晴,今度は肉な肉！
Ｐ,はいよ、また段取りついたら誘うよ
みく,フンフンフフンフーン♪猫キャラクライシス～♪。…んにゃ？食堂のほうからなんだか良い匂いがするにゃあ
凛,あれ、どうしたのそんなところで。クンカー？
みく,元祖本家クンカーが何言ってるのさ。ってあれ？凛チャン達帰ってたのにゃ？
未央,ついさっき戻ってきたところだよ。予定より早く収録が終わってさー。事務所の大浴場で労働の汗を流してきたところ
卯月,お風呂上がりのバナナ牛乳おいしいですっ
みく,ちょっとした老舗旅館ばりのお風呂だもんね…ああ、だから珍しく卯月チャンが大人しいんだ
凛,不思議だよねぇ。卯月って濡れると大人しくなるんだから。ふふっ、前世は猫かな？うりうり
卯月,あふっ、ちょ、凛ちゃんくすぐったいですっ。もぉ～
みく,やめろぉ。もう事務所の猫キャラは定員オーバーにゃあ
未央,んでみくにゃんは何してたの？今からご飯？
みく,うんにゃ、何だか食堂から良い匂いがするにゃー、って
凛,あ、確かまたいつもの食事会やってたんじゃなかったっけ。私たちは今日遅くまで収録の予定だったから仕方なく断ったんだけどさ
みく,えっ、初耳なんだけど
卯月,ハブられちゃったんですか？
