モバＰ,以降Ｐ表記の可能性もあるじぇ…
奈緒,あれ加蓮？おーい加蓮どうしたー？さっきから静かだけど
加蓮,
奈緒,ああもう、加蓮はすぐ生きるのを諦めるよなぁ
凛,すぐにコンティニューするよ。ねぇ芳乃５分でいいからそこ代わってくれない？
芳乃,やー、なのですー
Ｐ,俺の膝を争わないでくれない？
加蓮,
奈緒,うんしょ、よいしょ…取り合えず日当たりのいいとこに置いておくと復活早いんだよな
Ｐ,どこからツッコめばいいんだろ…
こずえ,あきらめろぉ…
Ｐ,ロケに集中しなさい。今日も良い天気だな。洗い物も終わったし、どこか出かけてみるか？
芳乃,お出掛けですー
Ｐ,この前のオフは思わぬ来客があったからなぁ。結局加蓮を天日干ししにきただけだったけど。ん？セールスか？
芳乃,アンケートかもしれませんー
Ｐ,はいはい、今出ま…って声デカ！。ドアの向こうから夏休みの小学生みたいなセリフが聞こえてくるんだけど
芳乃,はてー、一体どこの茜殿でしょうー？
Ｐ,一応聞くけどどちら様ー？
未央,すみませーんクロペロヤマトでーす
Ｐ,なんだミツボシか
未央,おっはよー。遊びにきたよー♪
Ｐ,当たり前のようにウチに遊びに来るのな
茜,おはようございます！！
Ｐ,うんおはよう。けど近所迷惑になるからボリューム落とそうな
茜,はい
Ｐ,え、声量落とすとハイライトも落ちるの？
藍子,お休みのところすみません…私は遠慮しようって言ったんですけど……追いつけなくて。あ、これお土産のどら焼きです。芳乃ちゃんとご一緒にどうぞ
Ｐ,準備万端で止める気無いやん。あのだねチミ達。人気アイドルが軽々しくオッサンの家に遊びに来るのは如何なものかと
芳乃,いらっしゃいませー
未央,よしのんおはよー。どら焼きあるよどら焼き♪
芳乃,ほーっ
Ｐ,あれ？間違ってるのは俺なの？
未央,お邪魔しまーす。うわぁ、ウチの事務所のアイドルのポスターとか写真集とかいっぱいあるねぇ。アハハ、プロデューサーみたい
Ｐ,普段俺を何だと思ってるの！？
茜,おじゃまします
Ｐ,あ、家の中防音だから大丈夫だぞ
茜,お邪魔しますっ！！
Ｐ,あ、俺の鼓膜は大丈夫じゃないぞ
藍子,うんしょ…よいしょ…
芳乃,お茶を淹れてきますー
未央,ありがとよしのん。どら焼きあるから緑茶がいいなぁ
芳乃,綾鷹ならー
Ｐ,おーい茜さんや。そっち俺の部屋
茜,す、すみません！何故かフラフラと誘い込まれるように
藍子,よいしょ、っと。ふぅ、靴脱げた
未央,わっ、ライブのＤＶＤとか全部揃ってる！凄い！大ファン！？
Ｐ,俺の仕事を何だと！
茜,プラモデル作ったりゲームしたりするお仕事ですよね！
Ｐ,あれ、割と自業自得なのか？
藍子,えっと、靴は揃えて、っと…。あ、茜ちゃんの靴紐緩んでる
未央,まぁまぁ、それは半分の半分冗談だとして
Ｐ,７５％本気
藍子,おじゃましまーす
Ｐ,遅っ！
未央,それでさ、たまたま３人オフが重なって。あっ綾鷹美味しい
Ｐ,たまたまじゃないよ。気を聞かせて合わせたんだよ
茜,それでみんなで遊びに行こうって話になりまして！空地か公園かラウンドワンかプロデューサーのご自宅かと
Ｐ,俺の家を運動施設に入れるなよ
藍子,ごめんなさい…折角のお休みだったのに。あ、栗入りと白餡と３種類ありますからお好きなものをどうぞ
Ｐ,藍子さんや、止める気無かっただろ
芳乃,遠慮なさらずー
Ｐ,ハハッ、味方がいねぇ。天気良いんだし若いんだから外で遊べばいいのに。子供は風の子だろ？
未央,何言ってんの。子供は親の子だよ？
茜,プロデューサーのご自宅は何故かテンションが上がりますね！！
藍子,お家の中なんだから走ったりしたら駄目ですよ？
茜,ひのっ
Ｐ,出た。ゆるふわオーラ直注入
芳乃,白餡しっとりしておりますー
Ｐ,芳乃それ何個目？俺まだ１個も食べてないんだけど
未央,あ、これアルバム？ねぇねぇ見てもいい？
Ｐ,構わんよ。何でオッサン家来てこんな楽しそうなん？
未央,うわぁ懐かしい…ほら見てよデビューほやほや時代だよ？
藍子,わぁ、みんな今とあんまり変わってないですね。まるで歳を取っていないみたい
茜,そうですねぇ～
未央,あれれ？仕事関連の写真ばっかだけどプロデューサーのプライベート写真は？子供の頃のとかさ
Ｐ,記憶にないし、きっと子供の頃とか無かったんじゃないかな
芳乃,そなたー…
悪徳カメラマン,グォッフォッフォッ、見たぞ見たぞぉ？ポジティブパッションが妙にハイライトうっすいオッサンの部屋に入っていくのを。コイツはどえらいスクープだぜェ。オレのお散歩カメラでバッチリ撮ってやるわ！。ん？何だ今の。部屋に近づこうとしたら何だかピリッと…。………
カメラマン,あ、猫がひなたぼっこしてる
Ｐ,そう言えば未央。一足遅れたけど６周年イベントのＭＣご苦労様。大好評だったぞ
未央,えへへー。いやぁ酢昆布のステマみたいな番組になっちゃうかなぁって不安だったよ
茜,藍子ちゃん酢昆布ってワードが出る度に大笑いしてましたね！！
藍子,ちょっ、それは内緒にしてって言ったのに！
茜,そうでしたすみません！今のウソです！！
藍子,もう…酷いです茜ちゃん
未央,あーちゃんを怒らせると怖いぞぉ？止まった時の中で死と言う瞬間で永遠に止まり続ける事になるよー？
茜,ヒィッ
藍子,未央ちゃんもっ！もぉーっ！
Ｐ,ゆるふわとパッションとミツボシでバランス取れとる…平和だ
芳乃,パッションはー、やはり個性的な方々なのですー
Ｐ,お前さんもパッションだけどね
芳乃,なんとー
未央,いやいやいやいや！キュートやクールの方がよっぽどでしょ！未央ちゃん見てよニュージェネの常識人担当の未央ちゃんだよ！？
Ｐ,常識人というより生贄担当というか土嚢というか防波堤と言うか
未央,トリプルスター！
Ｐ,ＩＴＥッ
茜,そう言えば次のコラボはまだでしょうかね！私も騎空団やってみたいです！
芳乃,ほー、ではわたくしもー
藍子,芳乃ちゃん実装されたらチートになっちゃうんじゃないかなぁ
芳乃,なんとー
Ｐ,今日もいい天気だな。天気良すぎるから調子こいて片っ端から洗濯しちまったわ。くま
芳乃,メイド
Ｐ,仕方ない。どうせ休みだし…このまま部屋の中で杏ごっこでもしてようか
芳乃,ごろごろー？
Ｐ,おーいスカートの中見えるぞー。マジか。何てタイミングの悪い。えー、俺今こんな格好なんだけど…居留守使っちゃおうか。はいはい今いきまーす！だから人の家のインターホンで演奏しないで！。心当たりあるけど何処の誰だチクショウ
卯月,頑張りますっ！
Ｐ,結構です
卯月,遊びに来ました！
Ｐ,アイドルがだね、そう気安くオッサンの部屋にだね
卯月,凛ちゃんたちも未央ちゃんたちも部屋に入れているのに説得力が無いです！
Ｐ,くっ！正論が痛い
美穂,こんにちわ…ってわぁ、プロデューサーさんがプロデューサーくんだぁ！
Ｐ,黄色いくま
響子,こんにちはプロデューサーさん。…オフでは意外とファンシーな私服なんですね
Ｐ,くまの〇ーさん
芳乃,いらっしゃいませー
卯月,そしてこっちはメイドさんです！
美穂,あ、え、えっと……お、お愉しみ中でしたか？
響子,ええっ！？わ、私たちお邪魔でしたよねごめんなさい！
Ｐ,まってちがう！！。服を洗濯しすぎてこれしか着るものが無いってだけだから誤解のないように
卯月,でもメイド服とか持っているのは事実です！
Ｐ,仕事で使った衣装を貰っただけだよ！
美穂,あ、じゃあプロデューサーさんのご趣味という訳じゃあないんですね
Ｐ,メイドが嫌いな男などこの世にいないだろ
響子,仕事でもあまり見せない真剣な顔を今見せられても…
卯月,あ、これお土産です！つまらないものですけど！
Ｐ,ご丁寧にどうも。…紙袋いっぱいの酢昆布をありがとう
卯月,メキシカンチョリソー味もありますよ！
Ｐ,メキシカンチョリソー昆布！？
響子,……あ、綺麗
Ｐ,響子さん、埃チェックやめて？怖い
響子,す、すいません。ついクセと言うか…
美穂,むにゃむにゃ…春になったら起こしてくださぁい…
Ｐ,いつの間に俺の布団に！
芳乃,ナース
卯月,絶対プロデューサーの趣味です！
Ｐ,いやナースも嫌いじゃないけどさ、って何で着替えてんの芳乃！
響子,…あ、ちゃんとおかずも作り置きしてタッパーに入れてある
美穂,はちみつくまさん…
Ｐ,どなたかこの中にツッコミの方はいらっしゃいませんかぁー！！
卯月,それでみんなのオフがたまたま同じだったので。あ、伊右衛門ですねこれ！
Ｐ,たまたまじゃないよ。気を聞かせて合わせたんだよ
美穂,それで…ふあぁ…。みんなで遊びにいこうって話に…んにゅ…
Ｐ,クッションで巣作りするな穴熊作るな
響子,折角なのでお掃除とかお洗濯でも、と思っていたんですけど…する事がありません
Ｐ,休みの日ぐらい遊びなさいな。家事なんて大きくなったら嫌でもするんだから
芳乃,体操着
Ｐ,ボケとツッコミの比率おかしくない！？。天気も良いんだし遊びにいけばいいのに。何でみんなして俺の家に来るんだよ。流行ってんの？
卯月,プロデューサーで遊ぶのが一番楽しいからだと思います！
Ｐ,聞き間違いだと思いたい。で
響子,それに、外があんまりポカポカしてると美穂ちゃんがすぐ眠くなっちゃうので…
美穂,ぽんぽこたぬきさん…
Ｐ,本格的に寝に入るな起きろー！
卯月,寒くても冬眠しちゃいますしね！
Ｐ,起きろー！寝たら卯月に何されるか分からないぞー！
美穂,んにゅう…
卯月,私を一体何だと思っているんですか！
Ｐ,笑顔が魅力のダークマター
卯月,うづきぱんち！
芳乃,させませぬー
Ｐ,おーい、頼むから家の中で暴れないでくれよー？。どうした響子、小刻みに震えてるけど
美穂,うぅん…ぷろでゅーさーくんだぁ…
Ｐ,本人ですけど！？
悪質ファン,ニャガニャガニャガ、見たぞ見たずおぉ？ピンクチェックスクールが妙にハイライトうっすいオッサンの部屋に入っていくのを。コイツはメシウマなネタだずェ。証拠画像撮って拡散決定ですわデュフフ。ん？何だ今の。部屋に近づこうとしたら何だかピリッと…。………
ファン,彼女たちが笑顔でいてくれるならば、ファンにとってそれ以上の幸福は無い
Ｐ,寝るなぁ。いや寝るのはいいけど人の家で巣作りするなぁ
美穂,あっ、あっ、巣材がぁ…
Ｐ,ウチのクッションですけど！？
芳乃,うちの中でやんちゃしてはいけませんー
卯月,ぐわあああああああああああ
響子,あっ！湯呑が空っぽですね今お茶を持ってきます！
Ｐ,え？いやお構いなく
美穂,うぅん…………もう春？
Ｐ,おはよ。まだ冬だよ
美穂,暖かくなったら起こしてくだふぁい…
Ｐ,クリスマスとか正月とか稼ぎ時だよ！？
卯月,…あれ？私、今まで何を……あれぇ！？なんでプロデューサーさんのお家に？
Ｐ,あ、久しぶりのプレーンな卯月だ
響子,わぁ…換気扇も排水溝もピカピカだぁ…
卯月,…えーっと
美穂,むにゃあ…
卯月,あ、これ夢なんですね？
Ｐ,ところがどっこい、現実です
卯月,おやすみなさーい
Ｐ,現実です！
響子,お世話…おせわ、オセワ…
芳乃,ではー、こんびにで歌舞伎揚げをー
響子,任せてくださいっ！
Ｐ,少しは俺にもボケさせてくれない！？。今日もめっちゃ天気いいな。最近休みの日全部晴天だなぁ。よし、どこか出掛けようか
芳乃,おうちにいるとー、また何方か尋ねてくるかもしれませんー
Ｐ,フラグを立てないでくれ。ほらナンジャタウンにでも行くか？
芳乃,餃子スタジアムにも行きましてー？
Ｐ,あそこの餃子美味しいけど少ないんだよなぁ。うわぁ今日は誰だアンダーザデスクかニューウェーブか。はいはい今行きますよー。まったく、一体どこの片桐早苗なんだか。今開けるってばよ
裕子,ムムムムムム…！
芳乃,ほー？。あやー、パジャマのズボンがー
早苗,やっほープロデューサー君。遊びに来たわよー……って
雫,こんにちはプロデューサーさん。…あれ？
芳乃,ほー
Ｐ,今度はこの３人か。何かみんなで打ち合わせでもしてるの？。って一体どこを見て…
芳乃,ズボン無
早苗,…
雫,…えっとー
Ｐ,ちゃうねん
早苗,話は署で聞くわ
雫,カツ丼作りますねー
Ｐ,ちゃうねん！
裕子,ムムムムムー…！…あれ？いつの間にかドアが開いて…ハッ！サイキック成功！？
早苗,紛らわしいわねえ。てっきりプロデューサー君がとうとう芳乃ちゃんを手籠めにしちゃったのかと思っちゃったわよ
Ｐ,手籠めってまた古い言い方を
芳乃,わたくしは一向に構いませんがー
Ｐ,構いなさい
雫,ここがプロデューサーさんのお家なんですねー。私来るの初めてですー
裕子,サイキックお宅訪問！
Ｐ,アイドルなんだから軽々しく男の部屋に…え、俺が間違ってるの？
早苗,まぁまぁ固い事言わないで。ほら、保護者もちゃんとついてるんだし
Ｐ,ああ、確かに雫がいてくれるなら安心ですね
早苗,え？
裕子,感知しました！プロデューサーのお部屋はここですね？
Ｐ,そこ風呂場なんだけど
雫,あ、これお土産ですー。実家から送って貰ったんですけどー
Ｐ,いつもありがとな。ハハッ、何キロあるのこの牛肉
早苗,買ってきたビール冷蔵庫に入れとくわよー
Ｐ,飲ませねーよ！？
裕子,ムムムムー！今度こそプロデューサーのお部屋を…！
芳乃,ほー？
裕子,という訳でみんなのオフがたまたま同じだったのでサイキック訪問しました！
Ｐ,たまたまじゃないよ。気を聞かせて合わせたんだよ
雫,確かプロデューサーさんも今日はお休みだった筈だから遊びに行ってみましょうかー、という事になったんですー
Ｐ,真っ先に思いつく遊び場所が俺の家ってどういう事？
早苗,まぁまぁ。あたしが保護者として付き添ってるんだしプロデューサー君が不埒な真似をしたら即シメればいいだけでしょ？
Ｐ,一番保護者が必要なのも普段不埒なのも早苗さんの方じゃあいたたたたたた！関節そっち曲がらない！
早苗,前々から思ってたけどあたしの扱い雑じゃない？
芳乃,愛されておりますー
Ｐ,助けてよしのん！俺曲げられちゃう！前川のキャラみたいに曲げられちゃう！。痛て…灘神影流を体得して無かったら危なかったわ
早苗,ふーんだ。いっつも若い娘ばっかり構って大人組のケアを疎かにしてるからよ
Ｐ,いやいや、たまに飲み会付き合ってるじゃないですか
雫,わぁー、ぴにゃこら太の着ぐるみパジャマですー。着てみてもいいですかー？
Ｐ,一部サイズ的に無理じゃない？
裕子,あっ、私も着てみたいです！
Ｐ,どうぞどうぞ
裕子,ムムッ！？
早苗,うーん…見当たらないわね。いかがわしい本の１０冊や５０冊あって然るべきなんだけれど
Ｐ,そんなにあるかぁ。ガサ入れやめて
雫,お肉痛んじゃいますから冷蔵庫に入れておきますねー
Ｐ,いやいや入らない入らない。冷蔵庫壊れるっての
裕子,ではここは私のサイキック鮮度維持で！ムムむむーっ！
芳乃,ほー？
早苗,え？
雫,わっ
Ｐ,２人の弾け飛んだ胸元のボタンが的確に俺の眼球に！
悪質業界人,フォーフォッフォッフォッ、見たぜよ見たぜよ。セクシーギルティが妙にハイライトうっすいオッサンの部屋に入っていくのを。こいつはスキャンダルだなぁ。グヒヒ、これをネタにアイドルを脅して薄い本のような展開に…。ん？何だ今の。部屋に近づこうとしたら何だかピリッと…。………
業界人,彼女たちと共演した時に恥ずかしくない自分にならなければ
Ｐ,あっという間に冷蔵庫の中身がビールと肉に埋め尽くされてしまったでごぜーますよ
早苗,夜は焼肉っしょー！
Ｐ,晩飯まで食べてく気かい。てか飲んだらアンタ絶対帰らなくなるだろ
雫,明日もお休みですから大丈夫ですよー？
Ｐ,大丈夫の意味が違うってばよ
裕子,えっ、ダメなんですか？私マクラ持ってきたんですけど
Ｐ,年頃の娘さんがオッサン家にお泊りとか駄目だろ
芳乃,お布団足りるでしょうかー
Ｐ,駄目だからね！？
裕子,ムムーン！サイキック・説得！
雫,わっ
Ｐ,足を滑らせた雫がなぜか俺の真上に！
雫,ごめんなさいー。大丈夫ですかー？
Ｐ,ﾓｶﾞﾓｶﾞ
雫,ひゃっ。もぉー、くすぐったいですー
Ｐ,ぷはぁ！窒息するかと思ったわ！
早苗,コラー！あたしの目の前でセクハラとは良い度胸ね！
Ｐ,冤罪にも程がある！
裕子,今度こそ！ムムム…！
早苗,ひゃっ
Ｐ,足を滑らせたバブル婦警がなぜか俺の真上に！
早苗,ちょっ！今なんつったー！
Ｐ,あばばばばばば
雫,わあー、人ってこんなに捻じれるものなんですねー
裕子,あ、あれ…また失敗？ならば３度目の正直…！
芳乃,そいやっ
裕子,へ？
Ｐ,うん良い天気。さぁて今日もオフだけど今度は誰が来るんだろうなぁ
芳乃,賑やかなお休みが続いておりましてー
Ｐ,慌しくてすまんね。ゆっくり芳乃を構って上げたいところなんだけど
芳乃,そなた成分は夜に摂取しておりますのでー
Ｐ,ああ、起きたら布団に入ってるのワザとだったのな。ほら来た。アンダーザデスクに１００円賭けよう
芳乃,では１４２`ｓに５なでなで賭けましょうー
Ｐ,さてさて、一体何輿水幸子だ？今開けるぞー
幸子,フフーン！休日でボクという太陽を失い干からびているプロデューサーさんの元にカワイイ成分がやってきましたよ！
Ｐ,ちょっと何言ってるのかわかんないんですけど
輝子,や、やぁ親友…奇遇だな…
Ｐ,俺の家なのに奇遇とは
小梅,もしもしプロデューサーさん……今、あなたの家の前にいるの…
Ｐ,目の前にいるよね
小梅,えへ…
芳乃,そなたーそなたー
Ｐ,うん？
芳乃,わたくしの勝ちですー
Ｐ,せやね
芳乃,えへへー
幸子,ボク達が遊びに来たというのに何をイチャついてるんですか！
Ｐ,ああ、悪い悪い。はいお裾分け
小梅,えへ、えへへ…
輝子,フヒッ！フ…フヒヒ…
Ｐ,外は寒いし取り合えずお上がりなさいチビっ子達
幸子,ちょっ！
小梅,お、お邪魔しまーす…
輝子,イェーア！ゴートゥマイフレンズホームッ!！……あ、はい、はしゃぎすぎました
幸子,ボク、参上！
あの子,お邪魔ー
芳乃,いらっしゃいませー
Ｐ,今誰か１人多くなかった？
あの子,気のせいだよ
Ｐ,そっか
小梅,あ…こ、これ、お土産…
Ｐ,なんだ気を使わなくてもいいのに……うん、ドラマ版リ〇グ全巻ありがと。トラウマだけどね
輝子,…あ、あんまりジメジメしたところが無いな…
Ｐ,出来る限り小まめに掃除してるからね
輝子,おおう、そ、それじゃあ私は一体どこにいれば…
Ｐ,リビングで寛いでなさいな。今狭山茶煎れてやるからさ
幸子,意外と綺麗にしてるんですねぇ。てっきりグチャドロの腐海のような部屋だと思っていましたけど
Ｐ,お前はその腐海に遊びに来るつもりだったの？
芳乃,貴女には何をお出しすれば宜しいでしょうかー？
あの子,お構いなく
幸子,かくかくしかじかでみんなの休みがたまたま重なったので遊びに来てみました
Ｐ,たまたまじゃないよ。気を利かせて合わせたんだよ
輝子,め、迷惑じゃなかったか…？休み、だったんだろ…？
Ｐ,アイドルが男の部屋にノコノコ遊びに来るのはどうしたもんかとは思うけど迷惑ではないよ
小梅,ここが、プロデューサーさんのお家…私、初めてきた…
Ｐ,何でみんなして俺の家来たがるの？
芳乃,事務所からも程良く近くー、遊具にも事欠きませんのでー
Ｐ,芳乃フォローして？
あの子,ｓｗｉｔ〇ｈやっていい？
幸子,うわーっ！ゴール寸前で赤甲羅は鬼畜すぎません！？
輝子,ち、近くにいた…幸子ちゃんが、悪い…
小梅,また、落ちちゃった…ふふ、何度でも蘇る…ゾンビみたい、だね…
芳乃,１位でしてー
Ｐ,ギャグのつもりで出したけど意外と盛り上がるのな
あの子,マリオカートは世代を超えて愛されてるね
芳乃,そなたは遊ばないのでー？
Ｐ,対戦ゲームはエキサイトしちまうタイプなんよ
幸子,そう言えばプロデューサーさんってモンハンの時もすぐムキになりま…って誰ですか今の甲羅はぁ！
小梅,…油断大敵…だよ？
輝子,ヒャッハァー！今のうちにゴールは頂きだぜぇ！！あ、ちょ、スター状態で追いかけてくるのやめ…ノォーッ！！
幸子,そ、そろそろ別のゲームやりましょうか…流石に叫び疲れました
Ｐ,紗南に貸したりしてるから今残ってるの龍が如くシリーズしか無いけど
幸子,よりにもよって！？
小梅,あ…こ、これ…ゾンビが出てくるの…？
Ｐ,出てくるよ。新宿の繁華街を舞台にヤクザ達がゾンビを撃つゲームだから
輝子,な、なかなかロックなゲームだな…
あの子,シリーズの黒歴史感がするけどね
悪質課金兵,テハハハハハハ、見たぜ見たぜェ。142'sが妙にハイライトうっすいオッサンの部屋に入っていくのを。このネタでどこまで搾り取れるだろうなぁ？毎日１０連ガチャも夢じゃないぜぇ。ん？何だ今の。部屋に近づこうとしたら何だかピリッと…。………
ただの課金兵,心から彼女達を愛しているのなら全てを投げ打ってでも課金しなくては
Ｐ,おっと、ゲームに夢中になってたらもうこんな時間か。そろそろお帰りなさいリボルギャリーで送ってくから
小梅,ほんとだ…もう、夜だね…
輝子,そ、そろそろ、ディナーの時間だな…
幸子,確かにお腹空きましたね。あ、作るのが面倒でしたら出前でも構いませんよ？ボクは優しいですから！
Ｐ,お帰りなさいって言ったんだけど
幸子,うーん、困りましたねぇ。ボクの晩ご飯にふさわしいカワイさ溢れ返るメニューが思いつきません
輝子,き、キノコいっぱい…やつらに日の目を…み、みせられるようなものを…
小梅,えっと、ね……デンジャラスで…ゾンビな感じの…
Ｐ,カワイくてキノコたっぷりデンジャラスゾンビな夕飯って何だよ
芳乃,闇鍋でしょうかー
あの子,卯月ちゃん呼ばないと
Ｐ,やめなさい。みくとまゆも呼ばないといけなくなるだろ。仕方ない。じゃあ何か食べにいくか。何かリクエストあるか？
幸子,いつもみたいにデニ〇ズは無しですからね！回らないお寿司がいいですっ！
小梅,い、いしがまハンバーグ…
輝子,夜は焼肉っしょーー！！ヒャッハァーー！！……はい、すいません牛角でエリンギ焼きたいです
芳乃,ぶっふえに、行ってみたいですー
あの子,駅前のサイゼ
Ｐ,よしサイゼ採用
芳乃,ぶっふぇはー
幸子,違いますよ芳乃さん。それを言うならビュッペですよ
小梅,幸子ちゃんも、違うよ…？ビュッピェ、だよ…
輝子,の、ノォ……ブップェ、じゃないのか…あれ？
Ｐ,ビッュフェって言いたいの？
あの子,食べ放題でいいじゃん
Ｐ,良い天気だなぁ。…さて、今日はどのユニットが遊びに来るのやら
芳乃,にゃん・にゃん・にゃんの方々に８なでなで賭けましょうー
