テレビ沖縄では――,かなさんどー
響,え？1年ぐらい普通じゃないか？
貴音,はぁ……
響,だって、長い時は5年とか6年とかもあるって聞くぞ
貴音,そうなのですか……わたくしはてっきり、10分ぐらいで済むものかと思っておりました
響,10分！？
貴音,何かおかしいですか？
響,いや……確かに貴音ならできるかもしれないけど、それは流石に……。あのさ。貴音はもっと自分を大切にした方がいいと思うぞ？
貴音,はぁ……ありがとうございます？
響,とにかく、そんなに簡単にあげられるものじゃないんだ。分かった？
貴音,ふむ……かなさんどとは、かくも奥深いものだったのですね。しかし、わたくしは今すぐに欲しいのです……いけませんか？
響,うぐっ……う、上目遣いしても駄目だぞ！
貴音,そこを何とか！何とかお願いします！
響,そう言われても……ねぇ、本当に自分じゃないと駄目なの？
貴音,と、言いますと？
響,だからさ。その辺の人……例えば、プロデューサーとかにお願いすれば――
貴音,プロデューサーに相談しましたところ、響に頼めと助言を頂きましたが
響,何で！？
貴音,何でと言われましても……わたくしも響以外には考えられませんし……
響,……そんなに自分がいいのか？
貴音,ええ。響でなければ駄目なのです
響,そうか……それはその……ありがとう？
貴音,どういたしまして……？
響,うーん……結局、貴音の意思は変わらないんだよね？
貴音,はい
響,じゃあ、その……妥協案というか、次善の策というか――。自分も心の準備ができないと、その……難しいから……ね？
貴音,はぁ……
響,だから、その……貴音にも協力して欲しいんだけど……駄目かな？
貴音,響がそれでいいと言うのなら、わたくしは構いませんよ
響,そっか……ありがと
貴音,して、わたくしは何をすればよいのでしょう？
響,えっと……どうしよう？
貴音,わたくしに訊かれても困るのですが
響,だって、自分もこういうの初めてだし……正直よく分かんないって言うか……
貴音,ふむ……
響,逆にさ。貴音は何かやりたい事ってあるのか？
貴音,わたくしですか？
響,何でも……は駄目だけど、やりたい事があるなら――
貴音,そうですね……では、味見で構いませんか？
響,味見！？貴音はそんな軽い気持ちだったのか！？
貴音,はて？何かおかしかったでしょうか？
響,いや、おかしいでしょ！それとも何！？貴音はいつも味見してるのか！？
貴音,ええ……こう、ひょいっと――
響,ひょいっと！？そういうの疎いんじゃなかったの！？
貴音,疎い……？何の事ですか？
響,何の事って……あ、味見なんて不純だぞ！
貴音,響の言い分ももっともです。やめなければと思ってはいるのですが――。どうにもつまみ食いの衝動が押さえられず……先日は春香に怒られてしまいました
響,春香ああぁぁぁ！？
貴音,真、甘露でした
響,ちょっと待って！友達の感想とか聞きたくないんだけど！？
貴音,無論、響の物も楽しみにしていますよ？
響,うぇっ！？えっと、その……は、恥ずかしいぞ……
貴音,そう畏まる必要はありません。もっと自信を持ってください
響,自信を持てって……自分、そういうの分からないし……
貴音,そうなのですか？春香は自信満々でしたが
響,はい？
貴音,何を驚いているのですか？春香からは何度も貰っているではありませんか
響,え？本当に？冗談とかじゃなくて？
貴音,冗談ではありませんよ。ほら、いつも言っているでしょう？食べてくださいと
響,ああぁぁぁ……春香のイメージが……あの明るい春香がそんなのって……
貴音,まあ……響の言う通り、少し控える事にいたしましょう
響,そうするといいぞ……あんまり頻繁にすると、春香も大変だろうし……。あっ！これはあくまで想像だからな！？自分はそういうの知らないし！
貴音,いえ、響の心配も分かります。ここ最近は機会が多く、春香もちょっと疲れると言っていました
響,だからリアルな話はやめて！。あのさ、貴音。自分が言うのも何だけど、そういうのはもっと時間を掛けるべきだと思うんだ。だから、その……そんな軽い気持ちでするのは、駄目なんじゃないかなって
貴音,しかし、手間を掛ければいいという訳でもないでしょう？
響,手間！？貴音は面倒臭いとか思ってるのか！？
貴音,わたくしとて、たまには面倒に思う事もありますよ
響,そうなのか……それはその……春香にも？
貴音,いえ。春香の場合、準備は全て彼女がしてくださいますので――。わたくしは頂くだけですね
響,爛れてるぞ！
貴音,あの……別に怪我はしていないのですが
響,そりゃ貴音はしてないよ！？してるのは春香！。もう犬に噛まれた云々ってレベルじゃなくなってきたぞ……
貴音,犬が噛むのは遊びみたいなものでは？
響,遊びなの！？自分、そんなの絶対に嫌だからね！？
貴音,はぁ……分かりました
響,この際だから確認しとくけどさ
貴音,何でしょうか
響,……春香だけなの？
貴音,と言うと？
響,だからさ。貴音が貰ったのは、その……春香だけなのかなって……
貴音,いえ、美希からもですね
響,美希もなの！？
貴音,何か驚く事が？
響,いや……もう春香で慣れたけどさ……でも、そうか……美希もなのか……。……参考までに訊きたいんだけど、美希ってどうなの？
貴音,どう、とは？
響,その……美希もすぐなの？
貴音,そうですね……美希は守りが堅いと言いますか――。すんなりくれる事は少ないですね
響,そうなんだ……美希って意外としっかりしてるんだな……
貴音,しかしですね
響,ん？
貴音,わたくしが欲しいと言うと、渋々ながらくれるのです
響,美希いいぃぃぃ！押しに弱いにも程があるぞ！？
貴音,とはいえ、やはり抵抗があるのでしょうね。頂く時には、美希はいつも涙目になってしまうのです
響,でも、結局は貰うんだよね？
貴音,当然です
響,鬼畜すぎるぞ……
貴音,それにしても、あれは真に美味でした……。柔らかなようでいて、絶妙な弾力が素晴らしく――
響,だから生々しい話はやめてってば！
貴音,はぁ……響が嫌と言うのならやめますが
響,あのさ。一応はっきりさせておきたいんだけど
貴音,何をです？
響,……本当に自分がいいの？春香とか美希も居るんでしょ？
貴音,心配ありませんよ。今は響が適任なのです
響,今は！？じゃあ、終わったら……その、どうするの？
貴音,仕事に行きますが？
響,ねぇ何なの！？自分は貴音の何なの！？
貴音,落ち着いてください
響,落ち着ける訳ないでしょ！？自分は真剣なのに、貴音はそんな軽い気持ちだったなんて……。うぅ……どうせすぐに飽きちゃうんだ……そしたら捨てられるんだ……
貴音,響
響,ぐすっ……何？
貴音,わたくしは決して捨てたりしません
響,……本当？
貴音,ええ。全て残さず頂きます
響,それはそれで怖いぞ！？。……ねぇ、貴音
貴音,どうしました？
響,貴音はさ。自分の事……好き？
貴音,勿論です
響,自分じゃないと駄目？
貴音,ええ。響以外には考えられません
響,そ、そっか……ありがと
貴音,どういたしまして。して、いつかなさんどは頂けるのでしょうか？
響,それは……もうちょっと待って欲しいぞ
貴音,分かりました
響,……あのさ、貴音
貴音,はい？
響,自分、過去の事は気にしないから……。だから、貴音も自分だけにして欲しいんだ。駄目かな……？
貴音,ふむ……響が趣向を凝らしてくれるのなら、わたくしは一向に構いませんが
響,趣向！？わ、分かった……頑張ってみる……
貴音,ありがとうございます
響,でね？もう過ぎた事を言っても仕方ないから……。こっ、これからの事を考えたいんだ！貴音と一緒に！
貴音,響が言うのなら、その通りにしましょう
響,それで、その……貴音はもう待てないんだよね？
貴音,はい。叶うのならば、今ここでお願いしたいぐらいです
響,ここって……事務所で！？
貴音,何か問題が？
響,いやあるでしょ！？誰かに見られたらどうするの！？
貴音,わたくしは気にしませんが
響,自分が気にするの！。と、とにかく！後で自分の家に来て貰うって事で……どうかな？
貴音,分かりました
響,それで、自分の家に来てからの話だけど
貴音,はい
響,えっと……こういうのは作法が大事、だと思う
貴音,作法ですか？
響,うん。その……するにしても、順序とか色々あるって聞くし……
貴音,成程。では、最初になぷきんを――
響,いやいやいや！そんなの使わないぞ！？
貴音,そうですか？万が一に備える必要はあるかと思いますが
響,万が一って何！？貴音はどういう状況を想定してるの！？何かを零す前提なの！？
貴音,いえ、そのような勿体ない事はいたしませんが
響,……じゃあどうするの？
貴音,全て口に入るように――
響,そっ……そんなの汚いから駄目だぞ！
貴音,そうでしたか……勉強になります
響,話を進めるけど……いい？
貴音,はい
響,じゃあ、まずは自分がベッドに寝転ぶから……
貴音,え？椅子ではなく？
響,こういうのはベッドでするの！
貴音,はぁ……斬新ですね
響,別に斬新でも何でもないと思うんだけど……貴音はどんなのを想像してたの？
貴音,それは、こう……向かい合わせで行うものかと
響,椅子に座って？
貴音,無論です
響,そんなの恥ずかしいから駄目！
貴音,恥ずかしい……？そうでしょうか？
響,そうなの！
貴音,どうにも釈然としませんが……分かりました
響,ていうか、さっきからちょっとおかしくない？
貴音,何がでしょう？
響,だって、微妙に会話が噛み合ってないというか……
貴音,作法の話ですよね？
響,そうだけど……何か違う気がする
貴音,要領を得ませんね……もっと具体的に教えて頂けませんか？
響,そ、そんなの自分には絶対無理だぞ！
貴音,はぁ……無理と言うのなら、仕方ありませんね
響,……話を続けるぞ
貴音,どうぞ
響,自分がベッドに入った後だけど……
貴音,はい
響,……いきなりは駄目だからね？
貴音,心得ております
響,……そうなの？
貴音,勿論です。こう、外側から順番に――
響,なんかねちっこいぞ！？
貴音,至って普通かと思いますが
響,本当に……？
貴音,ええ、恐らくは。ただ、春香や美希の時は素手でしたが
響,ちょっと待って？自分の時は道具を使うつもりなの？
貴音,それが当たり前では？
響,自分初めてなんだぞ！？道具なんて嫌だからね！？
貴音,ふむ……では、素手で？
響,う、うん……そっちでお願い
貴音,しかし、困りましたね……
響,何が？
貴音,いえ……美希から貰った際、手がべたべたになった事を思い出しまして
響,べたべたって何！？何をしたらそんな事になるの！？
貴音,特別な事は何もしていないのですが……
響,そ、そうなんだ……美希って敏感なんだな……
貴音,とにかく、汁が飛び散るのではないかと心配なのです
響,飛びっ――！？自分そんな事ないからね！？普通だからね！？
貴音,そうなのですか？
響,うん……いや、比べた事ないけど……そう思いたいぞ
貴音,やはり道具を使った方が――
響,いや道具を使った方が飛び散るよね！？絶対そうだよね！？
貴音,響……わたくしとて、道具の扱いには慣れているのですよ
響,慣れてるの！？
貴音,はい。安心してください
響,余計不安になったぞ……
貴音,まあ、響が嫌と言うのなら素手にいたしますが
響,ありがと……
貴音,それで、次はどうするのですか？
響,どうって……その――。か、解散……とか？
貴音,はぁ……解散ですか
響,うん……
貴音,その後は何もないのですか？
響,え？うーん……ない、と思うけど……
貴音,ふむ……何もないのでしたら、わたくしはでざぁとを頂きに春香のところへ――
響,……何で
貴音,はい？
響,何でっ……何でそんな事するんだよぉ……！うわぁぁぁん！
貴音,響！？どうして泣くのですか！？
響,たっ、貴音が悪いんでしょ！？どうせ自分の事なんて嫌いなんだ！
貴音,違います！響を嫌いになるなど――
響,じゃあ……ひぐっ……何で春香に……うああぁぁぁっ……！
貴音,わ、分かりました。春香に会うのはやめます。それでいいですか？
響,ぐすっ……うん……一応、許してあげる……
貴音,あ、ありがとうございます……。……落ち着きましたか？
響,うん……泣いちゃってごめん
貴音,いえ、気にしておりませんよ
響,……あの
貴音,何ですか？
響,今度のオフ……重なってたよね？
貴音,ええ。その筈です
響,じゃあ、その……待ってるから
貴音,はい。楽しみにしています
響,……うん。でもさ……貴音も、もう一度よく考えてみて欲しいんだ
貴音,と言うと？
響,一時の気の迷いで言ってるなら……考え直した方がいいって思うから。だから――
貴音,響
響,……何？
貴音,わたくしは、響がよいのです
響,……分かった。じゃあ、今日は帰るね
貴音,ええ。お気をつけて
響,うん……またね、貴音。貴音、来たんだ……。どうしよう……緊張するぞ……。い、今開けるから！
貴音,こんにちは
響,……いらっしゃい。こっちに来て
貴音,はい。それにしても……
響,何？
貴音,いえ、随分と薄着なのだな……と思いまして
響,バカ……貴音の所為でしょ……
貴音,響？
響,な、何でもないっ！。……どうぞ
貴音,お邪魔します
響,…………
貴音,……あの、響？
響,――えっ？あ、うん……なあに？
貴音,その、いつになったら――
響,貴音
貴音,は、はい
響,すうぅぅぅ……はあぁぁぁ……。かっ――
貴音,か？
響,かなさんどぉぉぉっ……！
貴音,……え？
響,……はぁ……はぁっ……！
貴音,響、あの
響,はぁっ……な、何？
貴音,かなさんどはどこにあるのでしょう？
響,へ？
貴音,響の意気込みは伝わってきました。して、件のかなさんどは一体どこに――
響,え？待って？ちょっと待って？。ねぇ貴音。貴音はかなさんどーを何だと思ってるの？
貴音,沖縄の名物料理では？
響,違うよ！？
貴音,はて……では、一体何なのでしょうか？
響,かなさんどーは愛してるって意味の言葉だぞ！
貴音,なんと……そういう意味があったのですね。わたくしはてっきり、さんどいっちのような物かと
響,って事はまさか、この前の話って――
貴音,ええ。響にかなさんどを作って頂きたいと思いまして
響,それじゃあ、あの時10分ぐらいで済むって言ってたのは……
貴音,はい。さんどいっちならばその程度の時間で完成するのではと
響,つまみ食いがどうこうって言うのは……
貴音,春香のくっきぃの事ですね
響,べたべたしたって言うのも……
貴音,おにぎりの話ですね
響,ナプキンが云々って言ってたのは……
貴音,てぇぶるまなぁの話でしょう？
響,いや言ったよ！？確かに作法の話って言ったけども！。じゃあ何？外側から道具でって言うのは、ナイフとフォークの話で……。汁が飛び散るっていうのは――
貴音,そぉすたっぷりかと思いましたので
響,ややこしいぞ！。うぅ……自分はなんて勘違いを……
貴音,ところで、お尋ねしたい事があるのですが
響,……何？
貴音,先日言っていた、自分だけにして欲しいとは一体……？
響,そ、それは――
貴音,それとべっどに入ってすると言っていましたが、何をするのでしょう？
響,し、知らないっ！自分、知らないからな！
貴音,しかし、響が――
響,……帰って
貴音,え、でも……まだ何も頂いておりませんが……
響,いいから早く！ほら！
貴音,ちょっ……あの、響！？
響,もう貴音なんて知らない！大っ嫌い！
貴音,…………。あ、電話……。プロデューサー……。いえ、その……。……嫌われました。愛が欲しいと言ったら、嫌われてしまいましたっ……！うあぁぁぁっ……！
