一人は金髪の人間,ヒューマン
ガヴリール,ほうネットか、お前にしてはいい心がけだな。じゃあその吸血鬼もネットで強いと言われているのか？
サターニャ,知らない
ガヴリール,はあ？
サターニャ,だって公式サイトを見にいった時に下の欄に序盤最強は剣士って書いてあったのをみただけだし
ガヴリール,バカだな
サターニャ,なんですって！！
ガヴリール,これが剣士だから恐らくその情報に間違いはないだろうから良いが、ネットのしかもよく調べもしない攻略情報だぞ？。悪質プレイヤーによる情報操作系の嫌がらせの可能性のが普通に大きいからな！。そんなもん間に受けて悲惨な目にあうのは頭がアレなお前でもわかってるもんだと思ったが……。まあ少なくとも基本剣士にハズレはないから安心しろ
ラフィエル,なんだか今日のガヴちゃん、いつもより頼りになりますね
ヴィーネ,そうね、やっぱりゲームの中だからかしら
サターニャ,そういえばガヴリール、アンタの職業は弓使いだけどなんでなの？
ガヴリール,？
サターニャ,剣士にハズレが無いんだったら別に剣士でも良かったんじゃないの？。それに周りをみた感じ、弓使いっぽい装備している奴がほとんどいない気がするし……
ガヴリール,ああ、それはだな。弓使いっていうのもそれこそ序盤不利職の定番だからだな
サターニャ,はあ、なんでよ！？弓強そうじゃない遠くから狙って撃つ、どこに弱い要素があるのよ？
ガヴリール,ゲームにもよるが、弓を撃つ為の矢を買うお金がまず序盤ではあんまり手に入らない
サターニャ,あっ
ガヴリール,しかも戦闘の度に矢を消化して買う訳だからなかなか強い装備も買えない
サターニャ,確かに！
ガヴリール,更に言うなら矢の数が決まっている以上、敵に攻撃出来る回数の上限が事実上決まっているし、そもそも弓は必中じゃないから絶対当たる訳でもない
サターニャ,なによそれ、ハズレもハズレ大ハズレの職業じゃない！！なんでそんなダメダメ職業をあえて選んだのよ！？
ガヴリール,だから私にも考えがあるんだって
サターニャ,考え？考えってなによ？
ガヴリール,それは戦いになったらわかる
サターニャ,？
ガヴリール,という訳で初戦闘に向かってる訳だけど……
サターニャ,ばたんきゅ～……
ガヴリール,なんでまだ戦ってもないのにお前のHPは半分になってるんだよ！？
ラフィエル,どうやら吸血鬼は日に当たると徐々に体力が減っていくようですね
ガヴリール,クソ過ぎる……
ヴィーネ,安心してサターニャ、私が魔法で回復してあげるから《ヒール》
サターニャ,ぐぎゃあーーー
一同,！？
ヴィーネ,え、ウソ…確かに今回復の魔法を使ったのに……
ラフィエル,多分吸血鬼なので聖なるものを身体が受け付けず回復魔法がサターニャさんには攻撃魔法になるのかと……。私たちの世界と同じですね
ガヴリール,圧倒的クソ種族過ぎる！！！。もうHPゲージ1割しか残ってないぞ？こんなんで初戦闘勝てるのか？。ていうかこれどうやったらHP回復すんだよ
ヴィーネ,普通に考えれば血を吸うんじゃないの？
ラフィエル,それはおもしろ……いい考えですね。ささ、サターニャさん好きな人の血を吸って下さい
サターニャ,うーん、じゃあガヴリール！
ガヴリール,なんでだよ！？普通に嫌なんだけど
サターニャ,えー、だってこの中じゃアンタが小ちゃくて丸っこくて美味しそうじゃない
ガヴリール,小ちゃくて丸っこい身体で悪かったな
ヴィーネ,小ちゃくて丸っこいって……サターニャ、それ割とガヴ以外の女子に言ったら絶交する事間違いなしのキラーワードだから気をつけなさい
ラフィエル,まあそういう打算抜きで思った事をいうのがサターニャさんなので……
ガヴリール,だからこいつ友達が少ないんだけどな
サターニャ,うるさいわね！！
ガヴリール,ていうか私がサターニャが好きとか嫌い以前に妖精のヴィーネの方がHPもMPも豊富なんだからヴィーネから血を吸った方が効率いいだろ
サターニャ,言われてみればそうね、ヴィネットちょっと首貸しなさい
ヴィーネ,ちょ、サターニャなにを……キャ
ガヴリール,うわぁ、なんかヴィーネさんめっちゃエロい……
ラフィエル,ヴィーネさん、エロエロですねー
ガヴリール,でもこれ男の吸血鬼とかだったら同性同士とかで血を吸うと思うとなんかむさ苦しいし、なんというか悲しい風景だよな
ラフィエル,まあゲーム越しとはいえ、初対面の男性に首を差し出す女性はそうそういないでしょうから、男性の吸血鬼さんはそうなりますよねー
ガヴリール,あるいはネカマの血を吸うか……。サターニャ女で良かったな
ラフィエル,女で良かったですねー
ヴィーネ,うぅ酷い目に遭ったわ……
サターニャ,ふぅ、すっかり回復したわ、これで元気ハツラツよ！！
ガヴリール,おい、サターニャ、またみだりに動き回って日光を浴びまくったら体力が減るだろ。太陽が極力当たらない様に出来るだけ私たちの後ろの影を歩くようにしろ
サターニャ,はーい
ラフィエル,着きましたね
サターニャ,なに？この青くてぷよぷよした弱っちそうな奴が敵なの？
ガヴリール,そうだ、これが今回の敵の青色軟体生物だ
ヴィーネ,青色軟体生物？スライムじゃなくて？
ガヴリール,ああ、なんでもゲームを作った企業間での大人の事情でこんな感じの残念な名前になったそうだぞ
ヴィーネ,それは深く聞かない方が良さそうね
ガヴリール,うん、そうした方がいいと私も思う
サターニャ,とりあえず戦いましょう！はやくはやく
ガヴリール,はいはい、わかったわかった。それじゃあみんな戦闘準備をしろ、最初は自分達が何が出来て何が出来ないかも把握出来ていないから、特に作戦もフォーメーション決めない、自由にやれ！
一同,了解～
ガヴリール,それじゃあ、戦闘開始だ！
サターニャ,ぬぅ～、攻撃が全然当たらないんだけど！！
ラフィエル,なぜでしょうか、敵もそこまではやく動いている様には見えないのですが……
ヴィーネ,私も今一つ狙いを定めて魔法を撃てないわ……
ガヴリール,ふぅ、まあこんなもんかな
サターニャ,なんでよ！？。なんでアンタばっかり攻撃が当たってんのよ？さてはズルをしているわねズル
ガヴリール,おいおい、言いがかりはやめろサターニャ。これが私が職業を弓使いにした理由だよ
サターニャ,？
ガヴリール,このゲームをやる前から大体想像はついてたけど、これはVRなんだろ？。なら普段自分が使わない様な道具で戦ってそう簡単に攻撃が当たるわけないじゃん
ラフィエル,確かにそうですね
ガヴリール,例えばサターニャ、お前がバカみたい振り回してるその剣、そんなもん日常で使わないから、お前間合いとか重さ、速度そういうの考えて振ってないだろ？
サターニャ,ええ……
ガヴリール,ヴィーネの魔法も、ゲーム向けで杖の先の当たりから魔法が出るみたいだけど、なまじ本物の魔法を使える分感覚が狂うんだろうし
ヴィーネ,そうね
ガヴリール,こういうのは、慣れればすぐモノに出来るんだろうけど私はそれ以上に使い慣れた武器弓。それでこのゲームのこと弓に関してのプレイスキルは最初から一流な訳だよ
ラフィエル,ふむ、さすがガヴちゃん中々に深い考えあっての職業選びだったんですね。要するにサターニャさん達はあの悪魔のフォーク的なものを使えばサクサク的に攻撃を当てる事が出来るようになると……
ヴィーネ,そんなものこの世界にあるのかしら？。それにあったとしてもすごく世界観が壊れそう
ガヴリール,そこはアレだよ、MMORPGなんて世界観壊してナンボみたいな所あるし
ヴィーネ,そうなの？
ガヴリール,ああ、そうなんだよ。とりあえずお前達は、もう一回ちゃんと素振りとかをして武器の間合いとか使い心地に慣れればいいよ。それで戦闘も大分マシになる筈だぞ
一同,はーい
サターニャ,なーっははは、だんだん当たるようになってきたわよ！！。この調子でさっきまでの恨み果たしてやるわ！覚悟しなさい、このスライム…じゃなくて青色軟体生物っ！！！
ガヴリール,最初の敵で特に反撃もして来ないし、お前別にこいつらに恨みもなにもないだろ……
ヴィーネ,でも、こういうのは気分って言うしサターニャみたいな遊び方が実は一番楽しいんじゃない？
ガヴリール,言われてみればそうだな、普段からしてる効率重視のMMOを意識してたけど、みんなでやるんだったらそう言うのもアリかもな…
ヴィーネ,ガヴ……
ガヴリール,それじゃあ私も……。ちくしょう、なんで毎日毎日頻繁に学校の宿題が出るんだよ！！うち高校だろ！？ふざけんなよグラサン！！！
ヴィーネ,いや、ガヴそれは遊びじゃなくてただの八つ当たりじゃ……
ラフィエル,ガヴちゃん達楽しそうですね。私もやりますよーえいえい
一同,え？
ラフィエル,……………
サターニャ,い、今の爆発はなに！？
ヴィーネ,私にはラフィの槌メイス
ガヴリール,はあ？こんなの普通あり得ないだろ！！一体どうして………はっ！。ラフィエル……お前
ラフィエル,ふふ、バレちゃいましたか
ヴィーネ,一体どういう事なの？ガヴ
ガヴリール,こいつ…ラフィは課金してる……しかも多分それなりの額
サターニャ,課金？なによそれ
ガヴリール,ゲームにリアルのお金を使ってアドバンテージを貰うシステムだよ
サターニャ,え、なにそれズルい、卑怯よ！
ガヴリール,それは人によって考え方が違うから特に何も言えないが、さっきの青色軟体生物の爆散は課金ブーストされたラフィの攻撃翌力がアレの防御力、体力を遥かに上回った結果の現象だったんだ
ヴィーネ,でもいくらなんでも、課金をしてそんな爆散する程の威力の攻撃になるの？
ガヴリール,私もこのゲームをそこまで知らないから確かな事は言えないけど、多分なるんだろ。相当な金を積めば…あるいは………
ヴィーネ,？
ガヴリール,説明するとだな、このゲームに課金武器や防具、アイテムの要素はないが料金コースと追加オプションって言うのがあるんだよ
サターニャ,料金コース？
ガヴリール,こういうゲームには料金コースと言って一度買えば期間内の間、攻撃翌力や獲得経験値がちょっとだけ上昇するシステムがあるんだよ。そしてラフィはそれを恐らく全部併用して使っている……
サターニャ,じゃあ私もそのコースって言うのに入ればラフィエルみたいに強くなれるの？
ガヴリール,やめとけ、さっきも言ったようにコースは一定期間限定で大抵は一カ月くらいで効果が切れるし。しかも一つにつき大体数千円と言う金が掛かり、それでないよりはマシくらいの補正しか受けれない。ラフィ位のパワーアップをしようと思ったらそれこそ数万円は余裕でするぞ……
サターニャ,そうなんだ…
ガヴリール,こっち系のブーストは自力があればあるほど強くなるというのによりにもよってこんな最序盤で普通使うか！？
ラフィエル,さっきガヴちゃんに生産職は戦闘する力が低くて最初はやり辛いと聞いたのでついつい～
ガヴリール,絶対それついついで使う額じゃないからな！この金持ち巨乳め！！！
ヴィーネ,いや巨乳は関係ないでしょ
ガヴリール,あー、良いなぁ、めっちゃ羨ましい
ヴィーネ,まあまあガヴ、これでチーム全体の強さが上がったと思えばね？
ガヴリール,ちくしょう、こうなったらラフィエル絶対お前の倍は強くなってやるからなっ！！
ラフィエル,望む所ですよー
