モバP(以下、P),
周子,じゃんけんで負けたんだから言いっこなしだよ？
P,そうだけどさ・・・。というか周子は寮に戻らなくてもいいのか？今日女子寮で年越しパーティーがあるんだろ？
周子,う～ん・・・ギリギリまでお仕事だったから中途半端に帰ってもね。それにまだ年越しそばも食べてないし
P,だとしても年末にオッサンと二人でそば啜るよりは楽しいと思うけどな
周子,そんな事ないよ。Pさんは面白いオッサンだから
P,そうか。できればオッサンの方も否定して欲しかったけどな
周子,逆にPさんは帰らなくて良かったの？
P,え？
周子,年末に実家帰ったり友達と集まったりとかさー
P,実家も友達も県外だからそういうのはないよ
周子,そっかー・・・・・・・じゃあ彼女とかは？
P,彼女・・・？
周子,そ
P,・・・
周子,・・・
P,先週のクリスマス二日とも残業してた俺にそれ聞くか普通？
周子,・・・・・・えっ！？
P,絶対に分かってて言っただろ！
周子,まぁまぁ、じゃあ今日はシューコちゃんが一緒にいてあげるからさ。こんな美人アイドルと年越しだなんて滅多にあるもんじゃないよ？
P,自分で言うか普通・・・まぁそうだな。今年は周子と年を越せて幸せだと思う事にするよ
周子,よ、この幸せ者♪
P,あ・・・そんな事やってる間に年越しちゃったよ
周子,あちゃー、まだ年越しそば食べてないのに。今年もこんな感じであっという間に過ぎていくんだろうねー
P,そうだな
周子,今年もよろしくねPさん♪
P,あぁ、こちらこそよろしくな
周子,・・・あ、お正月って事はPさんからお年玉貰えるじゃん
P,何言ってんだ。お年玉は高校生までだよ
周子,Pさんのケチー
P,
周子,Pさん
P,なんだまだいたのか。明日は早いんだぞ？
周子,分かってるって。それよりさ、どん兵衛買ってきたから一緒に食べよー
P・周子,いただきます。
P,周子とこうやってどん兵衛を啜るのも今日で最後か
周子,週に一度くらいなら一緒に食べてあげようか？
P,それは大丈夫です
周子,強がっちゃって～。シューコがいないと寂しいでしょ？
P,・・・
周子,そこはなんか言おうよ
P,・・・麺伸びるぞ
周子,そういうことじゃないんだけどなー。・・・ふぅ
P,ん、もう食べきったのか
周子,まーね。でも今日はおつゆも飲んじゃおうかなー。・・・・ねぇPさん
P,ん？・・・ってカップ置けよ
周子,今まで本当にありがとう。こんなあたしを最後までプロデュースしてくれて
P,・・・。なんだよ急に。らしくない
周子,初めはいつもテキトーな事ばかりやって迷惑かけてきたと思うんだ。アイドル活動とか興味なかったしタダ飯とタダ宿もらえてラッキー、くらいにしか思ってなかったから。大概の人はそこで見限っちゃうんだろうけど、Pさんは見捨てなかったよね
P,当たり前だろ
周子,いやー・・・・嬉しかったぁ。人に必要とされることってこんなに嬉しい事なんだって、柄にもなく思っちゃったりしてさー。それからは心機一転！・・・とまではいかないけど、Pさんのために少し頑張ってみようかなーって。今まで目標とかって立てたことがなかったんだけど、少しだけ頑張ってみる。それがあたしなりの目標になったんだよね。その少し頑張るって目標が次第にもう少し頑張る、もっと頑張るになって今では自分の限界を超えたいとか思っちゃったりするからねー。まったくPさんは恐ろしい人だよねホント
P,それは周子が自分で変わっていったんだ。俺はサポートをしただけだ
周子,でも多分Pさんがいなかったらあたしアイドル続けてなかったと思うんだよね。Pさんだからここまで来れたんだよ
P,・・・っ
周子,だからさ・・・・シューコを変えてくれてありがとう
P,うっ・・・うぅっ・・・
周子,・・・
P,すまん・・・こんな見苦しい姿を・・・
周子,あたし今お汁飲んでるから見えてないよ・・・うん・・・見えて・・・ないからっ・・・
P,そうか・・・。なら良かった。ｚｚｚ・・・・んあっ？。ふぁ～、もう昼過ぎか。昼飯は・・・コンビニにでも行くか。おっ
どん兵衛,
P,・・・。・・・・狐の嫁入りか。今頃何してるんだろうな。二人で仲良く店の手伝いとかしてるのかな？。ｚｚｚ・・・ふごっ・・・ん？。・・・うわっ、もう夜かよ。せっかくの休みだったのに結局一日中寝てたのか。晩飯買いに行かなくちゃ
どん兵衛,
P,・・・夜もこれでいいか。よし、と・・・・うぅ～、トイレトイレ！。ふぃ～・・・・・・・ん？。・・・おい。おかえり、それパパのだぞ
娘,お出汁の良い香りがしてたからつい
P,どっかで聞いたなそれ。おかえり。あ、いやこれは・・・。あはは・・・。それよりお義父さんの具合はどうだった？。そうか、なら良かった。俺も行ければ良かったんだけどな
娘,パパにお土産あるんだよ！
P,お土産？あ、お義父さんの所の八ッ橋か。俺好きなんだよ
娘,ううん、違うよ
どん兵衛,
P,えぇ・・・。そう来たかー。にしても京都のお土産がどん兵衛って・・・そこのコンビニでも買えるぞ
娘,このどん兵衛は関西限定なんだよ！
P,関西限定？。へぇ、そうなんだな・・・じゃあせっかくだし食べてみようかな？。いいじゃんか、俺どん兵衛の口になっちゃってるしさ。いただきます。うん、確かに関東とは味が違うな。これはこれで美味い。・・・ん？
娘,ほんとだね～
P,・・・少し食べるか？
娘,パパのお土産だから！
P,そっか、じゃあ俺一人で食べ―――
娘,少しだけ食べてあげるよ！
P,食べる気まんまんじゃないか。箸まで用意して
娘,お爺ちゃんのお店手伝ったんだ！カンカン娘だってー！
P,カンカン？
周子,それじゃあ怒ってる人でしょ。看板娘ね
P,あぁ
周子,あたしが子供の頃着てた着物を着て接客してたんだよねー？
娘,おいでやすー♪
P,看板娘姿かぁ・・・きっと可愛いかったんだろうな～
娘,色んな人に褒めてもらったんだよ！
P,そうかそうか
周子,・・・コホン
P,？
周子,あたしの看板娘も結構褒めてもらったけどねー？一応元アイドルだし？
娘,ママ色んな人に美人さんって言われてたよね
周子,おおきにー♪
P,・・・まぁでも、看板娘って歳じゃないよなぁ
周子,・・・。これ明日のお弁当ね
どん兵衛,
P,えっ・・・？
周子,
P,あの・・・冗談だよ？ねぇ、ちょっと！
周子,知りませーん
P,ごめんって！許してくれよ、な！？
娘,・・・。カンカン娘？
