男子生徒A,なーなー、いいじゃん大崎
甘奈,...そうかもね
女子生徒B,まぁ甘奈はどうとでもなるとして、姉の方は独り立ちしてる姿は想像できないかなー
女子生徒A,うんうん。せんじんのたに？だっけ？ライオンの気持ちでさ、早いうちにドーンってしといた方がいいんじゃない？
甘奈,うーん...そっかな...
女子生徒B,まぁ、アタシらがあんま口出すのもアレだけど、とにかく進路希望の紙明日までに出してね。収集係のアタシが先生に怒られちゃう
甘奈,りょーかい。明日には出すね
女子生徒B,頼んだよ。じゃね
女子生徒A,じゃねー
甘奈,甜花ちゃーん、ごめん待った？
甜花,ううん...待ってないよ...帰ろ
甘奈,はーい。えっと今日体育あったんでしょ？歩いて帰れる？手押し車借りてこようか？
甜花,ううっ...アレはやだ...ちゃんと帰れるから
甘奈,りょーかい☆んじゃ手つないで帰ろ？
甜花,うん...
甘奈,甜花ちゃんさ、進路希望書いた？
甜花,...まだ...その、わかんなくって...
甘奈,だよねだよねー。将来なんてわかんないのに。あーめんどー
甜花,でもね...なりたいなーってのは...あるかも...
甘奈,えっ？甜花ちゃん、将来の夢とか決まったの？
甜花,そんなすごくないよ...ただ、甜花、いっつもなーちゃんに迷惑...かけてるから...かけないようになりたい...
甘奈,じゃあ夢は達成できてるね。甘奈全然メーワクなんかじゃないもん
甜花,えっと...そうじゃなくて...その...ひとりできちんとできるように...なりたい...なーちゃんみたいに...
甘奈,甘奈みたいに？
甜花,うん...なーちゃんいっつもテキパキで...カッコよくて...すごいから...
甘奈,もー褒めすぎだよー
甜花,ひうっ！？なーちゃん...恥ずかしいよ...
甘奈,だって嬉しいんだもーん。恥ずかしがる甜花ちゃんかわいー。甜花ちゃんはこんなに可愛いんだし、甘奈みたいにならなくてもいいと思うなー
甜花,そうだよね...甜花ダメダメだから...なーちゃんみたいになれないよね...
甘奈,甜花ちゃんはダメダメなんかじゃないよ。いくら甜花ちゃんでも甜花ちゃんの悪口言われると、甘奈ちょっと悲しいかな
甜花,ううぅ...ナデナデやめて...恥ずかしい...
甘奈,だーめ、甜花ちゃんの悪口言ったバツだよー。ただいまー
甜花,ただいま。なーちゃん...ゲームやろ？
甘奈,いいよ！今日こそ甘奈が勝つんだからねー
甜花,ふふっ...甜花も...負けない
甘奈,ぐわー、これで5連敗だー！甜花ちゃん強すぎるよ
甜花,むにゃむにゃ
甘奈,あー、甜花ちゃん眠い？
甜花,うん...ちょっと、眠いかも...
甘奈,じゃあ、甘奈が膝枕してあげるから寝ていいよ
甜花,そんな...なーちゃんの足痺れ...ちゃ...
甘奈,言ってる側から寝ちゃった。こんなこともあろうかと用意しておいた毛布をかけてっと
甜花,...
甘奈,あーホント甜花ちゃんの寝顔可愛い。国宝級だね。これはベストショットだ！保存フォルダに移動っと
甜花,...なーちゃん
甘奈,あっ、ごめん起こしちゃった？
甜花,...甜花、なーちゃんに...メーワク...かけ...ないように...ちゃんとする...から...ごめんね...なーむにゃむにゃ
甘奈,なんだ寝言かー。これだ！！！
甜花,ひうっ！！？
甘奈,あっ！ごめん！甜花ちゃんびっくりした？
甜花,...うん...ちょっと、びっくり...
甘奈,見つけたんだよ！甜花ちゃん！！進路！！
甜花,なーちゃん...夢...見つかったの？おめでとう...
甘奈,甜花ちゃんもだよ！！一緒にアイドルやろ？
甜花,...アイドル...？ええええええ！？
甘奈,甜花ちゃんこんなに可愛いんだし絶対にできるよ！！甘奈も今しかできない最高のキラキラを楽しめるし！！一石二鳥！！
甜花,えぇぇぇぇぇぇぇ.......
甘奈,決まりだね！！一緒にがんばろう！！
甜花,ぇぇぇぇぇぇぇぇ...
