大石泉,プロデューサーもやっぱりスカートが短いほうがいいの？
ちひろ,え
P,そうやって意識を取り除くことで、ある意味気兼ねなく接することができるから我ながらよく考えたものだと思うよ
ちひろ,……え？
泉,プロデューサーは味噌汁と肉じゃが、どっちに家庭的な印象を持ってるの？
P,どっちも捨てがたいなぁ。でも、頻繁に食べるということを考えれば、味噌汁かな
泉,味噌汁の具はたっぷり？
P,豆腐だけのやつが好きだな。母親の作ってくれた味噌汁が具が少なめのすっきりしたやつだったから
泉,へぇ、お母さんっ子なんだね
P,んー、今思えばそうだったのかもなぁ
泉,…………ち、ちなみに私は、母性があるってよく言われるんだ
P,ああ、そうなのか。なるほどなあ、弟がいるからかな。面倒見もいいもんな。年下への包容力を魅せる売り方も悪くないかも
泉,…………むぅ
P,なぜか不満気だ。そうだ、ありすと姉妹役での共演なんていいんじゃないか。泉とありすは傍目から見ていると本当の姉妹みたいだから、需要は見込めそうだ
泉,なら先ずはどういう仕事として取ってくるかだね。ドキュメンタリーの再現VTRなのか、テレビドラマなのか、バラエティのコントの一環なのか。やっぱりドラマがいいとは思うけど、そこはプロデューサーの正確な判断で決めてもらったほうがいいと思うから、決定権は委ねるね
P,お、おう。任せてくれここまで乗り気になるとは
泉,ふふ、楽しみだね
P,……まあ、泉が嬉しそうだからいいかな
泉,プロデューサーもやっぱり第一ボタンよりもっとあけているほうがいいの？
P,せめて第二ボタンで止めておいたほうがいいと思う
泉,わかった、第二ボタンだね
P,多分わかってないぞ
泉,と、ところで、関係ないけどこの部屋ちょっと暑いね。少しだけボタンをあけて涼もうかなあ
P,そうだなあ。もうすっかり春めいてきたのに、暖房をつけすぎてたかな。下げるよ
泉,…………むうう
P,今日もなぜか不満そうだ
泉,プロデューサーは、わざとやってるんじゃないかと思うときがあるよね
P,わざとって、なんのことだ？
泉,ううん、なんでもない。そんなに器用な人じゃないことも、察しがいい人じゃないことも知ってるから
P,もしかしてバカにされたのか、これは
泉,好きに解釈したらいいんじゃないかな
P,く、くう、言い返したい、けど否定できない！
泉,ふふ、プロデューサーはかわいいね
P,年下の女の子にかわいいと言われると、無性に悔しいな……！というか、かわいいと言えば泉だろ
泉,…………ふ、不意討ちはずるいよ
P,泉はやっぱり俺のことが好きなのかなあ
亜子,なにのろけとんねん
さくら,わたしもプロデューサーのこと大好きでぇす！
P,おおー、そっかー。さくらはかわいいなぁ、俺もさくらのこと好きだぞー
さくら,えへへぇ、やったぁ
亜子,五歳児への対応かい
P,さくらの頭まじ撫でやすいな、泉が永遠に撫でていたくなると言う気持ちがわかる。だがあまり撫ですぎると擦りきれそうだ
亜子,どんだけ力いれて撫でてるん？
さくら,大丈夫ですよぉ、もう慣れましたからぁ
亜子,さくらは逞しいなぁ
P,ちなみに亜子はどう思うんだ？
亜子,ええ……そんなもん聞かなくてもわかるでしょ。もう見るからにやん
P,いや、ほら。一応、客観的な意見を言葉にしてもらわないと、自惚れが強いみたいでさ……わかってくれ、あまりモテたことのない男の繊細な感情というやつを
亜子,めんどくさいなぁ。本人に聞けばいいと思うわ。いずみなら聞けば普通に答えてくれるよ
P,でもさ、お前俺のこと好きなの？と聞くのってやばくないか。デリカシーがないというか……職場セクハラじゃない？
亜子,言い方。というかそれ言ったらこの相談がもうセクハラかパワハラなんやけど
さくら,ハラスメントはいけませぇん！
P,お、おう。ごめんなさい。……さくらに言われると凄く心に来るな
亜子,とにかく、聞き方に気をつけて、真面目に。そしたらいずみはちゃんと答えてくれるから
P,そっか、わかった。ありがとうな
亜子,別に、いずみのためやから
泉,プロデューサー、話があるってどうしたの？
P,泉ならどんなスカートを穿いていてもかわいい
泉,……え？
P,中学生か高校生とか、そういう括りじゃなくて、泉なら何歳でもいいと思う
泉,ん、ん？プロデューサー？
P,泉の作ってくれる料理なら、どんな料理だって嬉しいぞ
泉,…………はっ、これ、もしかして？
P,あ、でもボタンは第一ボタンまでな。それ以上をあけていると、心配で仕方ない
泉,やっぱり、この間の……な、なんで今さら？
P,以上を踏まえて聞くんだけど、泉は俺のことどう思ってるんだ？
泉,どういうこと！？
P,いや、やっぱり曖昧にしていた部分をそのままにして自分だけ答えてもらおうなんて虫が良すぎるだろ。だからな
泉,へ、変に生真面目なんだ……
P,そうかなあ
泉,そうだよ。……もう、ばかみたい
P,そうか……えっと、それで。急かすみたいで悪いが、質問の答えは
泉,ふふ、私の答えなんて、決まってるでしょ？
