私は千歌ちゃんから,押し入れの整理してたら、すんごーいモノ見つけたから来て！
ルビィ,もう止めてください、みのり副会長
みのり,黒澤ルビィ……
ルビィ,ルビィの……わたしの好きな人がヘタレ呼ばわりされるのって、とても気持ちいいものではないので
みのり,貴女はいいんですか？高海千歌の代替品として扱われている現状で満足なんですか？
ルビィ,そりゃ満足はしてないですよ
みのり,なのにそうやって恋人ごっこしているんですか？
ルビィ,今は……まあ、そうかもしれませんね
みのり,だったら別れるべきですよ
ルビィ,どうしてそう極論へ走るんです？
みのり,互いのためにならないからです。何のメリットもない人付き合いに意味なんてありますか？
ルビィ,人付き合いは損得だけじゃないので、そのアドバイスは受け入れられません
みのり,後になって無駄なことをしてきたと後悔しても遅いんですよ？
ルビィ,何が無駄で何がそうじゃないのか、決めるのはみのり副会長じゃなくてわたし自身なので
みのり,報われない努力ほど……虚しいものはないんですよ
ルビィ,心配は結構です。曜さんはいつか、わたしが堕としてみせます
みのり,根拠のない自信ですね
ルビィ,もうネガティブなままではいられないので。行きましょう、曜さん。時間がなくなるんで
曜,う、うん。失礼します
ルビィ,みのり副会長とは路上ライブの申請の時に知り合ったんです
曜,そうなんだ。……にしてもなんか、ねぇ？
ルビィ,ですね。損得がどうとか報われるとかって……なんだか全てを金勘定してるみたいで嫌です
曜,金勘定……そういうことか
ルビィ,はいっ。ルビィは別にそんなビジネスライクな理由で、曜さんと付き合ってるんじゃないんで
曜,ルビィちゃん……ありがとね
でもそれらを突き詰めてゆけば、何もかもが,快楽を得たいから
曜,はぁ、みんなして私イコール千歌ちゃんが好きだなんて言うんだから
どうして私が未だに,千歌ちゃんのこと引きずっている
曜,ああーっ、モヤモヤするぅーっ！。もう寝よっ、寝ちゃおっ！うん、そうする！
千歌,うわぁ、さすがRX！ガン○ム級のサイズだねぇ！
曜,えっ!?RXってそっちの意味だったの？SとかMじゃなくて？
千歌,うん。っていうかSとかMってよーちゃんはどっち派なの？
曜,うーん、私はもちろんMで──
千歌,わかった。じゃあ今度ベッドの上でたっぷり泣かせてあげるね♡
曜,嘘ぉ!?そういう意味だったの？ポケ○ンのアカ○ちゃんネタ？
千歌,へぇ～、よーちゃんはア○ネちゃんみたいな娘がタイプなんだね。元気で、笑顔が似合う、スタイルもいい、チカみたいな♡
曜,ははっ、言うようになったじゃん。千歌ちゃんも
かつて,普通コンプレックス
千歌,よーちゃんが色々励ましてくれたからね。東京のイベントで0票だった時も
曜,へっ？
千歌,よーちゃんはイブ○さんかな？セクシーだし、なんかいつも競泳水着みたいなの着てるし
曜,うーん、どっちかっていうと果南ちゃんっぽくない？背が高いし、青髪でポニーテールだし、それに私ってイ○キさんほどクールって訳でもないし
まるで幽体離脱しているかのように私は,私
そしてその,私
千歌,ああっ、言われてみたらそうかもね。それによーちゃんはMだから○ブキさんみたくSっぽくないしねっ！
曜,いやいや、まだそのネタ引っ張るの？でもイブ○さんがSっぽいのは同意。鞭持ってるし
千歌,でしょー。んでその鞭で○カネちゃんをピシッ、ピシッっていじめちゃう……って同人誌を梨子ちゃんから借りてて──
曜,梨子ちゃん、千歌ちゃんへ何吹き込んだのさっ！
千歌,なんかベッドの上でアレコレやる時の参考にしてって
曜,しなくていいから！
それにまだ,えっちなこと
あたかも,私
千歌,んじゃ、さっそくRXことキャラメルマキアート生クリームマシマシを飲んでいきましょっか。よーちゃん♡
曜,ってコレ2人用なの？
千歌,うんっ、ストロー2本刺さってるし♡
曜,でもこれじゃ間接キスになるんじゃ──
千歌,チカと一緒じゃ、イヤ？
曜,嫌……じゃないけど
千歌,じゃあせーのっ！で同時に口付けよっ♡
曜,う、うん
千歌,せーのっ！
曜,ちょっとルビィちゃん!?何撮ってるのさぁ！
ルビィ,ピギッ!?そ、それは──
曜,それは？
ルビィ,梨子さんに……頼まれた、からで……
曜,ジーっ
？？×2,ビクッ!?
曜,梨子ちゃん？善子ちゃん？
善子,ヨハネよっ！……しまった!?
