本田未央,おっはよーう！まだまだ暑いねー！
凛,わかった。パフォーマンス自体はいいんだけど、ちょっと気になることがあってさ
未央,？
凛,ほら、この記事
未央,雑誌の？どれどれ……
東京五輪、中止か！？識者語る,これでは競技どころじゃない
未央,あー、よくある不安を煽る記事でしょ？そんな過敏にならなくても……
凛,でもほら、結構いろいろ、それっぽい問題点が書いてあるんだよ
未央,そうは言っても、私たちには何もできないんだし、気にしても仕方がないんじゃない？
凛,はぁ〜、これだから日本人は
未央,しぶりんも日本人でしょ
凛,今の国家の衰退を招いたのはそういう事なかれ主義だってことを何度言えばわかるの！？
未央,いや普通に初めて言われたけど！？
凛,そんなだから日本のGODは停滞するんだよ！
未央,わかんないけど多分GDPでしょ！？GODってそれただの神じゃん！！
凛,だから私は目を背けないよ。私のオリンピック、絶対に成功させてみせる
未央,しぶりんのオリンピックではないよ。急に大きく出たね
凛,もちろん、未央も手伝ってくれるよね？
未央,イヤだけど
凛,じゃ、最初の問題点だけど
未央,無視するならなんで聞くの？
凛,最初の問題は、暑さだって
未央,……そりゃそうでしょ。今日だって死ぬほど暑いし、こんな中でスポーツなんて、正直危ない……とは思う
凛,でも大丈夫。これは前々から言われていたからね。私はすでに解決策を用意してるよ
未央,まあ一応聞くけど、何？
凛,会場の周りにアサガオを植えて視覚的に涼しくする
未央,バカなの？。そんなんで涼しくなるわけないでしょ！？。いくらなんでも頭おかしいよ！！！。こんなの、気合いでどうにかしろ！と同レベルじゃん！！！。今は令和だよ！？ちょっと考えれば時代錯誤だってわかるでしょ！！！。絶対ありえない！！！！！。はぁ……はぁ……
凛,……なんかごめん
未央,……ううん、私も言いすぎたよ。ごめんね
凛,とりあえず、この案はナシにする
未央,わかってくれて嬉しいよ。まあ、こんなこと考えるのはしぶりんくらいだと思うから……
凛,気を取り直して、次の解決策にいこうか
未央,期待しないで聞いてるよ
凛,やっぱり、開催時期を秋とかにズラすのがベストだと思うけど、それは難しいんだよね？
未央,うん、流石に1年前にそれは無理だと思う
凛,じゃあやっぱり、夏でも涼しいところでやるしかないと思わない？南半球とか
未央,あのねしぶりん、南半球のどこに日本の領土があるの？
凛,奪えばいいじゃん
未央,怖っっっっっ
凛,お寿司とかあげてさ
未央,認識甘っっっ
凛,最悪、卯月がいるよ
未央,もっかい言うけど本当に最悪だよ。そもそも”東京”オリンピックなんだから、ここ以外での実施はダメ！
凛,じゃあ例えば、暑いとどんな競技が辛いの？
未央,そりゃ屋外競技の……陸上とか
凛,いいじゃん走るの遅くたって。やめようやめよう
未央,あとはサッカーとか
凛,ボールは友達でしょ？蹴るなんて良くないよ。やめようやめよう
未央,マラソンだって危険だよ
凛,辛い思いして走らなくていいよ。一緒にアイス食べた方がよくない？やめようやめよう
未央,競技なくなるよ？。何なの？箱入り娘？
凛,私たちはナンバーワンよりオンリーワンでしょ！？何で競わなきゃいけないの！？
未央,オリンピックどころかスポーツを否定している
凛,そこまで言うならもう知らない。暑い中頑張ればいいじゃん
未央,結局諦めるんかい
凛,せいぜい水分と塩分をしっかりと補給して、なるべく日なたは避けて活動し、気分が悪いなと感じたら近くの人に助けを求めればいいよ
未央,それが現状取りうる最適なソリューションだよ
凛,はい次！
未央,別にいいけど……
凛,次の問題は……都心の交通混雑と宿泊施設の不足だって
未央,これもまあ、難しいよね
凛,”オリンピック開催中は家から出ないでください”って言うとか
未央,なんか虚しいね……
凛,そもそもなんでこんな狭い都市でやるの？
未央,しぶりん、本当にオリンピック成功してほしいと思ってる？
凛,記事によると、地方から訪れた人たちと海外から訪れた人たちで街はごった返すって
未央,安易に想像できるよ……
凛,さらに宿泊施設も足りず、夜の街に大量の宿泊難民が発生し、そこら中で争いが生まれ、人々は疲弊し、やがて世界は荒廃の一途を辿るだろう……
未央,後半なんの話してた？北斗の拳？
凛,未央の家に何人か泊められないかな
未央,そのレベルでどうにかなる話はしてないから
凛,でも未央、寝言うるさいからな……
未央,う、うるさくないし！なんでディスったの！？
凛,やっぱりちょっと人類が多すぎるのが問題だと思う
未央,今日のしぶりん、攻めるよね
凛,流石に冗談だけど
未央,冗談に聞こえないんだよ
凛,ま、きっと私が何かしなくてもどうにかなるよね！
未央,おい日本人！
凛,じゃ、もう全部解決したね
未央,全く解決してないけど！？ほらこの水質汚染問題とかあるじゃん！
凛,あとでファブリーズ撒いておくよ
未央,どんだけ雑な見通ししてるんだこいつ！！！
凛,別に泳げなくても生きていけるって。やめようやめよう
未央,とりあえず競技を減らしていく姿勢をやめろ！
凛,……
未央,どしたのさ、急に黙って
凛,いや、何だか身が入らないというか、どこか他人事っぽく思えちゃうなって、思ってたんだけど
未央,？
凛,私が競技に出ないからだ……！
未央,は？
凛,私が競技者として出るなら、もっと真剣に考えられると思う！だって今のところなんか開会式で歌うだけだよ？
未央,それここ以外で絶対言っちゃダメだよ
凛,つまり、私でも出れる競技をまずは作らなきゃ！ね？
未央,”わかるでしょ？”みたいな目で見られても全くわからないからね
凛,私の得意分野……HIP-HOP！！！
未央,初耳だし擬音としてyoって置くのやめて
凛,何だろう……私が出れそうな競技……
未央,アスリートの皆さんにまずは謝ろうよ
凛,あ、でも、私の卯月モノマネなら世界を狙えると思うよ
未央,まず誰が競合するんだその競技……
凛,ちょっと待ってね……ごほん
未央,別に見たいわけじゃ……。いや似てるけどそもそもセリフのチョイス怖いな！。いつしまむーそんなこと言ったの！？
凛,割とよく言ってるけど
未央,割とよく天誅する人間が私のユニットメンバーなの！？
凛,割とよく天誅するってなにさ笑
未央,しぶりんが言ったんだろ！！！
凛,あとは……未央の手を握ってその日の朝ごはんを当てる競技でも負けない自信がある
未央,怖い怖い怖い怖い！！！
凛,えいっ
未央,わっ！？
凛,……寝坊したからってカロリーメイトだけで済ませるのはよくないよ？
未央,怖い怖い怖い怖い怖い怖い怖い怖い！！！！！。何！？すごい背筋ゾワっとした！！！
凛,喜んでくれると思ったのに……
未央,恐怖心以外の感情がなくなったけど！？
島村卯月,私もできますよ！
未央,しまむー！？い、いきなり抱きつかないで
卯月,……700グラム増えました？
未央,う、うるさい！！！
凛,ううん……やっぱり卯月には敵わないな……
卯月,えへへ……
未央,いや、何で健闘を称え合ってるの？
凛,卯月はオリンピックについて、どう思う？
卯月,どの競技のメダルも欲しくなっちゃいます！
未央,冗談だよね？
卯月,大丈夫です！きっと成功しますよ！
未央,頼もしいけども……
凛,何か私にもできること、無いかな？
卯月,ボランティア登録をして、指示を待っていればいいと思います！
未央,至極真っ当な意見だ！
凛,それはかったるい
未央,よくいるクズだ！！！
凛,なんかもっとこう……私の人気と知名度と美貌を使ってさ？ね？
未央,発言がいちいちイラっとくる
卯月,わかりました！じゃあ……
凛,じゃあ？
卯月,チャリティーライブをしましょう！
未央,はい？
卯月,オリンピックの協賛企業になって、ライブの収益の何割かを会場整備や暑さ対策のために渡すんです！その代わりにチケットを融通してもらったり、各競技の宣伝に事務所のアイドルを使ってもらったり……！まずはライブです！私たちはこれだけの人を集められますよってオリンピック委員会にアピールしましょう！
未央,急に喋るね！？ってか”私たち”って……え？
島村、語る！,日本のために！
ニュージェネ、怒涛のライブ・ライブ・ライブ！本田も充実感,五輪までに死ぬよこれ
ニュージェネ、オリンピックのオープニングアクトに抜擢！渋谷,やっぱり３人じゃないとね
凛,……
卯月,……
未央,……
凛,怒涛の展開だったね……
未央,怒涛すぎるわ！！！。ってか途中の記事の煽りおかしいでしょ！？こっちは死にかけてるんだぞ！！！
凛,まあまあ、結果的には３人で出れるようになったんだし
卯月,主要会場の設備や、ボランティアの方々の装備も整いましたね！
凛,しかも私たちのロゴマーク入り！
卯月,誇らしいですね！
未央,怒涛のスケジュールだったけど、しまむーのマッサージとしまむー印の謎の丸薬で全く疲れが残ってないのも怖い……私はどうなってしまったんだ……
卯月,発起人という設定
凛,照れちゃうね
未央,……まあ、この２人と活動している以上、何があっても驚いちゃいけないよね
卯月,その意気です！
未央,手加減はしてね
凛,じゃ、早速レッスンしなきゃ！世界中が見てるよ！
未央,うう……まさしく胃が痛い……
凛,もしかしたらアイドル上がりがって声が聞こえるかもしれないけど、その時は……
未央,その時は……？
凛・卯月,天誅ですっ♡
未央,ここで使うんかい！！！
