人を見る目が無い事に定評のある主任,以後貴虎表記
貴虎,はふ、熱いな……うん、悪くない。肉も米も当然安物だ。正直今まで俺が食べてきたものとは比較にもならん。だが…何なのだこの美味さは…！これが大衆から愛される味というものなのか！。肉は薄切り、柔らかく煮汁がよく絡んでいる。そして何よりこのタマネギだ。トロトロになるまで煮込まれ煮汁をふんだんに吸って艶のあるアメ色に染まっている。汁が染みた肉とタマネギ、肉の旨みとタマネギの甘み、そしてそれらを悠然と受け止め、確かな土台として存在感を見せる白米…。たかが大衆食、たかがチェーン店の丼と、これを口にして軽んじられるものか。全国展開されているようなチェーン店だからこその、この追求された味のクオリティ。…おっと、折角おろし牛丼を注文したというのに、大根おろしを忘れていたな。…っ！予想以上だ、濃い口の味に馴染み始めた口の中を大根おろしのさわやかな酸味が駆け抜ける…。肉と大根おろし、その組み合わせの良さは当然知ってはいたが…牛丼という形で試すのは初めてだな。素晴らしい…。肉に大根おろしを乗せて巻いて口にいれるのも良いな、当然タマネギや米と一緒にかきこむのも…。……ふぅ、合間に啜る味噌汁がまた、何とも言えん…。安物結構、十分ではないか。長く人々に愛される味というのも納得というものだ。そろそろこのドレッシング類を試してみるとしよう。さて、どれをかけてみるべきか…。……悩むな。何せ初めての経験だ、あまりにも情報が足りない…かと言って無策で戦いを仕掛けるなど愚か者のする事だ。そうだ、まずは肉一切れずつに少量かけて試してみるとしよう
店員,……牛丼１杯で随分真剣な奴だ
貴虎,どれ、まずはポン酢だ。……ふむ、極々普通のポン酢だな。この酸味が大根おろしとはまた違う方向から牛丼の味を引き締めると同時に軽やかにしてくれる。次は、このカルビソースか。……これは良い。この甘みは果物が入っているのか。この甘辛さが肉や煮汁に加わると味がまたグッと変化するな。最後はバーベキューソースだな。……他の２つに比べるとやや攻撃的だ、スパイシーというべきだろうか、この辛味はニンニクか…？。ポン酢がさっぱりと食べるためだとするなら、他の２つは味の足し算の考え方だな。さて、ではどれを選ぶべきか……大根おろしがある事だ、ポン酢にいくべきか…。いや、待てよ？大根おろしがあるのならば逆にコッテリとしたバーベキューソースをかけておろしのさっぱり味、バーベキューソースのこってり味を相互に楽しめるようにするのも捨て難い。まいったな、よもやこのようなところでここまで悩む事になるとは……ここまで苦悩する選択はプロジェクトアーク以来か…。…どうするべきか…。いや、上に立つものが決断に迷うようでは示しがつかん。ここは恐れを、迷いを捨てて決断を下すべきだ…！。すまないが、このタレで何かオススメはないだろうか？
店員,個人的な意見でいいのなら、カルビソースを押そう。適量ならば大根おろしの邪魔もしない万能選手だ
貴虎,成程、助言感謝する
店員,客の為に勤めるのが店員の使命ではないのか
貴虎,丼の片側に大根おろしを盛り…。逆側にカルビソースをかけていく。ふふ、出来た。完璧な布陣だ…。あっさりと、こってりと、思うが侭に食べられるこの構え…まさに天下御免。…おお、カルビソースが加わったご飯がまた、堪らないな。２口目は大根おろしサイドで……いかん、交互にいくと箸が止まらなくなってしまうぞ…！。大根おろしの汁とカルビソースが下の米へと流れ落ちているのか、食べ進むうちに下から色づき、味の染みた米が掘り起こされてくる…この味つき飯だけで一膳軽くいけそうだ。味噌汁の存在も忘れてはならないな。どれ、次は七味を入れてみるとするか……待てよ、七味を牛丼のほうにかけるという手段も取れるな……。思ったとおりだ。七味大根おろし、最高の相性じゃないか！。今までこういった店に目も向けなかった己の器量の無さを今はただただ嘆くばかりだ……今度光実も連れてくるとしよう。あの券売機の使い方も教えてやらないとな。ご馳走様。実に美味かった
店員,何よりだ。また来るといい
貴虎,ああ、是非また立ち寄らせてもらおう。今度は弟も連れてな。私だ、呉島だ。…ああ、そうだ。…わかった、ではそのように手配しておく。さてと…、また少し時間が出来たな。朝食も取れなかった事だ、またどこかで軽く買っていくか。…いや、ここまで来た事だ、またあの店にいってみるとしよう。くっ…！自動ドアでは無かったのだったな…。さてと、今度は何を頼むとしようか…。以前、家に戻って光実に自慢しようと話したら物凄い顔をされたな…。思わずまた闇落ちしたのかと心配したが。…む？あそこの客は席にも座らず何を……なるほど、あそこでテイクアウト用の品を受け取るのだな
店員,お待たせしたな。牛丼特盛りつゆだく、間違いないな
紘汰,おおっ、待ってました！
戒斗,フン、汁に頼るとは軟弱な奴め。ボサッとするな、紅しょうがを取り忘れているぞ
貴虎,…て、店員。あれは一体何なんだ？
店員,ああ、あれはつゆだくだ。前もって言えば煮汁…つまり汁を多めに丼に入れて提供する
貴虎,そ、そういうものが…。つゆだく！そういうのもあるのか！
今日は,龍如極
