渋谷凛,色?
モバP(黄),よし終わったー
未央,おお、見事に黄色だね！
凛,蒼のが良かったのに
卯月,あれ、なんか焦げ臭くないですか？
晶葉,そういえば…そうだな
仁奈,くせーですよ
薫,薫じゃないよ！
凛,いや、そういうのじゃないから大丈夫だよ
モバP,何の匂いだ？
未央,プロデューサー、なんか燃えてない？
仁奈,頭だけ茜おねーさんみたいでごぜーます
晶葉,匂いもそこからするな
モバP,ﾊﾊｯ、そんなわけ…熱ッ、ｱﾁッ
凛,Pヘッドが燃えてる!?
未央,とりあえずそれ脱いで!!
モバP,まだ死ねるか!!
晶葉,行け、ｳｻﾐﾝﾛﾎﾞﾚｽｷｭｰ！
ｳｻﾐﾝﾛﾎﾞﾚｽｷｭｰ,ウサー
モバP,はぁ、はぁ
凛,だ、大丈夫？
モバP,なんとかな
未央,意外と平気そうだね
モバP,というかなんで急に発火なんて…
晶葉,さっき見たときにはバッテリーに問題はなかったはずだ。調べようにもPヘッドは…
Pヘッド,
ｳｻﾐﾝﾛﾎﾞﾚｽｷｭｰ,ウサー
卯月,まだ燃えてますね
凛,しかも臭いし
仁奈,キグルミに匂いが付いちゃったでごぜーます
卯月,あ、もしかして黄リンじゃないですか？
未央,王凛？
凛,私がどうかしたの？
卯月,そうじゃなくて物質の一種なんだけど…
晶葉,ふむ…黄リンか
未央,何それ？
晶葉,空気に触れると自然発火する代物だ
凛,それをPヘッドに塗ったの？
晶葉,そんなわけないだろ
卯月,まさか黄色のPヘッドだからって黄のP(リン)になったとか…？
晶葉,まさかそんな…まさかな?
モバP,ほら、天下の765プロのプロデューサーだって黄色のPヘッド(プチます参照)だぞ
未央,被らないように呪いをかけたとか？
晶葉,呪いなんてそんな非科学的な…
凛,でもなんでPヘッドは黄リンに変わってたの？
モバP,というかあのプロダクション、謎の生物とか居るし
薫,はるかさんちゃんのことかな？
仁奈,たかにゃちゃんのことかもしれねーですよ
未央,どっちもじゃないかな？
晶葉,大体あのプロダクション自体よく分からん、本人に聞け!!
モバP,そういや電話番号教えてもらってたな
凛,ならもう電話したら？
未央,結局どうだったの？
モバP,本当に魔法を掛けてたらしい
晶葉,呪いではないんだな
凛,実際に怪我はなかったよね
未央,特許の塊は燃えちゃったけどね
モバP,しばらくPヘッド無しか…
凛,別に要らないと思うけど
未央,不細工ってほどじゃないんだし
モバP,いや、分かりやすいだろ？
未央,分かりやすさを求めて付けてるんだ
モバP,なんか落ち着かないんだよな
晶葉,予備ならあるぞ
モバP,本当か？
晶葉,メンテの時とかにあると便利だと思ってな、色はあれだが
モバP,着けてる俺は変わらないし貸してくれないか？
晶葉,仕方ない、どこにしまったかな？
未央,それよりプロデューサー、あれ
モバP,？、ああ、あれか!!
卯月,仁奈ちゃん、薫ちゃん、新しい衣装届いてるから見に行こうか
薫,行くー
仁奈,キグルミでごぜーますか？
卯月,仁奈ちゃんはキグルミだよ
仁奈,！はやくみてーでごぜーます!!
卯月,じゃあ私が連れて行きますね
凛,じゃあ私たちは準備手伝ってくるから
未央,プロデューサーも速くしてね
モバP,よしわかった
仁奈,事務所にはもう戻らねーでごぜーますか？
薫,今日はここでみんなでご飯なんだって
卯月,じゃあみんな待ってるから入ろうか
アイドル,Happybirthday、仁奈ちゃーん
南条光,誕生日を祝うことは良いことだ！
イヴ・サンタクロース,久しぶりのケーキですねぇ、ﾌﾞﾘｯﾂｪﾝ？
姫川友紀,お酒だー
冴島清美,こら、そこ、今からケーキの蝋燭に火を着けるので歌う準備!!
仁奈,仁奈、こんなに賑やかな誕生日は初めてでごぜーます
卯月,良かったね、仁奈ちゃん
モバP(赤),仁奈ー蝋燭に火を着けるぞー
薫,あ、せんせぇが赤色になってるー
モバP,女っぽいと思ったがめでたくていいかなと思って
晶葉,ｳｻﾐﾝﾛﾎﾞの色の流用なんだけどな
未央,じゃあ火を着けちゃおう
モバP,そうだな。あれ？
凛,もープロデューサー、マッチに火が着けれないの？
モバP,いや、箱の横のｻﾞﾗｻﾞﾗが剥がされてる
凛,え？
小関麗奈,ｱｰﾊｯﾊｯマッチ箱の横のｻﾞﾗｻﾞﾗを剥がしてやったわ！
モバP,いつにも増して地味だな
麗奈,いや、流石にパーティーが駄目になるのはするわけないじゃない
モバP,まぁそうだけど…
仁奈,ろーそくの火、つかねーでごぜーますか？
モバP,主役悲しませてるじゃん
麗奈,ぐっ…チャッカマンとか用意してないわけ!?
モバP,用意してない
仁奈,別に、仁奈はふーしなくても…大丈夫で…ごぜーますよ
凛,私、ロビーで何か借りてくる！
未央,じゃあ私は近くのコンビニで使えそうなの買って来るよ！
卯月,二人とも待って!!
未央,どうしたの、しまむー？
凛,ライターでも持ってるの？
卯月,そうじゃないんだけど、マッチ箱の横のｻﾞﾗｻﾞﾗって赤リンっていう物質なんだ
凛,それで？
未央,わかった！今Pヘッド赤いし赤リンになってるかもしれないんだね？
卯月,そうだよ、未央ちゃん！
凛,じゃあ、プロデューサー試さして？
モバP,お、おう
未央,ではでは遠慮なく…
凛,ついた!!
未央,流石、しまむー年長者、賢い！
卯月,えへへー
凛,じゃあさっさと全部に火を着けちゃおうか
卯月,そうだね
モバP,…
赤城みりあ,あははー、赤鼻のトナカイみたいだねー
モバP,…
ﾌﾞﾘｯﾂｪﾝ,ﾌﾞｫ
凛,その後仁奈ちゃんの誕生日パーティーは滞りなく進み、仁奈ちゃんは喜んでくれた。なんで赤色のPヘッドが赤リンになったのかは分からない。けどそれは本当に"魔法"だったからなのだろう。そしてプロデューサーはそれ以来Pヘッドをかぶるのをやめた
