美城常務,ふむ、全員……集まったようだな……。では……今月の……会議を……、くっ……
常務,速水も、塩見達とのユニット以降は仕事が立て込んではいないな
奏,そうね
常務,このスキマスイッチが！
加蓮,急にどうしたの！？
奏,誰が全力少年ですって？
奈緒,違うだろ！カバーした“奏”の話だろ！
文香,積み上げたものぶっ壊し……おっと、これ以上はJ〇SRACに睨まれてしまいますね……
ありす,1人で勝手にケンカ売るのやめてくれません！？
常務,速水も何かやりたい仕事があるなら、前向きに検討してやっても構わないと思わなくもないが
凛,仲悪いの？
奏,別に
加蓮,仲悪いの？
常務,まあ奏っちならどんな仕事も完璧にこなしてくれるだろうがな
奏,任せてちょうだい。必ず期待に応えてみせるわ
奈緒,この流れで仲良しかよ！？わけわかんないな！！！
常務,次に鷺沢
文香,文香っちです
ありす,なんでちょっと嫉妬してるんですか
常務,すまなかった、ふみふみ
ありす,3段飛ばしくらいで距離を詰めますよね
文香,じょむじょむ……
ありす,センス０なんですか！？
常務,私のことは“ょむょむ”と呼んでくれ
奈緒,とうとう読めなくなったな！？
常務,この前は茶荘での撮影をこなしてくれたようだ
文香,どこで飲んでもお茶はお茶です……
加蓮,もうただの暴言でしょ
常務＆フレ,お茶はお茶
凛,そのフレ〇ドパークっぽさはなんなの！？
フレデリカ,そんな文香ちゃんに利きお茶をやってもらうよー！
常務,この4種類のお茶を飲み分けてほしい
奈緒,なんか始まった……
文香,……
常務,飲ーんで飲んで飲んで
奈緒,コールをするな！
文香,……
みんな,……
文香,右から、おーい〇茶、綾〇、十六〇……
フレデリカ,すごーい♪
奈緒,当たってるのかよ！？
常務,ラストは
文香,……。……茜さんが夏に向けて自宅で大量生産した麦茶です
ありす,えらく具体的ですね！？
常務,……素晴らしい
加蓮,ご名答なの！？
常務,では橘
ありす,いや文香さん、結局お仕事の話してませんけど
常務,橘は“魔導士”の衣装での撮影があったな、ご苦労
ありす,あ、あれですか、まあ自分としても、なかなか良い撮影ができました
常務,とても格好よかった。君の大人びた衣装を見て、その背伸びをカワイイと一笑に付す者もいるかもしれないが、私はそうは思わない
文香,ええ、ありすちゃんの秘めたる強さを引き出し、皆の意識を惹き止める。そんな素晴らしい衣装でした
奏,もちろん、その中に年相応の表情が加わることによってその魅力は何倍にも
ありす,す、ストップ！ストップ！！！急になんなんですか！？
フレデリカ,みんなありすちゃんを褒めてるんだよー？もちろんフレちゃんも！
周子,うんうん
唯,そーだそーだ！
ありす,こ、ここぞとばかりに……！
加蓮,いいじゃん♪よかったよ
凛,そうだね、見惚れちゃった
ありす,あなた方が乗っかったらおしまいなんですから！！！
奈緒,……
ありす,……奈緒さん
奈緒,あたしは……乗っからないぞ……！ありす……！
ありす,奈緒さん！
常務,なおあり……アリだな
文香,アリで……だじぇ……
加蓮,そっちに口調を合わせる必要あった？
凛,ごめんねありす
常務,ではお待ちかねの……
凛,！。冷静に……、山手線の両隣の駅の後、東横線がきて、前回は成田エクスプレス経由で飛行機で北海道……。普通に考えるなら西日本の遠いとこまで飛行機……。大阪、広島、福岡、もしかすると沖縄もあるかも……。いや、この常務のことだから、いきなり海外ってことも……。ううん、何が来ても、何処が来ても、いつものように対応するだけ……。……来い！！！
常務,ロン
凛,リンだよ！！！！！
常務,今までで一番の声だったぞ、ポン
凛,リンだから！！！
文香,……王手
ありす,ゲームが違いますけど！？
フレデリカ,トラップカード発動！
加蓮,自由か！
唯,城之内くん！！！
奈緒,誰だよ！？
常務,今回、神谷と北条は水着の仕事をこなしてくれた
奈緒,あたしはプールで加蓮は海だったなー
常務,2人とも、良いお尻だった
加蓮,オブラートって知らないの？
常務,しかし北条は……くっ……
奈緒,そのくだり、またやるのか！？
常務,思えば兆候はあった……。北条はここ最近、1日3食しか食べていなかったそうだ
加蓮,それ以上を求めるの！？
奏,むごいわね……
加蓮,逆に聞くけど何食がアイドルの基本なの！？
常務,しかも、8時間睡眠……！
凛,非の打ち所がないと思うけど！？
フレデリカ,たった……8時間……！？
奈緒,たった！？
文香,Zzz……
奈緒,睡眠時間を稼ぐな！！！
常務,では、そろそろグランドフィナーレといこうか
ありす,前回までそんな壮大な終わり方してませんでしたよね
常務,皆、花火は持ったか
奈緒,そういう方向性！？危ないだろ！？
常務,ジョーム・ジョークだ
加蓮,当然のように言うけど初耳だから！！！
常務,では一本締めでいこう。私に合わせてくれ
フレデリカ,はーい！
凛,まあ、それなら
常務,ではいくぞ。お手を拝借。ほっ。しっ。いっ
みんな,のっ♪
奈緒,その掛け声やめろ！！！
流れるような流れが素晴らしくてすごい,語彙貧困
