プロデューサー,以下P
瑞樹,長いことお互いに告白したいのに出来ないって状況があった上での今だし
ちひろ,おっ、噂をすればですね…はい千川です、ありすちゃん状況は？。なんですって！？。ありすちゃん落ち着いて！桃華ちゃんの状況は！？。くっ…桃華ちゃん…
早苗,…なに今の
ちひろ,あの二人に挑んだ戦士が一人散ったということです…
瑞樹,説明になってないんだけど
ちひろ,つまり菜々さんに甘えさせてもらったりして、あちらを応援する側に回ったということです
早苗,あ～…はぁとちゃんみたいな感じね
ちひろ,あの二人が幸せになることに異論はないんですよ…後はもう少し控えめにやってもらえたらそれで
早苗,そうねぇ、でも色々焚きつけた手前私達が直接言うのもあれだし
瑞樹,もうしばらく様子を見てあげましょう
早苗,そうね、ある程度好きに燃え上がったら勝手に鎮静化するでしょ
ちひろ,そんなぁ！
早苗,…瑞樹ちゃん、今日はさっさと上がって飲みに行かない？
瑞樹,あら、良いわね～
楓,それなら良いお店を開拓したんですよ
ちひろ,ちょっと！私を見捨てないで下さいよ～！
瑞樹,ちひろちゃん、ガンバ☆
ちひろ,ガンバ☆じゃな～い！こら、逃げるな～！戦え～！
早苗,あ～…やってらんないわ…これはもう飲むしかないわね
瑞樹,じゃあ、まずはレッスンで汗を流してからね
楓,限界まで喉が渇いた状態で飲むビールは格別ですね
ちひろ,くっ…このままで済むと思うなよおおおおおお！！！。って…えっ、楓さんいつの間に！？
早苗,へ～、楓ちゃんまた良いお店開拓したじゃない！
瑞樹,お店の雰囲気も良いし、お料理もおいしそうね！
楓,ええ、ここは芸能関係者御用達のお店なので、少しくらい乱れても大丈夫なのが良いんですよ
？？？,あれっ？どうしたんですか皆さんお揃いで！
早苗,えっ！？
楓,あら、Pさんに菜々さん、こんばんは
P,どうも、丁度同じタイミングだったんですね
菜々,こんな所で皆さんにお会い出来るだなんて嬉しいです～！
瑞樹,は、はぁい、二人も同じお店だったのね
P,ここなら菜々と少しくらいイチャついても問題はないですから
菜々,イチャつくだなんて…Pさんったら♪
早苗・瑞樹,少し…？
楓,そうだ、良かったら私達とご一緒しませんか？
瑞樹,楓ちゃん、二人のお邪魔じゃ…
菜々,良いんですか？それでしたら遠慮なく！
楓,ふふっ、幸せそうな菜々さんを見ているとそれだけで幸せな気持ちになりますから是非
早苗,えっ、菜々ちゃん良いの？P君と二人きりの方が良いんじゃない？
菜々,そういうのはいつでも出来ますから！皆さんとお話しするのもナナにとっては大切です！
P,それじゃあ席の変更を伝えてきますね、菜々さんは先に座ってて
菜々,はい！
瑞樹,早苗ちゃん
早苗,…良いタイミングだしね、言ってあげる？
瑞樹,そうした方が良いと思うわ
早苗,オッケー。…ねえ菜々ちゃん
瑞樹,ちょっといいかしら？
菜々,なんですか？
ちひろ,瑞樹さあああああああん！早苗さあああああああん！
瑞樹,あ、あらちひろちゃん、血相変えてどうしたの？
早苗,P君たちなら落ち着いたでしょ？
ちひろ,そうですけど…あれを見てもそんなことが言えますか！？
P,ん…
菜々,はいPさん、お茶をどうぞ！
P,ありがとう、丁度欲しいタイミングだったよ
菜々,Pさんのお望みならなんだってわかっちゃいますよ！あ、それとこれ、さっきPさんが探していた資料です
P,おお…助かるよ
菜々,遠慮しないでどんどんナナを頼って下さいね！
P,本業のアイドルに支障が出ないようにね
菜々,大丈夫です！今のナナは絶対無敵ですから！
ちひろ,どうするんですか！確かにおおっぴらにイチャつかなくはなりましたけど、前にもましてPさんにべったりじゃないですか！。Pさんの業務補佐までほぼ完ぺきにやっちゃいますしぃ！私の存在意義があああああ！
早苗,まあほら、イチャイチャ自体は減ったんだから良いじゃない！
瑞樹,そうよ、それに全部の問題を一度に解決するだなんて無理よ？
ちひろ,そうかも知れませんけどぉ…
早苗,まああれね、とりあえず…
ちひろ,とりあえず…なんです？
瑞樹・早苗,おねシンは完璧にしておいたら？
