黄緑色の金の亡者,以降ちひろ表記
千夜,子供扱いするんじゃない
Ｐ,あ、ビスコ買ってきたから夕飯の後で食べていいからな
千夜,もうちょっとこっちにこい。叩いてやる
Ｐ,んー、まだ微妙に熱があるな。引き続き安静にしてろ
千夜,指図は受けん
Ｐ,俺もお前の意見は聞かん
千夜,何をする
Ｐ,病人は大人しく寝かせておくのがプロデューサーの使命ではないのか
千夜,余計なお世話だ。退け、私はお前ほど暇では無いんだ
Ｐ,屋敷の掃除ならもう終わったぞ？
千夜,え。…いや、他にもまだまだ色々とやる事は
Ｐ,庭の手入れと洗濯と回覧板とアメトークの予約と夕飯の支度も済んでるからな
千夜,
Ｐ,リンゴ剥いたけど食べるか？
千夜,お前の施しは受けません
Ｐ,ちゃんとウサギの形にしたのに
千夜,そういう問題では…ってリアルなウサギはやめろ！
Ｐ,うん蜜たっぷりで瑞々しくて美味い。流石は辻野ブランド。マスコットキャラの美的センス以外は素晴らしいな
千夜,…
Ｐ,食欲もあるみたいで何よりだ。他に何か欲しいものあるか？
千夜,お前のいない平和が欲しい
Ｐ,ビスコは夕飯の後でな
千夜,耳にバナナでも刺さっているのかお前は
Ｐ,これでよし…と。ほら、ベッドのシーツ取り換えたからもういいぞ
千夜,…
Ｐ,ちゃんと体拭けたか？
千夜,余計なお世話だ
Ｐ,んじゃ、しっかり毛布被ってもう少し寝てなさい。たっぷり汗かけば熱なんてすぐ下がるから
千夜,この屈辱はいつか必ず晴らしてやる
Ｐ,屈辱て
千夜,甲斐甲斐しく世話を焼いても私のお前に対する感情は何も変わりませんよ。お生憎様
Ｐ,そんなの期待してないっつの
千夜,知ってますよ。お前、私をプロデュースする話を一度断ったんですよね
Ｐ,お前、そんな話誰から…
千夜,構いません。所詮私はお嬢様の一時の戯れで道化を演じる人形に過ぎません
Ｐ,…
千夜,お前の感情など私にはどうでもいい事です。ただ同情くらいはしてあげますよ。お前も仕事とは言え私のような者を舞台に立たせなければならないのですから。ご苦労な事です
Ｐ,…
千夜,まぁせいぜいお嬢様を楽しませなさい。それがお前の仕事であり義務なのですから
Ｐ,…
千夜,……おい、聞いているのか
Ｐ,あ？悪いグラブルがアサルトタイムでさ
千夜,おまっ…台無しだお前ぇ！
Ｐ,病気で心が弱ってる時のガキの妄言なんざいちいち真に受けてられっか。ほれ寝てろ
千夜,他に何か言う事は無いのか！
Ｐ,ラリホー！
千夜,すぴぃ。ｚｚｚ…
Ｐ,ようやく大人しくなったか。…。そりゃあ、確かに上からの指示とは言え最初に聞いた時は流石に無理だと思ったよ。ある意味夢見より酷かったからなぁ…お前たちの第一印象。だから正直一度限りのお試し企画で終わらせるつもりだったんだけどさ。……ステージの上のお前達と、ステージから降りてきた時のあの満足気な顔を見て、気が変わったんだよ。…。どうだ？思ってるより世界はずっと広いもんだろ。お前たちはまだ若いんだ、そんな歳から勝手に自分の世界を決めつけて狭めてたらつまらないぞ。俺が出来るのは舞台を用意してやる事だけだ。それからどうするかは自分で選べばいい。出来ればお嬢様を言い訳にしたりしないで、な
千夜,…
Ｐ,って、あんまりうるさくしてると起こしちゃうか。そろそろお嬢様を迎えに行かんと。ちゃんと寝てるんだぞ？良い子にしてたら後でビスコ上げるからな
千夜,…。……。………。…余計なお世話だ、ばーか
Ｐ,屋敷に着きましたよお嬢様
ちとせ,疲れてもう歩けないわー。一日僕ちゃんおんぶー
Ｐ,ハハッお戯れを
ちとせ,脇に抱えられるなんて生まれて初めてっ
Ｐ,すぐに晩ご飯にするから手ぇ洗ってきなさいお嬢様
ちとせ,はぁーい♪ねぇねぇ、メニューは何かしら？
Ｐ,今夜はおでんでごぜーますよ
ちとせ,手洗いうがいして着替えてくるわ！
Ｐ,慌てなくてもおでんは逃げないっつの。さてと、あの妖怪オマエオマエはちゃんと大人しくしてるかな？。入るぞー
千夜,すぅ…
Ｐ,よしよしちゃんと寝てるな。枕元にビスコ置いといてやろう
ちとせ,あらあら、千夜ちゃんぐっすりねえ
Ｐ,日頃の攻撃性が嘘みたいな穏やかな寝顔だな。本当に寝てる？加蓮に会いにいってない？
千夜,ふなっ
ちとせ,攻撃性って、千夜ちゃんがあんな態度取るの魔法使いさんだけよ？
千夜,むなっ
Ｐ,アハハ変な顔。今のうち写メ撮ったろ。じゃあそろそろ帰るわ
ちとせ,えー？泊まっていけばいいのに。部屋は沢山あるんだし
千夜,早く帰れ
Ｐ,そういう訳にはいかないっての。おでん沢山作ってあるからまた温めて食べなさい
ちとせ,はぁーい
千夜,早く帰れ
Ｐ,千夜もすっかり元気になったみたいだし
千夜,早く帰れ
ちとせ,ごめんなさいねプロデューサーさん。千夜ちゃん他の人には最低限の礼儀は払うんだけど
千夜,帰れ
Ｐ,大丈夫大丈夫、気にしてないから
ちとせ,そう？怒ってない？本当ははらわた煮えくり返ったりしてない？
千夜,カエレ
Ｐ,怒ってないって。だってこれ甘えてるだけだろ？
千夜,ばーか、そんな訳あるかばーかばーか
ちとせ,まぁそうなんだけど
千夜,お嬢様！？
Ｐ,ハハッわかりやすい奴
千夜,ばーか、ばーかばーかばーかばーか
ちとせ,活き活きとイチャイチャしてる千夜ちゃん尊すぎて寿命伸びるわぁ♪
千夜,くっ…！常識人なのは私だけか！
Ｐ,あははははははは！
千夜,笑ったなお前このお前このっ！
Ｐ,ゲホッ！ガホッ！ゲホゴホッ！カワゴエッ！。ヴァ～…まさか１日遅れで風邪を引くとは…。こんな時に限って芳乃は生放送だしアッキーは役員会議だし…。…なんだ誰だ俺が風邪引いてるのを知らんのか。はいはい、今出ますよ～…
千夜,なんだ生きていたのか
Ｐ,チェンジ
千夜,言った筈だ。屈辱は必ず晴らしてやると
Ｐ,こいつドアに足挟んでやがる！
千夜,ステイ
Ｐ,はうっ
千夜,さてと…まずは何から始めましょうか
Ｐ,おま、病人に、吹き矢…
ちひろ,あら？今日は僕ちゃんはどうしたんですか？
ちとせ,今頃きっと報復してるんじゃないかな♪
アッキー,終わりだ
優,アッキー次は株主総会だよー
登場当初はある意味夢見以上に,どないせぇっちゅーねんコイツ
