モバマスより小日向美穂,たぬき
奈緒,あ！？い、いやなんでもない！そうそうこだわりなんだよこの髪！
Ｐ,いや今明らかに何者かを意識した発言を
奈緒,だからなんでもないって！！
Ｐ,グワーッやわらか髪ビンタ♡。あの後なんだかんだで話を終わらせた俺達は、流れでジュース買いにいくジャンケンを行った。そして奈緒は気合一発チョキで一人負けし、休憩スペースの自販機に向かっているのだ説明終わり。ふぅ。しかし今日もいい天気だな
美嘉,すっかり春ってカンジだね
未央,今年もお花見楽しかったねー！去年より人増えたし！
美嘉,だね★テンション上がった楓さんと茄子さんがアレだったのはまあ、毎度のことだけど……
Ｐ,ははは……。……
未央,……
美嘉,……
三人,あいつらって、どいつら……！？
Ｐ,悪いな、電車移動になっちゃって
奈緒,いいってこれくらい。車の調子悪いんだろ？
Ｐ,ああ。昨日までなんともなかったのに急にプスンってな。車の機嫌もよくわからないもんだ。それより、今日のオーディションの手ごたえはどうだった？
奈緒,もうバッチリ！結果は期待していいぞ、プロデューサーさん！
Ｐ,おっマジか。よし、ならご褒美におじさんがなんか奢っちゃろうか
奈緒,ははっ、なんだよおじさんって？――んじゃ、クレープがいいな！加蓮にうまいとこ教えてもらったんだ！。奢っといてもらってなんだけど、アンタは買わなくていいのか？
Ｐ,オッサンなので糖質を気にするのだ
奈緒,そうかぁ？まだ若く見えるけどなぁ
Ｐ,いやぁ、こう見えて中身の方は順調にくたびれてきてるもんよ……
奈緒,だったら運動すりゃいいじゃんか。あたしらのレッスンに呼ぼうか？
Ｐ,すごく悪い笑みを浮かべる青木さんがありありと想像できるからやめて！
奈緒,あはは。……ん、うまいなこのクレープ！。なんか、二人きりで歩くのって珍しいなぁ。車が故障しちゃったのもまあ、怪我の功名かな……へへ♪。…………ん？
毛玉,…………
大抵の場合大したことじゃないんだけど、でも,日頃の行い
奈緒,……。せっかく貰っちゃったんだし、無駄にするのも、だよなぁ……。えぇ～？でも遊園地だぞ？大人の男の人ってこういうの喜ぶのかぁ……？
周子,奈緒ちゃん何持っとるんー？
奈緒,わぁ！？周子！？
周子,お？なになに遊園地のペアチケ……あぁ～
奈緒,な、なんだよぅ
周子,いやいや、頑張り～？あたし誰応援していいかわからんけどー
奈緒,だからなんだよー！変な想像してるだろー！？。はぁ、ふぅ……行っちゃったし。そ、そんなこと言われると余計に緊張するじゃんか……
Ｐ,おいすー
奈緒,げっ
Ｐ,人の顔見るなりげっはなくない？
奈緒,いやあの、よ、よぉプロデューサーさん！奇遇だな！
Ｐ,奇遇もなにもここ事務所だからな
奈緒,あっそうか、えっとそうだったな。あー……えっと……げ、元気か！？
Ｐ,おかげさまでそこそこ健康ですが……なんだどうした？変なことでもあったか？
奈緒,ああ、いやぁ、そういうわけじゃなくてさぁ……。あのさ、ゆ……！
Ｐ,ゆ？
奈緒,……由愛ってさ、かわいいよなっ！
Ｐ,だな。頑張り屋さんだし、情熱もある。いいアイドルだ
奈緒,うんうん！って、じゃなくて、遊……！
Ｐ,遊？
奈緒,…………遊佐こずえって、いい名前だよなっ！
Ｐ,？？？うん、そうだな……？
こずえ,いえーい……
奈緒,あ～～……じゃなくてぇ……
Ｐ,なあ、どうした奈緒？悩みでもあるのか？
奈緒,どぇ！？いやそういうわけじゃ……な、なんでもない！なんでもないんだっ。今度のオフ一緒に遊園地行こうなんて、言えるわけないだろぉっ！！
Ｐ,そ、そうか……ならいいんだが。おっと、そろそろ時間だ。打ち合わせ行ってくるわ
奈緒,あ、ああわかった。気を付けてな！。無い、無い無いっ。凛か加蓮でも誘おう、そうしよう……っ。！？
Ｐ,んお！？なんだ、どうした？
奈緒,あ、あたしの声……っ！？。あ、いやあの、なんていうか実はっそのぉ……！。え、ええいっ！もうなるようになれだ！！
彼らが増える具体的な条件は、,幸せになること
Ｐ,ほほ～
奈緒,なあ
Ｐ,なるほどなるほど……
奈緒,おいっ
Ｐ,ここはもう一枚……ん？どうした奈緒？
奈緒,なんでさっきから写真撮りまくってんだよっ
Ｐ,ああ、実は次のステージのセットは遊園地モチーフにしようって話があってな。やっぱ本物の遊園地がどんなかはチェックしとかなきゃってさ。いやぁ助かったよ奈緒！
奈緒,なんだよ、結局仕事かよ……
Ｐ,このシリーズだいたい怪異の解決ばっかで仕事してる描写ほぼ無いから、たまにはな！！
奈緒,切実だな！！てかメタ発言やめろよ！！
Ｐ,ムッハッハ。――あ、奈緒そこ立ってくれるか？
奈緒,え？……は？あ、あたしも撮るのか！？
Ｐ,これはプライベートなやつだから。ほらほらそこ立って
奈緒,わっ、ちょっ……あ、あたしなんか撮ったって意味ないだろ！？あそこの着ぐるみとかでいいじゃんか！
Ｐ,そう言うなよ。せっかく可愛い格好なんだから
奈緒,かわッ
Ｐ,それ、普段あんまり着ないタイプの服だよな。すごく似合ってるし、周りの風景にも合ってるからさ
奈緒,か、かわ……かわ……
Ｐ,ああ、もちろんここだけの秘密だ。みんなに言ったらからかわれちゃうしなぁ
奈緒,ひ、秘密……二人だけの……。わ……わかった。そういうことなら……
Ｐ,いやカタいな！？
奈緒,しょ、しょ、しょうがないだろぉ……いきなりそんなこと言うからぁ……
Ｐ,仕事の撮影でもそこまで緊張しないだろ……。よしわかった、俺がポージング指導をしてやる。あ、すいませーん！写真撮って欲しいんですけどー！
奈緒,しかもツーショットかよ！！？
Ｐ,お前一人じゃカチコチだろ。この際だ、仕事ってわけじゃなし、俺も一緒に映るから
女の子,ええ、私で良ければ喜んで……
奈緒,わ、わ、わ
Ｐ,ほら肩の力抜いて、はいチーズ
女の子,撮りますよ♪
Ｐ,ありがとうございましたー！
女の子,とんでもありません。では、友人を待たせているので……。お互い、よきぴにゃ体験を……♪
Ｐ,ええ、よきぴにゃ体験を。……いやぴにゃ体験って何だ？
奈緒,ほ、ほ、ほ、ほんとに撮っちゃったのか……あたしとアンタの、つ、つ
Ｐ,ああ、これデータ。いるか？
奈緒,いッ……………………る
Ｐ,じゃ後で送るよ。いやでも、ほんと似合ってるぞ。普段も着ればいいのになぁ。髪のもふもふ度が爆増したーッ！！？
奈緒,なっなっなんでもない！なんでもないからっ！！ただの寝癖だこれはっ！！
Ｐ,時間差で炸裂する寝癖なんてある？
奈緒,あるって言ったらあるんだっ！！。似合ってる似合ってる似合ってる似合ってるって似合ってるって。わ、やばい、どうしよあたし、わけわかんなくなってきた……！落ち着け落ち着け落ち着け……っっ。……つ、ツーショット写真撮っちゃった……♪
加蓮,――あーあー、こちらエージェントＫ。エージェントＲ、聞こえますか？
凛,聞こえてる
加蓮,こちらは目標を確認しました。そちらのポイントから二人は見えますか？
凛,見えてる。っていうか私、隣にいるじゃない
加蓮,もー。凛ってばノリわるーい
凛,いいのかなこんなことしてて
加蓮,だって気になるでしょ？奈緒とプロデューサーのお忍びデート！
凛,まあ……。奈緒ってああいう服も着るんだね。ちょっと意外かも
加蓮,かわいーよね～♪プロデューサーとデートで気合入ってるんでしょ？
凛,……ねえ、加蓮
加蓮,わかってるわかってる、口出したり後で弄ったりしないって！ちょっと見守るだけ！。やばっ！隠れて！
凛,……気付かれた？
加蓮,……セーフみたい。あっ、あっちに行っちゃいそう！追いかけるよ！
凛,本当にいいのかなぁ……。そういえば遊園地入るの、小学生低学年のとき以来かも……
Ｐ,奈緒ってお化け屋敷とか平気なタイプ？
奈緒,おばっ！？な、なんだよ急に……？
Ｐ,ほらあそこ、啓蒙！青ざめた血の病棟～宇宙悪夢的恐怖をあなたに～って奴。あれ入ってみないか？
奈緒,な、なんだよプロデューサーさん。ああいうの好きなタイプだったのか……？
Ｐ,遊園地アトラクションがテーマならあっち方面のセットも確かめないとな！小梅たちのステージに使えそうだ
奈緒,ふ、ふ～～～ん……。定番のやつだ……きゃあ怖い！つって抱き着いちゃうやつ……マンガで読んだことあるぞ……！。や、やるか……？できるか、あたしに？大体そんなことしてドン引きされたりしないかな……？
Ｐ,もし怖かったら俺にしがみついてていいぞ、はっはっは
奈緒,はぁっ！？だだだ誰が！
Ｐ,遠慮するな、これでも肝は据わってるつもりだ。こちとら高空からヒモ無しバンジーしたり幽体離脱したり拉致られたり狐屋敷に閉じ込められた男だ、今さらお化け屋敷なんて大した事ねーや
奈緒,説得力がえげつねぇ
Ｐ,というわけで入るぞ！あぁ楽しみだなぁ！
奈緒,まったく、頼もしいんだかそうでないんだか……。あ、中は写真撮影禁止だからな！
Ｐ,ぎゃあああああああああああああっ！！
奈緒,ひょわぁぁぁああああああああっ！！
Ｐ,あばばばばばばばばばばばばばばばば！！！
奈緒,ひぃぃいいいいいいいいいいいい！！？
Ｐ,アイエエエエエエエエーーーーーーーーーーッ！！！？
奈緒,いやああああああああああああああああああっ！！！！
Ｐ,
奈緒,
Ｐ,……は、は、発狂するかと思った……
奈緒,人形……人形が喋った……
Ｐ,なんなんだよあの目玉いっぱいの……
奈緒,うぅっ……あの変な歌が耳から離れない……
Ｐ,あれはまだ俺たちには早かったみたいだ
奈緒,そうだな
Ｐ,それにしても奈緒、悲鳴は結構乙女なんだな。いやーって笑
奈緒,んなっ！？あ、アンタこそ情けなかったぞっ！何がお化け屋敷なんて大したことねーやだぁ！
Ｐ,なんだとぉ！？
奈緒,やるかぁっ！？。……ぷふっ
Ｐ,……ははっ
奈緒,あーあ、叫びすぎて喉渇いちゃったな。なあ、飲み物買いにいかないか？
Ｐ,お、いいな。よしおじさんが奢っちゃろう
奈緒,おっ出たなおじさん。そんならお言葉に甘えようじゃんか！
Ｐ,グリーンぴにゃこらスムージー枝豆味
奈緒,……ま、まあこれはいいかな……
加蓮,お。なんか雰囲気よさげ……？。お化け屋敷入ったんだからきゃあ怖い！って抱き着くくらいはしたんだろーねー、奈緒～……？
凛,加蓮。ねえ加蓮
加蓮,むむむ、距離が遠くて見えづら……えっ何？
凛,あれ。昇天ぴにゃこらサイクロンコースター
加蓮,……それが？
凛,乗りたい
加蓮,却下
凛,！？
加蓮,乗ってる時間ないでしょそんなの。ていうか私絶叫マシンとかムリだし！気絶しちゃうし！
凛,でも、乗った人にはもれなく昇天ぴにゃこら太お面がプレゼントされるって……
加蓮,いらない！ほら、早く行かないと見失っちゃうじゃん！
凛,昇天ぴにゃこらサイクロンコースター……
この朴念仁のことだから,兄妹
加蓮,いけ奈緒っ、ちゅーだ！そこでちゅーだ！……もう、もどかしいっ
凛,そうだね
加蓮,……てか、凛は何飲んでんの？
凛,グリーンぴにゃこらスムージー枝豆味
加蓮,商品名聞いてるんじゃなくて！あとその頭の！どこにあったのそんな変なヤツ！？
凛,ぴにゃハット……変装になるかと思って。大丈夫、加蓮のも買っといたから
加蓮,いらない
凛,！？
加蓮,めちゃくちゃ緑じゃん！そんなの被ってたら逆に目立つってば！
凛,けど周りみんな被ってる……
通行人Ａ,最高にイケてる
通行人Ｂ,今年はこれが来る
通行人Ｃ,オッホホ～ウ！マジェスティック！
通行人Ｄ,これも葦名のため……
加蓮,……マジだし
凛,被ってない方が逆に目立つんじゃないの？こっちだって顔バレしたらまずいと思うけど
加蓮,……う～。かわいくない……
凛,……
加蓮,はぁ、仕方ないなぁ……。一つ貸して
凛,ピンクと黒どっちがいい？
加蓮,カラバリあるんだそれ！？
結局、,観覧車に乗りたい
走り抜けた後の心地よさが尾を引いて、なんだか大体のことにも,まあいいや
いつか言おういつか言おうって思ってた、その,いつか
Ｐ,…………。…………トイレ長いな。我慢してたんだろうな。そうだ、待ってるうちに画像のチェックしとこ。お、来たか。おーい奈緒――
奈緒,プロデューサーさんっ！！
Ｐ,どちら様ですかーっ！？
奈緒,何言ってんだあたしだよあたし！奈緒っ！！
Ｐ,えぇ、な、奈緒！？お前どうしたそのサラツヤストレート！？
奈緒,説明は後だっ！あいつらを追いかけなきゃ！！
Ｐ,あいつら！？あいつらってどいつら！？
奈緒,あたしっ……みんなに、酷いこと言っちゃって……！すぐ謝らないと……！！
Ｐ,……！。どっちだ？何を追いかければいい！？
奈緒,あっちだ！あの空飛んでる白いの！早くしないと見失っちゃうよ！！
Ｐ,よし、任せろ……！。……それにしても大したもんだ。シャンプーのＣＭ来るんじゃねこれ
奈緒,え、そうか？へへ……って言ってる場合か！急ぐぞっ！
凛,……
加蓮,……
凛,……完全に見失ったね
加蓮,もう！あの二人走るの速すぎっ！信号でも全然止まんなかったし！
凛,まあ、もういいんじゃない？上手くいったみたいだし
加蓮,……そだね。まあいっか。後のことはプロデューサーから聞いとこ
凛,遊園地、結構悪くなかったね
加蓮,いやめっちゃ楽しむ姿勢だったじゃん。帽子被りっぱだし……あれ？
凛,なに？
加蓮,いや、あそこ……
凛,……雲かな。でも、それにしては低いような
加蓮,あのもわもわ、奈緒の髪に似てる……
凛,加蓮、大丈夫？疲れてるんじゃない？
加蓮,素で心配しないでよ！ここはそうだねとか言う場面でしょ！？
凛,そんなこと言ったって、あの変なもわもわが……。…………似てるかも
加蓮,なんか変な感じする。ねえ、追いかけてみない？
凛,わかった
加蓮,おっ即答。頼もしーい♪……って速っ！ちょっと、私に合わせてよ！？
よく見て,あ！
あたしは、もう,離せ
夕映えを受ける白いそれは一つ一つが意思を持っていて、ここで生まれた,幸せ
Ｐ,――なるほど。そんなことがなぁ
奈緒,ごめんな、今まで黙ってて。そういうことだったんだ
Ｐ,いやいいんだ。話はわかったし。それに、改めて紹介してくれて良かったよ
奈緒,うん。みんなここでも伸び伸びしてくれてたらいいなってのは、前から思ってたからさ
Ｐ,ところで、ケサランパサランの増殖っぷりは、彼らやお前の幸せ感に左右されるって言ったよな？
奈緒,ああ、だな
Ｐ,……今の状態って、どのくらいの幸せレベルなんだ？
奈緒,あ～～～～、えっと…………。史上最高レベル……かなぁ……
加蓮,事務所の天井がもふもふに埋め尽くされてる……
凛,まっしろ
アーニャ,オー！まるで、動く雪スニェーク
イヴ,気分はいつでもホワイトクリスマスですね～♪
未央,は～～～、かみやんの髪にこんなもふもふさん達がねー……
美嘉,どれどれ……わ、かわいい★へー、一つ一つが生きてるんだ！
茄子,隠れる必要も無くなったというわけですね～。いいことです♪
芳乃,ただでさえ数を減らしておられる種族なればー。ここでなら、のびのび暮らしていけることでしょうー
奈緒,おーい、みんなーっ！あんまり遊ぶと迷惑になっちゃうだろーっ！。その辺にして、そろそろ戻ってき…………うわわわわっ！？
加蓮,奈緒の髪が凄いことに！？
凛,過去最高のもふりっぷりだね
Ｐ,ユウキ・コスモかよ
奈緒,誰がアフロだぁっ！あたしはイデオンなんて乗らないぞ！！
こずえ,ぐれんきゃのんもだー……
Ｐ,ふぅ、これで一件落着かな
奈緒,ごめんな、変なことに巻き込んじゃって
Ｐ,それこそ今更だろ。まあ結果オーライだよ、気にすんな
奈緒,うん。……
Ｐ,…………。あとな、一つだけお説教があります
奈緒,おせっ……！？え、な、なんだ……？
Ｐ,俺はお前だけのプロデューサーじゃなくて、他にも担当の子がいる。だからみんなが悲しむだろ……的なこと言ったよな
奈緒,……！
Ｐ,違うだろ。俺は担当アイドルを数で認識してなんかいないし、だから一人は仕方ないなって考えたりしないぞ。そもそもお前だって俺だけの奈緒じゃないだろう。ユニット仲間やアイドル仲間、たくさんのファンや、家族や友達もいる。そういうことです。奈緒のことが大事な人は山ほどいるんだ。それこそ、今その髪に住んでるみんなだってな。だからあんま卑屈なこと言わない
奈緒,あ……。うん、わかった。……よくわかったよ。ごめんなさい
Ｐ,もう危ないことすんなよ。凛や加蓮にもお礼言っとけな
奈緒,うん。……へへっ
Ｐ,？どうした？
奈緒,いや……なんか、考えてさ。あたし恵まれてるなぁって。アンタもいるし、みんなもいるし……。そういうのも、あたしの友達……ケサランパサランがくれた、素敵な奇跡なのかなぁって思って
Ｐ,奈緒……
奈緒,……………………ごめんやっぱ今のナシで
Ｐ,そうさ、俺たちと君の出会いは運命デスティニー
奈緒,拾うなっ！広げんなっ！！恥ずかしいだろぉっ！！
Ｐ,ワッハッハ。ワッハッハッハ
奈緒,もぉ～～～っ！。ふわぁ～……今日も学校終わりかぁ……。帰ったらどうしよ。撮り溜めてたアニメでも観るかなぁ。あ、でもその前に宿題か……。おわぁっ！？あ、すいません！大丈夫ですか！？
加蓮,……
奈緒,！。……ああびっくりした。なんだったんだろ、さっきの……。でもめっちゃ綺麗な子だったなぁ。モデルかなんかかな？急いでたみたいだけど……。ってカバンの中身ぶちまけちゃってるし。あーあ、ついてないなぁ
Ｐ,あ～……また駄目だったかぁ……
凛,駄目だったね。何回目？
Ｐ,ええと確か、五回目だったかな。五回も断られた……ううむ手強い……
凛,プロデューサーも懲りないよね。あの子、相当頑固だと思うけど……
Ｐ,いや諦めんぞ。あの子には天性のものがある。何度でも……っと、すみません、大丈夫ですか？
奈緒,ああいや、大したことないよ。ちょっと落としちゃっただけで……
Ｐ,あの子とぶつかったんですよね。いや申し訳ない、巻き込んじゃったみたいで。…………
奈緒,は？え、えと……何？
凛,……プロデューサー？その子、誰？
Ｐ,君、アイドルになりませんか？
奈緒,えっ…………はぁ！！？
