※一応過去作との繋がりはありますが、このSSでは,のあさんは変な人である
のあ,……そうなれば…………私だけじゃない……事務所の娘たちも……P、貴方にだって…………
P,………
のあ,………
P,…………のあさんは……どうしたいですか？
のあ,私……
みに,のあー……？
のあ,…………私は…………。………
P,……俺は、こいつを――
みに,のあ？
P,――みにのあを……捨てたくないです。捨てたりなんか、出来ないです
のあ,！
P,半日くらいしか、一緒に過ごしてないですけど……。美味しそうにご飯を食べて……。無邪気にテレビを見て……。そして、みんなと楽しそうに遊んでるこいつを見て……俺には、こいつがそんな危ない奴とは、とても思えません
のあ,…………P…………
P,それに……こーんなとぼけ顔のやつに、人をとって食うなんて、出来ないですよ
みに,のあー
のあ,………
P,――ひとりじゃ、どうしていいか分からないなら、みんなで考えましょう。みんなで考えて、みんなで解決しましょう。それでも、もし、どうしようもなくなったら――。――俺が、全部責任とりますから。俺は、プロデューサーですから
みく,Pチャン……
P,……ね……？
のあ,…………………………………………………………………うん…………
みに,のあ？
みく・凛・卯月・未央・晶葉パーフェクト・コミュニケーション……！,だにゃ
P,ふわぁぁぁ……今日も頑張るかぁ……。今日は一日何事もありませんように……
のあ,おはよう、P……
みに,のあ！
P,おはよう、のあさん、みにのあ。今日もまた、早いですね？
のあ,ええ……取り急ぎ、あなたに見て貰いたいものがあって……
P,…………えーと…………バッグ…………ですよね？バッグなんですよね？
のあ,……昨日、みにのあをお風呂に入れたの。そしたら……
みにみく,にゃあ！
みにりん,……ふーん
のあ,増えたわ
P,増・や・さ・な・い・で・く・だ・さ・い・！
初心に返って,のあさんは可愛い
